"gene","2-1","3-1","3-2","4-1","4-2","4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4"
"ZNF195",0.257447358883441,0.00287714274336015,0.238221397631268,0.0151480364686654,0.326833779112815,0.997493364458833,542.555595121951,436.178226190476,317.611386666667,301.69788,49.7463363907135,43.8526259570553,34.0176576864204,28.9313149688924,310.7778,256.0059,187.537975,208.50615,626.1082,506.559825,397.031275,381.9109
"ZNF263",0.909322770678876,0.189236013407849,0.495927234874221,0.479704645554222,0.775994377233591,0.998574665382518,639.356534146341,614.297295238095,556.640696666667,565.219086666667,29.6776613817158,28.432560372292,26.2281424897089,30.6032147402522,514.2838,500.40215,443.05255,484.52225,768.1075,701.8033,639.751025,597.4551
"ZNF200",0.121230133302302,0.998846401966916,0.130257539280678,0.974434349147834,0.626647883176577,0.955143533487457,263.754953658537,221.141345238095,266.844743333333,252.634933333333,17.8842467359467,9.80876605179592,15.5566175466726,13.7746492051839,186.1839,179.2985,202.297625,216.1595,288.4042,258.333475,337.5572,282.15585
"ZNF582",0.820499311497905,0.00109906276015159,0.0141305037081978,0.994249067119558,0.981188521035985,0.0414418124344947,37.8371365853659,33.0416666666667,14.6525366666667,35.9149866666667,4.72167889061145,3.3208942637988,2.36105824867649,9.21188663716028,13.8486,14.640425,2.5336,16.7395,53.7011,46.3611,21.94485,46.4108
"ZNF285",0.160875137976314,0.0356504482312137,4.51039109599094e-05,0.34325038246574,0.00920331889631953,0.962853654228948,85.7218048780488,123.961652380952,31.0736666666667,43.7665733333333,10.3415618345504,19.455239221904,4.68398165024168,7.54216428903576,39.7452,57.14625,12.016925,25.73655,101.7949,135.2483,47.878425,54.58165
"ZNF275",0.186779286860823,7.66319137162075e-05,0.0380105413302984,0.255407314099887,0.980921724341325,0.335953630126228,581.698348780488,490.499547619048,357.182063333333,466.840893333333,40.1995203900507,25.5476848956007,28.027344739029,61.502246539731,394.3715,375.93485,267.08235,349.27835,679.928,546.085775,435.772225,515.7316
"ZNF37A",0.985048953317711,0.201473420068672,0.345838483112994,0.2700426684519,0.401295476798452,0.995652993610548,440.914995121951,427.735835714286,359.6766,347.2124,31.3292908830879,21.4782288930785,26.5503719128935,53.553259678075,317.0971,315.26775,247.3213,210.10105,503.2503,497.678775,455.6124,401.0772
"ZNF510",0.987697671416603,0.999572497994911,0.997345884607362,0.988386095072572,0.942795438638281,0.980085434032161,193.290141463415,187.550945238095,191.265703333333,201.0244,15.1990798807378,9.72710435985057,14.0995792493663,18.2627339239515,129.4559,151.437425,135.834925,163.67155,250.0234,213.952625,223.940225,232.1318
"ZNF506",0.206082499588986,4.60286715409097e-08,0.000121933430620391,1.48930264211034e-05,0.00339765824920901,0.999999999751011,591.615146341463,491.028561904762,244.68796,244.753013333333,49.5109843618424,34.093664539863,25.8085438177902,24.4095845084923,382.5809,344.3417,182.893025,179.07385,750.4836,564.920175,296.078175,291.5238
"ZNF324",0.0260477497552374,0.0752318838118148,0.99835326304412,0.632070461158081,0.813964795693966,0.891538772064233,255.515204878049,185.505228571429,189.956206666667,215.20978,23.8280334257784,7.99161716381899,18.9772562897595,30.7452664130861,175.8877,149.52365,146.8523,137.30265,289.0804,224.32045,208.9859,248.5167
