"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.115772783135738,452.267475233645,403.994903125,18.0295031783083,21.7220090175229,266.1909,255.102025,561.595825,504.2268,260.124331578947,430.225306127451,236.7347,373.06695,140.37525,339.9581,257.7839,525.197125,33.3588689056481,12.174594759865,1.65392181314218,1.57588621355467,0.725891034715826,0.656163369142771,"BLCA"
"ZNF263",0.665325436698031,620.518243457944,611.40748125,11.8620293156522,16.9601943612586,494.11325,503.01465,729.359975,705.7138,703.85847368421,614.944756862745,670.5019,594.16405,584.97895,803.8608,498.351525,708.51465,42.8528321316433,8.20463271294209,0.873676711802497,0.886148197342916,-0.194828559510757,-0.174380103000187,"BLCA"
"ZNF200",0.07821105205677,228.191596728972,245.05170625,5.27168791703189,8.05324962405825,181.006425,196.53855,267.06975,296.642325,171.431294736842,234.061019607843,178.4257,222.7771,140.8752,193.8738,183.0036,271.787025,9.01498285709798,3.92154884790244,1.3653342580603,1.24857069357161,0.449254191739725,0.320277508392945,"BLCA"
"ZNF582",0.75208721501615,30.5022943925234,31.4430083333333,1.54185595388174,2.81623000761846,13.1493,10.634475,44.9204,42.3667,46.6535368421053,29.9055056372549,48.8235,24.7044,37.5085,58.82955,11.0867,42.3667,4.10799538771052,1.20968792196582,0.641012614723454,0.505994039755446,-0.641575346436647,-0.982807703773913,"BLCA"
"ZNF285",0.557825621008728,72.4603546728972,77.5609302083333,4.19845914295802,9.00259226266698,28.879325,28.97065,96.86765,94.617675,54.8541947368421,73.250225,47.1448,54.67835,30.41575,72.2767,28.509925,95.782175,7.46189279348676,3.39851222414381,1.33536232463918,1.15979599022586,0.417231242315998,0.213871055547738,"BLCA"
"ZNF275",0.64040626367138,445.739919158878,458.346945833333,15.205746931643,21.7096916882102,294.404425,300.696125,533.02665,539.706075,491.474110526316,450.742451715686,482.8844,411.21395,371.15155,599.85295,296.365275,531.62895,36.6759468476011,11.0084461411422,0.917123490458103,0.851578452316952,-0.124812089446066,-0.231788649475702,"BLCA"
"ZNF37A",0.251615442225492,355.42583317757,378.3848125,10.9670126218819,17.1200945304576,243.2198,261.5794,428.430775,465.031075,398.953421052632,362.390430882353,414.1176,334.27,252.49285,499.45385,245.02235,436.331425,39.6859300438161,8.21731359891941,0.908352734327211,0.807186171271156,-0.138675456792607,-0.309026636510265,"BLCA"
"ZNF510",0.0661191849070241,172.311844859813,191.177015625,6.04280183840549,7.19042148930661,114.79705,143.1953,204.7921,230.068475,217.6011,173.736771078431,197.4674,156.69045,128.6015,300.39935,122.4156,204.3791,24.7928465854427,3.85513889682882,0.798418625082462,0.793500344867051,-0.324782719401701,-0.333697244810047,"BLCA"
"ZNF506",0.516918749847988,450.167158411215,430.042082291667,16.9758001946217,26.6980533795101,272.404575,235.451775,616.57695,548.275625,362.297152631579,431.600206862745,321.8659,381.56475,232.00375,513.6455,250.47665,573.434175,39.9497147147689,12.1604464961244,1.19128787992888,1.18547739912802,0.252522088902637,0.245468158411034,"BLCA"
"ZNF324",0.343934574711786,198.85186588785,209.478775,6.32179484425894,9.03135154543179,145.60005,149.316825,229.931625,238.823775,226.818973684211,197.984133088235,216.8541,188.6647,197.799,260.15625,145.29805,231.4009,12.9327536046636,4.22902795021486,0.872872890095514,0.870007530408694,-0.196156514549698,-0.200900206527995,"BLCA"
