"gene","Locoregional (Urothelial tumor event)-Distant Metastasis","Metastatic-Distant Metastasis","Metastatic-Locoregional (Urothelial tumor event)","New Primary Tumor-Distant Metastasis","New Primary Tumor-Locoregional (Urothelial tumor event)","New Primary Tumor-Metastatic","mean-Distant Metastasis","mean-Locoregional (Urothelial tumor event)","mean-Metastatic","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Locoregional (Urothelial tumor event)","SEM-Metastatic","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Locoregional (Urothelial tumor event)","Q1-Metastatic","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Locoregional (Urothelial tumor event)","Q3-Metastatic","Q3-New Primary Tumor"
"ZNF195",0.105835007943639,0.637141691966539,0.990511504021497,0.427201695369294,0.911008236079016,0.865808581464603,481.305090697674,343.316261904762,372.729314285714,233.38695,38.9302334298773,37.1496757385505,60.6620138077891,49.62565,284.2695,215.3963,249.43565,208.574125,553.8875,405.303,492.44425,258.199775
"ZNF263",0.891958875254889,0.317052521653514,0.641627562732999,0.979691301371463,0.91952595857708,0.609805340138812,600.664286046512,633.163966666667,721.421842857143,552.29725,28.7163205785436,31.6670372342278,51.4900880700763,54.00265,486.44085,543.9211,633.2194,525.295925,701.34085,733.2066,837.81375,579.298575
"ZNF200",0.977688131121662,0.686229294621261,0.859514986254648,0.890362578988645,0.944871914127544,0.999791695590605,260.477430232558,251.753504761905,223.778185714286,218.356,13.1198983263272,17.3951087043777,20.8386891291224,1.28569999999999,207.39045,186.1839,187.23215,217.71315,314.9264,314.0251,255.46175,218.99885
"ZNF582",0.064917666359549,0.144514918373237,0.963647782059399,0.760181013710339,0.999950138995805,0.99656765978448,41.5148627906977,22.1139571428571,16.0886142857143,21.01145,5.07255712012955,4.90351339658651,4.68934354358133,1.54995,14.42915,3.415,5.21535,20.236475,52.42995,40.9556,25.6635,21.786425
"ZNF285",0.531775660059387,0.561060731870291,0.978925969407892,0.772403839940507,0.969195649749667,0.997084829732589,101.549581395349,65.8906047619048,48.8420285714286,32.884,15.9314373650327,20.7454011972355,28.6727595904837,20.5334,42.7225,25.4829,11.6316,22.6173,135.0013,69.9858,35.98875,43.1507
"ZNF275",0.978106052758372,0.999340707471474,0.999206393713066,0.944249857636356,0.978050001916686,0.971188089410344,473.904030232558,449.780228571429,462.628014285714,382.6644,33.3871449536617,57.7472228659675,49.5431114540632,94.1106,311.43005,272.0068,388.1603,335.6091,564.2072,521.6597,497.7361,429.7197
"ZNF37A",0.94229129843137,0.178878822133144,0.117196726170443,0.921829817387887,0.845070894925382,0.964375882091865,371.672795348837,346.453133333333,512.1666,448.25345,25.1052474796154,31.9903581092196,93.3414387822344,72.34105,261.32495,222.223,349.5746,412.082925,440.82165,471.8508,580.5306,484.423975
"ZNF510",0.974202387637725,0.753306388390026,0.908164423584277,0.710252996057168,0.631368468499311,0.461902225621014,195.411493023256,203.819823809524,225.594814285714,137.875,10.4094041824854,18.239160548813,33.6597804335525,0.147600000000011,151.0253,132.646,153.3816,137.8012,232.69965,266.2084,290.46655,137.9488
"ZNF506",0.0886049369431904,0.758315692021038,0.94953461312731,0.774686292168581,0.999848531847766,0.983676758533458,491.951211627907,328.694804761905,388.908171428571,314.49465,43.2842475063135,40.825336213045,104.622698048151,16.95855,282.45195,207.3947,207.90845,306.015375,614.03575,487.5009,547.5191,322.973925
"ZNF324",0.961811526228554,0.834805449807912,0.701577995146005,0.966131909924883,0.921698264542075,0.999999896466631,208.408609302326,220.148323809524,177.358771428571,177.83695,13.789026611041,22.3196491580912,17.3963596310744,23.88875,151.2824,148.7748,157.12225,165.892575,235.10235,233.3333,197.1839,189.781325
"ZNF671",0.977846780995944,0.801274853771655,0.695560896971983,0.99956219500352,0.994540385384116,0.983266719228477,65.0885906976744,72.1579380952381,40.6766142857143,59.9953,10.7183992012854,14.5310936796966,9.78438193861423,20.8447,21.64345,20.2021,16.97385,49.57295,85.10775,88.3259,59.5415,70.41765
"ZNF416",0.187387675776907,0.250003301695607,0.956571561299671,0.783445906990474,0.997587623823828,0.999604959727209,150.097625581395,110.316195238095,93.9421285714286,100.02345,12.6980511553314,13.1577321837091,15.2073478067224,16.74545,95.3502,74.0957,64.31525,91.650725,173.62155,123.1634,100.40565,108.396175
"ZNF586",0.230552979412748,0.8617129351372,0.971744196068386,0.862823455419701,0.999854368309158,0.989937126344749,210.994179069767,162.745638095238,180.804514285714,157.58205,15.9690558361771,16.085388049671,32.9155581165505,32.16735,138.19615,101.1417,114.33325,141.498375,236.33215,195.7955,222.2341,173.665725
"ZNF446",0.843683060271178,0.831095099337294,0.991378312443813,0.480622584946038,0.685022577348954,0.82244895543699,339.93006744186,302.294385714286,280.492257142857,161.17245,29.5595617791068,26.6031418863693,62.1177693939958,28.30665,224.28515,227.3108,158.0151,147.019125,408.71425,373.5823,350.76385,175.325775
"ZNF8",0.992042372294278,0.934819461664913,0.981398319317257,0.975708621488328,0.990156210086507,0.999849194235521,131.11803255814,123.84569047619,107.893785714286,102.1106,17.4546865865672,13.4061608940778,20.6973409113969,9.6919,73.1844,77.5574,78.28085,97.26465,143.8737,146.8425,109.31865,106.95655
"ZNF264",0.107045449384144,0.592746598241827,0.995617640464091,0.590203641665814,0.977466201724813,0.95903449018637,774.852976744186,582.775557142857,614.344442857143,489.06335,52.0684267320192,63.3668727589299,63.8483875904432,78.31355,527.2703,373.7387,472.74365,449.906575,932.71345,763.2552,680.44375,528.220125
"ZNF213",0.664909525550217,0.593205130190304,0.250231962582543,0.84607412458033,0.622758662452823,0.999654401324536,540.025337209302,606.457890476191,428.105014285714,410.85135,34.0836150849589,50.5765265359778,42.7914614077968,148.86995,392.1629,482.7371,377.8198,336.416375,654.6659,665.5053,458.2369,485.286325
"ZNF343",0.354138598839084,0.886924225047813,0.987035187940964,0.999877000962191,0.952020315976784,0.990025215675556,325.214895348837,275.872323809524,292.181514285714,319.57115,18.9154360391181,16.849513690686,48.2300268396716,6.03434999999999,234.38955,226.2756,214.785,316.553975,395.84525,291.7949,351.1341,322.588325
"ZNF302",0.283160430953891,0.270164160381631,0.929082739569751,0.477465697145622,0.870539179196897,0.982078033926972,533.088734883721,380.150761904762,295.307542857143,199.61255,57.4396381010002,45.8337646489201,69.6567244072942,11.73445,280.0808,264.3678,164.75325,193.745325,632.415,427.2532,421.00295,205.479775
"ZNF268",0.987507472848932,0.0847605567044505,0.180497060272208,0.997819185827864,0.999922517101637,0.714790605513643,315.102969767442,329.585004761905,477.031728571429,336.8809,20.0022519882593,41.3521091561946,101.613793193483,30.7369,210.7103,185.9757,278.17505,321.51245,401.76525,483.7649,531.6272,352.24935
"ZNF184",0.535389107405628,0.743179403636612,0.999346306784129,0.415321042187488,0.734103215625796,0.814284917453629,255.915723255814,214.148838095238,207.961771428571,125.7356,21.3474895877346,14.7386875474419,21.272272802157,5.6294,150.50845,166.8611,171.53895,122.9209,295.89235,243.7113,251.8788,128.5503
"ZNF500",0.982676814235355,0.991675175249395,0.96032009321584,0.587923327822554,0.522497590278509,0.752425862979106,214.117234883721,221.100295238095,205.8015,149.08555,11.4434149737168,10.9056709137439,38.2722364801357,13.71725,162.1221,172.6954,133.78765,142.226925,246.6225,260.3767,296.12925,155.944175
"ZNF419",0.0673434389519209,0.0521613193014938,0.798488933619181,0.465940032835376,0.952444925706091,0.99999955261723,219.272262790698,152.231385714286,112.279428571429,113.1422,17.437950539595,17.7657056047858,17.8348298741764,1.9872,146.4428,99.8882,80.97575,112.1486,279.0696,172.7199,146.69135,114.1358
"ZNF175",0.478859454128306,0.620411934403521,0.994154385751954,0.44980698350732,0.785111438821932,0.886304953699591,199.672886046512,148.180266666667,133.257128571429,55.0791,23.0522897654817,23.485555639776,34.4545279705953,37.4889,105.86475,76.2572,66.72285,36.33465,269.8577,186.6769,174.3203,73.82355
"ZNF14",0.266715336835768,0.993733499465933,0.817810279259565,0.809628311755738,0.996639170087419,0.907626432104216,205.919462790698,153.973857142857,194.610242857143,137.34125,17.548010425629,16.6587648817594,50.5737625092341,26.56055,126.06225,90.2564,104.25295,124.060975,259.6685,193.5665,263.5816,150.621525
"ZNF85",0.430610872598035,0.986182537190878,0.928900779578037,0.778418478012144,0.981076448881146,0.90331333289114,152.451120930233,112.535447619048,138.732171428571,84.77265,15.4746628064211,17.732137606317,48.8707048078699,52.58635,91.8367,59.157,34.6138,58.479475,199.16955,164.3282,195.73765,111.065825
"ZKSCAN1",0.999800294894367,0.998893196822135,0.997702274374608,0.831134688521448,0.85431350597172,0.835572130844618,613.619141860465,606.290161904762,633.512514285714,407.62875,53.806717589378,71.5017245151763,97.5346859403323,12.41105,370.6666,451.8134,512.4237,401.423225,713.33335,769.5449,783.1597,413.834275
"ZNF862",0.919022577648237,0.679628177824619,0.913622574873432,0.529394753860897,0.691870831626713,0.912641777767893,470.176546511628,410.948085714286,311.489285714286,127.9996,59.6090412239932,66.4796451466202,46.7713275634683,9.35940000000001,232.06405,228.0285,266.13085,123.3199,538.03215,565.2921,391.48875,132.6793
"ZNF684",0.671384979227171,0.99989035905711,0.875085560453687,0.957979235615066,0.999777080445228,0.961432475518618,57.6898581395349,43.4783714285714,58.9805,40.5086,8.19290142119317,4.13184490990775,24.4636189013789,1.9599,33.6271,33.3883,30.3154,39.52865,61.65125,46.7354,46.8921,41.48855
"ZNF430",0.702046277292349,0.974225303161293,0.717565458291541,0.998710862037141,0.99512780328322,0.984724606054345,136.48873255814,114.122452380952,149.9091,127.88815,12.3999262065753,13.1954549683479,39.5590523356869,0.482750000000003,77.1092,76.4103,115.08545,127.646775,174.68385,146.4411,158.3107,128.129525
"ZFP30",0.135753846069898,0.779183729266428,0.969064771466796,0.583532068524539,0.968404192850189,0.909494506827595,233.611906976744,149.754076190476,178.092742857143,101.345,22.2558190308296,32.3820858099549,46.1621905791229,19.7565,137.6501,69.662,113.02085,91.46675,256.6744,178.281,244.30655,111.22325
"ZNF549",0.468725640295338,0.244204674397773,0.819829574168095,0.762037167738029,0.972704330598611,0.999847210521252,187.732381395349,143.457823809524,100.077771428571,106.9402,16.3549891644082,30.6627030527867,22.2531066626097,0.105399999999996,126.14205,51.7624,63.6239,106.8875,227.22445,169.1949,150.8876,106.9929
"ZNF211",0.135142806989118,0.463633584969762,0.999989782170084,0.691455879304659,0.991871943593096,0.994700739168184,433.234509302326,274.76680952381,271.164485714286,217.5791,47.8674890393526,44.6921025349051,49.1476635506251,22.5901,240.0692,150.8504,186.5833,206.28405,482.5451,311.5744,308.0045,228.87415
