"gene","T1-T0","T2-T0","T2-T1","T2a-T0","T2a-T1","T2a-T2","T2b-T0","T2b-T1","T2b-T2","T2b-T2a","T3-T0","T3-T1","T3-T2","T3-T2a","T3-T2b","T3a-T0","T3a-T1","T3a-T2","T3a-T2a","T3a-T2b","T3a-T3","T3b-T0","T3b-T1","T3b-T2","T3b-T2a","T3b-T2b","T3b-T3","T3b-T3a","T4-T0","T4-T1","T4-T2","T4-T2a","T4-T2b","T4-T3","T4-T3a","T4-T3b","T4a-T0","T4a-T1","T4a-T2","T4a-T2a","T4a-T2b","T4a-T3","T4a-T3a","T4a-T3b","T4a-T4","T4b-T0","T4b-T1","T4b-T2","T4b-T2a","T4b-T2b","T4b-T3","T4b-T3a","T4b-T3b","T4b-T4","T4b-T4a"
"ZNF195",0.993264073489338,0.999999659375564,0.776331013953732,0.999999998629356,0.978419262904934,0.915867990315945,0.999741815851927,0.999645128791905,0.0276232465988331,0.920749380654886,0.99999723454656,0.995142795760857,0.358746167563964,0.999882675457895,0.997551798649499,0.999963018468606,0.998370968606749,0.0748705376469775,0.98932078622265,0.99998224495671,0.999994318866498,0.998891410341811,0.999932028220436,0.00393513447448168,0.699794500601674,0.999992812415967,0.941243409098921,0.991490377789681,0.981888937867279,0.999999999978971,0.0853639464158783,0.675810442868051,0.988097513709919,0.872045109280902,0.942775816206551,0.998025755544858,0.999994433538234,0.996394910640827,0.322483174873005,0.999650350782623,0.999371729169168,0.999999999997503,0.999999751314464,0.973257236904584,0.90279140398546,0.999999999765862,0.939097283889218,0.999999991822208,0.999954610932867,0.944469541958013,0.99641940497179,0.981246430282401,0.871926180925605,0.704990208997801,0.994721491892552
"ZNF263",0.999999999897357,0.9999486959578,0.999196597179035,0.996461878149604,0.983364029257212,0.994866440306419,0.999999536313331,0.999960721013655,0.999529782150425,0.759279308717656,0.999181832851798,0.994194526329839,0.999908677431162,0.999994678510695,0.899616002954927,0.999999867969174,0.999980998766775,0.997180639350814,0.629720859993626,0.999999999679289,0.789351101934466,0.999999783788569,0.999974690184762,0.998249307560379,0.661797135568334,0.999999999996421,0.819436647078741,1,0.99999938727147,0.999965765343097,0.999999682869791,0.994740343407548,0.999999999999786,0.999581068391746,0.999999999621997,0.99999999994603,0.997677365445724,0.987590120860316,0.99710343799931,0.999999999793842,0.728628824445989,0.999999784591115,0.566340273977687,0.603398586450441,0.996994802978449,0.999975584462561,0.999650186931294,1,0.999989045545316,0.999997983643726,0.999999977428395,0.999990688298812,0.999994327417795,0.99999995211507,0.99999772383984
"ZNF200",0.999982008112319,0.999835725907016,0.94152656299128,0.999999757777208,0.992130333833693,0.998103300561754,0.999876920292389,0.944683644144176,0.999999999999461,0.99801761280335,0.999639218573856,0.921779231900054,0.999999999687046,0.990005176394083,0.999999935073052,0.996333886793249,0.818433670107848,0.997591596155768,0.730390556176502,0.981414924913056,0.99937892266295,0.975631859232874,0.646096806567447,0.760825130195589,0.203052991286135,0.461455915969248,0.800061475409255,0.989938724332848,0.964538962516156,0.646313702350102,0.953753372170591,0.691811059144772,0.921720129340924,0.969132908160028,0.998012156867499,0.999999232347426,0.999985746968575,0.973299315281188,0.999994176454497,0.999992993197594,0.999997309426933,0.999822922022383,0.904613108145218,0.315226759188699,0.837422950434861,0.999522488613915,0.943637229774417,0.999999932410554,0.999363768999919,0.999999654695443,0.999999997338308,0.999999999989657,0.999979534700671,0.999799337284968,0.999977900884971
"ZNF582",1,0.999764852402268,0.999868204797247,0.999990643810177,0.999996065522057,0.999978583603179,0.999999999978458,1,0.739445709052559,0.990135514417606,0.999999999001671,0.999999999920529,0.895256025498988,0.998554183799109,0.999999997206191,0.999999999647646,0.999999999980434,0.78366969608089,0.995123485311136,0.99999999982635,1,1,1,0.380569200713216,0.900459283742064,0.999986936257954,0.999778180766178,0.99972054574656,0.999995991036711,0.999991010862429,0.485545255282731,0.779639542763359,0.98063178263486,0.967133654987785,0.966350512420026,0.996586741692629,0.999997454038767,0.999999086893146,0.999190488743476,0.99999999912319,0.994672694550427,0.999574053416705,0.997835273038847,0.905953867748999,0.809012660314091,1,1,0.997481016878304,0.999939936560862,1,0.999999999900702,0.999999999987894,0.999999999939822,0.999584914061437,0.999986173922206
"ZNF285",0.999052220042123,0.999951098963764,0.999980735134711,0.999917846564722,0.999991434329122,0.999999999997598,0.999564352071501,0.999999101496104,0.99999207775037,0.999999811436854,0.999332850631456,0.999999722745837,0.999955252150522,0.999997508408708,0.99999999995193,0.992713173999909,0.999999999999468,0.918912434082354,0.976138723449127,0.986385745038332,0.997977363557646,0.968681713066177,0.999999999976013,0.462223843142901,0.687032601155739,0.612988330158916,0.817924090182635,0.997390996469308,0.990422204466026,1,0.990837579513191,0.995820462864402,0.998866740173502,0.99960993388058,0.999999960344696,0.999999999909627,0.999961533855175,0.999972889248834,1,0.999999999872132,0.99996592166642,0.99985602567606,0.864656488591675,0.34487452051974,0.987189102909049,0.974523570448195,0.999999982806974,0.971664624201263,0.982737823711329,0.99214936487697,0.995769280641731,0.999933088441556,0.999999981884958,0.999999892043309,0.964946174939662
"ZNF275",0.999346011141981,0.999999999864737,0.997515934670943,0.999962895797412,0.999990600683613,0.987502910975047,0.999663549861304,0.999999541917935,0.75743765237833,0.999998030907622,0.999999715936806,0.999617165509973,0.999971722257462,0.999857767974278,0.964064972200046,0.999781642932109,0.999998790045484,0.790367339082724,0.9999998480724,0.99999999995629,0.976253884236801,0.999740871357253,0.999999123176484,0.761438903951965,0.999999521873574,0.999999999999615,0.968449345933782,1,0.998199265435,0.999999999996519,0.920349246272149,0.999821842160481,0.999995614112676,0.98449310482261,0.999980984956886,0.999987866717901,0.999937320998388,0.999993561610365,0.959487606916479,1,0.999998994554418,0.999004110029033,0.999999960970816,0.999999825935848,0.99985984363989,0.968141753326692,0.999999752191775,0.638849792582897,0.960592617767997,0.983896723897022,0.804087884032548,0.975817051618716,0.97847176823047,0.999879004820698,0.96051419116186
"ZNF37A",0.998842773538487,0.999962678138573,0.999960078443863,0.997462916569928,0.999999996607484,0.996577944863693,0.999979193562908,0.99991510876539,0.999999999977067,0.982757252050528,0.943747580688434,0.999999993627853,0.309463788538093,0.968530824750002,0.103332952335088,0.999497280571546,0.999998590480052,0.999949493451576,0.999977374599185,0.998639133907238,0.429384514604518,0.997547294985443,0.999999986749977,0.9893879192301,1,0.925873932652852,0.802021943758302,0.999912031143574,0.999999987741464,0.999133593778902,0.999971881653603,0.982546641189961,0.999989417393391,0.558848124790949,0.997159158627002,0.975836735782574,0.999194477104366,0.999999662948595,0.999820296284766,0.999999638586988,0.997758153518384,0.737919660078753,0.999999999581781,0.999999621013967,0.995390977454756,0.996434617553986,1,0.999250332607272,0.999999985382566,0.998164674476653,0.999997334727616,0.999974841285259,0.999999894292305,0.991988024912253,0.999995611918568
"ZNF510",0.999999999996355,0.994782094372447,0.99865569965652,0.999179733099946,0.999869709713782,0.999986249304515,0.99942639427827,0.999921786478124,0.999422335624541,0.999999999945937,0.99999999999653,1,0.176542346984816,0.638459341345746,0.43880469012738,0.999993538827518,0.999999852916254,0.76584465888008,0.992523921773692,0.984453574270466,0.966256819638077,0.999841903430145,0.999985997974962,0.98457057001994,0.999994224214069,0.999998383917493,0.637314294720028,0.999297747926564,0.985848546883973,0.994875756001816,0.99999760268409,0.99951283885062,0.997680221052536,0.534775045073978,0.910418037154914,0.987221929068854,0.99999943932756,0.9999999969751,0.695044012515092,0.975141586982683,0.9570452739765,0.99909846359357,0.99999964023344,0.99391037266522,0.856997772912701,0.998334780782875,0.999598250222637,1,0.999999958216337,0.999999372578043,0.948060955080709,0.998808653998103,0.999977881092601,0.999999925961665,0.995993999678952
"ZNF506",0.905156604305796,0.994855942948377,0.991448797361124,0.838939574367368,0.99999895460688,0.756293252394721,0.382197232349274,0.999999991890975,0.00125085298769056,0.712233180819305,0.477678933618039,0.999999999994746,0.0132782156819375,0.930786912405899,0.999997914050414,0.546337471407684,1,0.0143868985568417,0.978483216202192,0.997342150248674,0.999998453221866,0.34403925910187,0.999999945524941,0.000296347403292985,0.560899179067527,0.999999999011422,0.999922206523621,0.981356845965904,0.648051744935022,1,0.570372180448844,0.999131215523785,0.999999709226254,0.999999999997413,0.999999999996052,0.999996518572736,0.668628636578207,0.999999999943653,0.160948649163724,0.999769067063822,0.967292773030345,0.999086787891609,0.999988406417496,0.905206123872099,0.999999318848169,0.926179484224012,0.99999960194685,0.994946218683252,1,0.994773059786966,0.999211364810214,0.99989347491751,0.989983495622405,0.999946098399781,0.99999866922553
"ZNF324",0.999716445673096,0.999937330739129,0.999999360359433,1,0.993558441881582,0.766136358279539,0.999986071408542,0.999993462378683,0.999999898925725,0.825463511979778,0.999998016784826,0.999966947506544,0.999964682916446,0.954294319872447,0.999999879709544,0.999974085964013,0.999996615975566,0.999999997630298,0.734470046335182,0.999999999983628,0.999996464760272,0.999395897152842,0.999999996917508,0.999980096317409,0.267673609412298,0.994745687674546,0.972178350206564,0.997309625785342,0.999625648418124,0.999999999776809,0.999999607956381,0.895529031895387,0.999971550658197,0.999710470182832,0.999989687028281,1,0.999954371875014,0.99999881646646,1,0.770088134771231,0.999999988984661,0.999984748309865,0.999999999954193,0.999891396633055,0.99999866732108,0.999961510403675,0.999999962824971,1,0.991494605534463,0.999999993788017,0.999999418034427,0.999999999420218,0.999999999760185,0.999999999546621,0.999999999993805
