"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF195",0.969156874500435,0.82407065182115,0.26322957429757,0.658745823518991,0.0119280169453485,0.571956111632568
"ZNF263",0.96092262198441,0.929113498749251,0.953802677490751,0.958533588450524,0.999965621221199,0.963942406865358
"ZNF200",0.612385767864648,0.314838405136993,0.123527627556525,0.385053776235008,0.367541940385383,0.940038637044676
"ZNF582",0.660466682950783,0.339611075460235,0.0919361382267069,0.354749340949332,0.126136417663554,0.999360602247384
"ZNF285",0.706670333645158,0.348777348762792,0.0483064783227499,0.673527722526624,0.995281397835117,0.085703885064192
"ZNF275",0.68836752145495,0.581191470797361,0.875084860678135,0.681421355747732,0.99995848813814,0.89402389495217
"ZNF37A",0.934983467637385,0.819693704077778,0.596070238254605,0.800788768381606,0.499802406470073,0.998424478283557
"ZNF510",0.999999854084176,0.997651141378886,0.85327229082033,0.999999944102861,0.999935444045914,0.823826621828443
"ZNF506",0.548479798039378,0.238904605954567,0.0667131867527669,0.222901717571919,0.0455369938366476,0.99821089447732
"ZNF324",0.995696751535065,0.999634092955949,0.454855013153627,0.999999530386033,0.711196854582456,0.978117614501372
"ZNF671",0.990638305002812,0.989564364354815,0.999956422708154,0.992528656637961,0.99966162469813,0.998817874359104
"ZNF416",0.822337914993036,0.500685612265845,0.0848454289970636,0.797021138321053,0.996546105311507,0.135402048594199
"ZNF586",0.98113912399564,0.87744566809472,0.361795493997543,0.860568813183897,0.280020817969564,0.998150044277235
"ZNF446",0.767683143704962,0.977298753572632,0.061212980448562,0.954465720759594,0.196295114622576,0.957817656562101
"ZNF8",0.957105749825107,0.969354887864282,0.994181532037006,0.947304972829726,0.998220839887451,0.97343280175525
"ZNF264",0.919931185570079,0.731137191064695,0.298213907744016,0.901293753874171,0.995824533031796,0.420809094052145
"ZNF213",0.999379990948061,0.928733046557716,0.130300831886148,0.999999899990905,0.958670803611432,0.0364396246494008
"ZNF343",0.988900640740425,0.999997032955484,0.547980240977931,0.995570330926657,0.981831507070695,0.77818187829958
"ZNF302",0.991954015320514,0.996815992265999,0.986233941086718,0.999986358233647,0.684594688578114,0.863788896957479
