"gene","p-adj-WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR","count-TUMOR FREE","count-WITH TUMOR"
"ZNF195",0.0199577000246324,458.784704188482,393.618337226277,19.3428621357801,18.8436779515818,278.10655,251.938,569.2297,503.7536,191,137
"ZNF263",0.643207276545527,609.741385863874,618.607261313869,12.2514707613406,14.7660408259679,478.634,507.6748,723.9938,704.7844,191,137
"ZNF200",0.02541797691487,226.482868586387,246.624617518248,5.44646666006788,7.38569331018078,182.6051,182.4678,265.71705,293.3467,191,137
"ZNF582",0.940607553750233,30.7291178010471,30.5251810218978,1.65812507913792,2.25537864825716,11.30145,11.658,47.84125,40.971,191,137
"ZNF285",0.579543258869528,76.7557696335079,72.2802919708029,4.73056669114182,6.87818182207583,30.1371,28.9474,101.8745,87.6289,191,137
"ZNF275",0.707624013568601,450.220290575916,459.678634306569,14.9857793093583,21.1847577826963,299.5488,293.6986,543.1659,530.9301,191,137
"ZNF37A",0.955444093563134,364.731506282723,363.709287591241,11.9605823214311,13.7073994473662,255.3205,244.4408,433.668,438.7411,191,137
"ZNF510",0.911723577930062,175.55220104712,176.554221167883,6.29936873323172,6.04643876915997,119.77065,127.8317,207.1251,200.6803,191,137
"ZNF506",0.057891019764167,461.591979057592,407.280360583942,19.1180788604793,20.6104649451676,282.00685,234.149,620.63905,542.268,191,137
"ZNF324",0.758612772526704,197.548592146597,200.525016788321,6.59644600641648,6.78052398569076,140.3082,150.4605,234.9373,233.3333,191,137
"ZNF671",0.122385974406101,59.4469361256545,70.7484671532847,4.47531227109176,5.94199979986848,18.63795,19.4774,75.88875,95.9698,191,137
"ZNF416",0.020140466902036,116.777348691099,131.241594160584,3.39721843889471,5.57448118808674,85.6717,88.6448,142.74595,152.8103,191,137
"ZNF586",0.0647014984545725,202.374687434555,184.809106569343,6.06921373567012,7.32178977654592,139.0708,127.5482,246.3109,231.5783,191,137
"ZNF446",0.000447586401462585,394.83882460733,312.490666423358,17.5053420950723,12.4784594771666,239.83625,207.6942,453.68505,387.4393,191,137
"ZNF8",0.20871452581146,109.928557068063,118.41959270073,3.32872952169697,6.46902076684515,77.4159,76.0321,135.67265,139.7809,191,137
"ZNF264",0.468273380622348,646.820990052356,669.204241605839,18.5841552963274,25.5659094487469,480.1102,465.9321,789.3575,809.8621,191,137
"ZNF213",0.428593856076363,532.619964397906,514.185435766423,15.3858806717287,17.147238146425,384.4809,372.8518,624.89835,626.4326,191,137
"ZNF343",0.425734975946769,288.104382198953,297.571258394161,7.05647859106996,9.98516606043021,221.95475,221.1382,336.01685,355.6284,191,137
"ZNF302",0.147216558759393,452.246294764398,399.835490510949,25.9852027397691,22.3886663489197,257.3447,221.5234,541.9366,475.4005,191,137
"ZNF268",0.186154527452631,276.339991099476,298.235540145985,10.2068699589586,13.3548289958043,185.6423,185.7949,342.346,381.8425,191,137
"ZNF184",0.414004588625247,242.405838743455,229.568937956204,9.84677057552981,12.4491665843407,166.0926,152.3936,284.8383,267.8725,191,137
"ZNF500",0.981841471304307,204.062953926702,203.888413868613,4.99820875732373,5.77083228529382,151.2445,158.8785,243.87535,247.191,191,137
"ZNF419",0.782619041192424,189.734564921466,186.883337226277,6.48452334305,8.18039548884213,134.21935,119.1724,220.06915,217.3362,191,137
"ZNF175",0.0737761145791686,220.388111518325,168.341928467153,22.1008893709579,14.9583675796539,84.72055,72.5683,207.1116,200.6399,191,137
"ZNF14",0.595225897273168,176.097348167539,170.825535766423,6.25406212879503,7.80949416152513,117.06995,100.4278,223.63755,212.7159,191,137
"ZNF85",0.989223474502504,140.484431413613,140.64092189781,7.72386274927034,8.4196048274602,74.5318,71.1144,179.7609,184.2221,191,137
"ZKSCAN1",0.656696286507393,545.593298429319,562.298672992701,23.5794082871194,29.7523375935225,323.52795,306.9298,670.843,704.6096,191,137
"ZNF862",0.068975810002855,474.84604973822,402.078597810219,27.2165561729237,27.8810493046349,250.2502,209.752,579.4806,472.4481,191,137
"ZNF684",0.953009622852553,52.5250251308901,52.7716781021898,2.34979449796388,3.69636705683012,33.3899,29.703,61.04375,60.9995,191,137
"ZNF430",0.305017910922068,113.130587434555,121.368052554745,4.80093130582336,6.69684535500833,65.79975,64.2697,150.1596,162.2718,191,137
"ZFP30",0.196489140487385,177.442556544503,195.08484379562,7.84302747826742,11.8130292824807,113.24235,103.0769,223.89435,240.6901,191,137
"ZNF549",0.652504950798906,157.570294764398,162.313375912409,6.15244501876249,8.99245181791597,102.5974,98.1932,203.114,197.6549,191,137
"ZNF211",0.10535900803306,409.243186387435,355.664097080292,22.8761802333519,22.3653916118447,208.18075,176.6262,520.26545,459.4249,191,137
"ZNF205",0.0161622380503047,413.509508900524,354.607016788321,17.8652409997443,14.3802727555253,271.7322,241.507,467.4005,414.4218,191,137
"ZNF45",0.186794841345885,232.262853403141,249.078128467153,6.5595766325636,11.9044486808248,161.65815,163.9258,281.57085,283.476,191,137
