"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.480408396809156,383.182534406439,350.81792,4.58463156103152,34.3591174879061,295.757775,302.401725,450.20505,362.18675,410.605851785714,379.667754162855,406.7781,357.656,322.535575,475.4012,292.1387,444.9982,11.7031700196336,4.39964211855023,0.924652565256168,0.879241040754161,-0.113016714707215,-0.185669365662764,"BRCA"
"ZNF263",0.597703786327745,951.683974547284,1006.00018,10.277278451703,92.9492958516916,721.851075,856.972475,1112.696425,1196.025675,768.411111607143,956.124069075938,768.44015,892.6666,634.423525,882.3541,721.905,1114.6674,17.7275907816392,10.0404763134825,1.24428714607756,1.16166054051184,0.315319456865807,0.216188547168963,"BRCA"
"ZNF200",0.218418320025125,267.610448993964,235.02694,2.64948418810836,13.1650211771126,212.9242,199.236775,308.557775,244.072025,196.711365178571,263.566365324794,197.12665,248.7562,173.956825,219.444775,209.4515,302.7073,3.10937872793558,2.50700427859361,1.33986343435486,1.26191055344369,0.422085961414822,0.335609653049027,"BRCA"
"ZNF582",0.287955724722247,53.6626031187123,42.7272,1.02800384046552,8.42223845033031,28.5686,26.966325,74.6917,65.555975,72.58380625,53.0843853613907,72.7232,52.1016,61.1693,83.291025,28.0356,73.6946,1.60834796216562,0.967015180557569,0.731353012523929,0.716437120478747,-0.45136015453059,-0.481088005828137,"BRCA"
"ZNF285",0.919646043114519,91.6225775653923,93.65724,2.0089094811422,23.5830333050889,47.6099,31.875825,122.793175,140.710225,93.0487232142857,90.8784251601098,86.26335,80.3622,69.16545,120.955075,46.7892,122.1405,3.24120522715397,1.9013096412446,0.976675681522487,0.931591458017802,-0.0340485197312121,-0.10223068368965,"BRCA"
"ZNF275",0.00137314821550438,600.647885814889,855.75277,7.90981097425514,101.616332958342,424.81495,595.9516,741.903425,1003.542625,656.349058928571,594.889995608417,626.10495,562.2525,538.075925,715.718275,418.0438,736.6342,17.687530342946,7.61744771262097,0.906362228323325,0.898016378883445,-0.141840355249321,-0.155186336426031,"BRCA"
"ZNF37A",0.511792394274784,707.800631086519,775.28271,10.2728618524538,89.5054214767618,490.952075,586.82295,855.4079,929.04095,669.435889285714,688.512387465691,651.14225,644.152,533.3617,810.137,479.9065,836.4108,18.1172955951775,9.78557014424001,1.02849637804799,0.989264634571017,0.0405367132781044,-0.0155715921906612,"BRCA"
"ZNF510",0.0842807754180734,333.075197183099,264.24807,3.97896650288603,34.880167368664,240.849675,181.35005,410.429675,307.24415,460.352,324.312833943275,458.89855,312.7749,399.7589,556.730025,232.7698,402.5728,10.8274790385685,3.80143673931698,0.704488812785163,0.681577442334477,-0.505351298029547,-0.553050506346378,"BRCA"
"ZNF506",0.375407683365532,431.302073843058,381.78609,5.58580422123309,38.4047725660712,320.251875,359.177275,536.640825,443.882275,572.61475625,428.098543549863,564.2745,421.0178,475.6036,669.069175,316.3197,531.5059,12.8729441992737,5.33823686804286,0.747620523008243,0.746122321671456,-0.419621921690031,-0.422515924993645,"BRCA"
"ZNF324",0.383035412005626,214.903909959759,184.60775,3.47892823057637,10.1736798745942,163.5794,166.2583,248.938325,202.0642,206.368623214286,215.240875937786,216.455,203.8143,160.300025,247.14605,165.6302,248.4195,5.67106916322471,3.21199716249441,1.04299225621275,0.941601256612229,0.0607284464818947,-0.0868118491637014,"BRCA"
