"gene","HER2-enriched-Basal-like","Luminal A-Basal-like","Luminal A-HER2-enriched","Luminal B-Basal-like","Luminal B-HER2-enriched","Luminal B-Luminal A","Normal-like-Basal-like","Normal-like-HER2-enriched","Normal-like-Luminal A","Normal-like-Luminal B","mean-Basal-like","mean-HER2-enriched","mean-Luminal A","mean-Luminal B","mean-Normal-like","SEM-Basal-like","SEM-HER2-enriched","SEM-Luminal A","SEM-Luminal B","SEM-Normal-like","Q1-Basal-like","Q1-HER2-enriched","Q1-Luminal A","Q1-Luminal B","Q1-Normal-like","Q3-Basal-like","Q3-HER2-enriched","Q3-Luminal A","Q3-Luminal B","Q3-Normal-like"
"ZNF195",0.0803470990051164,0.00592695107346242,0.999993236251506,0.0103931356822322,0.999988072167015,0.999464991801134,0.543382164171879,0.996039560347993,0.993642159480464,0.996948927616267,439.801263265306,377.794417241379,379.382546351931,375.822320155039,357.4064375,25.0996063043838,14.2757520720074,7.00457530679788,10.3184299991846,42.8852754488686,283.661925,299.53325,313.8643,287.3458,276.065325,530.33345,419.795875,425.7277,445.0132,390.133425
"ZNF263",0.0898557958698151,2.47652676144128e-10,1.43764122022549e-05,2.48321141427255e-10,0.00103274965035671,0.89671141211565,0.89397031689309,0.999498919865792,0.174820626993884,0.309429351045125,706.575098979592,831.370967241379,1045.96893090129,1016.3189124031,806.7150875,19.9698494337683,32.1646742728235,22.9113259528819,25.6138339851786,93.7722823293072,570.57115,656.8457,790.4003,847.8739,709.70585,819.6669,979.040975,1248.9345,1191.2148,806.9696
"ZNF200",0.243510629193986,0.999669695134967,0.0976903446451223,0.986457887710876,0.424127489356481,0.919075490231282,0.648806433406576,0.168837019354295,0.670859512515398,0.519130368446096,269.423445918367,297.394701724138,267.479460085837,275.040529457364,228.0220375,7.61127915806308,13.7680837130536,5.17022307849968,7.17864531866712,32.3897617278479,220.322175,237.388775,217.1227,219.3878,164.3251,318.65165,345.621175,303.319,315.1186,279.43515
"ZNF582",0.157144347466777,2.47815767906445e-10,0.000927471427347171,0.0227264781797916,0.99978098668825,7.96515183831836e-06,0.971637854005085,0.995089532508955,0.261865356453008,0.989102278722356,35.0830959183673,47.1736362068966,65.714508583691,48.0732333333333,42.43725,2.69261624292001,3.69962779172283,2.22692022127013,3.0714165835936,5.40751176601983,14.411275,26.41295,40.3738,20.5356,28.795875,46.616025,66.441325,84.4889,71.0853,52.803425
"ZNF285",0.0132901539975548,0.0527904563239023,0.650086470807087,0.0019422364889915,0.999806794538552,0.511530003019104,0.513523929711765,0.99991882133,0.956056686611582,0.999507360430921,117.804590816327,83.6189913793103,96.6039175965665,85.3740682170543,80.2521375,8.20628007083609,7.10803098695597,3.99147340770319,5.44138476921977,23.3734214752564,66.973075,41.53745,53.8155,33.8334,38.4211,148.7089,128.0003,127.0366,122.1134,93.186325
"ZNF275",0.40196441382235,0.878100548289433,0.749889459461248,0.399996342500899,0.996829975761885,0.803386159879959,0.663450347175546,0.983065380232322,0.828049502074996,0.954054540627633,646.949697959184,577.400703448276,619.643816738197,590.589591472868,528.613025,27.9598373555504,37.8932785235789,13.3152528344784,22.0613554393559,30.9069643496977,466.226575,390.5276,482.5737,399.752,488.21295,822.70485,692.915325,726.9913,746.9059,534.577575
"ZNF37A",0.0169870263524544,0.688579236695161,5.75986587858512e-05,0.435779569938827,3.34980468140733e-05,0.967944389005578,0.792471311214106,0.998892276057895,0.50524932158066,0.397342678989998,710.823554081633,553.651363793103,758.783345922747,780.322690697674,584.330875,27.7078793510003,33.4610919810077,21.1186008741687,28.4586563228551,42.7782641504703,482.495875,380.2114,567.7905,552.2783,501.42335,885.845375,660.711325,876.494,884.6154,677.8599
"ZNF510",0.398841466192973,3.95766051042301e-08,0.029202785138681,0.0179060555307681,0.937546265394402,0.0423819500678082,0.999962967165748,0.964260338219637,0.324167016601272,0.845096252397891,289.739585714286,322.946920689655,371.905915879828,336.921419379845,294.4799125,12.0310336581165,14.2862778520879,7.59602206831035,9.61922466841923,34.7904058155326,209.0585,231.03635,296.4166,262.8399,227.582925,347.800525,379.534025,433.1748,408.9741,366.9209
"ZNF506",0.150793947882532,8.73765521383074e-05,0.807198643661912,0.00106804574455466,0.896465450636797,0.999807481520613,0.825234769859564,0.99999975502556,0.993798872334671,0.9964968237917,355.772114285714,420.328844827586,447.804079828326,444.603110852713,422.399625,20.6487357431274,22.9708094133372,9.66888244444148,16.0217634409392,26.834663109272,230.949575,303.3159,354.7346,308.9079,381.08085,478.429025,534.728425,542.7173,541.09,465.9367
"ZNF324",0.522759783695947,0.0133866609301081,0.915466786705415,0.636738475691282,0.990661416069072,0.375659445987,0.999172255930105,0.886323881501447,0.679841941231519,0.941953221109531,197.066267346939,223.124417241379,235.652806866953,215.776533333333,187.90445,8.42762650024904,18.293185997983,7.11829560253133,6.76948530739731,11.8836962485674,145.165575,161.751425,186.9619,168.4711,165.82265,228.16715,247.4658,255.4527,246.8312,210.83085
