"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZNF195",0.973835063431118,0.980188970247413,0.86021450900806,301.5989,315.148345098039,286.108,60.6041726646359,12.2020595407023,20.5794926410735,230.028725,230.7487,282.0953,399.634375,370.48955,308.2521,4,102,5
"ZNF263",0.720514829249971,0.423997278900166,0.592672803519999,1139.0441,1006.99500098039,856.89706,178.636545337738,33.1855100683724,143.360712709796,917.573975,802.916625,560.1059,1255.973075,1139.87435,984.4273,4,102,5
"ZNF200",0.317227137338979,0.403892021091389,0.960264422605145,180.105375,236.243220588235,245.65518,17.9889377118909,7.51511471898943,41.2373521717799,165.806475,189.427725,202.5265,188.01855,266.98655,216.5922,4,102,5
"ZNF582",0.897126489168702,0.72656619617705,0.807869613484917,55.5574,48.9204,40.55332,4.77543768412907,2.94007813928473,13.3032819939818,48.70065,25.33245,19.8379,63.4339,70.987075,58.5068,4,102,5
"ZNF285",0.99883590619444,0.648432499194221,0.426181575213889,78.03855,79.1917176470588,107.39,17.0886673651722,4.84386947375022,28.6639472744596,75.046825,47.764025,68.5579,94.466575,104.62195,139.7177,4,102,5
"ZNF275",0.435080511585879,0.999230323077547,0.32948062341882,322.60845,493.674768627451,315.79758,68.0496234539484,27.6180147919874,53.926565231001,293.812775,312.6736,259.5762,381.342675,610.74725,326.3785,4,102,5
"ZNF37A",0.639791307643995,0.988600481091565,0.70794783401002,503.82965,421.322875490196,486.48146,123.911417432216,16.8073808949702,137.559057911333,369.656175,299.29405,343.9896,682.925125,524.4469,510.1774,4,102,5
"ZNF510",0.956438226529269,0.951597672350792,0.991681828207447,194.168125,206.070397058824,210.70124,33.0199385358648,7.88340825358645,61.3209725045567,153.59915,148.19915,125.1863,237.717975,259.9654,285.548,4,102,5
"ZNF506",0.797200130499829,0.7599693511146,0.944927419984031,420.915675,378.110482352941,358.90138,32.5710705568959,13.0358504089339,64.7679248590643,414.182525,282.773475,228.5147,454.16505,455.921,473.6726,4,102,5
"ZNF324",0.75419872189751,0.861857171822682,0.999276595345304,193.661525,216.620146078431,215.57712,20.7538768237959,6.26551293534221,29.2029664940465,174.270775,174.0409,161.7767,211.43055,258.718925,250.1917,4,102,5
"ZNF671",0.245634251231551,0.266566351753307,0.873604017591475,230.4552,148.597912745098,125.96418,49.1727211079307,9.8569682799315,46.9429174003321,209.141675,64.6174,60.7172,288.034075,219.961175,227.0423,4,102,5
"ZNF416",0.279129053686087,0.35130203306055,0.943785196758164,144.019675,117.381788235294,112.32504,7.58720122436188,3.39378683409281,17.3060409045397,134.08365,95.6792,95.3545,155.935625,140.22135,116.7225,4,102,5
"ZNF586",0.365379303037344,0.379468254833595,0.898813395098869,299.7348,229.87716372549,209.56248,79.5073788114558,9.54848707400486,63.7269904905402,213.01075,165.5951,122.2057,352.1404,272.778175,249.6958,4,102,5
"ZNF446",0.189720689816963,0.0338592627837304,0.189522334875503,678.217225,478.469149019608,298.9106,159.678772866331,21.9296775210054,78.5318933922518,474.76185,312.4044,193.9692,751.362775,579.4133,487.4138,4,102,5
"ZNF8",0.266306583876155,0.464002868495006,0.99999832275154,125.98295,97.0662941176471,97.0953,22.3937529455017,3.49480364314431,22.9342407706468,102.211625,72.0551,53.3442,132.541775,112.515475,110.6853,4,102,5
"ZNF264",0.77887917810902,0.670613685728276,0.87164368762571,695.572975,611.132685294118,554.91364,171.67495528424,23.7076412118014,136.712995989469,483.29085,413.725225,257.893,884.990025,777.3959,672.6823,4,102,5
"ZNF213",0.569298353269364,0.401323022795379,0.724061768399536,966.862825,797.935334313726,683.19098,218.763342985749,32.2092547928026,114.461118356857,641.046425,584.67565,608.802,1218.077,962.730975,747.0962,4,102,5
"ZNF343",0.973936646165915,0.956201388570625,0.983460087046747,295.607525,287.49763627451,281.70642,26.6535556807272,6.95179368190576,56.6498958066244,266.718125,238.540925,206.6567,332.31605,329.4982,392.0827,4,102,5
"ZNF302",0.496962247977177,0.34698962548235,0.713424882472313,772.102625,625.590871568627,534.31242,81.9342997669716,24.9999712521123,150.37337452446,651.309775,438.7559,201.9501,896.4214,780.71375,751.4655,4,102,5
"ZNF268",0.25330998876614,0.980173973796794,0.298378018755398,320.765075,224.869425490196,305.65792,57.39312445535,11.3846491913967,81.5052712233043,239.169275,138.757925,223.3089,367.54325,287.815275,365.0124,4,102,5
"ZNF184",0.984885681078317,0.837285935124241,0.567697558375905,224.587325,231.752150980392,192.35322,37.9171658955935,8.44392219154558,32.0779479217795,193.156375,179.0233,137.6056,256.32015,279.017025,233.0888,4,102,5
"ZNF500",0.775864531510083,0.996154259400292,0.801851240969786,324.321425,381.464129411765,333.57294,104.763908510687,16.2183865070815,69.8434941003427,208.9492,276.177825,196.3954,390.493175,460.921525,392.0827,4,102,5
"ZNF419",0.0199831112261433,0.0587979836221271,0.937695978261958,286.4047,197.052938235294,187.00796,21.3940613659882,6.41997459158272,27.0881222936105,259.98095,162.159775,175.6316,301.0753,236.5944,194.0149,4,102,5
"ZNF175",0.985387607594399,0.761738579274348,0.673477761005787,119.3916,114.657931372549,92.5589,30.7161563273304,5.55196297724794,31.5708787205393,88.7921,75.09235,48.4045,161.20335,146.079325,163.8266,4,102,5
"ZNF14",0.154101724069567,0.324822706638779,0.999420737005785,278.1942,201.339737254902,200.13874,31.4301574286014,7.97549534708901,44.345775802906,258.6512,141.601175,108.7928,306.529,257.538875,253.8204,4,102,5
"ZNF85",0.691550373451111,0.429613700278344,0.634774266728296,160.6866,138.792730392157,116.94012,25.3844858580656,5.19301124144196,23.3198292171148,139.800325,108.89715,85.9414,171.094525,164.317,134.0668,4,102,5
"ZKSCAN1",0.984678467560901,0.926000199253259,0.930760660821062,968.70725,903.031215686275,775.75514,401.296162907377,76.7992056605055,256.658113443446,646.99115,308.2414,218.0825,1148.32035,1173.8458,1072.1271,4,102,5
