"gene","M0-cM0 (i+)","M1-cM0 (i+)","M1-M0","MX-cM0 (i+)","MX-M0","MX-M1"
"ZNF195",0.99704326979949,0.99999749221961,0.929935762513135,0.99426727905935,0.00403445215781217,0.92916193708471
"ZNF263",0.922511778686942,0.899810160538842,0.991390223774076,0.949043152387447,0.922001492764601,0.959350596095906
"ZNF200",0.999999938862346,0.918272074492906,0.241135092460478,0.977993048958386,0.0131224881404426,0.889085006905113
"ZNF582",0.946362916660884,0.997506224221623,0.781564816722517,0.97635246374461,0.74780618108866,0.947182518807901
"ZNF285",0.86396367646915,0.977218643366877,0.782617905568157,0.956103884609481,0.209839220319267,0.996455485641517
"ZNF275",0.926423141052947,0.991731567505532,0.831086324811687,0.711558577179449,0.00458078268313178,0.19479659214034
"ZNF37A",0.83583167625483,0.914425508580159,0.979467695263239,0.625359436611673,0.0308970094734348,0.539431259849738
"ZNF510",0.729595084099889,0.456963063574835,0.477918492648281,0.389066195265354,0.000221996940432345,0.999802533939598
"ZNF506",0.913825975109685,0.999544055742748,0.458010976811327,0.969122692065044,0.453859449206592,0.814253071733934
"ZNF324",0.964629485151906,0.948413068804392,0.992414698818144,0.973961616461675,0.986881744841885,0.980769230929519
"ZNF671",0.993920472792815,0.946527827372112,0.811944191923601,0.995010117700208,0.99950149208792,0.813215933614434
"ZNF416",0.99731478748903,0.999295040241879,0.806685078800066,0.997610452260426,0.0224565492247987,0.998864416255823
"ZNF586",0.99615531274885,0.820780121291746,0.224512690808433,0.991168093882649,0.946904716405276,0.363250745968154
"ZNF446",0.994796650996697,0.999278688783863,0.990415340281941,0.859957978324955,0.000319433465176489,0.320471721858859
"ZNF8",0.940657009507024,0.993908069602128,0.852616651434871,0.99716672833343,0.0321308916235639,0.997495329282969
"ZNF264",0.999917021926092,0.997694321021293,0.982350929094313,0.947885172128203,0.00185841887159421,0.800836289926971
"ZNF213",0.948403306841491,0.983097177505024,0.975868050666149,0.909300671559621,0.775426470465999,0.885069582774408
"ZNF343",0.999196187047925,0.994272190687688,0.981736056230719,0.999999038208047,0.706267285707758,0.88297363207301
"ZNF302",0.999008088178877,0.919187155029173,0.458419432203469,0.978091891078398,0.20794643111968,0.891386419916625
"ZNF268",0.988176994192874,0.904239361452956,0.697795218031789,0.809616045964006,0.000147701614937712,0.970212711021323
"ZNF184",0.968339831585797,0.999999900027164,0.588669040699196,0.999999999364636,0.0043583746845588,0.999996606465527
"ZNF500",0.990875820357536,0.975472761103481,0.978434184768484,0.985670208926435,1.19565826685042e-05,0.168828811946305
"ZNF419",0.940193274077151,0.99987205181937,0.529945896436819,0.974495784892112,0.699273041715803,0.800145197257745
"ZNF175",0.999628936218374,0.917377482485429,0.385567388078529,0.981485855138069,0.16291781344298,0.859808755524818
"ZNF14",0.993292440954372,0.99590655877758,0.999860498813053,0.999973257117338,0.100343316950628,0.883612121014675
"ZNF85",0.999996804692915,0.989015318965578,0.826062510077233,0.977365827525245,0.0217058032861195,0.997676198694422
"ZKSCAN1",0.728170858534351,0.663294629068325,0.962363430857676,0.881781519374265,0.132486108632563,0.612683828578492
"ZNF862",0.835243075659729,0.81457749076424,0.993601222268538,0.633524819582155,0.0413203659186369,0.906483467590073
"ZNF684",0.914824751026745,0.761595724611053,0.716040868086684,0.827680555474077,0.409372094340059,0.966676972400165
"ZNF430",0.966207608682853,0.959014623995545,0.998068304087805,0.700509340343816,2.77888006914306e-05,0.47164848974425
"ZFP30",0.987684691814072,0.994415412728344,0.99831624890434,0.999514841235452,0.00633527183857929,0.760002838766308
"ZNF549",0.999860062995856,0.975777017244897,0.747560580327656,0.988858775370819,0.260446059591718,0.989105505147028
"ZNF211",0.999826130541533,0.98871630364148,0.666652431706076,0.998772730836319,0.321193306446556,0.962149199448623
"ZNF205",0.990907815025007,0.990091855466784,0.999838659569125,0.717287916836169,1.20106206757953e-07,0.225040140780008
"ZNF45",0.995864979530833,0.995463606851945,0.999922457090784,0.974476266938175,0.454389149593009,0.96793171904132
"ZNF133",0.875026664203626,0.965131287061244,0.903314014162901,0.737568707430591,0.180372075283939,0.524869275382966
"ZNF436",0.825485320811529,0.761261447286102,0.96056689096173,0.642161659748235,0.0781891189128794,0.98277247507038
"ZNF484",0.246759262833085,0.206003761980961,0.932497943688048,0.0980449839305331,0.00388198518291072,0.925405609736577
"ZNF780B",0.824781314001445,0.635376252361411,0.69634420134769,0.728957384643886,0.539925340061793,0.941026240998987
"ZNF557",0.991775119860289,0.987477195647574,0.305145954328469,0.999828857439698,0.414106908614555,0.679750493569502
"ZNF337",0.97942617436189,0.998822867549769,0.919878802243001,0.957698344041691,0.824821353209982,0.799939302570495
"ZNF317",0.993961295836137,0.991232556498655,0.408411346749141,0.999884166730908,0.0737743410962797,0.922855115876417
"ZNF426",0.999754443206641,0.9951522043337,0.968980230560987,0.980196057040623,0.114513919650541,0.985180030857741
"ZNF331",0.975350040461412,0.99910996690259,0.420399901060461,0.967114781522174,0.985054984831291,0.390185550718155
"ZNF227",0.986155248040629,0.999999962277124,0.795293999192609,0.999956890735787,0.13308112133655,0.999446417519303
"ZNF141",0.979074696570682,0.860966070413011,0.62897178676768,0.883415917574326,0.0541424172424529,0.994513205359641
"ZNF304",0.997307824595192,0.997811321692577,0.711280418669887,0.994792325526665,0.005839710000344,0.999111664610853
"ZNF132",0.960956635190191,0.780898872045679,0.503953553898772,0.852762982704482,0.0882132130959623,0.957782312347674
"ZNF20",0.999377002799502,0.91860997044044,0.129365044459956,0.999470540278447,0.999974495351101,0.165840422956118
"ZNF670",0.885756143423297,0.991155845410419,0.671085946495004,0.975880447236857,0.099755337332413,0.992890715902296
"ZFP37",0.994331473131408,0.993865191845419,0.47609304713441,0.999709513964549,0.642588351767975,0.773025268362601
"ZNF189",0.928066286129217,0.758027513375862,0.63850368552847,0.805931934341759,0.136755663078288,0.982484948537571
"ZNF434",0.916901844305142,0.70401648439158,0.528039982372193,0.754929275273832,0.0470225152989425,0.981024666376518
"ZNF287",0.684992112949205,0.62227904057248,0.963644321903318,0.6575827746158,0.980792127913169,0.988397984157128
"ZIM3",0.999540975177277,0.999943751467496,0.999030714111135,0.999997073511379,0.91420507191746,0.999682765452474
"ZFP14",0.977549538403859,0.953118242897722,0.975743594938675,0.841566058389898,0.00866762695308088,0.892315541816801
"ZNF473",0.915598244308639,0.930939010418522,0.999996214913895,0.999993357629705,3.95407905928735e-06,0.307670239214545
"ZNF614",0.952804129395779,0.997991378355747,0.796947495890724,0.999959769107682,0.00243437955361503,0.983361346595412
"POGK",0.985937604471927,0.995265017650316,0.994574681743629,0.999084689877818,0.0021322231600357,0.742290285576299
"ZNF514",0.940153853554585,0.908138614708895,0.981122993595869,0.937312094555983,0.999628277433637,0.987818886519977
"ZNF300",0.996153514815309,0.958644952199256,0.831553559936114,0.966602666736159,0.26216333670919,0.998289603019018
"RBAK",0.982297531270173,0.975851012515244,0.997689493452291,0.842853784989942,0.00416076605345372,0.745661003717887
"ZNF92",0.993806160045101,0.969358386370796,0.93308582760247,0.956042292677999,0.231989772442834,0.999701693436327
"ZNF157",0.995552537817991,0.901788015648962,0.528090079451119,0.988037270675518,0.895144508350893,0.723280313599567
"ZNF182",0.988396255540736,0.999771938631149,0.922987253183966,0.994668807123429,0.94863207754931,0.976921073234619
"ZNF673",0.994208526733036,0.837989518417719,0.313590642084134,0.998963966453198,0.0173280827918753,0.0383893069641962
"ZNF41",0.97346025601419,0.99470099944301,0.969117690659377,0.9899995498729,3.62823400990031e-07,0.449766298375137
"ZNF7",0.993374707464623,0.993554016123367,0.999979090427779,0.99867465886692,0.846289750146968,0.988328453222327
"ZNF214",0.533491674327441,0.417696863246071,0.866715570742095,0.400689619436653,0.33656724828454,0.998812344878911
"ZNF215",0.355539162044098,0.398961527719358,0.99991529413565,0.340624927067262,0.99186463723592,0.999974890433681
"ZNF547",0.996342352939929,0.97123396817456,0.903352164979195,0.954994729551114,0.113593074341657,0.999167641989517
"ZNF773",0.998191042359773,0.98818490638953,0.496017027189368,0.999537795356118,0.159240461535463,0.928887661835323
"ZNF776",0.997153087479564,0.998138094145631,0.722020973484315,0.999399283937522,0.0841620599961541,0.998302313210409
"ZNF256",0.99981508697875,0.974109828694946,0.469649218282596,0.994671153050547,0.0709913353955421,0.95264165778133
"ZNF599",0.999969055244656,0.999964547167367,0.999999110022861,0.999448866185244,0.635314045181653,0.973575954675149
"ZNF18",0.577471562367327,0.339057028576452,0.524676387689756,0.705234156233049,0.469442275988146,0.272081699994465
"ZKSCAN2",0.964259202257002,0.989623309552057,0.978656165919838,0.806092201741798,0.00882372730505576,0.446384529124988
"ZNF689",0.99902543704375,0.999869584944337,0.936242456008426,0.999902689547171,0.946031013922756,0.983313061293338
"ZNF19",0.99941355836098,0.975837004879766,0.815133057880285,0.997848426177093,0.962324258788568,0.908807666629197
"ZNF230",0.922970504767412,0.902354666982721,0.992673375157692,0.878307298170356,0.799787780800151,0.999937879273207
"ZNF222",0.999998423588113,0.993787956320221,0.855265684064538,0.999938399916263,0.991268504115563,0.823784308893381
"ZNF221",0.995897159346916,0.988434554207966,0.98913955899326,0.920580545315031,0.0123238003715138,0.868110893453926
"ZNF233",0.927840963842699,0.876203524063803,0.958193983182094,0.955944198829541,0.891200535270194,0.884854342618783
"ZNF235",0.988039615223798,0.996961732315468,0.991149966652608,0.999999988251203,0.0802082415646488,0.944977764569352
"ZNF208",0.988953646547863,0.999963743020572,0.751281555815986,0.999077390682403,0.547716092049884,0.962158862255083
"ZNF714",0.662377142255159,0.860908268929833,0.836370645291762,0.904407438558805,0.00402748749498305,0.979991867889166
"ZNF394",0.74208188629001,0.736733674056397,0.997135521766113,0.447743158935436,0.00220259842131076,0.716842822075249
"ZNF333",0.923478432299151,0.511174971801962,0.101042719563271,0.922424836495556,0.999939882054164,0.134344238892868
"ZNF382",0.998383282106395,0.998578024897669,0.999999791427056,0.993172348757874,0.00698615536521607,0.66520375407645
"ZNF577",0.999849641453792,0.999961879242594,0.999894093472412,0.992512053297827,0.4285898017356,0.933833788638159
"ZNF75A",0.989040448892981,0.871169864306992,0.534507617510827,0.930814314308922,0.135834787580681,0.952833932392372
"ZNF496",0.974786482552743,0.985438880700091,0.99905696087146,0.958823862852229,0.928139747523591,0.985730195481971
"ZNF2",0.999023066035369,0.997877378957958,0.998927657736926,0.923261012271107,0.00164481845380793,0.66698823371872
"ZNF589",0.987231577630345,0.995182844305464,0.380455460761713,0.958160560561609,0.571429577062058,0.198762569332776
"PRDM9",0.999445173274415,0.999996312331595,0.99439226830855,0.999932750502058,0.973298033085953,0.999744106860099
"ZNF12",0.950829937882576,0.909455550165241,0.964087927601723,0.76240421542423,0.00497488596920459,0.892559641684875
"ZNF202",0.952854718125265,0.99999627188595,0.442519517719687,0.96687235865559,0.972585991309759,0.582160334552441
"ZNF3",0.476038184772195,0.448714165515453,0.98189417376657,0.410544569856445,0.817037639823259,0.999951701978682
"ZNF606",0.990878479362302,0.999263066372573,0.971568948131868,0.999808536830925,0.0265719256117565,0.943173851748995
"ZNF91",0.989839090362577,0.914000609886232,0.717772318719151,0.93463535272894,0.145706477414914,0.993854680235882
"ZNF226",0.997488219251979,0.999998889183969,0.963521685263178,0.985420768842298,0.641453919832868,0.820487825962817
"ZNF229",0.932276142333093,0.961733508959017,0.996343374348243,0.997997865324007,0.0104503979843492,0.814911564596381
"ZNF180",0.887036538342281,0.998298999673624,0.447399285653698,0.984568231340723,0.0340220566053744,0.9669222041743
"ZNF641",0.999991695019409,0.995205114889332,0.927963683050992,0.987536259887415,0.110470779488648,0.996986526308913
"ZNF610",0.956672613245172,0.992661527874015,0.935334315687116,0.999653743948764,0.0130593750584427,0.958550383196268
"ZNF528",0.977435530898431,0.987946549074409,0.998593072698904,0.991255652315017,0.84526585693406,0.999094972638284
"ZNF701",0.919973608604937,0.970214420643986,0.971474658665381,0.999946182132182,0.000102006976485325,0.694098652264017
"ZNF283",0.979399932285267,0.962410563346646,0.987179290950335,0.901552568011077,0.118724544447538,0.967838359335026
"ZNF558",0.999991835487818,0.972158648439601,0.538446628529981,0.999454561511951,0.709934707790288,0.80363887834652
"ZNF597",0.181886323543289,0.132794167152316,0.862707394873074,0.0833172799229364,0.0325126287017348,0.996659669145113
"ZNF30",0.95823548869036,0.91857178470063,0.962468001895131,0.905604650585224,0.549486880887801,0.999999999873697
"ZNF354A",0.999413511399946,0.999828887240059,0.947511990185136,0.999999145310622,0.866704137654518,0.994508322883356
"ZNF764",0.982832448421088,0.991833622962285,0.998061138114078,0.944267526633919,0.481754751996682,0.909080133423352
"ZNF747",0.953869999998555,0.987886574986073,0.965221880900334,0.967369523305431,0.974667228018624,0.990441310104838
"ZNF778",0.73967553788169,0.817996939492392,0.995395856316733,0.884465436231534,0.162557153339781,0.958680951367798
"ZNF212",0.565071026155167,0.42831506344121,0.827444081780369,0.280314848885076,0.00123908104116888,0.962567779567327
"ZNF282",0.855817051531282,0.752408800007164,0.893514594233018,0.524387948582895,0.000144165124530971,0.850344009863905
"ZNF160",0.952052574542729,0.998558243730669,0.762506147684875,0.99959026844276,0.00960057426298166,0.998365175358241
"ZNF415",0.974965216891251,0.935369487396252,0.943912194430626,0.989013077472552,0.875273789015514,0.855699170324518
"ZNF439",0.990814543897555,0.868812352981216,0.492896065507286,0.998133424770979,0.800336761876028,0.344120359680675
"ZNF440",0.986695586160344,0.990484186295414,0.278608721339059,0.998991836958913,0.469906634519422,0.627484974409506
"ZNF562",0.820248952553273,0.956051650975864,0.813513049095119,0.94472506826172,0.10074304044121,0.999977948306594
"ZNF561",0.888954152336009,0.999337660093418,0.377110791275499,0.979385021655939,0.0774315071099578,0.902048580698352
"ZNF584",0.998892022383407,0.990734209620248,0.966298428500421,0.998777898047984,0.999970143545494,0.973401269817702
"ZNF274",0.999559993339344,0.999100926710177,0.903032187678938,0.999997345732554,0.784707618532979,0.988242684047721
