"gene","p-adj-TUMOR FREE-[Unknown]","p-adj-WITH TUMOR-[Unknown]","p-adj-WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.095729371753035,0.0718971627948309,0.786220945924326,301.550635714286,383.217970709677,394.5472525,22.8174129080065,5.30676276126599,15.2329138351376,240.611375,296.57685,299.99505,340.65835,447.19735,489.75765,410.605851785714,379.667754162855,406.7781,357.656,322.535575,475.4012,292.1387,444.9982,11.7031700196336,4.39964211855023,0.924652565256168,0.879241040754161,-0.113016714707215,-0.185669365662764,"BRCA"
"ZNF263",0.9960335755887,0.898896888262219,0.64675114360146,963.690585714286,956.135636903226,921.64745625,72.1302449002359,11.9741032921434,34.0766712208669,786.800675,726.1911,717.9096,1119.30645,1119.15995,1096.582,768.411111607143,956.124069075938,768.44015,892.6666,634.423525,882.3541,721.905,1114.6674,17.7275907816392,10.0404763134825,1.24428714607756,1.16166054051184,0.315319456865807,0.216188547168963,"BRCA"
"ZNF200",0.132326366884691,0.532055094416721,0.178124420341501,224.474471428571,269.048674709677,251.1331675,11.7396051443718,3.123147797881,8.99242763615777,197.322675,212.73745,198.8662,252.84675,309.7608,285.428075,196.711365178571,263.566365324794,197.12665,248.7562,173.956825,219.444775,209.4515,302.7073,3.10937872793558,2.50700427859361,1.33986343435486,1.26191055344369,0.422085961414822,0.335609653049027,"BRCA"
"ZNF582",0.85030209462265,0.962565677430054,0.821832958884978,49.2282142857143,53.9701290322581,51.69845,6.53286692422665,1.16544706029809,3.71337148545588,32.87775,29.8675,25.2897,62.82825,74.5315,72.326875,72.58380625,53.0843853613907,72.7232,52.1016,61.1693,83.291025,28.0356,73.6946,1.60834796216562,0.967015180557569,0.731353012523929,0.716437120478747,-0.45136015453059,-0.481088005828137,"BRCA"
"ZNF285",0.60108986229846,0.351517836476189,0.455422606460197,74.4641142857143,90.7901741935484,99.633885,9.68747233286291,2.2315111801654,8.20330403727304,45.592625,47.6246,48.347225,101.5749,122.12695,134.0814,93.0487232142857,90.8784251601098,86.26335,80.3622,69.16545,120.955075,46.7892,122.1405,3.24120522715397,1.9013096412446,0.976675681522487,0.931591458017802,-0.0340485197312121,-0.10223068368965,"BRCA"
"ZNF275",0.0133118339726443,0.0523691893543902,0.736099764904493,412.2365,605.191657419355,583.01912125,39.6478955642134,9.2868433065037,23.358710543174,305.391625,426.21115,424.877575,444.9434,744.455,694.958675,656.349058928571,594.889995608417,626.10495,562.2525,538.075925,715.718275,418.0438,736.6342,17.687530342946,7.61744771262097,0.906362228323325,0.898016378883445,-0.141840355249321,-0.155186336426031,"BRCA"
"ZNF37A",0.000124162160310415,0.000100535819992698,0.687598380688828,344.476857142857,696.854024,727.60034625,38.2883942416502,11.3668882927047,38.6685558848011,232.838075,483.9982,501.49545,435.172525,845.86555,841.716025,669.435889285714,688.512387465691,651.14225,644.152,533.3617,810.137,479.9065,836.4108,18.1172955951775,9.78557014424001,1.02849637804799,0.989264634571017,0.0405367132781044,-0.0155715921906612,"BRCA"
"ZNF510",0.00108141611150758,0.00294715205698115,0.996552324663714,207.259307142857,326.522470451613,325.372185,24.8175617930181,4.51318370054879,12.1559515228735,143.9886,232.56095,255.962975,251.5346,407.72355,397.399025,460.352,324.312833943275,458.89855,312.7749,399.7589,556.730025,232.7698,402.5728,10.8274790385685,3.80143673931698,0.704488812785163,0.681577442334477,-0.505351298029547,-0.553050506346378,"BRCA"
"ZNF506",0.185176672521206,0.313458824516091,0.897068816085533,347.986535714286,431.769837806452,422.54565625,28.2575497440145,6.328409329272,21.5561754321022,266.680925,322.13615,292.03455,444.327875,536.8052,521.636675,572.61475625,428.098543549863,564.2745,421.0178,475.6036,669.069175,316.3197,531.5059,12.8729441992737,5.33823686804286,0.747620523008243,0.746122321671456,-0.419621921690031,-0.422515924993645,"BRCA"
"ZNF324",0.888831760866684,0.934804208590494,0.978371841270144,229.758228571429,215.68485316129,218.324085,17.5405830249983,4.1083380239125,11.5809464935364,172.4288,165.75555,156.361,293.328475,248.6009,261.73455,206.368623214286,215.240875937786,216.455,203.8143,160.300025,247.14605,165.6302,248.4195,5.67106916322471,3.21199716249441,1.04299225621275,0.941601256612229,0.0607284464818947,-0.0868118491637014,"BRCA"
"ZNF671",0.914610719364312,0.980541964659679,0.890666807011537,134.824785714286,148.803780516129,141.86994375,29.2141966887749,4.60361262394272,15.405791195194,62.763825,59.18695,59.525975,188.213225,208.1773,176.075525,179.323829464286,147.809875114364,167.05425,125.5957,130.359775,213.713675,60.3902,206.246,6.23252152742655,3.73477587023711,0.824262316703437,0.75182582903458,-0.278824555073341,-0.411529614755171,"BRCA"
"ZNF416",0.0922807072302136,0.137475041953332,0.994641285345178,104.358921428571,143.932777935484,143.11912,9.08762610031578,2.46422519671441,9.81011509620984,83.362775,107.6226,95.3436,122.28935,166.81075,159.058625,159.232163392857,141.624057456542,155.0606,131.7957,130.96465,180.0373,105.9345,164.8501,3.8380170144014,2.04034229277468,0.889418660394177,0.849962530778289,-0.169065421504746,-0.234528851109765,"BRCA"
"ZNF586",0.555928255328967,0.557048947323975,0.983828775371412,207.315335714286,244.693091096774,247.40166,18.6462666310356,4.61991840251781,20.7152316090549,152.176625,169.5148,159.847125,277.9918,289.8579,264.0104,209.079422321429,244.27888115279,200.62025,220.2905,150.42965,245.272125,168.0101,288.7606,7.4657385689289,3.97436770761658,1.16835448673303,1.09804718117937,0.224478064166868,0.134940045773979,"BRCA"
"ZNF446",0.0151373629322877,0.0109369796590039,0.738849426989699,467.730942857143,319.329469935484,302.118145,42.1610963952392,7.15885815506156,20.9357305681134,409.107275,203.9458,196.57905,560.110025,383.6475,344.1763,183.905317857143,323.130420219579,181.1705,283.5096,121.70685,226.6579,204.9528,393.7657,7.22765994009536,5.96283788706194,1.7570477242566,1.5648772841053,0.813153377808017,0.646049527091289,"BRCA"
"ZNF8",0.928774403852499,0.436068325705236,0.0730553584414495,106.258278571429,111.952164258065,126.79761625,9.75075325355267,2.07514600468592,6.64855456305593,85.9968,78.43145,95.13095,111.382825,132.54765,147.970275,85.6263401785714,113.396802195791,84.9411,103.8754,66.29505,108.081525,81.1768,134.6914,2.78802044945696,1.68731431658248,1.32432148751547,1.22291093475361,0.405253388114532,0.290319335452946,"BRCA"
"ZNF264",0.0144051013708694,0.00267000038278575,0.181905767506359,551.84675,893.501047612903,987.28510375,53.2193968892331,16.0372186097423,59.5464558497534,429.6243,658.13325,641.771875,562.274175,1041.49465,1140.839,915.390799107143,882.732280603843,896.9058,841.0483,747.036825,1064.014425,652.7534,1028.7494,21.559451415542,12.972101999659,0.964322867855833,0.937721999344859,-0.0524118344613377,-0.0927678156563701,"BRCA"
"ZNF213",0.999801481739943,0.983338950510202,0.883444172121621,773.588857142857,771.893711612903,790.342425,111.625732223117,11.6482842791785,42.4171013422134,533.3189,545.98985,535.337425,949.234975,934.0486,947.82175,445.821010714286,772.4495084172,437.30015,694.7853,381.256475,522.019925,545.4661,922.8466,10.5698934591505,10.0573133961261,1.73264491769824,1.58880645250179,0.792976023820496,0.667943387101173,"BRCA"
"ZNF343",0.401771685719519,0.42271971160233,0.990770206764602,284.956721428571,320.94980516129,322.52687625,23.9416515038908,3.68891968729442,12.6973480053318,213.5551,254.20155,245.7298,349.386725,369.8619,372.05065,337.335529464286,320.103489661482,331.2287,308.0946,289.5332,383.281425,253.2613,370.0298,7.17844943882051,3.09179541496792,0.948917210617662,0.930156716492261,-0.0756458717521674,-0.104454287205915,"BRCA"
"ZNF302",0.0818207742437295,0.14135512723192,0.965275375029945,536.122614285714,746.646267225806,735.81742125,62.2516519325134,13.3571151803888,33.5873409832151,404.0693,532.26005,551.782425,632.262825,898.2924,907.338225,767.773375,737.815975663312,762.67175,681.4516,624.404675,887.4161,530.3676,896.3862,16.8048575773508,10.4674979748241,0.96098145584081,0.893505757883388,-0.0574195034561127,-0.162451068650205,"BRCA"
"ZNF268",0.000150546258535611,0.00021282329937633,0.876492166605531,204.0128,433.85662516129,445.88084375,18.7276943504286,7.47560715973922,26.2673456076605,144.23215,277.42635,291.315075,258.61385,564.123,548.804,569.425433928571,423.236516742909,563.26275,408.3575,452.926125,693.21,267.234,542.6136,15.2432209441988,6.30266691345277,0.743269428312891,0.72498580813306,-0.428042825668897,-0.463975340775586,"BRCA"
"ZNF184",0.0138695503355296,0.036383704261142,0.92917467057105,216.373714285714,315.50389883871,309.90233375,16.430832686125,4.7954440680475,12.1946685129727,183.805425,236.2872,239.663875,235.59025,368.8132,364.5734,273.072120535714,314.907525983532,270.50265,296.2405,214.036725,323.87955,234.1159,367.3361,7.50752520755051,4.08140057070213,1.15320277062977,1.09514823607089,0.205646208099658,0.131126162036493,"BRCA"
"ZNF500",0.0124980743065028,0.00384491723896441,0.344180736899258,391.380007142857,297.218943612903,277.1422125,39.0875400738634,4.48597420221175,10.2667504136244,291.211325,208.31775,217.8978,498.2916,368.9208,325.179475,249.314258928571,304.965651601098,241.0875,285.1321,190.41795,287.879725,215.6507,375.7447,7.63216656866848,3.84077759169458,1.22321784927861,1.18269134650283,0.290681363869771,0.242073614700573,"BRCA"
"ZNF419",0.964540887915748,0.857499657556972,0.75436861840991,191.145842857143,198.547674451613,207.55973125,21.1740863103877,3.77191129876728,14.5933282089878,143.351025,142.04175,130.154675,207.661525,237.316,237.38775,190.69505,198.604065965233,185.12305,184.438,154.2047,217.985475,142.1771,236.8927,4.68987532503779,3.11912915801184,1.04147467889299,0.996299488367332,0.0586277639300864,-0.00534861219691117,"BRCA"
"ZNF175",0.236620282644335,0.205473260964896,0.885528729750165,116.68485,162.876172387097,168.699365,18.0589951905401,3.79197785212778,12.3672361772254,62.361925,103.1241,90.427675,174.589625,202.18925,216.06415,250.765485714286,160.771412351327,244.5389,153.7634,205.9846,299.2821,100.5587,202.0703,6.56639058377338,3.11482136483786,0.641122568735414,0.628789121076442,-0.641327899661587,-0.669351837699301,"BRCA"
"ZNF14",0.0379422886699695,0.131182599119141,0.653693880288984,198.624235714286,267.026660258065,256.361035,19.6558618942264,3.68521614891712,12.7545630100428,135.9318,198.3227,188.326575,262.18625,320.90805,317.030825,314.160197321429,262.161060475755,299.17175,251.8007,237.613525,392.109175,193.1385,316.6184,9.97051073330828,3.09708211148607,0.834482097703575,0.841659347849521,-0.261046995366969,-0.248691658045368,"BRCA"
"ZNF85",0.00345078545973376,0.00278092295706178,0.758220971041999,105.883535714286,174.610943741935,181.14367,9.4036510156148,2.79117308949704,10.0764150784864,89.505875,128.7227,119.246475,135.677125,205.70645,232.256825,144.00693125,171.291934400732,137.67505,160.2879,107.5088,175.692325,125.7019,202.8107,4.87510360437215,2.31046656917489,1.18947006865499,1.16424798828836,0.250318968823734,0.219398389318295,"BRCA"
"ZKSCAN1",0.0136202042860849,0.0110280863182846,0.790568999114164,769.535485714286,1606.09549922581,1690.49777625,187.837070639638,39.8068961452671,120.228095065695,273.33335,832.5745,793.6714,852.737625,2130.86635,2332.55035,1641.38250625,1602.19419121683,1536.6868,1368.4211,1181.5099,2046.322125,813.2961,2129.7952,70.5260688862436,33.4197681292968,0.976124812538244,0.890500979119493,-0.0348624646019195,-0.167310897294258,"BRCA"
"ZNF862",0.951186418966332,0.975230051989523,0.984974998651123,584.884685714286,559.046378709677,565.23448,85.5413124900438,11.5363118193434,31.8295165855902,314.583375,328.64825,364.968775,891.198075,693.54935,675.2381,687.274272321429,563.00151326624,653.25845,504.5099,536.8277,820.49845,340.4848,697.0796,20.1333822278214,9.52312096932897,0.819180254434043,0.772297549308394,-0.28774715393105,-0.372771301530926,"BRCA"
"ZNF684",0.197245519374465,0.430976635421306,0.639542853076813,44.96925,55.3080300645161,52.95217125,2.5356369502098,0.811448589609909,2.27752584338684,40.702,40.8872,39.2457,51.88315,66.5702,63.825075,68.2348160714286,54.4518032021958,64.43615,51.3376,52.928775,80.88075,40.2706,64.7194,2.22947816561808,0.653091164812398,0.798006154881334,0.796720474454169,-0.325528221143332,-0.327854444515017,"BRCA"
"ZNF430",0.00077585362133914,0.00210531298789185,0.99889787534813,83.1262785714286,152.277123741935,151.90933125,14.5972220892684,2.5133660647463,8.14244268279158,44.87125,104.4971,104.45065,112.9562,197.0597,192.373725,192.631828571429,150.927686093321,186.5665,146.5348,143.96605,243.979625,102.5478,194.2122,6.68532020360461,2.17298440030268,0.783503366046056,0.785429324128394,-0.351988622145447,-0.348446632629352,"BRCA"
"ZFP30",0.00434518461181599,0.00502819507882912,0.901266550783375,182.984364285714,320.852585548387,329.05257,18.3850512074665,5.8275218731654,17.5667336476167,139.47,218.45375,220.542075,214.6069,392.41035,402.9329,253.94151875,318.499421957914,238.9164,292.3826,186.32025,310.52795,216.7881,384.258,8.526896979274,5.04297842268198,1.25422350596977,1.22378622815345,0.32679446314927,0.291351569045463,"BRCA"
"ZNF549",0.0435138700867788,0.0279811758967758,0.690792619095698,126.127364285714,232.717036774194,248.558375,19.546733162405,5.68266277467709,25.1702454202598,83.76125,140.19185,151.323925,161.432375,296.713,288.338,260.312622321429,230.694316834401,253.0818,216.1371,203.9457,316.569925,140.805,294.133,7.42037977672827,4.75706373676623,0.886220248473177,0.854020715831798,-0.174262804806777,-0.227657029414755,"BRCA"
"ZNF211",0.523508789683509,0.359171341212297,0.654010510157643,198.416014285714,241.937767612903,257.28106375,22.1749449095909,5.19405796767521,21.3535737323502,134.804225,163.76715,158.94785,268.25735,287.1035,289.215075,305.96106875,240.680935224154,307.20535,219.7393,239.210875,365.18565,163.001,286.9343,8.31258566584331,4.25930762507251,0.786639085186402,0.715284743576243,-0.346226224645548,-0.48341042450908,"BRCA"
"ZNF205",8.05607541720654e-06,3.48381711201551e-06,0.435014169296656,620.484542857143,351.218497806452,320.6551125,70.5890807630095,7.69507240563005,18.9448180207249,371.95485,216.81565,212.783025,904.56765,431.56695,378.16405,197.354560714286,362.95420558097,179.2098,304.6032,137.0251,226.052,217.4495,440.7053,9.11794135649357,7.06432263913928,1.83909712685295,1.69970169042095,0.878997673729669,0.765281565472039,"BRCA"
"ZNF45",0.0859781829199021,0.144898971762968,0.970370321340303,230.578764285714,310.288070451613,306.46728125,13.7572375844822,5.11430422930286,13.0573019602451,187.86655,227.3813,222.098475,273.61735,379.78625,373.992075,371.410899107143,309.550455992681,361.0883,301.1955,300.463325,426.27755,227.1992,380.2983,8.11864514262391,4.08843047332034,0.833444728565661,0.83413253766461,-0.26284156750316,-0.261651459131574,"BRCA"
"ZNF133",0.0716332088324199,0.195194464945675,0.709582845841426,440.225285714286,324.864281935484,342.88832625,37.8430286958805,6.99760737388031,22.1302434861145,328.57695,221.85645,215.038,515.8044,380.67245,398.646175,402.04304375,330.911918481244,390.45015,293.1333,295.45835,483.958775,222.6614,393.6124,13.8597603197015,5.66661284208654,0.823075846294242,0.75075729897914,-0.280902714020826,-0.41358149893135,"BRCA"
"ZNF436",0.0434232548824578,0.126492388961029,0.753483856578211,689.128771428571,989.418388,950.40122125,106.574025100455,16.8585251316807,46.0440139929145,410.033375,682.97845,632.4797,727.4066,1214.911,1201.8157,1452.95591160714,959.573148673376,1414.87025,898.4839,1120.023825,1712.423675,661.417,1161.0485,39.0237595314178,13.4608718270124,0.66042826283144,0.635029183771445,-0.598526233609121,-0.655105200144509,"BRCA"
"ZNF484",0.0039933260117565,0.0200400629722235,0.745769237469501,54.6031857142857,92.8950122580645,89.097475,7.01413404554585,1.61498520451304,4.46790693840758,37.907775,60.63225,61.188075,64.7844,119.17025,119.46005,106.707282142857,91.554340347667,106.68165,88.3046,87.238875,126.01485,59.4387,118.9563,2.91057166558929,1.35512683306776,0.857995241834538,0.82773935348769,-0.220958447862717,-0.272751545313764,"BRCA"
