"gene","T2-T1","T3-T1","T3-T2","T4-T1","T4-T2","T4-T3","TX-T1","TX-T2","TX-T3","TX-T4","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX"
"ZNF195",0.467938633729405,0.475052359843614,0.99914334468232,0.390073867508204,0.956514095753505,0.907782152396557,0.980338844458518,0.952045089023623,0.969942394138189,0.805761043291795,662.24818,391.198307142857,415.683061111111,252.209266666667,534.097933333333,382.799483666162,40.6956254373567,42.0522284920752,72.9253867092554,62.7059097419409,265.3436,247.131525,234.410275,183.87835,472.1449,349.4221,516.12835,496.628275,308.4371,573.4643
"ZNF263",0.999991548107995,0.999774920045452,0.994664549015294,0.995403101841213,0.98696581797485,0.997586504224218,0.849959424190393,0.73856213794343,0.812729471719589,0.979939706719018,530.65688,525.050164285714,542.361244444444,569.2716,632.987633333333,71.8742455549441,40.1912564196939,20.8734555307941,148.054154799834,14.2304275022846,424.208,426.33065,457.2241,481.1204,619.1133,619.3513,640.780275,595.694675,716.362,642.6645
"ZNF200",0.983423690192639,0.98986385898417,0.508022994178343,0.971579124760366,0.780880934584641,0.995476671365051,0.999997599917031,0.986820302767961,0.998103686556171,0.986804145609903,253.76472,279.639571428571,232.971502777778,211.7706,249.921966666667,56.0150029707524,30.957284378838,13.2078547819791,19.7607405056929,64.684035516613,205.5828,197.232275,192.5993,193.0956,190.25925,261.301,363.087575,258.238675,226.7026,301.3933
"ZNF582",0.762960447007268,0.99872193942077,0.544368226665329,0.872745754064972,0.999926509967124,0.877586989052965,0.0404721162469057,0.139791536248091,0.013588364907577,0.418335074794371,5.17516,12.3731714285714,6.70823611111111,13.3668,30.0114666666667,2.15954313909216,4.22937691373076,0.890927185195224,7.31707493196564,22.4133729957759,3.3076,4.8963,2.870475,6.4695,7.8398,4.2032,12.5489,9.888,18.9309,43.94025
"ZNF285",0.976621660936208,0.984957639082606,0.999752033019434,0.999564015977604,0.999239900435241,0.999850010715714,0.814791404828903,0.940190799703766,0.89485528063606,0.93495099351978,8.14294,15.2831857142857,13.9496888888889,11.7080666666667,26.6286666666667,3.44647092104373,6.33871416346708,4.20996606244056,1.82278661882783,10.9865753064567,2.5726,3.08695,1.8435,10.2068,17.9253,14.1825,13.32255,11.899475,13.354,36.787
"ZNF275",0.355383132536623,0.601334098932357,0.906122774178891,0.0779628158556857,0.562846074280209,0.255678297890413,0.999688794143394,0.420833191123012,0.642078624319681,0.0992426008716752,479.49614,783.511571428571,696.985308333333,1085.5832,435.363566666667,136.018584877276,76.457517288091,53.068539748403,307.117448538487,51.5757027068733,247.9317,511.61915,496.19065,790.51105,385.22365,791.2532,1015.69315,814.477525,1306.87675,470.89925
"ZNF37A",0.623451809976572,0.236527936181428,0.91643901328016,0.903077976860006,0.999897046077888,0.975336871973017,0.968399299391363,0.993033662863169,0.899266274523332,0.999485532817873,363.60624,512.795907142857,566.593216666667,494.0563,457.980333333333,78.358025937632,43.1564704776757,36.490411393176,128.240358350651,107.369375114327,244.8368,416.98975,388.2819,367.0838,379.62525,527.7254,578.5106,761.889175,573.12075,560.73065
"ZNF510",0.745487600015233,0.82624794954014,0.994633599207938,0.781418567560125,0.99753356398426,0.981338095825488,0.997193697473837,0.973560304632948,0.992426869865238,0.949807913505391,246.63066,374.982807142857,349.557625,416.997766666667,296.4855,45.3645209061178,36.5315684893088,39.5382914459909,87.0133094868123,59.7591371403849,194.7192,282.518975,236.959425,352.5433,246.20815,252.8482,497.330225,400.82475,499.84815,349.5975
"ZNF506",0.667310617019378,0.945138376819603,0.810622085787446,0.999717962944875,0.684635512934748,0.924005646543184,0.998766869045782,0.933645596760289,0.998955626427223,0.993881847697416,297.51284,486.896021428571,393.759608333333,260.4829,351.318433333333,45.6441098605242,97.3317883289835,42.0437351774328,110.009840490309,92.301307473808,298.9842,294.284625,213.4603,160.42595,262.2076,343.2667,484.25855,534.830375,350.11035,416.70875
"ZNF324",0.992103824859479,0.991786001136651,0.999998011532803,0.0815220933470266,0.0118364326546125,0.00725046282861286,0.999999877180763,0.994962842529782,0.995225575293191,0.155877310874523,234.42186,196.264442857143,199.103066666667,553.114333333333,237.7021,33.0552858495521,17.2460381042411,24.281419865399,345.969941678837,63.6634841478483,188.5336,172.956425,150.96215,207.1899,200.26365,280.7706,227.337125,208.750725,730.9361,301.0145
"ZNF671",0.882782341839042,0.99217475439539,0.902917867207681,0.988984910276315,0.999514717308638,0.999310744031149,0.783938687271839,0.981998323030047,0.835896932209033,0.975658574565019,44.0742,63.4658357142857,52.4045027777778,58.0230333333333,77.3209,5.78753348223576,9.2346690194299,7.1601074717587,9.26025296438734,36.0455041651521,45.5988,35.307275,20.43255,48.819,44.6946,48.2837,85.58385,77.717925,63.5074,106.9044
