"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.430223298583395,511.590169565217,462.025403378378,57.0684108217059,23.0619015645662,346.5758,264.56105,575.7974,573.152525,346.562018181818,458.327794021739,402.7027,393.4047,230.0119,456.59735,265.57645,562.900325,44.4471130456694,20.1932601206465,1.32249862932552,0.97691100655645,0.403266227090677,-0.033700951575462,"ESCA"
"ZNF263",0.586370671612735,579.908786956522,560.319229054054,39.4205402695375,12.7879578346981,479.43285,449.138775,632.87095,655.130225,611.928563636364,561.544527717391,597.6276,546.8631,533.4648,695.45545,457.2241,648.1739,37.5965670158116,11.5323268011609,0.917663533109867,0.915056633930561,-0.12396281716753,-0.12806705863572,"ESCA"
"ZNF200",0.482752159299277,251.04097826087,237.4923,16.8903742266067,7.12248028197977,198.87485,179.791625,296.0533,273.917825,163.809936363636,236.488877717391,151.8781,218.502,141.59485,180.9971,176.734675,273.917825,10.2970902117785,6.25294304570726,1.44367846644185,1.43866693091367,0.529749463469757,0.524732629091668,"ESCA"
"ZNF582",0.133006034201083,15.3360043478261,10.3144337837838,5.60876074950579,0.989601648665982,3.94065,2.870475,10.25225,13.03435,40.7932909090909,10.8377315217391,33.6081,6.3796,24.40525,56.66655,3.103225,12.675,7.31507103919342,1.07469719123867,0.265674361646658,0.189823286648159,-1.91226908463481,-2.39727110847638,"ESCA"
"ZNF285",0.726839814146946,12.8883869565217,14.5165324324324,3.47999488332903,1.75105733040785,2.5839,2.9361,18.5439,18.196375,47.5942818181818,14.3908494565217,53.2275,6.5676,40.63625,58.28345,2.828425,18.65065,5.01255549647479,1.51747223942938,0.302365093174369,0.123387346766239,-1.72563649901569,-3.01873363956995,"ESCA"
"ZNF275",0.839303308678401,759.256086956522,775.563973648649,68.484682127487,29.797662529063,533.3993,481.79555,955.9827,984.64195,910.223281818182,782.321395108696,1038.0469,729.8039,753.1412,1088.01435,503.861625,991.9197,106.198723900125,27.4485625787105,0.859482954057162,0.703054842705084,-0.218459067564553,-0.508290861901652,"ESCA"
"ZNF37A",0.21127387565355,589.383926086957,526.44237027027,55.7398400765674,17.7986351795194,379.8983,351.266375,702.35445,691.1141,749.920454545455,527.392183695652,840.2654,510.93345,699.43045,886.98805,350.03665,688.249975,75.4831816578036,16.5900986754348,0.70326416688463,0.608061988509821,-0.507861384726217,-0.717709689052242,"ESCA"
"ZNF510",0.842897608141622,329.385643478261,336.192221621622,28.4778995372057,12.7659086597747,244.5235,233.983825,419.4261,404.382425,396.509354545455,330.447995108696,442.5694,304.4528,324.8413,468.67725,233.983825,402.934075,38.0106187710567,11.0398100472202,0.833392683730023,0.6879210356613,-0.262931660064976,-0.53968512298026,"ESCA"
"ZNF506",0.825497755861134,421.995417391304,438.644156756757,50.5439487861307,28.6280474691147,269.55335,251.552925,551.3845,545.929525,583.9135,423.868583695652,647.4381,345.04335,481.54185,693.27295,237.583575,530.83755,50.0977064995867,24.346893294315,0.725909888529127,0.532936430525173,-0.462137625785985,-0.907964638517552,"ESCA"
"ZNF324",0.655465406276033,200.448430434783,213.201257432432,14.2059770632574,11.0083452551459,148.32235,155.802725,249.6557,235.579525,238.520554545455,212.251344021739,212.2093,186.8305,198.8786,260.3844,155.802725,246.263675,22.1471064109035,9.12578021452273,0.889866051276896,0.880406749374321,-0.168339906788403,-0.183757889626614,"ESCA"
"ZNF671",0.85250534131384,62.3572826086957,64.7057547297297,10.9753542351841,4.66852413328607,26.4375,28.7359,76.88865,81.2145,113.518790909091,63.5514043478261,96.3855,50.5373,62.90115,156.3794,27.675475,79.40435,18.5755535966469,4.14209572888867,0.559831582409294,0.524324716892064,-0.836935217301253,-0.931467538166978,"ESCA"
"ZNF416",0.71018363765723,104.631556521739,108.931645945946,9.35408669246713,4.31285055451991,76.13015,73.6643,121.8447,134.03905,114.224763636364,106.693882065217,98.5302,97.177,87.23115,109.44105,69.131025,133.645675,18.5765372185026,3.91772942976572,0.934069624384421,0.986266139721629,-0.0983980042560145,-0.0199510906298766,"ESCA"
"ZNF586",0.973581258848003,217.698086956522,218.460227702703,24.8292495666935,8.20466777296159,151.78755,148.573475,260.12685,260.281975,250.394027272727,215.829279891304,260.604,198.462,170.2457,335.62195,145.8429,258.05135,25.9113795382474,7.54981798101394,0.861958578813163,0.76154625408666,-0.21430955222803,-0.392996430446764,"ESCA"
"ZNF446",0.274317337304063,168.321830434783,197.563827702703,14.052359409835,10.2633352397602,114.78465,133.642025,214.8941,228.00145,178.584263636364,195.43144673913,174.7743,169.30885,155.9523,195.8834,131.484825,227.70675,9.71141422045843,8.70224207524481,1.09433744474301,0.968728525875944,0.13005766938396,-0.0458356699544505,"ESCA"
"ZNF8",0.900088000242609,236.146243478261,233.135801351351,22.1226648367363,8.78951911414151,169.6224,155.36555,284.2932,301.502275,213.409045454545,231.159822826087,232.7626,209.01695,189.3496,240.3381,152.331825,294.9015,15.3703331207963,7.91874018172799,1.08317724927607,0.897983395957942,0.115269342418015,-0.155239325634302,"ESCA"
"ZNF264",0.135928372977495,1309.0307826087,1138.99911148649,131.406399325255,39.8734055092528,1011.64825,744.4539,1538.708,1442.76045,1305.64832727273,1158.95502717391,1383.0495,1065.7511,1174.291,1408.6058,742.081025,1453.561725,67.0654210321006,41.1836859060589,0.88764715809407,0.770580590210256,-0.171941779153725,-0.375982247794746,"ESCA"
"ZNF213",0.385925612855138,674.97527826087,730.761923648649,48.8845418578634,24.1096350446954,538.96255,527.82985,828.02635,896.402425,681.780909090909,726.447425543478,649.6591,671.1687,611.03685,765.5259,527.82985,889.180075,35.0937515501431,20.9566068111892,1.06551447225492,1.03310905673452,0.0915501885299137,0.0469925555635487,"ESCA"
"ZNF343",0.766233963271215,306.374439130435,299.889589864865,25.1998917500112,7.6526657868931,221.27975,226.7142,345.3391,358.22985,279.078827272727,300.931977717391,256.9407,286.1685,242.21105,313.41585,221.512975,359.1627,21.5699572706876,7.18453085838746,1.07830458031597,1.11375309555863,0.108764742511824,0.15542944157065,"ESCA"
"ZNF302",0.819228193404352,417.077356521739,404.46452972973,61.1237593409078,19.5609216070442,273.31525,246.06955,448.90485,495.979575,504.764781818182,400.6885625,561.6821,343.1356,426.57875,583.2106,243.595325,487.2326,59.7684840158633,17.9919479853534,0.793812438848655,0.610907130563712,-0.333129925690625,-0.71097501510291,"ESCA"
"ZNF268",0.271151910585592,337.288769565217,388.346091891892,38.2544254416543,17.2245075651861,205.45005,267.75635,429.85025,485.158,479.879545454545,376.284352173913,495.8243,348.0646,446.1671,540.09735,240.000625,478.005175,26.5527327979194,15.381372268695,0.784122506862621,0.701991814439107,-0.350849024429498,-0.510473886774846,"ESCA"
"ZNF184",0.793742631958532,227.858847826087,233.961180405405,22.7800607295115,8.47949884756122,141.12985,176.532,299.4395,265.240425,173.162590909091,229.143926086957,169.1176,207.8904,156.81045,188.25055,170.03595,265.240425,12.5748361021631,7.51675791135741,1.32328769674771,1.22926531596948,0.404126752885565,0.297796330456929,"ESCA"
"ZNF500",0.738015437765424,249.29852173913,243.227557432432,18.7895381658982,6.52401318628685,190.54035,186.250825,311.34685,287.743125,261.465527272727,246.752285869565,237.7451,237.16795,226.23085,305.19795,189.05335,296.028125,15.499427004037,5.87833284905474,0.943727796330814,0.997572400020021,-0.0835572983440085,-0.00350654442012886,"ESCA"
"ZNF419",0.856943686816778,83.5212043478261,81.6376898648649,9.83479184445377,3.81843213816335,52.4878,49.82895,114.9739,105.3587,69.7802363636364,80.9818826086957,70.2232,68.3704,60.81745,76.7249,47.515325,105.3587,5.13377853251956,3.52091743853574,1.16052749071651,0.973615557251734,0.214780697822962,-0.0385758740516122,"ESCA"
