"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF195",0.47759861137992,461.524896226415,494.846259259259,28.4635609736083,34.3021083082052,271.3424,296.5846,568.4867,579.4717
"ZNF263",0.0203304309957256,581.871952830189,520.866824074074,15.7657554579707,19.2698167178132,462.7344,408.833825,665.232725,605.475625
"ZNF200",0.353799363961942,244.540694339623,231.027155555556,8.54779710637546,11.5273058571556,185.89305,167.595325,273.947075,273.1351
"ZNF582",0.710690048217676,11.1547867924528,10.2101203703704,1.65716297625133,1.44364084175452,2.29095,4.0025,12.271825,12.7642
"ZNF285",0.0240139996667554,11.5552896226415,19.2756777777778,1.31667116805963,3.99071304729715,2.731525,3.2498,14.7535,23.33735
"ZNF275",0.647685997526523,762.546808490566,789.908381481481,35.2059798043245,47.2567898298201,455.778325,535.766825,986.50105,971.4218
"ZNF37A",0.73505833964937,537.575824528302,550.501325925926,22.4107183426909,30.2985628058489,363.6632,393.06085,706.7715,688.837875
"ZNF510",0.297057448674696,327.666095283019,354.691162962963,16.0533131995482,17.7655530870852,233.656875,247.5289,403.866825,413.3505
"ZNF506",0.366811476909782,418.988370754717,469.887785185185,31.592578267048,48.6317646508025,228.84885,275.665025,492.76105,658.989925
"ZNF324",0.30651657791054,219.166794339623,196.799787037037,14.6769521745257,10.0558734239382,155.442375,151.4043,244.813025,235.3913
"ZNF671",0.913002931952248,64.4058141509434,63.3641,6.03479757932923,6.11202791967278,27.92155,33.0573,78.4959,85.931
"ZNF416",0.687369493362329,108.477722641509,105.091422222222,5.09618193802273,6.19125545241252,71.380625,74.438025,133.939975,124.790725
"ZNF586",0.671330995241306,216.558643396226,223.968253703704,9.93347945840271,14.7057156115827,150.678425,142.50155,254.1061,290.8482
"ZNF446",0.859578993731383,192.208926415094,195.814827777778,11.4297472047841,17.6013020166165,132.36185,128.47605,223.1289,236.7208
"ZNF8",0.835680282184845,233.050601886792,236.791216666667,10.7893868274291,13.6924163673911,161.856425,159.048775,277.273425,323.599375
"ZNF264",0.605947256739521,1184.1065745283,1139.28451851852,52.1707121195957,65.3111295769675,791.603825,758.494775,1516.809875,1415.80615
"ZNF213",0.0385869466235279,755.787467924528,655.792677777778,29.0707454337334,35.3812835608668,562.50385,473.207975,900.323575,828.912675
"ZNF343",0.0277724295988953,309.930366037736,274.698766666667,9.7565172110976,11.2600567900273,235.872875,216.80015,359.774025,316.486075
"ZNF302",0.0704592058094513,380.668270754717,455.424161111111,20.2715136855797,41.5860308530188,243.479175,292.88885,456.573725,535.746525
"ZNF268",0.801157664382988,377.339840566038,386.229809259259,19.9642457598481,30.0431452242907,249.49785,248.043975,475.5485,480.781625
"ZNF184",0.316936407010072,228.295875471698,245.999998148148,9.18102324630168,16.9225271227557,170.99055,180.20285,270.5187,276.0154
