"gene","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Locoregional Recurrence","mean-Distant Metastasis","mean-Locoregional Recurrence","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Locoregional Recurrence","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Locoregional Recurrence","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Locoregional Recurrence","Q3-New Primary Tumor","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.659053517735818,0.914434831524187,0.513086036836122,510.56355,398.530792857143,589.01165,12.2417947152708,65.0626822405373,203.35525,489.69965,247.22785,487.334025,530.40095,474.990575,690.689275,346.562018181818,458.327794021739,402.7027,393.4047,230.0119,456.59735,265.57645,562.900325,44.4471130456694,20.1932601206465,1.32249862932552,0.97691100655645,0.403266227090677,-0.033700951575462,"ESCA"
"ZNF263",0.757784421920047,0.909722733576111,0.579161364201815,574.48105,509.476442857143,632.14265,73.3403935709886,37.292269526743,243.79925,532.413425,412.568825,510.243025,647.592125,588.608025,754.042275,611.928563636364,561.544527717391,597.6276,546.8631,533.4648,695.45545,457.2241,648.1739,37.5965670158116,11.5323268011609,0.917663533109867,0.915056633930561,-0.12396281716753,-0.12806705863572,"ESCA"
"ZNF200",0.936604728735498,0.954036874320506,0.996808599568207,267.29185,246.474571428571,240.35465,29.3940071868542,30.7774565042274,68.46885,226.551575,173.378375,206.120225,304.617425,271.734175,274.589075,163.809936363636,236.488877717391,151.8781,218.502,141.59485,180.9971,176.734675,273.917825,10.2970902117785,6.25294304570726,1.44367846644185,1.43866693091367,0.529749463469757,0.524732629091668,"ESCA"
"ZNF582",0.727528482173763,0.866121057042156,0.999918402717881,6.607525,12.9676857142857,13.10215,3.09574442215304,4.2434156020266,11.00135,1.74945,5.00555,7.601475,11.266075,12.6827,18.602825,40.7932909090909,10.8377315217391,33.6081,6.3796,24.40525,56.66655,3.103225,12.675,7.31507103919342,1.07469719123867,0.265674361646658,0.189823286648159,-1.91226908463481,-2.39727110847638,"ESCA"
"ZNF285",0.886457298859215,0.97100652886482,0.812945658756517,16.666725,25.4841714285714,10.03105,6.82815022942707,9.92665385898999,9.33075,5.4727,3.121325,5.365675,27.889875,32.476125,14.696425,47.5942818181818,14.3908494565217,53.2275,6.5676,40.63625,58.28345,2.828425,18.65065,5.01255549647479,1.51747223942938,0.302365093174369,0.123387346766239,-1.72563649901569,-3.01873363956995,"ESCA"
"ZNF275",0.754793986382552,0.569087424561926,0.80105449717385,880.486075,746.386328571429,587.9103,218.730906802687,82.9250066835675,52.4959,611.156275,508.2265,561.66235,1117.7156,805.493975,614.15825,910.223281818182,782.321395108696,1038.0469,729.8039,753.1412,1088.01435,503.861625,991.9197,106.198723900125,27.4485625787105,0.859482954057162,0.703054842705084,-0.218459067564553,-0.508290861901652,"ESCA"
"ZNF37A",0.901086185089672,0.908053133191365,0.703443101187252,569.480125,516.863778571429,646.80535,65.164823600894,60.028473403482,177.77445,489.796425,343.010675,557.918125,628.5861,660.291375,735.692575,749.920454545455,527.392183695652,840.2654,510.93345,699.43045,886.98805,350.03665,688.249975,75.4831816578036,16.5900986754348,0.70326416688463,0.608061988509821,-0.507861384726217,-0.717709689052242,"ESCA"
"ZNF510",0.962665503182803,0.978832428417508,0.999550093638283,380.2511,359.948357142857,357.0079,73.7228173882076,36.857433550919,36.5495,284.248825,242.15005,338.73315,457.493125,475.870675,375.28265,396.509354545455,330.447995108696,442.5694,304.4528,324.8413,468.67725,233.983825,402.934075,38.0106187710567,11.0398100472202,0.833392683730023,0.6879210356613,-0.262931660064976,-0.53968512298026,"ESCA"
"ZNF506",0.942797980204035,0.677654458715618,0.750104512834053,487.919575,440.838521428571,301.13615,101.496756462505,72.2041562461594,101.90645,365.8631,276.339225,250.182925,584.650875,654.317675,352.089375,583.9135,423.868583695652,647.4381,345.04335,481.54185,693.27295,237.583575,530.83755,50.0977064995867,24.346893294315,0.725909888529127,0.532936430525173,-0.462137625785985,-0.907964638517552,"ESCA"
"ZNF324",0.39125605131378,0.806600908486755,0.955481650871295,149.982275,211.737214285714,194.10405,26.048852983141,22.7112025581772,69.45415,108.45025,170.900525,159.376975,188.149625,245.42995,228.831125,238.520554545455,212.251344021739,212.2093,186.8305,198.8786,260.3844,155.802725,246.263675,22.1471064109035,9.12578021452273,0.889866051276896,0.880406749374321,-0.168339906788403,-0.183757889626614,"ESCA"
