"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX"
"ZNF195",0.286319351413781,0.744106115346077,0.999949461203628,0.980847090340527,0.624398498671251,0.716536677502004,0.994318999458901,0.905125876626268,0.905811394750303,0.999987333542121,422.365865277778,520.256715873016,531.334025,358.7444,338.8105,28.5739520014472,43.9892370850369,72.6704005391884,51.8195128272206,20.5198,245.500175,270.6613,348.3313,257.41655,328.5506,532.524575,722.68895,580.910125,449.3361,349.0704
"ZNF263",0.999975830909183,0.99986837993687,0.999569594714099,0.99613107226004,0.997710610504078,0.994205267012765,0.999809949954878,0.999679015932416,0.99998025762862,0.997323722865402,561.234772222222,564.137414285714,553.207316666667,585.280714285714,540.992,21.9861491635498,18.5352268207692,41.1769240138429,52.6028429512966,37.0312,426.4727,466.29365,461.050475,559.49765,522.4764,648.1739,676.48995,624.722225,596.1262,559.5076
"ZNF200",0.999999997549704,0.992411635519856,0.993052756882275,0.99999170735297,0.999989905498968,0.996731616352096,0.999991062803121,0.999989983439716,0.999098389760646,0.999999748154456,240.28475,240.128801587302,228.190575,243.0164,245.3244,11.6451352225388,9.66694381335729,27.7264843605765,27.9963266053653,28.6373,176.065125,186.28855,156.405,208.7075,231.00575,284.7213,269.9586,288.051125,286.7876,259.64305
"ZNF582",0.999994839456062,0.760180049101162,0.745335614963425,0.999999999999554,0.999999786696183,0.937273646776725,0.639330232000543,0.63045853945367,0.925780852671558,0.730271622372007,10.4648861111111,10.2909904761905,15.8690333333333,10.4719857142857,24.9725,1.63608892783912,1.10199252187242,9.66201365961233,4.58185939093501,18.5827,2.8151,3.26805,4.371875,1.68195,15.68115,10.926875,15.0589,9.18985,13.1927,34.26385
"ZNF285",0.933076703171945,0.999997222005558,0.98807073449077,0.937691730153559,0.80027220671877,0.974005687027042,0.999999984982277,0.999596442909313,0.999999998441365,0.996054655611219,13.3953777777778,16.220846031746,13.0141333333333,7.04432857142857,13.1578,2.30764963727774,3.01022710137927,3.29269017693172,3.85386034267153,9.1642,2.930875,2.81055,3.808325,1.48685,8.5757,17.767325,19.14235,17.993925,6.3276,17.7399
"ZNF275",0.963970648315243,0.932870455962527,0.993425506434327,0.999846511291655,0.991644502486663,0.965865665902618,0.994328998498816,0.999205830021321,0.999997671821277,0.99207915399032,752.973570833333,794.336509523809,842.202691666667,729.871528571429,857.80035,43.0140596994213,45.4456850308161,117.768202108481,90.2325549834788,176.09105,450.315225,533.3993,659.012425,588.5447,769.754825,1011.04115,997.625,953.8653,772.61245,945.845875
"ZNF37A",0.14489421069621,0.970645262617857,0.966486548559454,0.997208406737528,0.962700951439658,0.999934171580438,0.904873617223574,0.60786610305687,0.81706730090913,0.876485736273217,492.470594444444,583.161984126984,536.758341666667,522.693514285714,349.84895,22.955769837528,32.542801461643,75.0475574249386,60.9696432288836,135.79145,337.7286,369.0491,367.44815,412.72635,281.953225,631.42005,759.1789,677.18145,616.8035,417.744675
"ZNF510",0.88145009171244,0.98593469977648,0.844818879390607,0.999606676934372,0.999616510759721,0.986598090931782,0.978566461853744,0.930516165659929,0.997417595327258,0.972547665601438,327.494880555556,353.095988888889,302.186183333333,340.2961,262.3392,22.4017786313579,15.0875419951496,38.0384532544727,54.6664533885619,49.0804,224.600525,268.19005,219.206125,220.9535,237.799,391.062675,422.1647,360.0425,396.106,286.8794
"ZNF506",0.999997790682162,0.457618999015318,0.487339948783909,0.95063299290055,0.957205780919824,0.988197382820186,0.999995432820134,0.999990590048051,0.9459315977046,0.993591073192208,408.525979166667,411.801293650794,585.608141666667,506.2139,392.2039,34.0352312272416,42.4216761215634,165.322581365126,151.643742472986,59.1368,219.6266,259.75495,309.991075,227.7438,362.6355,545.929525,461.35015,561.218125,690.61975,421.7723
"ZNF324",0.995096752870866,0.374333607344413,0.270836643155069,0.988147924883574,0.997739770674739,0.504905596451223,0.999971976866978,0.999999995908079,0.919062372176959,0.999890761732296,205.127515277778,198.283536507937,262.498208333333,185.336828571429,197.4377,13.5995023226025,9.20915939763373,45.0516306269674,23.5595435026588,16.5272,156.186275,150.96905,174.470275,141.3825,189.1741,238.79465,221.5303,247.540175,226.48475,205.7013
"ZNF671",0.901062883553321,0.895142806785446,0.994107500701593,0.995758856575276,0.999999995469884,0.998634715521138,0.326980099109191,0.225501329450295,0.207490291737103,0.335151498354737,67.4072569444444,58.7008047619048,51.390125,58.9692571428571,144.4451,8.49226094606101,4.47113316327986,9.02610550822585,14.2209441532694,104.9084,25.575125,33.1944,27.3257,32.96415,91.9909,80.8308,78.9323,65.574225,84.475,196.8993
"ZNF416",0.998807182646414,0.978108426011587,0.993193524729974,0.989211631426565,0.996447329318779,0.999999968371412,0.899582361727974,0.922549692349674,0.974745381360307,0.980397988960195,106.965747222222,104.663620634921,98.0850833333333,97.6336142857143,75.4698,5.87320928021251,6.29485370177207,11.2461827724898,21.1085886128578,3.6037,75.910475,71.67275,75.435225,54.1075,73.66795,131.86985,122.40885,112.912775,138.219,77.27165
"ZNF586",0.385978436391548,0.370117379002766,0.92517155724421,0.988895912580898,0.720763082997152,0.506291949356588,0.998912950580852,0.999832920383736,0.988031545335225,0.989537962550416,202.114605555556,234.104698412698,260.821841666667,182.289985714286,221.81115,11.7936212775967,12.6511058678337,42.8790633365064,33.6998905190636,35.70895,135.378125,166.35535,176.978625,133.86465,203.956675,255.62505,295.2886,303.7113,237.8202,239.665625
"ZNF446",0.958853982113813,0.95809460950321,0.998033425196377,0.987191888859825,0.931612409075123,0.907428206695135,0.997569665276151,0.999855078345812,0.999999939835069,0.983271030136558,187.1847625,201.774395238095,213.689675,162.813685714286,215.8145,13.9185800706877,15.2205722678945,52.557698479377,23.2701779664489,3.2869,129.34785,135.22935,126.162525,127.55225,214.17105,218.70945,234.2153,228.920525,167.6505,217.45795
"ZNF8",0.997510409362229,0.984812215729234,0.997108916505674,0.997517907716319,0.990229553238414,0.97246673403441,0.851408061737366,0.814300923900727,0.774068191947714,0.946759957730038,226.465333333333,232.17756031746,243.014766666667,213.366357142857,153.26805,12.6567897706058,12.0545680596224,28.6594712224353,33.9571694037879,56.36305,156.4112,154.22535,172.19565,162.9252,125.086525,283.15765,301.00625,280.539425,280.8823,181.449575
"ZNF264",0.998794478568213,0.717254023928838,0.808100406382044,0.999984509768883,0.9995811049508,0.896413498116752,0.966928466878901,0.977734119264706,0.999982209595193,0.971121857204637,1122.66123472222,1146.63586984127,1323.37085833333,1104.28128571429,1360.0794,56.3648859299502,61.4601960246998,226.001484364375,198.982171251471,264.1219,744.4539,809.14195,791.5338,732.7672,1228.01845,1442.63595,1352.46935,1583.843725,1430.66215,1492.14035
"ZNF213",0.0476671837834908,0.273102095507377,0.991195249190207,0.937111817258326,0.992681842927891,0.964078532860621,0.998189765841248,0.996100435161896,0.983917643806879,0.999961531905219,793.005423611111,656.752868253968,616.160466666667,705.669171428571,731.63475,40.587009286487,27.9860610472282,57.1669118055195,80.2386074211836,82.66235,570.41735,491.39655,504.4695,525.7338,690.303575,952.974125,819.78555,741.2887,878.03115,772.965925
"ZNF343",0.992089231410925,0.997346485257196,0.999986657666679,0.99999089576779,0.998824444657398,0.998564459516274,0.982807079225863,0.967066172678076,0.967522142215247,0.991804447115952,293.043966666667,300.309234920635,302.938358333333,290.040842857143,255.96045,12.1929684506108,11.3714292317881,25.5772637904148,24.1438861439265,28.38455,216.252225,221.25885,231.150925,272.71485,241.768175,349.353875,349.91305,369.910075,324.36985,270.152725
