"gene","T1-T0","T2-T0","T2-T1","T3-T0","T3-T1","T3-T2","T4-T0","T4-T1","T4-T2","T4-T3","T4a-T0","T4a-T1","T4a-T2","T4a-T3","T4a-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4a","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4a","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4a","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4a"
"ZNF195",0.996530421606627,0.999998337978913,0.504701260099838,0.999975652561843,0.889011303472587,0.914260835324861,0.966364445111334,0.359821569632524,0.846043557165182,0.594767438343342,0.999925758728162,0.98962434715628,0.999961805537029,0.998732864772908,0.998946771558096,437.73885,540.793153333333,416.080169444444,474.319539759036,236.33625,359.3303,115.30725,66.9047026147888,44.7706101625383,29.7933076604773,67.3799560707844,NA,380.085225,350.9764,233.619025,263.7973,146.027125,359.3303,495.392475,623.435,487.9384,634.67395,278.369825,359.3303
"ZNF263",0.262887494136119,0.630519911085607,0.458245126812645,0.362568912904428,0.971126675962802,0.713855183747557,0.833035490192124,0.917242539178682,0.999986043426562,0.979635019785583,0.966069531868435,0.992162851334284,0.999992528590956,0.998254649530195,0.99999994606767,343.6668,599.845706666667,526.911813888889,572.987634939759,513.383225,503.9608,17.6341,35.1358910588942,25.2224359470474,17.0472067167895,92.2570776982664,NA,334.84975,487.5159,404.878875,459.2334,417.362725,503.9608,352.48385,704.906425,585.66825,656.11025,641.66655,503.9608
"ZNF200",0.999999332602421,0.999618876798536,0.986551176595745,0.999997449648248,0.99999943710562,0.979122981690313,0.999943370656712,0.997410496751016,0.972142145563969,0.995662590632977,0.999995356462968,0.999936745779742,0.99902667938751,0.999902075011472,0.999999998956943,230.4961,236.076826666667,250.454216666667,237.650139759036,214.342375,216.6871,20.6893,14.9057980136142,17.3860159395927,9.42675285096545,25.8965736655893,NA,220.15145,184.47905,164.84395,176.73765,181.643875,216.6871,240.84075,291.792475,284.678225,272.01525,225.7941,216.6871
"ZNF582",0.999998888845415,0.986035380625911,0.563133403272584,0.995623325552852,0.729459578561009,0.993332112888616,0.970988719545958,0.86648031330189,0.99909586088219,0.991020199129279,0.277362819527184,0.131075726973618,0.292068740686342,0.230680212982,0.512999079040015,5.90325,6.90545,12.8114055555556,11.1962228915663,15.6148,43.5552,1.14845,1.14644881801984,2.65971724654829,1.75278378399006,4.66366384509004,NA,5.329025,2.542075,3.3821,3.0466,9.5038,43.5552,6.477475,10.4088,12.670325,13.0489,20.8029,43.5552
"ZNF285",0.998228178511447,0.937568773145016,0.672686483676402,0.960309336028262,0.753363058535032,0.998723172617056,0.994993858603095,0.999776909578639,0.998337370132451,0.99977887628756,0.972033596750513,0.989102670417634,0.999826604639511,0.9993582141665,0.997979882271779,2.8098,9.20853666666667,16.8112166666667,15.1778072289157,12.254125,22.322,1.3239,2.2681823564229,3.38770861290407,2.57172505128765,3.59401830578138,NA,2.14785,1.289675,2.973825,3.30885,7.85785,22.322,3.47175,13.5095,24.380575,18.2922,14.603075,22.322
"ZNF275",0.997570550473815,0.999999461605823,0.882429233429115,0.999999260983878,0.807332068842514,0.999999999897236,0.99995616728022,0.934037021178557,0.997869942267587,0.997399643812954,0.996198432738305,0.939607271956572,0.985940435864139,0.985150052493556,0.998800152502222,813.83455,694.432063333333,792.254202777778,791.185779518072,876.084375,1033.8914,54.25055,54.6789734038485,55.2131605884137,43.3906056058733,158.265775758297,NA,786.709275,440.313125,453.427775,502.31365,638.29545,1033.8914,840.959825,903.76,990.4772,1035.60405,1028.299975,1033.8914
"ZNF37A",0.9990868013795,0.975468272070287,0.878037925786122,0.999497225982046,0.999980621094736,0.63194682940194,0.975358858037573,0.980351598539813,0.999955932857197,0.96536194732067,0.99815947967924,0.99986655469164,0.999999999560207,0.999730239119161,0.999997498741575,606.04615,543.965106666667,481.014447222222,552.242720481928,456.84715,485.6404,32.49485,45.2032168187891,29.9535582048177,26.9848462378963,80.4336280797249,NA,589.798725,354.607325,345.6495,356.15455,382.662,485.6404,622.293575,681.3242,580.601975,703.9098,472.902,485.6404
"ZNF510",0.999999783628432,0.999999379486685,0.997610797488053,0.999997003040768,0.989045207173534,0.999997903665506,0.999999999981593,0.999999614817771,0.999993879230858,0.999973380625275,0.999999369469691,0.999999939750212,0.999983629220906,0.999968755901178,0.999999370931426,327.99805,320.01863,337.800408333333,341.237210843373,326.54655,311.4196,50.30805,21.2863229173976,21.1099402033502,20.2040112006849,78.562053888211,NA,302.844025,245.28535,241.061875,231.4116,234.5077,311.4196,353.152075,392.34185,434.424975,402.30515,380.1087,311.4196
"ZNF506",0.999297321381296,0.999999734268981,0.814522545660338,0.999999999667444,0.865254011176414,0.999493776699517,0.999815850378388,0.942618427043818,0.999398756803617,0.996900897310317,0.999999233531778,0.999990891624709,0.99998614242575,0.999998943753069,0.999652785001414,414.2221,501.959906666667,396.413622222222,418.827921686747,335.0912,451.3407,68.6902,77.525238405348,46.905019745723,37.6210048209982,52.6054459817771,NA,379.877,281.369025,230.403825,234.85625,252.84955,451.3407,448.5672,604.08735,443.959275,548.81465,402.3137,451.3407
"ZNF324",0.995947145512316,0.999178669473792,0.998146800394405,0.986000002845604,0.996597914700795,0.900475241691182,0.999895940781587,0.999633577470192,0.999997843693681,0.995290825197411,0.998902016316453,0.999998572229428,0.999949760853454,1,0.999896657883722,165.477,203.476243333333,192.565022222222,214.157536144578,186.658275,213.9649,60.6746,11.5655648360446,10.9761203848853,13.9220124333005,12.846533981414,NA,135.1397,163.761925,155.431325,151.03055,169.754475,213.9649,195.8143,249.498425,229.495775,246.95205,202.33035,213.9649
"ZNF671",0.999973770457855,0.999999802799396,0.978229285948243,0.99996438663514,0.999999998317392,0.938373460921437,0.999999896045989,0.999989261702757,0.999965222263792,0.999981814062465,0.0612285298274415,0.0171580832085407,0.0095260588437982,0.0157099217598524,0.033340645262424,57.1268,64.4455133333333,54.3977833333333,64.7540048192771,59.98865,249.3535,18.9505,7.11431830802839,6.96237277809674,7.28221562963457,9.14428648879543,NA,47.65155,35.105975,23.4264,26.4871,49.70135,249.3535,66.60205,74.589625,62.9577,81.6792,63.2673,249.3535
"ZNF416",0.999999858677043,0.946976770773188,0.0599481118554556,0.97641073269315,0.0801032285671521,0.990646987675107,0.999150388188002,0.984082073302994,0.988038924360886,0.998295043072826,0.942481463407633,0.861163255043295,0.997327318377135,0.991885663869429,0.979368424574849,125.59975,127.806333333333,94.3497972222222,100.132801204819,110.46675,71.8661,65.78215,9.26814157856895,8.49815564548827,4.97213323334085,16.2540030067724,NA,92.708675,93.693,56.110775,69.5652,89.630875,71.8661,158.490825,153.50565,115.742075,119.8856,124.869975,71.8661
"ZNF586",0.956662591302694,0.968925082725268,0.99995364205193,0.923333817184961,0.99909028176134,0.987475756978487,0.999961438538096,0.956240117592496,0.972183551007801,0.90245415154579,0.963720434212094,0.999042804364209,0.998242800278898,0.999675467205823,0.975667173488284,151.77995,217.52968,212.281133333333,225.822722891566,169.496175,257.5201,44.05955,16.7207577826701,15.413945822583,12.709634938103,43.4954497962981,NA,129.750175,154.38015,150.79715,142.253,123.3612,257.5201,173.809725,240.065525,264.406925,277.7943,182.492925,257.5201
"ZNF446",0.994319325194675,0.970776804936211,0.983192555902732,0.864139419400723,0.364943501547462,0.810576644479549,0.974847798040148,0.996786827183859,0.999983815816539,0.999544333444994,0.985707476881935,0.998511243546816,0.999883874690899,1,0.999991508083078,113.7545,161.9412,182.609669444444,213.014898795181,193.05835,212.5276,42.4743,9.29255880055489,10.8395409177306,17.0804056630015,30.373244365299,NA,92.51735,116.036475,142.79095,132.5237,147.2313,212.5276,134.99165,202.703375,228.08045,235.6443,243.9304,212.5276
"ZNF8",0.999999414416118,0.998491122588988,0.695319145811819,1,0.999696682081719,0.675178783030779,0.986961516539346,0.850016595702077,0.996049847755683,0.882792000798018,0.999938413580169,0.999566488092827,0.99999999112009,0.999842425321267,0.999805140365086,235.98205,242.147396666667,205.930363888889,235.812718072289,179.250575,209.6311,36.26165,18.4228444860912,13.8189980128997,11.9974598210132,28.2866290173872,NA,217.851225,177.690075,151.6485,150.30735,153.63495,209.6311,254.112875,283.864075,252.2671,306.1104,212.656025,209.6311
"ZNF264",0.875754975971672,0.853877689199106,0.999994573280074,0.914163968777563,0.998278198674643,0.9900543463712,0.982334213659414,0.998722604426553,0.997346249512385,0.999897377899689,0.994856300465845,0.999985311305497,0.99996333472432,0.999999720282789,0.999999978127474,762.06235,1179.36734666667,1195.97274722222,1133.25108554217,1071.0713,1095.9575,171.66725,70.9410685602525,84.4718681516118,61.7131931587626,145.765380469141,NA,676.228725,957.871175,833.81635,674.6187,899.7717,1095.9575,847.895975,1338.141625,1479.12005,1444.6634,1148.9214,1095.9575
"ZNF213",0.880030930892436,0.650483597075495,0.826888410411514,0.705115630125501,0.901284120810149,0.998765268648543,0.84133909269787,0.99823136941126,0.99999122306403,0.999999999999631,0.990340299161049,0.999999895951233,0.999229834034759,0.999757909759482,0.999849396668506,432.7694,666.447393333333,753.987402777778,731.198001204819,731.946725,648.9724,65.5961,44.1543684135902,47.2720521693061,34.2698614150333,108.166513257965,NA,399.97135,518.46755,567.0623,526.1369,584.73915,648.9724,465.56745,803.70555,896.6213,890.32995,831.143025,648.9724
"ZNF343",0.999593855421934,0.990725753792266,0.95818156276893,0.989782487757747,0.919063861832479,0.999999999943108,0.999878327697458,0.999999995905332,0.998136597638241,0.997735788348095,0.944306142282765,0.953598168751384,0.985594237734805,0.985345463880451,0.966480866163594,333.4956,311.70792,291.747888888889,291.497128915663,313.281025,227.5759,61.1552,17.5115372521749,17.0619440673029,10.2436678207904,28.4194003479541,NA,302.918,224.141275,210.366975,220.1314,285.34225,227.5759,364.0732,364.7328,342.828225,348.5707,334.427525,227.5759
"ZNF302",0.999746859264057,0.983335028431273,0.847927533704317,0.923066630248121,0.190701841668632,0.908660831520694,0.998199920699418,0.999656579550373,0.999874909503079,0.986582287634552,0.993445669200046,0.997117484417557,0.999970340965903,0.999999999722123,0.999751944003439,271.9764,322.860333333333,394.149422222222,444.372084337349,362.328975,439.9074,106.6269,24.8920291272894,34.1990036120209,32.0403704364111,24.8156062208971,NA,218.66295,222.41925,269.912725,272.727,334.162075,439.9074,325.28985,389.68725,493.63405,530.3399,387.5499,439.9074
"ZNF268",0.837578864557009,0.829725833121099,0.999999997031563,0.735231043554765,0.993812658540173,0.993746779625921,0.867714863184495,0.999957728065077,0.999968732937349,0.999999998797823,0.988899150375899,0.99999815441652,0.99999741412285,0.999922596336136,0.999965366572414,186.44875,371.036393333333,372.552461111111,395.859640963855,393.2395,348.4415,133.55125,27.4208828159019,37.3654486464804,24.8907554172961,40.0844798636164,NA,119.673125,278.442275,220.44115,281.3328,368.43775,348.4415,253.224375,487.550975,483.97755,474.9487,447.46835,348.4415
