"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF195",0.991741635174244,0.0710337494633808,0.594150570159743,214.346234836066,219.27935,263.639765,4.4051163407601,18.8983164560365,27.030516255246,152.335975,183.397225,206.324875,257.251025,258.247325,279.86855,488,6,20
"ZNF263",0.386666966983069,0.607111740400778,0.76672808452265,641.648711680328,746.657533333333,683.86303,8.84915676288508,44.4921628144303,39.8470738601998,510.929525,671.965825,571.1443,736.117625,750.820725,772.625525,488,6,20
"ZNF200",0.083360217256615,0.98816287143826,0.123713704258015,264.150614754098,335.083516666667,261.44198,3.68072265281468,21.7344442148159,16.2909062547122,207.692375,294.07295,216.172675,306.185925,379.93335,319.800025,488,6,20
"ZNF582",0.216028132062438,0.618413425940509,0.564981732827045,9.53377827868852,2.67761666666667,7.407445,0.455584439778801,0.616050455410197,1.94771402279799,3.321775,1.448125,2.03895,11.59285,3.447825,8.463675,488,6,20
"ZNF285",0.957519989346137,0.35138901715504,0.624894516214878,12.9669053278689,10.8134833333333,18.854705,0.84564302666626,3.60388700002434,4.58814165977718,3.2399,3.82445,4.0344,16.378725,18.069,33.27315,488,6,20
"ZNF275",0.902099269219347,0.602158905058983,0.67054984558477,424.937696106557,469.17785,370.352855,11.1550375516261,128.853437132402,65.5129330050216,246.00705,324.42765,240.652775,558.697625,506.5166,347.949075,488,6,20
"ZNF37A",0.766281140201535,0.129707376818325,0.939959403609258,324.999028278689,381.542,412.426585,7.06188128894071,70.807142528599,145.289407344806,215.137175,276.7454,217.6356,401.14655,535.1316,312.0647,488,6,20
"ZNF510",0.369853637882746,0.0613690610472488,0.996714529412391,187.287211270492,146.556383333333,149.20384,3.38742646868346,23.1586730346742,8.30875142773981,132.96045,116.251175,121.746225,225.671125,168.437,174.401425,488,6,20
"ZNF506",0.750485152101592,0.238113954062989,0.986548609131293,161.518995286885,129.8471,122.057175,4.88084130564097,31.2438912998579,18.854414283381,75.411325,85.626025,44.95735,231.3019,177.470375,185.37275,488,6,20
"ZNF324",0.895989415462017,0.442040783698925,0.977356411292219,238.3727,253.112833333333,260.73908,3.53864041449375,28.4130694517114,28.1550453246741,184.873825,200.938525,202.6408,281.297675,290.220275,261.2872,488,6,20
"ZNF671",0.601136096861096,0.995593005920568,0.699969270087042,37.7458071721311,25.3045666666667,37.103,1.44483976863265,6.32986903717429,4.87881123741386,15.8669,16.346,21.5988,52.00395,29.854625,52.89805,488,6,20
"ZNF416",0.999176264249595,0.999898438924194,0.999584242099102,145.603873155738,144.60295,145.4087,2.86282807109186,25.6005528373738,12.8368722136623,104.9903,120.277625,106.638825,172.44405,143.744275,160.588475,488,6,20
"ZNF586",0.957793746673051,0.926267705637204,0.997737349112491,133.150319877049,126.38,128.138235,2.68533029173249,9.29283666182363,12.3737543832124,95.25275,111.6461,89.558525,163.96545,142.9739,149.1955,488,6,20
"ZNF446",0.958280525449496,0.571579231829482,0.739889556540376,192.17388545082,180.9362,214.82112,4.44974754615636,20.4583761432166,24.5501232099637,129.3887,165.3069,135.701325,225.293575,178.163875,258.8696,488,6,20
"ZNF8",0.193692603920766,0.856622613049651,0.174090282393426,92.5936008196721,66.6602666666667,96.99778,1.63187079775172,12.3230606986432,10.3074150015276,66.8532,48.32795,66.102275,112.07605,78.023875,101.70205,488,6,20
"ZNF264",0.83672998390967,0.0166454061255707,0.672717582948933,654.500113114754,598.325366666667,503.33143,10.9095337171265,160.437956710332,35.2792161131915,490.725625,351.401475,359.897025,791.26745,604.37665,563.622525,488,6,20
"ZNF213",0.977732426674759,0.0169574105287577,0.471996611374382,498.230869672131,483.635333333333,387.931855,8.03684745004477,62.8455310589155,29.2708698791976,382.07,392.797875,274.235325,577.2525,588.97695,476.87435,488,6,20
"ZNF343",0.894946380336042,0.323885004344069,0.94935550982883,254.588663934426,273.710816666667,288.53669,4.7172343446651,22.1540274809257,22.6282276881122,191.1352,271.35075,228.189775,288.696,287.046625,335.21185,488,6,20
"ZNF302",0.980462110173425,0.111559984663532,0.483447852468336,225.997266598361,216.10215,284.29759,5.7196687730301,27.7389411050212,35.8166966622823,140.739725,158.8928,194.66575,282.725825,277.2289,314.198275,488,6,20
"ZNF268",0.999204422173156,0.310977738923586,0.734178389730563,266.9920375,269.2528,218.726925,6.61749566181033,57.4084590243575,23.9059511886904,159.174125,138.803325,157.417325,358.62135,381.596575,260.14275,488,6,20
"ZNF184",0.940047875495753,0.83331154878184,0.832165212012965,200.082119672131,187.9941,211.6168,3.95087052088819,25.5082849547097,23.8429973132177,143.653625,180.0497,154.561775,235.009775,226.5195,239.92365,488,6,20
"ZNF500",0.639705375143803,0.2725859847635,0.268234234768038,199.845038319672,223.947166666667,176.95519,2.97999505076046,17.0795406110092,11.062696898577,153.518125,206.732575,137.71735,236.37305,247.146575,198.37885,488,6,20
"ZNF419",0.926736044486295,0.290864105588619,0.912255416166701,122.088124385246,132.110233333333,144.58832,2.98631099600462,15.927287537382,14.1763421690405,77.854,97.67505,101.677525,155.32235,160.003775,170.0248,488,6,20
