"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N2a-N0","p-adj-N2a-N1","p-adj-N2a-N2","p-adj-N2b-N0","p-adj-N2b-N1","p-adj-N2b-N2","p-adj-N2b-N2a","p-adj-N2c-N0","p-adj-N2c-N1","p-adj-N2c-N2","p-adj-N2c-N2a","p-adj-N2c-N2b","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-N3-N2a","p-adj-N3-N2b","p-adj-N3-N2c","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N2a","p-adj-NX-N2b","p-adj-NX-N2c","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N2a","mean-N2b","mean-N2c","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N2a","SEM-N2b","SEM-N2c","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N2a","Q1-N2b","Q1-N2c","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N2a","Q3-N2b","Q3-N2c","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999077952012869,0.999945749659179,0.999999999727527,0.999999999811118,0.999999027904695,0.999998752387884,0.998835761815326,1,0.999999999945729,0.99999857486948,0.907742164230292,0.798265400489268,0.959324728760633,0.994706623492653,0.7917547084607,0.995045421527419,0.981581104550961,0.989342758149678,0.9980024502051,0.980599136995623,0.999999951216793,0.999885029434508,0.999999986215852,0.999999999991178,0.999996461598279,0.999999994165947,0.953665027558859,0.987382382478634,217.055313114754,209.776068674699,208.133515789474,215.47365,209.440695061728,237.426366666667,242.382255555556,206.831916666667,5.89071717358222,15.2539956648362,17.3924026064304,18.2344449460127,8.95377650642469,15.42729783013,23.9039309048109,14.0007327636532,154.58905,141.3611,163.47655,160.1056,152.0737,173.4661,197.1326,180.39835,268.284975,229.45675,233.3739,269.320075,253.8705,305.136,290.8545,261.347,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.999999949183432,0.939863388257149,0.941190788516916,0.997475966425876,0.996766875116439,0.999988159290012,0.963528523248168,0.994865776283316,0.731870257388399,0.947351133019679,0.999999999991823,0.999999967552663,0.974965016056528,0.999084700151942,0.994544561529626,0.96422509277563,0.977536035870687,0.762297164769292,0.903710496643775,0.998344280903497,0.973664114211549,0.912975527701599,0.953271182573952,0.631655279410553,0.854087964291591,0.997988044225622,0.950832892605334,0.999999969157563,639.234804918033,642.661644578313,584.987936842105,605.07895625,665.816372839506,637.980253333333,709.345733333333,699.096738888889,12.7539292677836,17.2126142976599,36.8728950594596,43.8237142788762,25.9125258209037,23.9678697210216,61.6667450936483,52.2429472583653,502.22575,529.39855,502.5568,467.85545,526.1461,522.4524,620.3674,529.951925,729.863825,731.78315,657.69965,736.7891,767.3384,746.5419,760.9558,791.8575,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.9418485539323,0.983352010257818,0.999992074431588,0.201033420907652,0.610640418718118,0.918057373143278,0.373897589529528,0.991200526541838,0.999998589291257,0.884991858236931,0.999965024955569,0.999718223199098,0.998924372730881,0.475461033047912,0.93653294241092,0.994129929303934,0.938880434290573,0.93205315593342,0.366797588679785,0.78355876285513,0.9875376423906,0.977419410453688,0.999969260266984,0.999999999924305,0.938243871166215,0.99999991279249,0.998135226591737,0.921961048366596,273.145234836066,261.231190361446,255.345668421053,221.3052,250.751403703704,268.481977777778,294.453955555556,253.897816666667,5.17076460646705,9.05151556138873,15.9285229335278,13.7496950334059,9.17849839009602,12.242032299365,35.5567930628363,16.6666330325018,217.376575,193.53745,224.90135,191.426325,201.1399,219.9396,223.7998,206.139925,314.803875,314.7008,277.1005,255.831775,290.1587,318.397,298.8179,323.91895,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.999999314269933,0.998926207589068,0.997951335985582,0.938227847010454,0.929978161828001,0.999750677027644,0.99884576859094,0.997952066028369,0.999996639553309,0.991485848916746,0.991602640931248,0.989138909473305,0.999999999999255,0.999064116494388,0.999987874931487,0.999998922173744,0.999999957631226,0.999493223071496,0.985621036945912,0.999880402274672,0.999220545182232,0.987507795869466,0.98329002371734,0.99999855920343,0.999996362348107,0.999492279799636,0.999990970515543,0.996784719752551,9.77955655737705,10.035913253012,8.35947894736842,6.7387875,9.00643209876543,8.43788666666667,10.5104666666667,7.62089444444444,0.665026571994081,1.36670316103975,1.58696513280031,1.04228156312146,0.939839228485756,1.17568822277323,3.46387546490761,2.16425838155299,3.416225,2.61445,3.3956,3.21475,3.5282,3.9634,4.8129,3.21515,11.93395,12.22075,9.52175,9.7379,11.7474,8.8,10.4773,9.4727,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.572945529367173,0.945407046574898,0.475983399442196,0.999999496165217,0.966003345157754,0.99791790135485,0.99140779948397,0.990725231428116,0.812193562091739,0.999188142908777,0.186623936413246,0.982918170119892,0.198279866118526,0.762720673114273,0.730222635108543,0.876477870112257,0.99837834771392,0.610872895678247,0.924603128756615,0.973276841680417,0.999999950881425,0.999859560638933,0.999649997604186,0.943363064509175,0.999815544105819,1,0.959529562165155,0.988895777985912,11.529743442623,15.9471421686747,6.43841578947368,10.60445625,13.5075061728395,19.1538888888889,20.0909111111111,13.5191,0.832343137743839,2.21092521375426,1.01524072555927,3.41198261052096,1.44029332682204,6.25916991551396,7.1082360663225,3.26326418712419,2.722375,3.89295,3.797,2.459675,4.1857,4.7069,7.007,2.68295,15.6952,18.5494,7.277,11.362875,18.328,19.5398,17.5439,20.004525,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.99601326183513,0.994823574630767,0.999969740708429,0.958385251982262,0.997203495325704,0.999990504176995,0.210241717672299,0.84127993060003,0.999498486170563,0.99999997031856,0.999900037321233,0.999999952342993,0.999898187915311,0.995863755810553,0.882657072987587,0.95628055574343,0.993039277802306,0.999757354796741,0.999998682428495,0.99999984548143,0.990753045532872,0.654157462009114,0.481781336198432,0.584567391880887,0.439779501065849,0.0839121192388174,0.637455353780533,0.507952351769011,404.800205737705,427.85026626506,449.862410526316,474.6582125,483.363488888889,421.545833333333,497.530233333333,298.829533333333,14.9443896782816,26.1559712340429,66.4751089235433,85.7748511509424,32.9150637069899,31.9004442423841,76.1964634619175,41.7094947889911,235.94095,221.63895,238.14645,213.3642,290.6101,259.8187,330.6716,201.705,513.85315,597.2497,606.9747,618.059975,602.7998,543.866,518.7971,366.9861,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",0.999999669338312,0.99999999995203,0.999999999986445,0.999957421192563,0.999873035311242,0.999984991478447,0.978183575515257,0.998107710261801,0.999852578596865,0.992992187931746,0.998668034272089,0.999902112146556,0.999983116636211,0.997740613660755,0.999999961925379,0.98613886191334,0.992907196328184,0.996281301474944,0.979737937327025,0.999594525642326,0.999266739845626,0.178946649698857,0.294148423439267,0.583857699364654,0.425908763512967,0.546178201234676,0.57144300248333,0.994267765209133,318.168748360656,322.736087951807,320.583131578947,299.40155625,342.857848148148,337.9583,378.591155555556,441.344244444444,10.1226583247851,18.5848598730263,27.7418803582596,25.7246891383485,17.0250681985758,21.1145169068591,69.1962781331745,161.136805779764,207.532925,197.0405,258.32825,227.80895,243.3002,247.7802,235.8037,236.078125,379.456,421.7256,393.9424,391.1708,423.5,421.5835,436.0812,326.53465,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.799200873364383,0.989813813325543,0.776288990426754,0.999808578799575,0.948010238297658,0.999996948781883,0.999642619463624,0.721845049569384,0.999407721744765,0.999999423901263,0.999994018905158,0.993168881579623,0.985445981599858,0.999279161419731,0.999012971476115,0.605883571349889,0.29007457409566,0.970470042974879,0.931920049216232,0.764873594201048,0.60988720577707,0.984516404098631,0.999999981729071,0.899596261213585,0.975014459421603,0.955391808858558,0.998263725238109,0.441211570295412,186.388720901639,172.13823373494,201.427768421053,195.14895,191.169274074074,183.078924444444,232.145066666667,169.833966666667,4.90817718830023,8.13326414078287,19.6311470245256,18.6487464471744,8.01346209126558,8.80105383748128,23.7897237130458,15.528251968461,129.928925,124.9109,138.37235,147.1557,144.3461,144.7368,179.0776,124.610175,222.55135,209.63225,244.7914,216.007775,225.5462,215.6462,302.2308,187.17985,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.419454706226033,0.995121311888146,0.999975291537443,0.875288575037678,0.999986781548467,0.999646007016608,0.955151288871499,0.99332318246566,0.999999915046241,0.994837262997776,0.997357063877375,0.990878645716789,0.999996809231505,0.991801391176069,0.999999824448965,0.999452497082921,0.906655635642777,0.986408742198236,0.906278704703012,0.983775215337471,0.99287879159641,0.767368698365762,0.999826116420856,0.998615574973483,0.999999996007253,0.9832826370475,0.977465955234983,0.863184724911096,170.388901639344,141.969151807229,151.170284210526,132.9535875,155.231535802469,158.519171111111,189.854977777778,129.42155,7.37027805533719,10.2915055867813,19.4836803495476,30.0068282395967,11.0660273762338,13.3610103694504,55.9623636621817,19.6067863399473,79.476175,62.86135,89.8222,36.918175,63.8362,84.6282,85.5086,49.34785,236.699125,206.76635,198.11705,204.54755,221.7443,221.3364,185.3768,179.002275,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.995875924240711,0.951957811723784,0.848772176875167,0.954860475602484,0.996829110477041,0.731614869647697,0.87857584678553,0.999608001403415,0.669085213122033,0.99990615987895,0.993299344180205,0.93106859018884,0.99963848680816,0.844742213866596,0.734203057712334,0.99993627718904,0.998237349631025,0.999977874489611,0.973780641607765,0.988594305711367,1,0.846420258695913,0.977490426663427,0.573028631483894,0.999999700215514,0.997734375749659,0.681288644612399,0.938701708905408,236.324303688525,243.824208433735,214.8908,259.276775,250.223741975309,225.964897777778,225.716944444444,264.207972222222,4.34913976976662,9.67754320062132,17.7757512702439,23.0199585282958,11.0045155845962,11.6386262906795,21.4931003291761,24.4519096706485,184.02755,187.95225,158.419,214.833625,173.7724,184.9315,190.5615,215.7328,278.565,290.5859,254.30545,308.4711,287.3695,265.861,269.3663,275.79775,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
