"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-T4a-T1","p-adj-T4a-T2","p-adj-T4a-T3","p-adj-T4a-T4","p-adj-T4b-T1","p-adj-T4b-T2","p-adj-T4b-T3","p-adj-T4b-T4","p-adj-T4b-T4a","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","p-adj-TX-T4a","p-adj-TX-T4b","mean-T1","mean-T2","mean-T3","mean-T4","mean-T4a","mean-T4b","mean-TX","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-T4a","SEM-T4b","SEM-TX","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-T4a","Q1-T4b","Q1-TX","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-T4a","Q3-T4b","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999356752578989,0.66591805716506,0.489629514445104,0.998752578059296,0.99998977476187,0.984353980564483,0.629527604433045,0.411088667864414,0.999999997887857,0.980234751028039,0.993631052472875,0.997895754604224,0.999997728751546,0.99935108624389,0.999998446056927,0.996666850730239,0.962766783429651,0.619843866166223,0.963274491116356,0.599766604565465,0.9645329527236,236.123202857143,227.829778807947,205.952445185185,223.122092,205.330607142857,196.0693,255.913366666667,29.1771885211964,8.35146408903352,7.44574324095302,12.5968773010601,6.85403888459881,15.9222176107266,22.26604375399,150.83915,160.18615,146.8635,179.9159,147.931175,181.8695,206.324875,264.7023,269.91465,264.40855,245.4811,240.112675,209.40715,278.696525,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.999999999958457,0.99999978933742,0.999999309089879,0.37065138607447,0.165325531760522,0.204256002748204,0.469388875368642,0.034250820585276,0.0662213531071235,0.979210073890126,0.998070618733817,0.997488582875012,0.996724894538217,0.786554628024992,0.900914589771423,0.409838110773871,0.284522050508439,0.320284414307195,0.999801291042002,0.9432918294952,0.712821187402977,614.451057142857,615.457494701987,618.674533333333,718.451736,683.267024675325,551.267033333333,743.265541666667,26.5126647613618,15.0284872100525,17.7707032194097,42.3814767808418,15.2760411160754,59.9863678630774,54.4229083055668,494.0252,503.58925,482.716,599.4675,541.609925,505.5459,676.79985,715.919,709.97575,716.6307,822.7588,769.628425,607.7573,804.231375,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.876251801560978,0.908442644764111,0.999999824060184,0.0641333071635135,0.200549458288064,0.183586189727021,0.922665595301156,0.999992472762608,0.99999994703965,0.155720236505816,0.959368746211982,0.9966633236997,0.995929136814808,0.999967256660287,0.995183750249495,0.870041841403141,0.995957620692085,0.994250868014568,0.96568471855679,0.992144968483074,0.999977093456984,245.483754285714,264.326779470199,263.249008148148,306.14958,262.371157142857,292.7776,279.479525,11.8410479987788,5.94268687779956,7.34253423462478,21.4332786778155,6.60463865788558,41.4056124967377,19.9660945739883,201.1263,210.62635,201.024,239.5361,209.93635,251.425,216.172675,288.30595,304.3944,317.79015,356.0855,302.56055,315.26785,337.360775,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.999997457895631,0.996838830148939,0.878945075800103,0.996727127619588,0.974876099114607,0.999994112181784,0.956424947105742,0.477979498567375,0.996608674807018,0.99999964855619,0.988032828122689,0.97981592705161,0.996964703060182,0.99890888716605,0.999167473640072,0.997793230362523,0.998629334748542,0.95380119583785,0.957338457541558,0.876468292196288,0.95292140545333,10.1847228571429,10.5148298013245,9.05121333333333,8.610036,8.33764935064935,5.58836666666667,12.058925,2.19137847650641,0.835499992255259,0.87858124564009,2.52980928860181,0.625101654047906,2.28311920431481,3.92062100208483,3.5556,3.69035,2.7141,2.2046,3.23915,4.2921,4.6652,11.5075,14.1991,10.54705,7.5231,9.6211,7.86415,12.209075,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.916974370868998,0.900376816591678,0.999999930497231,0.997604600555239,0.631610455756968,0.605703426634784,0.895535063599215,0.99999993250506,1,0.595722124350114,0.962522936953209,0.996054873160044,0.996714601328228,0.898774193165321,0.996667478610029,0.999996197467132,0.96922594730515,0.963209512007635,0.999982003725063,0.962564767358166,0.955927635234843,16.6423342857143,12.6588245033113,12.444937037037,19.432464,12.4530305194805,5.8619,17.8226416666667,3.86520818758322,1.18506625219103,1.24939711012295,11.1675925361839,0.972157233280509,3.6090705493243,4.52746367139782,3.9154,3.09445,2.9884,1.9936,3.630875,2.42475,4.017675,17.48055,16.95755,15.5208,15.1316,16.906725,8.53365,32.48055,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.999985747154574,0.996236383242997,0.996288167469082,0.917269795058723,0.694969584908717,0.479443443398822,0.738286199239849,0.36350126733048,0.798877364480571,0.102913352663684,0.996396481768155,0.992080338078827,0.9814638356679,0.999999774833649,0.922492737139348,0.997164588266062,0.984707304641114,0.94417757311721,0.999954684086404,0.68284699209463,0.999970054524562,397.528331428571,408.484346357616,426.581151851852,323.90222,467.651659090909,306.108166666667,348.844116666667,28.7071788121178,19.8073514660137,21.8404661922044,38.8464616521565,21.726333425926,50.9818028895387,71.1386275130965,287.418,228.4871,248.12005,166.088,275.343725,255.1468,218.611275,485.3769,516.7054,537.59015,425.2884,613.622925,332.83885,375.472375,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",1,0.98989227085536,0.892688708703212,0.893975559671171,0.76578560413465,0.985173444187865,0.99497946549163,0.933373467134197,0.999998648177474,0.973694258494339,0.997692178255825,0.997164969050874,0.999871372067628,0.999999999471913,0.999781501077587,0.00404446553214699,0.00076878276975989,0.00010612936266019,0.000218162383321174,0.000126719053505586,0.176972577267151,341.264322857143,341.637115231788,313.859666666667,280.0264,317.502982467532,274.934366666667,584.122266666667,23.9000018946134,11.9340196253611,14.777989316762,20.9655806243225,12.5226187176342,40.1365839170174,237.731112118296,232.6668,245.87835,193.90395,194.4056,206.55875,234.80195,244.195375,425.2133,414.6253,385.68415,329.6053,385.3894,295.50145,516.92085,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.999355775811316,0.990571435079965,0.999318159884771,0.0996480775299574,0.0616745763241068,0.12423386900795,0.993886145891353,0.999815967106967,0.999999885144513,0.101382253667364,0.999967983021369,0.99999952000198,0.99999999961387,0.973660161716019,0.999999995160983,0.9999707567552,0.999999999999404,0.999998262508745,0.574604558536134,0.999999674761101,0.999999813007365,195.687317142857,189.421408609272,185.425876296296,143.376052,186.3409,183.674233333333,189.108933333333,11.1632976281878,5.77104952046919,6.58334036897491,10.1888214841857,6.37078354220704,24.0890785547679,22.4781071074701,153.8658,133.8319,136.56,123.7514,123.32875,160.2563,145.4398,217.6144,228.80885,215.6355,163.6237,236.192,200.2733,196.38505,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.998782742767561,0.964662547585936,0.238231628980288,0.999846887725015,0.977279497457681,0.999678157012326,0.999984558532636,0.99946853002429,0.479663762094541,0.995605088168458,0.497559632343546,0.355535551969478,0.665968921512477,0.61938132061283,0.408096350114968,0.996389072039643,0.953889047892704,0.999999967523799,0.999911117971659,0.981334815424846,0.785319135269338,161.738177142857,171.824267549669,142.627311111111,151.9112,166.497918831169,41.6536666666667,139.901341666667,14.8714283996178,9.33688883880223,9.17242641895851,19.3846138543021,8.45991954929125,9.25406479595738,24.922836980339,92.1053,85.0851,50.9414,87.8594,86.7795,33.4702,57.60155,211.42505,245.9281,211.16715,192.4889,231.169575,49.48725,196.0487,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.24674942352154,0.553754102542511,0.987692423720931,0.99996948558747,0.635213943896993,0.878479500563741,0.126280456961198,0.998901607947826,0.871822420405643,0.456261076619846,0.656969124567044,0.963745990561931,0.925991114829813,0.745493428155991,0.978858401798006,0.99996162383067,0.583761393986816,0.780869275433176,0.999239269243404,0.455325410224842,0.635185355227841,268.900488571429,234.525029139073,241.793333333333,263.305964,229.995188311688,190.287933333333,276.330341666667,15.2589510485732,6.25449863243983,7.37979196048018,15.3611459517597,5.6992915951329,27.2879248700674,35.8151811133306,197.61515,181.86375,176.58465,221.3817,182.60225,165.14535,218.8714,299.1263,274.42315,292.40975,297.4359,273.5002,212.04405,288.4537,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
