"gene","p-adj-Head & Neck Squamous Cell Carcinoma Basaloid Type-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma","mean-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","SEM-Head & Neck Squamous Cell Carcinoma","SEM-Head & Neck Squamous Cell Carcinoma Basaloid Type","SEM-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q1-Head & Neck Squamous Cell Carcinoma","Q1-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q1-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q3-Head & Neck Squamous Cell Carcinoma","Q3-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q3-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","count-Head & Neck Squamous Cell Carcinoma","count-Head & Neck Squamous Cell Carcinoma Basaloid Type","count-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant"
"ZNF195",0.000639041165462095,0.859023349908453,0.231938145202577,214.144693307087,329.57105,163.0993,4.21417231086944,56.7841206096921,NA,153.694525,223.1319,163.0993,258.680125,401.132625,163.0993,508,10,1
"ZNF263",0.0108879125302046,0.936789729638305,0.447140358071109,640.731310629921,819.21402,574.2935,8.50974816115077,77.0884613934491,NA,511.250775,651.336975,574.2935,739.54275,986.906175,574.2935,508,10,1
"ZNF200",0.929806260026642,0.225550685748078,0.308916244696138,265.388515748032,255.98505,131.5132,3.59867726415623,24.226292568829,NA,209.3472,214.170725,131.5132,310.542225,300.1502,131.5132,508,10,1
"ZNF582",0.9681139964878,0.999838649361804,0.998179269658882,9.35936968503937,8.58774,9.1887,0.445169778062216,1.53046541688032,NA,3.131675,5.8932,9.1887,11.282175,9.974075,9.1887,508,10,1
"ZNF285",0.337249134904517,0.519272483288577,0.81271703100192,12.9412507874016,21.31947,33.309,0.819134291885389,8.33071816697496,NA,3.29295,4.026175,33.309,16.378725,17.36955,33.309,508,10,1
"ZNF275",0.997300654297715,0.000318978310288931,0.000692835573118167,420.616808661417,426.11369,1380.6015,10.9738818009228,43.5433150777717,NA,243.897625,365.2563,1380.6015,537.955475,457.5208,1380.6015,508,10,1
"ZNF37A",3.27790850018772e-09,0.612503827144453,0.0148413199123821,321.73720492126,701.03189,141.2762,6.82767354528944,274.932426666869,NA,215.137175,343.891175,141.2762,390.518275,556.7043,141.2762,508,10,1
"ZNF510",0.143691004145257,0.606443147384939,0.299146019362629,184.691891732283,229.10789,114.2844,3.28029004437208,19.6352144511417,NA,132.25195,201.66425,114.2844,221.01585,277.3993,114.2844,508,10,1
"ZNF506",0.800844997768982,0.968191883919857,0.999214371299379,158.996728149606,180.68718,184.9225,4.76198490909592,26.2943111009832,NA,72.983025,115.9902,184.9225,228.75875,261.70625,184.9225,508,10,1
"ZNF324",0.951569237749979,0.155442420575649,0.153238529087689,239.75146988189,247.41536,91.887,3.52912566397673,32.0058285961139,NA,186.503475,163.34485,91.887,281.242625,288.0289,91.887,508,10,1
"ZNF671",0.471276239329392,0.87274640338404,0.684046124744997,37.446699015748,49.18494,21.8232,1.38683181054229,12.2123348622175,NA,16.1265,18.193375,21.8232,52.00395,69.810275,21.8232,508,10,1
"ZNF416",0.510212951415328,0.427020185525062,0.671069451544333,146.633313385827,124.43372,68.3409,2.80157701049616,12.400432093554,NA,106.17495,94.560725,68.3409,175.26115,149.004875,68.3409,508,10,1
"ZNF586",0.0831962722607148,0.976207114195498,0.671684457559014,132.310414173228,172.40369,120.0273,2.61037579017632,16.2190141706061,NA,95.02965,155.3077,120.0273,158.62935,200.599325,120.0273,508,10,1
