"gene","p-adj-hyper-methylated-CpG island hyper-methylated","p-adj-hypo-methylated-CpG island hyper-methylated","p-adj-hypo-methylated-hyper-methylated","p-adj-normal-like-CpG island hyper-methylated","p-adj-normal-like-hyper-methylated","p-adj-normal-like-hypo-methylated","mean-CpG island hyper-methylated","mean-hyper-methylated","mean-hypo-methylated","mean-normal-like","SEM-CpG island hyper-methylated","SEM-hyper-methylated","SEM-hypo-methylated","SEM-normal-like","Q1-CpG island hyper-methylated","Q1-hyper-methylated","Q1-hypo-methylated","Q1-normal-like","Q3-CpG island hyper-methylated","Q3-hyper-methylated","Q3-hypo-methylated","Q3-normal-like","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.987049883174768,0.134841133475874,0.0271056596953683,0.807803735157034,0.419922992508736,0.384521365477669,187.225963829787,182.519614285714,226.069230555556,200.404686904762,9.26985254530097,6.85944678442784,17.9925625822246,9.43783610437113,149.0853,141.7719,154.3477,142.9013,219.37465,211.58815,252.79645,240.173625,237.266563636364,216.176789807692,228.9811,195.71805,195.66725,256.8491,154.102325,261.126375,10.3791654038505,4.30429547785759,0.911113586737853,0.8547345173903,-0.134297171696208,-0.226451709883312,"HNSC"
"ZNF263",0.707267081774215,0.00291384833748098,5.247060032465e-06,0.012050732022829,2.55582695596335e-06,0.69888462521269,570.156061702128,542.447447321429,685.883194444444,653.714292857143,22.851224538922,11.9597717520886,30.6580073330927,16.9292101873223,443.877,453.79235,534.062225,545.287775,667.5356,606.90485,766.149475,742.69175,588.740272727273,644.037497307692,568.3472,617.3822,503.662575,683.2816,513.056925,741.4806,19.2676574953644,8.50096453527708,1.09392465088937,1.08627648733028,0.129513369271268,0.119391355565936,"HNSC"
"ZNF200",0.988993826429426,0.375800570954269,0.39655764724197,0.811788785009811,0.438733334704448,0.0482328089495048,263.906972340426,268.19825,291.680691666667,251.310963095238,9.96751073796974,7.20780947324752,15.760278465162,8.4589528310637,210.9778,210.964375,223.392775,203.389925,293.04375,312.821625,361.6354,278.015375,161.845868181818,264.804867307692,158.6769,255.0566,134.984525,178.2414,207.918825,310.542225,6.1931834117933,3.55598403516756,1.63615463454532,1.60739590954953,0.710309105216764,0.68472531569387,"HNSC"
"ZNF582",0.0082200032699532,0.0104391438915705,0.892827459021864,1.92082077354883e-07,0.0054878895401016,0.311733527052507,4.01300425531915,9.07905892857143,10.317975,13.4480857142857,0.502680212961326,0.643490815163458,1.60795614192032,1.40781527346761,1.5497,4.205325,3.9315,4.4453,4.8035,12.39185,12.27495,21.362425,24.5167181818182,9.35938576923077,21.6916,6.2757,15.4489,32.1235,3.2052,11.282175,1.87837875612217,0.436074236160618,0.381755245535749,0.289314757786424,-1.38928011427278,-1.78928817866355,"HNSC"
"ZNF285",0.134481945359897,0.00124617993185139,0.0868066303994828,0.185349808709333,0.999874697053972,0.095196010917229,6.96086382978723,11.5040205357143,16.9594694444444,11.3816071428571,1.5431792634505,1.07136566775148,2.19725024635165,1.43890544895888,1.62905,3.793475,6.603675,3.60085,7.8777,15.790525,23.434375,13.304475,23.0243727272727,13.1557594230769,22.1659,7.181,12.95835,29.9892,3.313,16.7107,2.24723916894613,0.817151621412972,0.571384053711644,0.323966092060327,-0.807467321042463,-1.62608527367984,"HNSC"
"ZNF275",0.424522977844417,0.142427846394895,0.69341984415667,2.85424576196291e-08,1.09979833462504e-07,0.00978999687962856,369.145540425532,430.909464285714,479.792625,626.061492857143,30.6829517442698,18.7589730441261,27.6271197838543,32.9774965049115,218.81895,292.170425,353.30415,402.83425,456.3519,565.046175,589.7839,839.14845,271.169859090909,422.554947692308,212.37515,368.028,179.750975,332.09445,244.42415,537.955475,24.6919516615655,10.9072432706947,1.55826664920989,1.73291460888903,0.639942127222866,0.793200565999806,"HNSC"
"ZNF37A",0.892739801316647,0.0746630578433698,0.137377510192441,0.193523517846949,0.348151453866612,0.817557906500399,312.672417021277,331.887485714286,396.2285,369.104155952381,17.1124805201518,13.0525604953645,31.6836509857787,19.4444709485114,234.79565,235.2797,311.702025,235.3713,373.48435,414.0169,458.72785,444.487125,325.433568181818,328.528931153846,337.2188,301.32665,260.210775,402.6773,216.46205,397.62955,16.4139662543146,8.66499707692465,1.00951150488046,0.893564208163958,0.0136573524122395,-0.162356695255153,"HNSC"
"ZNF510",0.935630224068736,0.647303556519533,0.846295435616083,0.969569745638586,0.578928668861428,0.320079694992939,203.858427659574,196.321452678571,184.775047222222,209.904388095238,12.2595642232112,6.68285058687047,11.3332113613608,8.06491297589248,131.98065,147.470125,143.205575,161.2022,258.9913,218.803575,213.001625,249.393125,171.282993181818,185.284188846154,168.29165,175.6974,123.658975,207.98035,132.25195,221.441425,8.89046998695973,3.24103694046322,1.08174305810661,1.04400545125085,0.113357862551068,0.062129244926988,"HNSC"
"ZNF506",0.0303271426114348,0.000189266192198612,0.084867698476462,2.07165674481757e-06,0.00691588179142089,0.99982997773043,96.1054063829787,145.187269642857,191.527777777778,193.110392857143,13.1614180065451,7.73673511952953,17.9747511027835,13.8259882803642,25.24355,76.531725,97.050075,118.2769,156.96,193.018775,270.518575,258.3344,246.999822727273,159.407996923077,246.71335,148.062,206.4163,300.481925,74.69655,228.9245,10.2601148921627,4.67912995534408,0.645376968950657,0.600137771223162,-0.631786000442636,-0.736634362425863,"HNSC"
"ZNF324",0.00787407864890999,0.00352265284980602,0.703111374922983,6.64851855620707e-05,0.289197513619041,0.994713474555041,284.680687234043,240.002433035714,223.493152777778,219.565189285714,14.0148870334699,7.51229292329994,13.3436245560606,7.62889133420348,221.3891,194.464875,151.66865,169.1716,301.99935,275.768925,272.38905,256.3952,239.172456818182,239.748343653846,243.46975,231.2504,200.042225,280.986425,186.425175,281.346025,8.72830144630759,3.5112297809354,1.00240783091551,0.949811629576159,0.00346959030197709,-0.0742866740994754,"HNSC"
"ZNF671",0.000726381806313015,0.586418459150562,0.166952633393907,0.000824917752983989,0.997807318868649,0.149355457464916,22.2488106382979,41.7758839285714,30.3398055555556,42.5406107142857,2.57792989493206,2.83377045496957,4.44860314619281,3.60146864627201,10.8844,21.109125,14.027525,17.99595,29.8699,56.07005,43.268775,57.66505,71.5563227272727,37.6604419230769,51.77685,28.38575,32.69825,89.531425,16.182575,52.28895,8.69174001825681,1.37530345560673,0.526304881074096,0.54823246296366,-0.926029320104674,-0.867140336643334,"HNSC"
"ZNF416",0.611084819021638,0.829622132664686,0.999260166288914,0.0010560886645149,0.00584256755505153,0.0591820906692907,163.054157446809,150.361216964286,151.815447222222,121.912351190476,9.02021714418091,5.56779317611662,11.4100803002388,6.00125876113595,116.45855,106.861425,112.97155,88.139775,190.2148,185.202275,173.660075,138.659275,162.653415909091,146.052340769231,157.04165,135.6883,115.9805,195.4433,105.8172,173.39775,8.39018553256519,2.75354932029258,0.897935896107225,0.864027472966566,-0.155315640643991,-0.210850909254996,"HNSC"
"ZNF586",0.976240300486817,0.417017703238271,0.499190237525338,0.0824196216625011,0.0601950297356253,0.965144332122909,118.065217021277,122.100895535714,137.210138888889,142.500505952381,8.08756874600994,4.81284669840465,10.6216326116894,6.54495130826961,82.11535,92.684,95.802325,107.5772,138.77035,144.36985,156.557775,174.812475,179.403038636364,133.154155769231,167.8331,124.84825,155.24635,201.2913,95.37845,163.322825,7.43766249095348,2.58044039679562,0.742206803080544,0.743883357931183,-0.43010687002333,-0.426851672649152,"HNSC"
"ZNF446",0.166631935452832,0.331287598988119,0.999830028966016,0.999081215684162,0.0408148298012592,0.189195929555654,187.279310638298,160.254900892857,159.131852777778,189.156248809524,15.8676994990356,5.05226824330639,12.4887975967878,8.45341179872564,118.9258,124.877675,114.807575,130.61995,214.58165,182.316875,181.504025,226.538,178.100895454545,193.474028461538,158.5844,168.4125,134.052975,192.9788,129.591175,228.654475,12.2790479620207,4.33226483011175,1.08631698884926,1.0619739394291,0.119445145049543,0.0867483632063659,"HNSC"
"ZNF8",0.999800073373846,0.340026092441591,0.187308817578162,0.601482531964823,0.344344557770328,0.886877675093669,90.522329787234,89.9882196428571,104.365394444444,98.9663726190476,5.22625062457748,3.4817994433325,7.37583498204644,3.89100347362691,73.6393,65.4319,71.955475,69.107375,115.58725,107.04675,127.173325,124.637775,64.4756386363636,92.6134288461539,64.90525,86.2866,55.49175,74.3158,66.3946,112.07605,2.02739416502112,1.59601226707676,1.43640963943738,1.32942404505028,0.522467239765056,0.410801353006353,"HNSC"
"ZNF264",0.998691976331663,0.954710453702827,0.967810338320412,0.510220221508964,0.216771857457175,0.256002234768122,721.83555106383,728.235466071429,749.242427777778,661.604641666667,32.8496873879317,22.5341273791727,38.1251331272897,27.3388892316532,579.3285,544.732275,625.829175,480.134525,838.27825,838.014475,894.39325,827.26555,674.428656818182,649.597953076923,685.3849,629.32455,552.05065,791.754125,487.484425,783.531425,25.5063399364529,10.6372731908769,0.963182608730766,0.918206032843735,-0.0541187519222147,-0.123110183937991,"HNSC"
"ZNF213",0.259502642912024,0.386297450990309,0.998137996840722,0.431108130908665,0.990669071054793,0.980742571763021,498.001223404255,553.90925625,559.74135,546.334078571429,27.7904050297489,14.2959742486747,39.0056306912014,18.2834195525455,399.72535,443.794225,408.452175,430.142125,571.0688,661.3539,647.904,647.167325,513.7374,493.380626730769,520.21375,474.96975,430.41375,589.2388,378.335525,575.3954,21.4530887368003,7.75329035612036,0.960375138603437,0.913028058178008,-0.0583300381305492,-0.131268898673179,"HNSC"
"ZNF343",0.850642485032791,0.991995073681219,0.713330120672951,0.294995699713816,0.00847048882220125,0.567790648333872,248.235238297872,233.63819375,254.774213888889,281.55953452381,12.7784245281365,7.94701171517861,16.6317855994307,14.5919899823957,193.1465,185.007725,188.51335,192.01075,270.5138,267.071075,304.926525,343.208725,215.188952272727,256.301050576923,212.0644,233.1858,188.744,253.495775,191.4902,290.073325,6.9091146421267,4.54112694499074,1.19105115699477,1.09959898974085,0.252235379917098,0.136977486484665,"HNSC"
"ZNF302",0.747565185589033,0.729196157972261,0.991830766774946,0.0169499229753226,0.0559721304075622,0.399757566373601,177.885680851064,196.367215178571,202.174588888889,235.239153571429,14.1951324713183,9.6090176425168,15.7719042716862,13.0753472351352,110.51,126.93545,139.392,158.476425,214.90385,237.4201,250.7684,263.63075,277.347318181818,228.691070192308,209.65525,205.3342,161.8763,354.899225,142.664775,282.725825,26.4625849745424,5.58665258741061,0.824565644591475,0.979389736245575,-0.278293742089761,-0.0300450178372111,"HNSC"
"ZNF268",0.0974466498123173,0.196254953796964,0.997336983752149,0.497301209058405,0.742250598824423,0.793154283986145,258.578823404255,318.383982142857,323.962736111111,296.64600952381,21.3499048977513,15.0797802204177,25.0570612720016,14.5729885990474,147.41085,216.169675,213.5307,207.538225,384.50105,416.431,426.666875,367.69105,296.294975,265.087921538462,319.4538,243.37145,239.28445,348.325775,158.7839,356.88805,14.33388086606,6.33968506454534,0.894675724886868,0.761836140311995,-0.160563222420904,-0.392447366172031,"HNSC"
"ZNF184",0.489028588457682,0.176006621868866,0.707149367185524,0.0569498439769762,0.444507350284356,0.999956388360999,178.82640212766,199.820701785714,217.30755,218.147247619048,10.5823698237122,7.90999664982908,19.6366889946101,8.37732702412671,135.2679,151.3543,151.245375,162.00565,188.4044,221.468925,218.638625,255.12335,160.283836363636,199.832361923077,160.77825,182.8766,136.24805,190.5618,143.0707,235.16895,6.46633234984305,3.84142793722522,1.24674057257849,1.13744614088037,0.318161293882767,0.185798233993181,"HNSC"
"ZNF500",0.98403910708767,0.437867611859125,0.494336604414506,0.00891366411552585,0.00230183586961996,0.604118064111238,186.36570212766,190.151054464286,206.505972222222,221.422763095238,9.06937161974087,5.22298088178311,12.4951053445356,6.50145165597185,153.0712,153.518125,139.19145,187.481275,211.7106,213.169525,266.841,259.8646,181.302470454545,199.146354807692,180.0569,189.4439,144.211775,212.588575,153.518125,235.722625,8.50066213076503,2.84669567058284,1.0984205251501,1.05213352001506,0.135430489133339,0.0733178001058735,"HNSC"
"ZNF419",0.99619823449544,0.625741246742738,0.38577228298177,0.941624629405122,0.759806834050811,0.845917497798132,102.646836170213,100.704115178571,116.135841666667,107.882854761905,6.98297942193738,4.47435841683593,9.08406485373411,5.95285129628203,66.66835,72.50815,76.801725,72.870075,135.2676,116.773075,164.0943,130.153025,101.536536363636,123.608520192308,97.0456,109.6768,84.87525,116.090525,79.2643,157.3051,4.95912416786634,2.89292963356239,1.21737971984414,1.13015736931917,0.283779237476753,0.176523675409267,"HNSC"
"ZNF175",0.224793158637501,0.976047070075811,0.59105249356927,0.604601024690434,0.879078562709478,0.908398950084897,97.2825680851064,114.139552678571,101.930338888889,108.694363095238,6.85271607159737,4.76787529055217,6.58702708881497,6.1984928217642,62.69525,84.798225,83.035575,66.775525,135.8701,136.617725,131.2806,146.217375,111.374827272727,102.788986153846,111.0118,98.2012,78.369525,139.6281,68.40385,131.572125,6.04274597313672,2.23429370042515,0.922910397895777,0.884601456782072,-0.11573750637311,-0.176900476785388,"HNSC"
"ZNF14",0.136493555920093,2.34696482581676e-07,4.26392781046614e-05,2.65959579914821e-07,5.87681757162617e-05,0.666267140553155,52.4950914893617,72.8536196428571,120.333913888889,108.051670238095,6.57355269022709,4.33068779756412,9.94422458784547,7.14476722535995,17.3978,37.538825,86.421875,56.817575,74.8519,97.6554,157.270275,139.14365,105.196097727273,89.6106478846154,103.9026,78.13195,73.3445,130.921725,37.252625,126.990475,7.25887789313302,2.92158253783471,0.851843840414465,0.751973001638073,-0.23133911432881,-0.41124722966275,"HNSC"
"ZNF85",0.365314982950725,0.00424145031852419,0.0689415559063987,0.0305626839464092,0.418801305194935,0.593686584189223,25.9161574468085,37.2516491071429,56.1351777777778,46.1273083333333,4.25141014539567,3.01132067764328,7.50307494042309,5.60930999071439,6.69345,14.734725,20.925575,16.699475,35.70755,46.86555,79.60365,61.438575,58.3213931818182,42.0730878846154,59.26165,28.72745,40.5563,72.608425,13.80615,55.551025,3.32341980256073,1.80649766690485,0.721400597435175,0.484756161868595,-0.471127476978947,-1.04466885794619,"HNSC"
"ZKSCAN1",0.986533507426745,0.560271149152781,0.626535363022061,0.019557881674508,0.00640422615058078,0.613911049964892,742.287461702128,766.996310714286,863.444294444444,965.386995238095,46.1706488776659,35.9920594276394,73.4689727386843,54.5900691520588,519.6854,557.2268,539.567,623.880575,911.6676,921.862075,1144.62635,1225.625775,944.602509090909,705.7459625,930.03735,652.7915,592.986675,1246.80485,406.43785,931.76635,70.1430778072102,18.6470873522204,0.747135388385972,0.701898154950444,-0.420558397448989,-0.510666383456171,"HNSC"
"ZNF862",0.999618595267431,0.973866547530028,0.93628307486119,0.0782739235436214,0.00946041337097525,0.312249253716906,173.336329787234,170.619811607143,187.810466666667,240.459680952381,20.6293274732293,10.7057483737746,39.1473692145397,17.6571776864364,83.9515,86.10555,65.244625,128.175375,208.3172,201.621075,193.999525,295.5838,291.122338636364,198.895595192308,268.13295,167.22595,211.9536,346.110275,98.270575,255.37815,17.693211777959,6.28899582157446,0.683202794137846,0.623668034831228,-0.549614219635384,-0.681149777243373,"HNSC"
"ZNF684",0.761445435879119,0.747057740262123,0.992898735829382,0.508791847286642,0.940656334587997,0.998760296130401,31.688329787234,35.3475803571429,36.4710194444444,37.1196464285714,1.98913599726706,1.3049475350787,6.79531425906306,2.37253249647049,21.40995,26.21985,21.9988,25.211225,36.0801,41.4361,34.22055,42.06765,33.3108295454545,37.9179798076923,32.8615,34.0129,23.89235,41.305775,25.90385,44.510225,1.88290788609305,0.890799660912107,1.13830788140389,1.03503796235717,0.186890820298246,0.0496836827971018,"HNSC"
