"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","count-[Unknown]","count-NO","count-YES"
"ZNF195",0.994845231729026,0.937128108589727,0.71145754721355,238.0019,240.612290140845,227.966095833333,31.0523125683079,8.21068279503371,12.2153367565286,170.0893,180.119425,169.012575,264.285725,275.815275,284.755625,14,142,48
"ZNF263",0.959701718362947,0.51288988342051,0.038341332381944,718.909214285714,735.899108450704,644.480877083333,45.8719478417538,21.0654334670403,16.830336225613,627.73065,576.1931,585.543825,833.085575,843.8675,687.534425,14,142,48
"ZNF200",0.999898127244487,0.731386482860967,0.369627597471512,269.114135714286,268.779542253521,248.982641666667,26.8722013348768,7.18365321077955,13.1008708266178,170.99325,207.83535,194.428325,330.013825,323.862325,285.28325,14,142,48
"ZNF582",0.559545798105843,0.462811487234527,0.902446094784126,5.90917142857143,8.70855985915493,9.4086125,1.43159246224587,0.754573758070776,1.78521203443862,1.590525,3.154625,2.16865,10.287175,10.0793,9.720475,14,142,48
"ZNF285",0.975321985819527,0.999261000471753,0.905780568815481,13.9658285714286,15.4181098591549,13.6949958333333,4.18768778529155,2.30455239960898,2.0677361134739,4.646425,2.440175,3.859625,15.183575,17.530875,20.80585,14,142,48
"ZNF275",0.579968899980933,0.137303694873087,0.168706743253254,413.534621428571,351.25266971831,283.801564583333,72.2639664798927,19.8964149038503,22.3890992817707,191.005925,188.613975,183.51205,506.5166,446.2364,351.30775,14,142,48
"ZNF37A",0.904932491422328,0.691996734361286,0.719034317474879,253.665664285714,281.601587323944,311.887795833333,31.7531273036002,10.4947553308889,61.8645829935334,187.8472,192.627875,186.608525,304.9562,355.8514,328.3409,14,142,48
"ZNF510",0.782235606454155,0.970873253805309,0.763910512653842,148.630092857143,160.558335211268,153.112935416667,14.5533355392639,5.56505190492463,8.36176152171813,106.7061,116.141475,114.9622,198.205,198.522925,181.593825,14,142,48
"ZNF506",0.92855591473933,0.631536498318537,0.546900689817899,145.3201,155.891274647887,173.91085,26.33987778648,8.42021104283586,16.0590826101391,51.751775,81.849375,77.645025,199.1023,227.5739,253.03245,14,142,48
"ZNF324",0.848314000916058,0.999892776588672,0.614052955439696,232.03495,243.918400704225,231.706210416667,17.6491801208315,6.59564252253054,11.1967768215915,186.5069,189.011275,179.6224,269.3069,276.9845,281.943625,14,142,48
"ZNF671",0.526944464198526,0.304049224203659,0.657526986024581,48.9813357142857,38.7637415492958,33.84200625,7.89259159888373,2.91762627451696,4.56722037772045,24.910025,17.515425,12.220575,67.524475,52.0401,45.086925,14,142,48
"ZNF416",0.696227484226447,0.236864689900928,0.249224438180897,166.637478571429,151.625319014085,134.019585416667,22.0269811891349,5.83552032258299,6.85671503128101,105.462525,110.74625,101.292825,205.2435,180.034775,157.694725,14,142,48
"ZNF586",0.0151569214009505,0.0823178128247279,0.707101953036347,177.370435714286,130.899527464789,138.737720833333,15.4189246637585,4.89800397998668,8.90638161715113,137.18,91.15545,97.47485,221.7098,167.438825,154.054975,14,142,48
"ZNF446",0.746790865747097,0.907897651034864,0.118659446076171,210.358964285714,234.690695774648,195.19444375,23.3293315886397,11.1400442772424,10.9883093107963,141.573,150.189525,136.662875,268.68235,281.0515,242.577175,14,142,48
"ZNF8",0.117296509018525,0.0243562402097111,0.312883190578415,108.884764285714,90.1474345070422,81.95875625,11.8126233482419,2.91151707903858,3.76497241496081,80.9285,63.256275,61.373825,119.5288,108.126575,89.91285,14,142,48
"ZNF264",0.998774981926499,0.92276716912282,0.811662210187221,562.5783,559.785655633803,538.048735416667,57.641197239505,18.2232931798389,27.7015251732595,383.4662,427.423625,401.95905,728.08705,693.1055,653.222225,14,142,48
"ZNF213",0.988135303112135,0.716962919596063,0.473372428851943,447.181564285714,440.494681690141,408.844497916667,42.2292952971502,14.2686934107877,19.8512714271087,338.260375,333.792875,311.27325,511.731025,525.947525,472.86505,14,142,48
"ZNF343",0.998799861090919,0.980693763793898,0.907217957317073,260.724664285714,259.4132,266.454795833333,24.2347592760998,8.52032541168721,14.313684436453,205.644,196.24275,192.887425,299.8948,286.918575,307.1097,14,142,48
"ZNF302",0.884418173684033,0.759477393087476,0.0967626967771463,246.759678571429,266.085646478873,215.3755,30.8132125241971,13.3180435198324,15.8329984845971,176.433475,160.25815,148.54095,295.747825,345.383425,259.13805,14,142,48
"ZNF268",0.999510566383471,0.999347847242801,0.999912690958958,205.856478571429,204.970554225352,204.747560416667,31.4846252116007,8.99657407968057,14.3275605716406,136.369225,125.6447,142.941975,221.6793,260.70755,251.404575,14,142,48
"ZNF184",0.529847884230178,0.431321039551594,0.89480570659294,213.479492857143,187.671985915493,181.252310416667,37.1452157030823,6.86510406851614,11.0973624839935,116.50815,138.2555,128.85575,264.009025,228.61155,214.9442,14,142,48
"ZNF500",0.936286797276068,0.547160929221477,0.0362867167909723,198.195735714286,204.858307746479,176.279583333333,16.361396797053,6.2018625644006,7.67335336275661,156.20915,150.9766,137.71735,237.446325,242.590275,202.0382,14,142,48
"ZNF419",0.582115989250239,0.451061514564367,0.857829297278471,170.427992857143,148.845342957746,142.008875,21.6090896355211,6.88657227727534,8.81853835637712,106.31055,98.06785,110.0027,222.81835,181.136425,174.9667,14,142,48
"ZNF175",0.707918267495273,0.61253743860452,0.920016216758811,101.2836,91.1781781690141,88.2227375,11.527000815634,3.95533823183771,5.91026108616804,61.584475,59.5567,59.8265,130.95085,114.647775,113.185525,14,142,48
"ZNF14",0.887922495732074,0.398407222929645,0.256422369007972,103.232042857143,94.1836267605634,75.8367041666667,18.0972059778551,6.2062125049722,7.90176660475935,75.779825,34.464425,33.105325,131.5808,135.703925,116.375625,14,142,48
"ZNF85",0.992933991941607,0.677000515915078,0.199034946282431,41.53895,40.25135,51.9116833333333,11.141634093512,3.01885559857394,7.44643329762022,8.408775,13.2035,18.7048,62.370725,56.03595,68.49165,14,142,48
"ZKSCAN1",0.786960236188989,0.421716828577901,0.467582322166684,581.037028571429,519.770485915493,454.576564583333,79.1468970430998,29.4402870449247,39.8651474277714,402.189425,254.4912,259.18675,835.081175,677.60355,610.880725,14,142,48
"ZNF862",0.40479151319499,0.71046276949059,0.750322478133848,161.409942857143,205.096094366197,190.461358333333,21.5908203699142,10.8117026758426,15.3461952714827,105.193475,107.966,118.300075,182.189975,271.121475,250.8738,14,142,48
"ZNF684",0.553966736159952,0.995937171376972,0.254551453789042,36.1133357142857,41.5812845070423,36.6043020833333,4.05419816286809,1.65705630395782,2.41396604477802,24.697075,28.649025,24.87555,49.2265,51.079825,44.619925,14,142,48
"ZNF430",0.992334315328951,0.813634719694854,0.631142127668884,91.0885,93.2274161971831,103.105927083333,16.2822626249116,5.45312718556953,9.31835633349352,42.4962,38.86105,65.125125,118.633125,129.6098,130.001925,14,142,48
"ZFP30",0.931326494912548,0.902524434820946,0.349137241773338,102.982385714286,109.660890140845,94.2865520833333,14.5064691767435,5.8980229656549,8.15370608292177,54.64175,59.6652,53.425625,145.6479,151.36155,130.933675,14,142,48
"ZNF549",0.943087388187281,0.986290441639972,0.68173303194748,92.3462428571429,86.9328830985915,95.1947125,14.6787716126164,5.08309739515303,8.13638691338297,51.064025,42.974275,54.12135,116.788825,123.999425,123.87825,14,142,48
"ZNF211",0.528794494107726,0.465584990531697,0.938035217480621,202.864678571429,177.788074647887,173.064283333333,20.0503766152954,7.09247438198809,11.6395944612283,143.7173,119.7834,114.350575,265.916875,222.238775,212.0576,14,142,48
"ZNF205",0.992539305463081,0.96659402503895,0.794137720707998,453.652385714286,463.76691056338,430.288672916667,83.4490012760059,24.5306001190934,51.4653571510889,304.520725,305.243975,276.306425,433.856425,513.062775,429.023875,14,142,48
"ZNF45",0.887112187158517,0.964511097529202,0.426266566958738,180.292128571429,198.087012676056,169.6983625,20.1122296471614,13.2360365687484,8.09969866901177,142.996675,139.043425,134.371725,223.964875,229.9182,200.8374,14,142,48
"ZNF133",0.895934067150277,0.824499303803095,0.942494842844197,456.5163,479.720175352113,489.870902083333,31.6089726497204,14.6096326161691,33.0035037089189,380.644625,369.902175,353.773925,509.991075,576.7963,565.9815,14,142,48
"ZNF436",0.484017069552805,0.295480599633358,0.71033483058659,716.701642857143,630.009948591549,594.596216666667,98.2815966952762,22.4009007476653,34.7759736311005,418.115,427.74055,410.0114,1033.41155,804.676175,746.065625,14,142,48
"ZNF484",0.984203070401497,0.979474898735374,0.997474623278414,69.2643785714286,67.6892295774648,67.3151375,6.84985447318086,2.92162375405245,4.24072458828496,49.73825,42.946675,46.33875,88.46935,81.6969,83.026175,14,142,48
"ZNF780B",0.985086975567375,0.690096760711104,0.181766582963647,150.437042857143,154.294433098592,129.622739583333,17.7468420130738,7.55257007451961,9.38981695486291,96.96435,101.439325,82.0916,208.1534,190.354125,153.694575,14,142,48
"ZNF557",0.991756491731485,0.942325835803334,0.918931166972367,153.027878571429,151.145411971831,147.558514583333,23.0030579301043,4.49132931742165,6.80057641337213,100.3717,113.0784,116.68515,230.6702,178.712975,164.20715,14,142,48
"ZNF337",0.989328871707859,0.997017423049805,0.928112429159921,419.082885714286,426.323582394366,414.940279166667,24.4732312455153,15.7745057903973,28.3196037673032,355.9168,298.491625,290.165925,477.6958,504.749675,462.06905,14,142,48
"ZNF317",0.858425918739251,0.765585590884084,0.921835776371183,706.84295,679.578116901408,667.716347916667,77.7593450153634,15.2627213973676,22.1119172879227,532.6166,556.773375,604.4777,911.776375,759.637825,735.6838,14,142,48
"ZNF426",0.827675842790943,0.82109334946409,0.993911933503962,158.63795,134.749934507042,132.193675,26.1989894641892,13.2277575373519,16.6502562198002,90.5893,45.114925,61.447,210.97715,164.339525,160.986,14,142,48
"ZNF331",0.581005437394301,0.825622678882243,0.0181726939409016,177.694621428571,218.76291056338,151.28191875,45.6090356856255,13.3459669197658,13.6566607892987,54.542525,88.679575,84.48775,221.25655,294.91135,214.0675,14,142,48
"ZNF227",0.853697503974193,0.813109468258801,0.11125831778832,201.52475,220.964197887324,177.412929166667,23.1028350863269,12.4266740998519,8.93501960396283,129.33665,142.966525,136.1639,251.236625,266.547225,208.93925,14,142,48
"ZNF141",0.871071583973916,0.741848506451745,0.0769656065199207,37.7332785714286,41.1435401408451,32.2905604166667,3.33945522661542,2.25762432436336,2.5580271664017,26.908925,22.3819,19.68435,45.029375,51.0521,41.275025,14,142,48
"ZNF304",0.808032842105498,0.973418117944921,0.797091720781113,234.209385714286,216.814964788732,227.5093625,30.6702356316829,8.75033246910227,11.4657312099916,157.7367,148.53815,179.314625,302.1949,288.098075,282.780625,14,142,48
"ZNF132",0.970321699842615,0.918463299371752,0.510808925633804,35.8079,37.5720887323944,32.592975,4.16534630892759,2.43117531406429,3.2853765179131,27.5102,18.421525,20.47015,45.929,46.173225,35.7066,14,142,48
"ZNF20",0.868424100516606,0.898693194266312,0.998725404083605,83.1462,88.0601457746479,87.7818416666667,8.29974757853289,2.99524217539341,4.67246364029168,67.252,63.9564,64.805625,103.511025,106.424625,101.215675,14,142,48
"ZNF670",0.880725343956804,0.542152887873729,0.505011358831653,70.1623785714286,65.3205415492958,58.6112583333333,16.2760961463723,3.0018661300147,3.75068600585189,24.6508,44.8946,38.940675,88.659575,73.54145,75.3759,14,142,48
"ZFP37",0.97893466672164,0.982833048513786,0.999970647260911,50.4893928571429,52.7239154929577,52.67446875,11.7898547637293,3.30048101847014,6.23605453713386,15.41075,25.9534,25.78695,72.892925,70.42005,63.5833,14,142,48
"ZNF189",0.704775921846273,0.999592550342887,0.349041260816053,283.324614285714,311.243822535211,282.293004166667,26.5222828785323,11.020232887081,15.9917191130905,206.0657,230.2157,205.6238,350.32325,381.942425,331.1323,14,142,48
"ZNF434",0.784318762360828,0.144095539374447,0.0547694230555041,326.636092857143,308.82703028169,271.703260416667,32.1533732705381,8.21186285690642,11.5581345713885,263.9833,250.0781,227.84055,394.6262,353.711275,314.4634,14,142,48
"ZNF287",0.964142937853936,0.990945475998151,0.783731106250723,73.5704571428571,69.2395669014085,75.9139375,12.7810637035821,5.0866733992039,8.86696032411948,39.250675,24.1052,26.0746,87.080075,91.20355,116.131475,14,142,48
"ZIM3",0.793513453660265,0.747893813464657,0.970156280551776,0.126835714285714,0.291201408450704,0.326627083333333,0.0981072543873402,0.0734089200063301,0.156102295143633,0,0,0,0,0,0,14,142,48
"ZFP14",0.839806329497516,0.794158904100172,0.0878863928599515,67.6951357142857,76.5022964788732,56.7200833333333,11.2755555471165,5.24319938208601,4.84226667860993,39.412875,33.10105,31.04825,84.83775,98.705075,80.187725,14,142,48
"ZNF473",0.999448574034638,0.482495389861436,0.0822897437492734,276.775214285714,277.829096478873,235.1041625,20.9067666162293,10.7856754881123,13.884456049558,238.995325,194.2363,168.36015,334.45545,346.728875,275.82305,14,142,48
