"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZNF195",0.501520643707217,0.305469756247643,0.572920231711396,248.73365625,220.302880538922,210.232601438849,24.9886174856206,5.61742793559915,7.61731526448026,165.9607,157.625775,142.97945,304.8851,262.7497,254.24095
"ZNF263",0.958807475691208,0.855193809679947,0.0920698645007474,643.9898375,657.746232934132,616.615452517986,38.6742778337595,10.8295651516092,16.1406866964578,506.42375,522.06805,490.7806,738.003675,752.59795,703.59445
"ZNF200",0.733801027868335,0.556471044030164,0.703217370722799,280.59580625,265.148966467066,258.650261870504,16.5601860375381,4.28051028036817,7.37877455973519,261.310725,209.91675,198.6303,297.2839,313.260875,294.87365
"ZNF582",0.432463523398203,0.346302627440466,0.869148502244922,6.27718125,9.47804101796407,9.9933654676259,0.887714419836073,0.52636657842422,0.988800194456442,3.60545,3.35885,3.1585,8.8156,11.498975,11.6175
"ZNF285",0.696175409854134,0.509337421265667,0.67717138924718,17.19203125,13.3205425149701,11.7361820143885,4.87188554061908,1.133225744837,1.03207146557416,5.783775,3.3082,3.39435,20.105875,15.820875,16.42195
"ZNF275",0.937161671039394,0.743025065485731,0.544854608791628,395.3076,417.548329640719,444.423191366906,65.4353131056115,13.7467868991384,21.8097760426677,179.7684,242.1365,255.1998,457.810575,532.78525,603.4877
"ZNF37A",0.28178388187041,0.319073545333907,0.996492820318293,254.44548125,332.877805389222,331.254544604317,20.9866561940661,8.60942018388997,24.3508575889798,190.355625,226.683625,203.17855,302.4669,417.782275,371.13505
"ZNF510",0.102003924996165,0.27405382964437,0.47153418427763,150.52574375,189.684715568862,180.859881294964,15.2409559935419,4.21262395262733,5.96699717581057,98.398275,134.60385,130.19575,202.907125,227.701375,218.067
"ZNF506",0.916489383725682,0.899336864752813,0.989391389773524,149.25499375,160.052355688623,161.541321582734,26.9830103136607,5.65685055181779,9.50433578831333,43.790325,80.05945,71.072,250.99775,228.76205,222.33645
"ZNF324",0.647977778335268,0.999972139402846,0.0666503654893745,228.1637375,246.485560179641,228.314994964029,16.079495970759,4.31275679000202,7.31468224910823,202.277225,192.99445,168.0945,262.61585,285.206475,267.41485
"ZNF671",0.770071398200582,0.550803678337854,0.590978069414494,44.62160625,38.9834898203593,35.8258978417266,7.09361433243231,1.71770748657934,2.85867999548294,21.72605,16.74035,13.78255,63.37765,52.96525,47.32465
"ZNF416",0.999799051725244,0.677700779279167,0.0808682741536179,149.968375,149.664509580838,136.160917985612,18.3449056626799,3.41960799989274,5.09677868963935,104.905025,110.897475,97.54055,181.654825,176.383525,163.25175
"ZNF586",0.393896652969325,0.697821476921599,0.459812443833189,150.49698125,130.58825748503,137.755645323741,17.0604531089843,3.10930139029919,5.52682415755054,95.73295,95.32575,95.30165,216.2938,158.25645,166.07415
"ZNF446",0.722964209548875,0.988060606751903,0.263828453180063,180.75975,200.244276946108,184.623820143885,23.7451775273826,5.74306192463432,7.12980463186645,104.7838,133.2867,126.7872,227.307875,235.463025,222.53835
"ZNF8",0.608748103321082,0.171254732651321,0.0575995117300198,103.263025,94.4962020958084,86.1491467625899,11.2187366689707,1.97839031334367,2.94279182442456,77.182125,68.04215,60.83545,111.601775,113.765875,101.97735
"ZNF264",0.577274716472679,0.833320716411158,0.558124899011545,594.32460625,657.250883233533,631.67895971223,27.292543403302,13.266439361383,22.4128487722511,562.51945,490.168675,445.642,637.462125,803.92855,761.23585
"ZNF213",0.11245929294915,0.337570751016709,0.343246340359693,410.47441875,501.920623353293,476.769716546763,23.8561800481504,10.0360275292499,14.6594968071099,325.96365,387.288325,361.3382,468.340875,585.312375,568.23975
"ZNF343",0.549488855155023,0.310905364476336,0.469688410670106,227.211625,255.272754491018,267.711995683453,19.9775562416584,5.34349339219483,10.4378249648232,169.27355,195.4345,191.61885,272.760525,288.369725,308.84185
"ZNF302",0.888643843266867,0.649855743288978,0.488833578225516,250.11874375,234.965715868263,220.224488489209,26.5679756425208,7.23062690744577,10.1266381191814,183.172075,145.039725,138.00025,311.161075,292.374575,271.7102
"ZNF268",0.466451426447177,0.174911678179588,0.211593038442334,215.2265,258.602656287425,283.072630215827,25.5460184500344,7.71982156493903,13.0440957770766,146.3911,154.2837,181.8648,251.35335,354.774625,368.15795
"ZNF184",0.374371954451973,0.391266915636321,0.999593450196548,229.5758125,199.454252694611,199.21325323741,29.7777125868113,4.68355065674986,7.58608959075778,139.654875,143.871425,142.2531,278.188425,238.66175,218.82055
"ZNF500",0.829305836995201,0.807180279703325,0.00562290753327055,195.54785625,205.207432634731,184.886939568345,14.0749527651397,3.74655620071894,4.72674777742912,154.78535,157.39865,148.7208,218.6504,245.484375,214.2685
"ZNF419",0.693856916986747,0.658510867402357,0.975307109691028,138.14749375,124.287079640719,122.858684892086,18.1288098251293,3.71493966713832,5.2662155033592,94.95045,79.62845,77.5766,166.5964,158.385925,154.4683
"ZNF175",0.685321688437375,0.725758191936751,0.993917548282735,92.99276875,103.910710778443,103.364138848921,8.53173362708169,2.75973189470239,4.69692317507738,66.485125,68.190375,71.1871,119.0342,133.86115,131.6872
"ZNF14",0.705271536987346,0.901273120610157,0.650793651417064,78.576125,92.1733541916168,86.2236553956835,16.1518543975104,3.63331508858144,5.7351991539001,39.8796,37.238675,39.4856,97.7612,132.449375,117.1252
"ZNF85",0.660557550446985,0.562913067733813,0.883978058116392,32.78021875,41.9840619760479,43.9620215827338,6.34460196579356,2.22570826281306,3.77318892641179,12.724975,14.499575,13.97425,46.942275,55.381975,56.6642
"ZKSCAN1",0.776921327206961,0.994354741607574,0.315292772849412,650.33475625,724.49139760479,661.782764028777,87.5982987952254,24.1791296421656,33.9683670084221,371.7443,426.660575,347.03035,884.74355,943.4806,862.29005
"ZNF862",0.223209280800979,0.416559330052978,0.643702576650647,146.99155,208.471397005988,195.369175539568,18.1512600179643,8.33786507076918,11.211384403483,92.46305,107.4913,94.1898,181.32615,263.746425,259.24665
"ZNF684",0.924940212216556,0.822583063632298,0.818246081546634,40.6181875,38.6183173652695,37.3531604316547,3.49528718363354,1.05451814961673,2.08009413899598,29.52525,25.726475,26.65945,54.612225,46.255975,41.97515
"ZNF430",0.783266291801277,0.688039519831734,0.886614979093407,105.36281875,117.927216467066,121.404174100719,12.8207298190022,3.75882354041684,7.32481134036998,63.813175,74.6301,76.149,122.3444,160.189575,145.23535
"ZFP30",0.22023862328122,0.594587348840895,0.215858307607333,86.180875,119.698487125748,106.390537410072,15.6989766232826,4.45304735505591,6.23840021715184,39.7548,68.58665,52.01905,133.763225,155.460125,149.62035
"ZNF549",0.880610324421327,0.782547168492234,0.857903268086615,101.024075,93.6143266467066,90.4053633093525,14.9643939954494,3.37230030719404,4.82624120811199,65.53265,46.7339,47.95685,132.12445,130.515125,121.8213
