"gene","Recurred/Progressed-DiseaseFree"
"ZNF195",0.093698720657295
"ZNF263",0.124923465858847
"ZNF200",0.357903704057033
"ZNF582",0.934404594806549
"ZNF285",0.185752090929578
"ZNF275",0.548217587819807
"ZNF37A",0.125402708885824
"ZNF510",0.529149256264669
"ZNF506",0.841112538353441
"ZNF324",0.411085840699718
"ZNF671",0.215355091543193
"ZNF416",0.190737544125774
"ZNF586",0.788308950628466
"ZNF446",0.795603151177464
"ZNF8",0.997877157539923
"ZNF264",0.48116545937705
"ZNF213",0.579077476820257
"ZNF343",0.971599340476815
"ZNF302",0.0598046660436596
"ZNF268",0.944811799618239
"ZNF184",0.874911376918294
"ZNF500",0.243568260483546
"ZNF419",0.528770401389625
"ZNF175",0.712778337369641
"ZNF14",0.370755694862982
"ZNF85",0.422193788847086
"ZKSCAN1",0.831431870884125
"ZNF862",0.60204106735553
"ZNF684",0.830704071249949
"ZNF430",0.745598101141347
"ZFP30",0.171801841704953
"ZNF549",0.0600846969559369
"ZNF211",0.403786863861383
"ZNF205",0.889104306828875
"ZNF45",0.333019557126292
"ZNF133",0.540250051605397
"ZNF436",0.0868754667715883
"ZNF484",0.956219605614451
"ZNF780B",0.869925892589993
"ZNF557",0.474648132239386
"ZNF337",0.70227099290775
"ZNF317",0.992460848665269
"ZNF426",0.344489593434211
"ZNF331",0.437319351429693
"ZNF227",0.394688518296768
"ZNF141",0.193804309985235
"ZNF304",0.508374227953291
"ZNF132",0.248797690120891
"ZNF20",0.142832015497761
"ZNF670",0.592868588144518
"ZFP37",0.520707394412549
"ZNF189",0.262942929248151
"ZNF434",0.0503166580521586
"ZNF287",0.877874201370294
"ZIM3",NA
"ZFP14",0.179753021799274
"ZNF473",0.00184340329753307
"ZNF614",0.0327369906203139
"POGK",0.107086438464409
"ZNF514",0.641259815666213
"ZNF300",0.119636521300334
"RBAK",0.125136793328968
"ZNF92",0.0189151637464031
"ZNF157",0.0374623948516986
"ZNF182",0.711661882659971
"ZNF673",0.00261762212491901
"ZNF41",0.520660608245744
"ZNF7",0.565460079905069
"ZNF214",0.806675363573027
"ZNF215",0.336282868886177
"ZNF547",0.457088222875562
"ZNF773",0.139212802744611
"ZNF776",0.921348204475844
"ZNF256",0.494992941418476
"ZNF599",0.0846070269696849
"ZNF18",0.235298575043498
"ZKSCAN2",0.609878324018887
"ZNF689",0.366232607450752
"ZNF19",0.147022120853908
"ZNF230",0.99906968716962
"ZNF222",0.9986316722573
"ZNF221",0.42472185625696
"ZNF233",0.651723859368941
"ZNF235",0.523470765156833
"ZNF208",0.0237521635720329
"ZNF714",0.421836174451215
"ZNF394",0.572604215063171
"ZNF333",0.00954463790150673
"ZNF382",0.685257554369685
"ZNF577",0.300136088745937
"ZNF75A",0.0318750886575001
"ZNF496",0.429877050824972
"ZNF2",0.685095703223025
"ZNF589",0.0816349442762391
"PRDM9",0.0101061964747065
"ZNF12",0.847690163904685
"ZNF202",0.264433649086041
"ZNF3",0.243788847449052
"ZNF606",0.7714115573469
"ZNF91",0.0990874256522519
"ZNF226",0.33391733048402
"ZNF229",0.23041047348076
"ZNF180",0.693914093669882
"ZNF641",0.768007336985171
"ZNF610",0.71947123539882
"ZNF528",0.133772452290953
"ZNF701",0.807462382074546
"ZNF283",0.593796932223791
"ZNF558",0.00532870409029762
"ZNF597",0.0287678642140671
"ZNF30",0.386569841045372
"ZNF354A",0.245328466418223
"ZNF764",0.348901378621225
"ZNF747",0.189132334241808
"ZNF778",0.00411129001225441
"ZNF212",0.940610632350251
"ZNF282",0.821170779107973
"ZNF160",0.812502189246657
"ZNF415",0.0136112720594248
"ZNF439",0.741027462340529
"ZNF440",0.712409407378957
"ZNF562",0.00523032867632411
"ZNF561",0.577969506647524
"ZNF584",0.973656585735208
"ZNF274",0.936245682070459
"ZIK1",0.26139243403344
"ZNF540",0.328844948003804
"ZNF570",0.30415607511578
"ZNF57",0.432724478984631
"ZNF556",0.524715722543068
"ZNF554",0.788786559687624
"ZNF738",0.0542587644826162
"ZNF596",0.117805050187715
"ZNF621",0.0279342626096311
"ZNF680",0.020780173241095
"ZNF483",0.88570455372851
"ZNF417",0.58064735233984
"ZNF791",0.570658407473138
"ZNF519",0.000156674473898333
"ZNF25",0.481732392994953
"ZNF77",0.395915167561935
"ZNF169",0.104523978112791
"ZNF613",0.098229129319131
"ZNF404",0.472920948952281
"ZNF135",0.243490007426146
"ZNF620",0.307429549495067
"ZNF619",0.00537623835788947
"ZNF354C",0.301442949879866
"ZNF114",0.805252817823882
