"gene","N1-N0","N2-N0","N2-N1","NX-N0","NX-N1","NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX"
"ZNF195",0.999814310543826,0.743349033167995,0.876154024277891,0.995278302009337,0.999992533449763,0.804428095973239,331.7328175,336.731466666667,408.2309,338.501385,17.243996524176,124.526208320395,54.7621,16.3574384554378,274.7032,220.43485,380.84985,299.924775,414.133275,433.4337,435.61195,379.6195
"ZNF263",0.0944443002162567,0.160792324413424,0.999307097356899,0.469802645501878,0.361917060278092,0.42866388992365,883.6575075,590.108966666667,566.6145,801.02564,28.2844481552632,140.567668859596,130.7898,56.5957873438406,752.300325,450.21735,501.2196,662.899725,980.31755,671.9797,632.0094,953.030775
"ZNF200",0.157551614657838,0.81556531974726,0.899042421862599,0.869876406195872,0.325528875355625,0.938723382390254,191.95919,145.390866666667,168.608,184.2809,5.70939581869871,29.054522708426,8.54689999999999,8.25365552197774,173.306225,128.28745,164.33455,158.39145,207.16705,174.2829,172.88145,197.579625
"ZNF582",0.840620446833606,0.503522246696133,0.35591085270398,0.903124258229466,0.688801907012757,0.680737768525314,66.0047625,53.4006333333333,91.79875,70.758065,3.24943962336878,25.0063310886352,41.90385,6.41556511467177,53.09555,35.49625,70.846825,43.756675,78.87025,77.4711,112.750675,89.421825
"ZNF285",0.422619793634891,0.999402304657433,0.797751475510515,0.996710491109934,0.398686655304297,0.997427729906127,78.0234725,45.9361666666667,75.03395,80.02627,5.23109881638107,25.953672492882,7.47965,8.49691688510448,61.81655,20.02605,71.294125,57.458575,93.638725,60.19285,78.773775,93.7225
"ZNF275",0.727140267963343,0.957573533344493,0.992209331546891,0.518968578268898,0.97874012875934,0.999998844343162,1591.535015,1181.57243333333,1350.38025,1343.194695,104.898594933563,397.77321776494,322.78025,146.571768570216,1106.74845,945.96975,1188.990125,912.660725,2037.42325,1576.9277,1511.770375,1643.742
"ZNF37A",0.282519769736253,0.548032132493873,0.999274062542326,0.415243070508886,0.716820965335611,0.885942814067593,308.0543525,481.8966,463.3287,376.42887,24.514568439406,142.006082113772,27.1689,37.1688187793741,215.321025,342.0093,449.74425,263.959175,355.287125,573.00515,476.91315,458.540425
"ZNF510",0.775038440000939,0.0648639305921537,0.0505878984306728,0.973037500183586,0.682320427569628,0.105758835947149,239.764075,188.2988,404.88055,250.37032,12.9087044398278,38.3640734251461,70.24205,23.8043387916535,173.937225,153.49705,369.759525,203.778675,291.16845,219.6811,440.001575,290.087275
"ZNF506",0.241494408037163,0.971631240675389,0.392158231982997,0.600907162291317,0.578989785346697,0.811159494913052,521.70751,388.9811,558.876,481.779585,16.8494072358407,100.475714612902,14.5172,29.5767533512842,432.895175,338.1412,551.6174,402.949875,608.86465,489.4544,566.1346,560.770025
"ZNF324",0.8883800594187,0.268151632790301,0.227445650964514,0.945646030222021,0.782816733079225,0.393650961632911,246.4072225,275.846866666667,155.8152,236.093885,10.9088589523257,68.5354525902308,48.1768,13.1183610399544,212.950825,207.5737,131.7268,206.466025,298.492625,315.17115,179.9036,260.313275
"ZNF671",0.307460313706723,0.917593180724379,0.919617480760805,0.774204985768551,0.586270235884729,0.992673154562949,210.7979375,131.434366666667,175.4984,190.94173,11.7289573392947,56.3610705822832,77.3905,16.5880167258763,156.975925,98.05965,136.80315,143.228775,268.792575,187.45395,214.19365,237.3638
"ZNF416",0.934572837043324,0.999997778352302,0.982168651019037,0.853824840696155,0.791528854260389,0.98921716548291,124.991825,113.363366666667,124.55605,132.205015,4.24216508839705,25.2543372233585,53.07745,8.6562203266397,108.45015,92.5878,98.017325,115.676775,140.741625,136.1857,151.094775,155.43305
"ZNF586",0.972170016420321,0.948763622852764,0.89104861527825,0.742134596835713,0.820744109458168,0.998692250706891,144.54421,156.788866666667,126.13875,131.496475,7.3296665299472,44.9911820729845,17.87805,10.0240439305147,117.882225,130.0091,117.199725,105.06005,158.5449,201.4883,135.077775,167.9804
"ZNF446",0.259830798262869,0.334920549531604,0.0608110927652975,0.997197005763544,0.248257365788402,0.395726039573369,284.753805,407.041533333333,149.2002,278.75316,17.2995464594229,95.8129196121507,32.3985,23.9885722353181,216.8918,319.62,133.00095,221.9182,343.906075,484.711,165.39945,277.853875
"ZNF8",0.754743125461933,0.985876718645538,0.981537079665469,0.795867440685324,0.52629707957996,0.906286010424438,93.78286,79.3438,87.7208,99.891725,3.52528361738966,10.4806914344109,21.5372,6.30816436304186,83.68285,72.7681,76.9522,80.957275,109.939725,89.69945,98.4894,117.532275
"ZNF264",0.545144463781539,0.420522802337147,0.985469561564786,0.37105087581478,0.940647674241044,0.803101117742196,724.5625025,597.743666666667,547.39445,653.779475,26.4176064465706,74.0045953003445,199.81215,29.7749954180401,614.065025,537.64115,447.488375,585.78135,830.62865,665.18845,647.300525,737.170425
"ZNF213",0.597366813951284,0.850808628685111,0.997922914804261,0.911546146237049,0.442985863118177,0.731180702914831,487.0393875,340.763966666667,372.7799,522.36045,31.9267617717454,69.6539806715389,146.6315,41.8595111209951,367.2069,271.2034,299.46415,391.585225,604.2568,378.6673,446.09565,558.19575
"ZNF343",0.00087462922371917,0.19673503596555,0.000441534174544511,0.976013515682461,0.000743679093448968,0.279452298390133,211.6911375,366.4316,118.4967,204.439925,8.4500789941526,113.300462011959,43.2412,12.3965847166274,184.4566,253.13145,96.8761,165.5799,235.6188,423.31195,140.1173,266.931
"ZNF302",0.459873149307107,0.37638019339283,0.98873770333808,0.232117026453089,0.116065138569491,0.112055231785927,490.9454675,333.133833333333,281.13905,584.862625,26.927132239176,114.633824669471,89.40815,43.7715671465014,364.152925,243.5576,236.434975,419.99445,599.65815,439.8716,325.843125,707.40345
"ZNF268",0.73182448043982,0.121777252985878,0.0764611047771333,0.990267193648602,0.823695752114575,0.107188817188213,399.1615575,305.9,645.31615,386.63665,22.9000030914374,38.2737135146739,40.59835,38.4533745856107,331.056025,274.22355,625.016975,238.91655,485.43205,340.34225,665.615325,537.70145
"ZNF184",0.739941807071025,0.999299422986382,0.869363526196424,0.143630398097567,0.999994742355774,0.792836881088029,85.992635,113.912533333333,81.85065,113.22095,5.65181352384138,50.7100321274247,0.280950000000004,12.8702879176102,62.2359,63.2092,81.710175,75.54925,105.30535,139.978,81.991125,143.940725
"ZNF500",0.458350284372489,0.519464620057381,0.999309695257167,0.849930449227323,0.709712865186487,0.723824136344694,293.2359225,224.803066666667,216.02745,276.068925,12.2411917850422,45.8904278705023,86.14495,16.6170263436916,262.2595,179.1586,172.954975,224.568525,328.13765,251.7345,259.099925,327.381525
