"gene","1-0","mean-0","mean-1","SEM-0","SEM-1","Q1-0","Q1-1","Q3-0","Q3-1","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.198211525184622,346.995332608696,310.747963157895,14.6903386778256,24.8670232048228,304.962125,255.4801,420.7059,381.8097,296.317216,337.153265151515,272.7821,342.11515,251.1451,296.9994,279.584925,408.9873,17.0817375154917,12.5742708326683,1.13781193581245,1.25417008667358,0.186262120305189,0.326733015253732,"KICH"
"ZNF263",0.00184522074069027,887.787330434783,706.955357894737,26.0112875372466,59.7140090654571,764.217275,510.74115,975.6831,927.39855,608.021372,833.767724242424,593.6516,807.1615,551.0051,633.2411,718.43315,957.0315,21.3802526443987,26.7314233497657,1.37128029151321,1.35965522538809,0.45552349004193,0.443240866415178,"KICH"
"ZNF200",0.0167319453519673,193.761806521739,169.701636842105,5.13508964276674,8.81564334988386,174.3124,142.09445,205.505825,194.26215,165.298992,186.685746969697,164.6041,187.7146,138.803,187.4734,161.873075,204.838225,6.50296712468731,4.55360938435315,1.12938224674532,1.14040051250242,0.175533858254232,0.189540592743938,"KICH"
"ZNF582",0.185254727659022,70.37985,61.1409526315789,3.65102574334761,6.09674823775617,51.80645,41.132,86.869225,82.86065,79.550696,68.1647272727273,77.7958,70.54035,62.7183,87.9933,49.33135,86.53035,3.9330020562605,3.14617335293387,0.856871538530942,0.906737253167909,-0.22284916198013,-0.141243535828511,"KICH"
"ZNF285",0.906619278983266,77.3958326086957,76.2701263157895,4.59629662700746,9.92024382231907,60.518475,53.76575,92.879125,95.3496,62.079148,77.4462848484849,66.1556,82.64695,45.4084,76.555,60.518475,94.622175,3.6822757540101,4.2646223540932,1.24754103984296,1.24928123998573,0.31908727608681,0.321098295087185,"KICH"
"ZNF275",0.316948510665143,1541.63354782609,1360.82258421053,89.3492238380494,176.796173351007,1100.8758,781.51785,1935.0763,1770.619,607.836272,1489.31069393939,598.8024,1465.2194,520.385,715.3299,1078.110075,1897.49395,35.1141647352596,80.2909129899304,2.45018397641692,2.44691637842467,1.29289008061529,1.29096479921321,"KICH"
"ZNF37A",0.00113319258404587,300.337497826087,442.503884210526,17.0766228173343,50.3643660589835,220.263375,278.5443,359.3801,571.6017,406.473064,342.968828787879,397.4535,296.2034,351.4529,481.4559,231.5742,429.77615,24.6945919368856,20.1848292053986,0.84376766670049,0.745252966699249,-0.245082290554333,-0.424197881586349,"KICH"
"ZNF510",0.766902160634095,247.961408695652,240.336952631579,14.8698081756191,16.9191213388571,169.064375,208.1018,324.869575,268.3673,283.01588,246.095028787879,285.3117,241.12435,223.3305,354.1113,179.49475,292.59255,13.9070949130507,11.3940313150551,0.869544948459708,0.845126049860556,-0.201667489731744,-0.242761560656383,"KICH"
"ZNF506",0.0024360349189253,532.468591304348,436.580642105263,15.424075952694,29.0355227832127,449.760725,388.7895,613.01155,485.78125,413.19172,506.581503030303,403.7541,495.4617,371.6449,475.9432,420.98605,604.6133,14.8250080912142,14.676724244936,1.22602046098674,1.2271372600303,0.293983056286261,0.29529662902504,"KICH"
"ZNF324",0.732639606086884,243.702343478261,237.212094736842,9.43211028335333,18.6461073624407,208.58825,201.6951,278.121975,293.6422,177.905168,241.344631818182,178.7207,231.2536,161.1979,194.757,206.950575,278.121975,8.56055006144411,8.42544378542559,1.3565914612339,1.29393853090325,0.439986317225696,0.371769083120654,"KICH"
"ZNF671",0.521109276982512,203.877765217391,190.403936842105,11.2117071286831,17.8665022299454,149.9959,157.05795,261.484025,239.2296,149.980968,200.149293939394,157.9696,211.06,93.898,189.8109,151.1863,258.38185,13.6425255802713,9.31205583645914,1.33449794736219,1.33607985333887,0.416297086422052,0.418006235785936,"KICH"
"ZNF416",0.833722307010645,127.210089130435,125.332178947368,4.46015474063274,8.72716830066005,111.1011,106.47345,146.927075,152.9759,104.161284,127.256225757576,104.4859,125.75315,88.7226,126.4442,110.777475,150.483925,4.91590001886626,4.00445231242621,1.22172289809307,1.2035418176041,0.288917101130198,0.267286269774142,"KICH"
"ZNF586",0.0859175355094614,146.891745652174,125.122194736842,6.4292896616296,11.6382445806125,118.5673,94.8034,167.052225,136.27165,156.867164,140.723159090909,151.8281,133.48335,136.7146,159.7181,112.15885,161.017275,7.09387333128355,5.68036822442878,0.897084867875275,0.87917421083449,-0.156683618470787,-0.185779027124869,"KICH"
"ZNF446",0.686936665183438,288.069310869565,275.450110526316,16.4562330261605,27.6956151892506,215.7252,209.6577,339.10045,309.8581,255.787344,283.476292424242,253.629,259.4508,223.1714,284.5342,215.7252,327.380875,8.38207368146268,13.8973214681178,1.10824987660157,1.02295399973978,0.14828320186585,0.0327412713399192,"KICH"
"ZNF8",0.906928863245207,94.5813826086956,95.3620157894737,3.01298003642678,7.38898936067177,82.49745,71.6234,109.629175,113.91745,86.075744,94.7237015151515,81.6309,90.55715,78.5941,90.4097,81.9907,109.79805,3.88404999607832,2.95670447954615,1.10046915789832,1.10934891076786,0.13811871236199,0.149713191168083,"KICH"
"ZNF264",0.0179765639599974,721.706597826087,618.295052631579,24.2278415771826,30.5665077161294,613.473875,553.6492,819.70975,710.1771,559.764464,688.060681818182,573.1796,671.2573,475.9641,626.2516,592.916975,787.38495,32.8670531816599,20.0727666410967,1.22919678913055,1.17111163760888,0.297715903485519,0.227878609014094,"KICH"
"ZNF213",0.433418622069065,499.95675,457.822405263158,28.5360562167012,46.3218327023661,371.572475,322.4203,637.4971,512.0629,391.015312,487.480309090909,384.5087,463.0603,340.449,441.8673,366.7125,550.838825,21.0940869871854,23.8655382192759,1.24670388634527,1.20429082618937,0.318118840924534,0.268183832990749,"KICH"
"ZNF343",0.123636086370673,204.760130434783,235.461378947368,8.56674173296264,22.6815869061364,168.9155,178.3607,236.1949,257.9138,190.72866,212.768368181818,197.2996,205.67495,159.3493,216.9714,168.9155,250.810525,9.50074619949402,8.96165980841903,1.11555530344427,1.04244990866682,0.157762036690136,0.0599780616035579,"KICH"
"ZNF302",0.870706407523249,508.580697826087,500.1073,22.9761148933942,58.8512337406564,378.809025,297.08735,617.48445,620.91,530.904276,502.412362121212,559.0165,517.4053,416.4152,613.9535,362.19865,617.48445,23.3418771983805,23.3384376627079,0.946333237145018,0.925563556710759,-0.0795797982989492,-0.111596034231638,"KICH"
"ZNF268",0.199649276181908,414.533184782609,359.947426315789,23.3754211901302,32.9502603906419,327.026675,238.4684,521.40055,472.84665,414.730196,399.313266666667,422.5213,401.3839,343.5497,483.2648,313.345275,521.40055,15.7290383619115,18.9759574861515,0.962826605147089,0.949973172950098,-0.054652087491805,-0.0740413222841314,"KICH"
"ZNF184",0.0214139377199009,87.0483739130435,116.070426315789,5.9120594578917,12.7749272239349,63.759225,68.0878,99.746275,160.95025,204.711076,95.5106015151515,202.6841,81.85065,180.2731,228.9879,67.468,112.1405,6.76024197054681,5.70226472722621,0.466562940224844,0.40383360115569,-1.09985637838655,-1.30816713913654,"KICH"
"ZNF500",0.115328924294583,292.243032608696,258.636842105263,10.1844844916983,21.6655512435614,249.150925,185.79375,327.26395,304.4652,236.383752,282.461831818182,229.3992,287.57575,189.4718,278.0159,228.975525,324.33525,11.445533745089,9.53994135786933,1.19492913293881,1.25360397943846,0.256925059553788,0.326081664619226,"KICH"
"ZNF419",0.64807990265014,221.032745652174,230.365921052632,7.70283994726213,25.8195091802833,192.744575,169.774,250.249375,264.69765,147.718288,223.464954545455,143.5443,216.15015,127.9752,170.2388,191.60185,252.312875,6.00265187609699,9.06286200742142,1.51277785283739,1.50580796311661,0.597200147409065,0.590537793698537,"KICH"
"ZNF175",0.481846635677896,215.637317391304,203.572215789474,8.91512709170591,15.4658689619044,190.539725,155.6156,247.431375,240.0918,169.150912,211.731286363636,168.011,216.20775,144.6448,190.2078,176.407175,247.431375,7.77131405243309,7.61701451995143,1.25173009036828,1.28686663373232,0.323923508542989,0.363862545537755,"KICH"
"ZNF14",0.040310697738966,236.016080434783,201.961084210526,9.30354502509123,11.4617939175114,189.861875,162.39495,278.680825,236.39855,259.247472,226.468063636364,243.032,236.73995,209.3825,291.6097,172.383625,266.6361,19.1675246810593,7.48585811054207,0.873559390528459,0.974110199479904,-0.195022304157258,-0.0378431036372251,"KICH"
"ZNF85",0.0615675254911505,153.201326086957,121.812215789474,9.42379343682297,11.6677523711769,111.6615,86.0902,188.021275,161.6886,78.413804,144.043736363636,76.5462,146.62775,65.382,86.2517,91.28895,176.279025,4.8404974259005,7.53609032001136,1.8369691178818,1.91554577496989,0.877327372854662,0.937755501633884,"KICH"
"ZKSCAN1",0.818892661919036,1224.7376,1269.22805263158,102.190381119121,171.84923410175,712.251675,674.76515,1498.50195,1764.7115,709.103788,1240.14171969697,704.8215,1141.4611,523.7122,851.7693,712.251675,1518.4494,45.3088421093272,86.053132145595,1.74888604557415,1.61950380344527,0.806436288778716,0.695551856342538,"KICH"
"ZNF862",0.501130843698013,634.834547826087,593.253447368421,31.3135297237456,58.4795022571164,505.289675,407.44025,770.430275,777.322,507.269108,623.519787878788,484.6777,621.35535,383.6234,595.7091,440.4572,775.177225,34.2148684778172,27.4204700666108,1.22916964200152,1.28199698480041,0.297684040840524,0.358392868806417,"KICH"
"ZNF684",0.0123592858219885,169.10097826087,236.292621052632,7.08515360612156,37.1705322718141,132.42935,157.96005,204.4149,238.98215,152.578052,187.646646969697,139.4857,166.08415,118.103,167.4831,133.00275,207.4926,11.3731723218958,12.2358867558404,1.22984036373526,1.19068943984939,0.298471062398652,0.251797173055662,"KICH"
"ZNF430",0.199165410488575,135.767904347826,117.242284210526,7.84299906501066,11.5140856313973,105.357225,77.28975,174.398825,160.43805,116.122476,130.674281818182,98.6263,124.5284,79.6826,118.4936,99.241275,163.79335,14.0062943301625,6.43652539503584,1.12531429159487,1.26262873087604,0.170327991309059,0.336430484837643,"KICH"
"ZFP30",0.417308193087994,189.774908695652,176.144373684211,8.63996958151618,15.4437352914787,152.9667,127.521,220.388125,237.2835,176.77558,185.417237878788,170.8196,175.40395,148.773,197.8246,146.691725,226.322925,9.57030303945143,7.46694108026181,1.04888490751261,1.02683737697548,0.0688563819472998,0.0382077162146513,"KICH"
"ZNF549",0.0699278180852472,229.288456521739,196.735705263158,8.83581426426593,17.3090678563745,187.5812,143.2023,274.488925,252.347,177.205324,220.365795454545,169.6283,235.51255,153.6416,208.1247,172.384925,265.893925,9.23611414840007,8.07639425078477,1.24356193414677,1.38840364491067,0.31447836108223,0.473427057723478,"KICH"
"ZNF211",0.552805777297108,243.462713043478,256.425242105263,10.5047490208367,22.3777361255097,198.5034,192.16945,290.506575,281.53265,206.491584,248.953056060606,206.4402,250.33035,168.2725,238.6861,193.99025,291.6243,9.0964419652149,9.82790480970608,1.20563294269952,1.21260466711425,0.269790742768289,0.27810928025607,"KICH"
"ZNF205",0.272650881741425,452.114384782609,382.041610526316,36.9157519431521,41.0181965047456,307.79475,288.7737,556.670825,442.3773,239.366032,428.129075757576,251.5736,360.696,216.9704,285.9039,292.374825,497.750475,12.5812207289194,28.6242547776144,1.78859578437418,1.43375934517771,0.838827380810853,0.519802889691915,"KICH"
"ZNF45",0.527966964606742,248.328115217391,232.522773684211,13.6137818965893,20.3602553942708,176.0452,172.7965,295.7547,281.28145,253.702384,245.062021212121,261.7174,252.2006,231.7853,269.5365,176.0452,296.88675,8.11625847850818,11.1843976046105,0.965942918424137,0.963637113925173,-0.0499901581447562,-0.0534381356772386,"KICH"
"ZNF133",0.647774180786623,245.529430434783,261.011726315789,19.1903463928851,24.2575247519774,172.358125,204.30965,283.422875,352.12925,261.36314,249.263978787879,248.981,220.38255,227.3541,293.1167,173.963625,291.34985,10.5852709403869,15.0327335145598,0.953707469185895,0.885138022580036,-0.0683812788382108,-0.176025657809397,"KICH"
"ZNF436",0.838147812080085,283.316010869565,288.593663157895,11.0046614286993,30.1152693916869,229.362125,193.18385,328.08605,375.2068,380.569124,283.884522727273,369.4057,265.93825,342.3318,428.8543,218.4912,340.416125,18.4602362808256,11.4791602123243,0.745947332099576,0.719908355501824,-0.422854322853394,-0.474114832052121,"KICH"
"ZNF484",0.562495393669907,70.9608,67.2649210526316,3.3609186612856,5.60716123054233,57.9433,50.0195,84.6177,84.13095,96.10752,70.0666696969697,93.5804,67.0731,72.5608,107.7524,55.1536,84.78665,6.43173421160265,2.83448751265441,0.729044612710532,0.716743035934875,-0.455920994235117,-0.480472112960495,"KICH"
"ZNF780B",0.130862526607471,454.817480434783,389.9014,22.5290763079779,37.1903279134367,360.536125,259.036,575.6026,540.6875,342.979392,434.955668181818,331.7095,445.49685,269.9896,394.1994,319.3353,550.21935,18.6582960737084,19.2136106378906,1.2681685206959,1.34303313592164,0.342746470885653,0.425494900029756,"KICH"
"ZNF557",0.0707556239730777,181.256995652174,159.752494736842,6.4776057699007,9.22186006748621,154.844925,136.49125,212.022225,189.153,165.599876,175.541271212121,157.9227,167.9022,120.3607,188.9791,145.382125,209.525225,12.4710044448476,5.36659425997808,1.06003262473531,1.06319230864214,0.0841086674484061,0.0884025730036445,"KICH"
"ZNF337",0.515239686309047,447.048734782609,409.809605263158,31.7503581407999,43.8121404202968,332.62755,263.4616,492.108575,509.543,255.8477,437.810948484848,247.0552,427.51885,202.6637,306.4213,300.14235,497.4909,17.9124184944235,25.4264207284503,1.7112170579796,1.73045882053889,0.775022768950287,0.791154610320928,"KICH"
"ZNF317",0.0280901491142723,962.828804347826,835.525584210526,30.6700874923759,47.4385302314037,840.90315,724.0764,1099.391125,946.6132,608.007128,929.977478787879,626.6291,929.27635,567.1922,656.8581,774.639,1099.391125,22.6609623047621,26.5159115838892,1.52955028972601,1.48297669227299,0.613107541708529,0.56849592334452,"KICH"
"ZNF426",0.421906373579341,157.981380434783,141.270463157895,11.8967569222465,14.2055388404529,86.371275,85.9878,214.901375,185.7103,142.742176,153.871371212121,134.538,162.38365,117.3084,142.76,86.371275,196.85105,10.7761806417306,9.26578991923201,1.07796711192158,1.20697237955076,0.108313163070533,0.271392661725838,"KICH"
"ZNF331",0.267372961472088,987.202930434783,632.397710526316,191.453915827093,164.759536023391,388.8699,329.47825,789.540925,621.2684,958.465872,882.421440909091,833.7661,528.6565,644.2366,1131.5326,348.456225,764.75205,91.5895506738044,142.289351663768,0.920660262078785,0.634058520729015,-0.119259217221479,-0.657312094161042,"KICH"
"ZNF227",0.0843790119237536,313.088139130435,270.527521052632,13.6232006820446,18.3269869676904,243.827625,209.45015,376.97635,322.61695,226.783776,301.144539393939,224.1973,299.07485,174.6208,259.9793,234.899575,363.1054,12.0087389908506,11.0567722108371,1.32789278274447,1.33398060547562,0.409138664721458,0.41573769156932,"KICH"
"ZNF141",0.152058416770564,131.498239130435,111.369768421053,7.54433980143535,11.528349903653,99.9341,71.8017,159.357025,149.1336,80.862172,125.173853030303,77.9886,118.15735,64.8763,95.8419,94.32425,152.50225,5.11396465381971,6.28670085975304,1.54799023986522,1.51505925224969,0.630396375266284,0.599374216968981,"KICH"
"ZNF304",0.0132322502864564,503.12672826087,398.951026315789,21.2629669668413,37.4022007601117,435.945325,309.6597,606.05675,495.34765,312.422464,474.440142424242,310.2687,489.48425,274.8944,346.755,354.883675,596.163925,12.7540309247088,19.1521573438537,1.51858523983808,1.57761401649602,0.602727890817029,0.657744274678027,"KICH"
"ZNF132",0.0449682966117126,167.999476086957,131.761126315789,9.74121120714833,14.245413921062,129.80845,79.15195,205.743725,179.845,201.324952,156.526654545455,203.2631,151.8191,155.6716,249.6358,111.788225,197.171275,11.610429711277,8.17649021146698,0.777482636853948,0.746909301294726,-0.363117638299316,-0.420995030610088,"KICH"
"ZNF20",0.749169902289107,100.78677826087,98.3137315789474,3.77923318315707,7.77460982708424,80.421,78.00535,118.899925,124.86865,152.622428,100.312524242424,138.9927,98.35505,122.8933,154.5459,80.094325,121.78015,11.5651101527014,3.43383929837888,0.657259392062772,0.707627450938071,-0.605465242166411,-0.498938079414039,"KICH"
"ZNF670",0.00995153349471622,31.1553804347826,41.7955105263158,2.20801775211572,3.19118059581114,21.779725,31.15425,33.913025,52.9829,67.701644,34.4172454545455,58.5685,30.49715,56.0512,68.1077,23.723375,40.918425,5.74131066446237,1.8820538003145,0.508366465289166,0.5207090842347,-0.976059229683561,-0.941450518837077,"KICH"
"ZFP37",0.0433407190631858,17.232397826087,32.1878052631579,3.11034170210758,8.47024451324289,5.035375,7.0222,19.079175,41.28975,112.86378,21.3854318181818,109.6348,11.30105,84.1926,127.3335,5.61975,22.70345,8.32267467549745,3.33711124957121,0.189480024664971,0.103079040596599,-2.39988233005708,-3.27817708033205,"KICH"
"ZNF189",0.612704608977468,374.541626086957,395.587021052632,24.9231426238666,21.883431809099,267.52855,351.3896,427.0015,445.92815,535.570448,380.612381818182,529.0677,375.0432,420.9069,602.9426,289.318475,438.66305,28.2259225359338,18.4199241309934,0.710667258134791,0.708875631606314,-0.492753861909562,-0.4963955582597,"KICH"
"ZNF434",0.118987091933988,411.490886956522,375.086289473684,10.7817497172494,24.706895955294,360.99055,285.14725,457.21355,448.29865,311.817052,401.841131818182,312.0489,406.4558,293.8219,323.0493,357.763025,457.21355,7.82704512100218,10.4829202461965,1.28870800759858,1.30253880080974,0.365925418308177,0.381326349012071,"KICH"
"ZNF287",0.0105102581405921,125.80627173913,157.061463157895,5.00357171424966,14.0117046030033,104.35035,117.02275,143.4313,207.3517,181.637468,134.898281818182,180.7691,131.6509,155.6886,201.2278,104.75205,152.044,7.63421239997229,5.54935086510541,0.742678717687156,0.728282101310456,-0.429189858070446,-0.457430705825955,"KICH"
"ZIM3",NA,0,0,0,0,0,0,0,0,0.178112,0,0,0,0,0,0,0,0.0797223553590836,0,0,NA,-Inf,NA,"KICH"
"ZFP14",0.647809877931184,197.895691304348,188.724568421053,10.6719068197564,17.3060065990285,148.03945,137.6532,241.90805,245.01015,194.841876,194.970713636364,186.1421,183.8009,140.9068,246.6368,141.67645,242.599525,12.7605056347026,8.89679866738275,1.00066124202358,0.987422512156036,0.000953655324489269,-0.0182605575603922,"KICH"
"ZNF473",0.214597655549943,180.419684782609,200.160884210526,7.86888174602511,15.4729015718431,139.02645,154.78415,219.77535,237.19385,164.146044,185.00091969697,154.1911,181.6253,139.9404,174.8252,140.0784,227.750275,7.6474409795959,7.18323587060504,1.12705073597125,1.17792336911793,0.172552462170798,0.236245686375854,"KICH"
"ZNF614",0.477890222835276,194.525297826087,183.597594736842,8.19032254949452,13.2001809575614,168.72845,151.8257,235.7544,213.4053,254.832028,191.254490909091,241.4626,187.3167,204.3002,281.2239,154.68815,232.77775,13.2070823872478,6.82926972921291,0.750511983953175,0.775758647508972,-0.414052986330166,-0.366320221085317,"KICH"
"POGK",0.000375666512864359,978.264076086956,1385.17108947368,34.2862722500894,148.016783846511,842.594325,959.60185,1085.189825,1775.47395,1289.81876,1095.27398636364,1322.0464,975.552,993.4375,1451.2148,846.233575,1170.820325,58.7600771703807,53.2588175297702,0.849168906772325,0.737910560476546,-0.235876548498787,-0.438482131957389,"KICH"
"ZNF514",0.0752415665068884,203.131084782609,247.659615789474,14.0371408041515,17.5596859424457,143.482325,198.2002,231.39155,314.2955,182.488456,216.800554545455,181.0137,200.45825,144.7225,208.3365,153.2921,260.6438,11.0630868573243,11.2382686122906,1.18802339226025,1.10742032232919,0.24856324318043,0.147202902197245,"KICH"
"ZNF300",0.205729486782289,28.7107891304348,46.1284,7.74794832502316,9.81333869310911,9.120925,11.2134,26.927725,65.4265,138.58556,33.5135545454545,133.8198,19.3903,92.3419,173.9409,10.817775,38.58365,10.7364844165056,6.13817332374249,0.241825732388386,0.144898587503494,-2.0479603266697,-2.7868845635649,"KICH"
"RBAK",0.206279185362997,422.900954347826,461.736847368421,15.3691878221891,29.3436634309556,348.176575,382.37985,465.770625,532.56345,314.5435,436.194987878788,318.0407,410.46995,269.7883,367.6373,363.432825,502.448675,14.6400057246289,13.8245504423171,1.38675568841444,1.29062082305818,0.471713643350753,0.368065207427579,"KICH"
"ZNF92",0.580882862377124,270.48647826087,253.130842105263,16.0128482827945,29.504540714164,193.9752,141.82705,338.73045,327.544,135.654608,265.543889393939,133.0982,244.23805,116.8526,153.8155,179.281575,329.913225,6.68734289930592,13.9313328919287,1.95749995749455,1.83502143530115,0.969012276189416,0.875796915614567,"KICH"
"ZNF157",0.00140368711376038,0.770645652173913,2.1384,0.111634291941415,0.582663316663058,0.073925,0.1858,1.106475,4.16065,6.616668,1.17084696969697,5.5458,0.73565,3.7969,8.1998,0.073925,1.1586,0.870270822382703,0.197336397225707,0.176954166311045,0.132649933282845,-2.49855236507944,-2.91430414493352,"KICH"
