"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE"
"ZNF195",0.659204793011468,0.948540375554665,0.196662384370663
"ZNF263",0.861252220723286,0.849047601644915,0.99069420194954
"ZNF200",0.999096905025535,0.994720594179875,0.896309981051339
"ZNF582",0.382555891725137,0.396814743865541,0.99887030363679
"ZNF285",0.950564355870672,0.767975293982653,0.401424737826959
"ZNF275",0.669759095389987,0.761024430921682,0.913631980557301
"ZNF37A",0.77981885123317,0.988641123439402,0.230867427731642
"ZNF510",0.00393452290608165,0.00697933228890291,0.949056181510482
"ZNF506",0.944076767158732,0.911903648354711,0.948001945646715
"ZNF324",0.615898457164247,0.863349810339232,0.406247609578696
"ZNF671",0.912281810550105,0.75530689606471,0.556149112071067
"ZNF416",0.755533227039096,0.576468339887024,0.571941044569168
"ZNF586",0.431018979784577,0.41718681874858,0.978047226511666
"ZNF446",0.74708422155761,0.882453681534771,0.735082619081819
"ZNF8",0.840540213282894,0.992053888320434,0.356685078213925
"ZNF264",0.827384290931622,0.815761568916529,0.991065440618805
"ZNF213",0.971960673047374,0.983155519587189,0.98838438866549
"ZNF343",0.747332564629696,0.67761754871364,0.897522011571479
"ZNF302",0.115565221296864,0.0669146510965715,0.566061004365708
"ZNF268",0.843972973292218,0.923320961035454,0.864673464491603
"ZNF184",0.921586568642273,0.864340214334136,0.890356970495784
"ZNF500",0.925586208220551,0.845688848061836,0.813342157664022
"ZNF419",0.981030383780772,0.97369378739288,0.399194106306614
"ZNF175",0.614938107263971,0.556727272515287,0.917898300486654
"ZNF14",0.389933847014872,0.394923109877158,0.994588332475421
"ZNF85",0.972128514317344,0.969804315769829,0.998472170454471
"ZKSCAN1",0.001375509783618,0.00669224217619191,0.381662218443078
"ZNF862",0.865692139778521,0.791244533188871,0.867586144013291
"ZNF684",0.882476382553355,0.989013992334883,0.552867028541713
"ZNF430",0.993003153505293,0.999086439352921,0.877212106005369
"ZFP30",0.480535831435068,0.408694141621319,0.863673417761081
"ZNF549",0.972062314819939,0.617598745823985,0.0578982110309785
"ZNF211",0.683866281482516,0.648664576598513,0.962026814496161
"ZNF205",0.949135371146783,0.950597303807952,0.999872977894689
