"gene","Current reformed smoker for < or = 15 years-[Unknown]","Current reformed smoker for > 15 years-[Unknown]","Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-[Unknown]","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","Current smoker-[Unknown]","Current smoker-Current reformed smoker for < or = 15 years","Current smoker-Current reformed smoker for > 15 years","Current smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-[Unknown]","Lifelong Non-smoker-Current reformed smoker for < or = 15 years","Lifelong Non-smoker-Current reformed smoker for > 15 years","Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current smoker"
"ZNF195",0.999999994968903,0.395653644193512,0.465927705058624,0.992881465957957,0.995631502752099,0.355088479192566,0.960298917398983,0.968368298531846,0.886594210544261,0.856750090063007,0.999648156396719,0.999705591110051,0.317685021795321,0.962633596773222,0.969986863242223
"ZNF263",0.999996153983537,0.99559981391729,0.999051258062363,0.953486442041215,0.94372532659031,0.850130402005636,0.999964856204007,0.9997419893773,0.988153208731341,0.984157417878912,0.999999358762971,0.999924812063326,0.984901532408995,0.938213487132134,0.999982819722852
"ZNF200",0.69453733945201,0.955760895540843,0.997860680913669,0.638403571910395,0.999030531123934,0.978910751897474,0.132512232447483,0.922108802210353,0.758045353006994,0.998042662003114,0.981982187301334,0.824275833109144,0.995678001937833,0.768768752105208,0.125583683413992
"ZNF582",0.979698630836593,0.999998762800387,0.995477866801497,0.994249156623451,0.90232215070431,0.993318501065635,0.999795767191175,0.945778030989978,0.999548151875825,0.999610413569406,0.967869758481466,0.639301171203871,0.98225850736562,0.999993493757719,0.999492432139192
"ZNF285",0.957458096551024,0.988516694498797,0.786107157062129,0.945550279097708,0.999932032912044,0.789795275077085,0.999999861716023,0.97933202654853,0.988008621946623,0.966403078841078,0.999999995672467,0.908866146331674,0.971938951076484,0.91738300913034,0.999999948073949
"ZNF275",0.9478402574656,0.295277348531899,0.0891010403841768,0.800052740744915,0.994495452462014,0.0764524964716731,0.999996585844805,0.980865226033428,0.324549817237047,0.875763873925926,0.997677515102504,0.977529775963226,0.0663234505990298,0.850295048952116,0.999917493942309
"ZNF37A",0.997199054342834,0.192418354519946,0.122681351319268,0.999724156059654,0.98944847973846,0.626928884414075,0.805510814319559,0.97788327799997,0.0232077718390568,0.830706127898718,0.999999386041537,0.995834055398397,0.0640446138231455,0.998987882484338,0.672182169573493
"ZNF510",0.998423087424256,0.999999215785182,0.998065925690512,0.998225904425306,0.999999086896324,0.997694413057399,0.63588188186174,0.903420893171861,0.733413580991137,0.97367816112855,0.995235765677344,0.999999600599393,0.996616368222866,0.999982437948316,0.675814315463305
"ZNF506",0.574870398010886,0.951528967674208,0.992019299243966,0.85837303067177,0.99999211806497,0.999250626094373,0.993002605405553,0.921082382185653,0.999437463606839,0.985171446852594,0.953184043876245,0.777126243793666,0.998524166776607,0.969973048993831,0.99999999899663
"ZNF324",0.99901882304338,0.998269727531576,0.999999689146663,0.96364230055885,0.99632100620351,0.998536885093745,0.912169564142019,0.803250808918876,0.813858374315228,0.651350849585861,0.999797623076641,0.999892894960496,0.999652237452823,0.97316490152674,0.679797456087814
