"gene","Recurred/Progressed-DiseaseFree"
"ZNF195",0.820571573274812
"ZNF263",0.431958635555836
"ZNF200",0.862726975417178
"ZNF582",0.000593776954592951
"ZNF285",0.177402956227877
"ZNF275",0.916375562540384
"ZNF37A",0.112738563554264
"ZNF510",4.14469142140383e-06
"ZNF506",0.0297594814956812
"ZNF324",0.0461082807714931
"ZNF671",6.82267271567838e-08
"ZNF416",0.00194931924940567
"ZNF586",0.000557275428180626
"ZNF446",0.000215398863507854
"ZNF8",0.196447948653982
"ZNF264",0.173638160917775
"ZNF213",7.94238305892314e-05
"ZNF343",0.270023880927256
"ZNF302",0.310947815412895
"ZNF268",0.126323633748903
"ZNF184",0.0230791139755246
"ZNF500",0.0320603797339067
"ZNF419",0.492835918346306
"ZNF175",0.0424547801298284
"ZNF14",0.00258875218410914
"ZNF85",0.622142025096831
"ZKSCAN1",0.000246450868505166
"ZNF862",0.567048452474002
"ZNF684",0.000222757178335309
"ZNF430",0.0063767218514349
"ZFP30",0.000222639221080678
"ZNF549",3.06589038001626e-06
"ZNF211",0.00764446840327659
"ZNF205",0.00815169191499443
"ZNF45",0.000376435232741335
"ZNF133",0.160352184863632
"ZNF436",0.548706646478847
"ZNF484",6.57143605220512e-06
"ZNF780B",8.45734362976414e-05
"ZNF557",0.000444477858983161
"ZNF337",0.102822046477987
"ZNF317",0.0905364254358682
"ZNF426",5.140176062568e-10
"ZNF331",0.219120970791907
"ZNF227",0.324842969989256
"ZNF141",0.516908654295221
"ZNF304",1.9509365767334e-07
"ZNF132",5.57291857106179e-08
"ZNF20",0.102592634054821
"ZNF670",0.000355420154212083
"ZFP37",0.0106103813944269
"ZNF189",1.78266006978234e-06
"ZNF434",0.690961408390368
"ZNF287",0.0256688639214346
"ZIM3",0.797214750159414
"ZFP14",0.0104556357006649
"ZNF473",0.0150376032508962
"ZNF614",0.0727750080535291
"POGK",0.0794465968596052
"ZNF514",0.802377533590038
"ZNF300",0.0754573081392073
"RBAK",0.229853216643211
"ZNF92",0.903219923060534
"ZNF157",0.167837070714129
"ZNF182",0.541498577096809
"ZNF673",0.055536000644053
"ZNF41",0.0072335772851132
"ZNF7",0.304319251783598
"ZNF214",0.153586961214187
"ZNF215",0.608001584058461
"ZNF547",0.900278746025699
"ZNF773",0.00312126281088476
"ZNF776",6.93190016183287e-05
"ZNF256",0.00957496969604732
"ZNF599",0.655209899108477
"ZNF18",1.85595786019732e-05
"ZKSCAN2",0.00381527855454522
"ZNF689",0.000374836715849147
"ZNF19",0.00663185474790096
"ZNF230",0.0357814367481931
"ZNF222",8.89521836966445e-06
"ZNF221",0.00323316635237614
"ZNF233",0.0236848093730195
"ZNF235",0.0115510580993621
"ZNF208",0.556787365618055
"ZNF714",0.576316463055422
"ZNF394",0.210253979259164
"ZNF333",0.653676978398707
"ZNF382",5.2536056122765e-05
"ZNF577",0.000287733478788965
"ZNF75A",0.4804051299568
"ZNF496",0.0918657398451806
"ZNF2",0.438037678911403
"ZNF589",0.0155311973675796
"PRDM9",0.875046984092569
"ZNF12",0.562472214852912
"ZNF202",0.127929820846602
"ZNF3",0.617895471590098
"ZNF606",0.347938223716053
"ZNF91",6.45491146231691e-05
"ZNF226",0.279158742123449
"ZNF229",0.0331788688911737
"ZNF180",0.0126721280241548
"ZNF641",1.68687496930886e-05
"ZNF610",0.0467913284241225
"ZNF528",0.377463215297081
"ZNF701",0.0865356765699705
"ZNF283",0.00240314532357178
"ZNF558",0.219444819634306
"ZNF597",0.00269409377342589
"ZNF30",0.659883554129948
"ZNF354A",0.09497443593904
"ZNF764",0.441163653205941
"ZNF747",0.70497906566025
"ZNF778",0.0153877732930517
"ZNF212",0.0116316801624471
"ZNF282",0.000170970851804286
"ZNF160",0.518071556217649
"ZNF415",0.0138307670340496
"ZNF439",0.00464244253897905
"ZNF440",0.000191947537084403
"ZNF562",7.20951256050206e-06
"ZNF561",0.000150833792978422
"ZNF584",0.103908539299834
"ZNF274",0.0489274589328121
"ZIK1",7.18130637016312e-05
"ZNF540",0.00138588615973023
"ZNF570",9.01932497925362e-05
"ZNF57",0.0728568191180564
"ZNF556",0.92295046116586
"ZNF554",0.0305588922126256
"ZNF738",0.705687437430545
"ZNF596",0.0362671354486649
"ZNF621",0.854127959147004
"ZNF680",0.823410136753219
"ZNF483",0.042601736986968
"ZNF417",0.00145459216862476
"ZNF791",0.000137372902161093
"ZNF519",0.0889244751258172
"ZNF25",0.0957928503681198
"ZNF77",0.110343627911043
"ZNF169",0.313390366712367
"ZNF613",0.105494720398421
"ZNF404",0.170241513081608
"ZNF135",0.0893267392441276
"ZNF620",0.0213168601913387
"ZNF619",2.46247572710523e-06
"ZNF354C",0.00605944783556944
"ZNF114",0.00524829038756314
"ZNF454",0.0752598831572138
"ZNF543",5.34403904484115e-06
"ZNF354B",0.963111641241028
"ZNF223",4.08991645861612e-06
"ZNF713",0.552631059646367
"ZNF552",0.000812461273043352
"ZNF154",2.04620493993168e-05
"ZNF571",0.742681663725346
"ZNF443",0.0172133421170345
"ZNF792",0.0901441102289758
"ZFP82",0.133025336067539
"ZNF707",0.410706554278979
"ZNF746",0.0222588291154554
"ZNF678",0.139890851333594
"HKR1",0.386227739295359
"ZNF101",0.516602860116343
"ZNF716",0.579782580752799
"ZNF708",0.0674870644553137
"ZNF721",0.066316447950087
"ZNF662",0.00742787627849006
"ZNF320",0.222343872289396
"ZNF530",0.437377411366049
"ZFP1",0.09484275947409
"KRBA2",5.60047148856491e-06
"ZNF93",0.131885996991339
"ZFP90",0.388522688998476
"ZNF479",0.419443776250581
"ZNF445",0.0145735976240375
"ZNF74",0.0286300974020121
"ZNF829",0.000837896268924276
"ZNF267",0.410548782168006
"ZNF566",0.0691320578500637
"ZNF224",0.434782151311567
"ZNF529",0.851560296342912
"ZNF284",0.00284757721843476
"ZNF749",9.69411338425097e-05
"ZNF17",0.00669884002765797
"ZNF555",1.23808656637969e-06
"ZNF75D",0.014902444344806
"ZNF197",0.165958106109118
"ZNF732",0.0861751150778167
"ZNF546",0.0691360749917035
"ZNF286A",0.997864310510905
"ZKSCAN4",0.0139118433515405
"ZNF643",0.0162821930318723
"ZNF642",0.000947395877429091
"ZNF490",0.857078991965992
"ZNF626",0.238093071022973
"ZNF793",0.0687500715878939
"ZNF383",0.0185803201820057
"ZNF669",1.54746757780044e-05
"ZNF559",0.0261748123676816
"ZNF177",0.712415985067101
"ZNF548",0.0311305730921703
"ZNF563",0.0677569572428846
"ZNF567",0.867040315995808
"ZNF573",2.53337132513076e-05
"ZNF527",0.00109005418110875
"ZNF33A",0.00486935751070705
"ZKSCAN3",0.000229941642047371
"ZNF676",0.144317867470136
"ZNF699",6.6832249734361e-09
"ZNF250",0.174739178301482
"ZNF79",2.13670496851392e-08
"ZNF681",0.825740875506918
"ZNF766",0.432534181503593
"ZNF471",0.0022583730178205
"ZNF836",0.000555270523991402
"ZNF493",0.132137087457812
"ZNF167",0.0752915206067695
"ZNF565",0.339564490504712
"ZNF34",0.348584123555009
"ZNF140",0.0710735044115081
"ZNF658",7.77563281539884e-08
"ZNF765",0.00268955682123906
"ZNF124",2.28897446177267e-05
"ZNF569",0.915727377318448
"ZNF777",0.000564566496156771
"ZNF605",0.0968334204663251
"ZNF799",0.519209991441338
"ZNF782",3.47294494984496e-06
"ZNF846",0.0102879790084168
"ZNF136",5.09505035939384e-08
"ZKSCAN5",0.266007092889904
"ZNF33B",0.0154919000574776
"ZNF431",0.0431074632379772
"ZNF418",0.000734522076592081
"ZNF700",0.964229259941404
"ZFP28",0.00161864769336084
"ZNF585A",0.00426922126619622
"ZNF138",0.456705393631126
"ZNF429",0.583570155915146
"ZNF470",0.0148626997026629
"ZNF100",0.291741857077693
"ZNF398",0.444647904526937
"ZNF498",0.202047192991432
"ZNF441",0.0017551635494546
"ZNF420",3.21839990842232e-05
"ZNF763",9.45139323440536e-05
"ZNF679",0.576230366588207
"ZNF682",0.553212540959548
"ZNF772",4.80811702472383e-05
"ZNF257",0.124773861523288
"ZNF785",0.0637978987050647
"ZNF98",0.023515181968413
"ZNF786",0.328362470613175
"ZNF517",0.304912903414589
"ZNF675",0.0599038098653305
"ZNF860",0.39791036746312
"ZNF695",0.0025478292207114
"ZNF665",0.000445452191977558
"ZNF624",0.963434463975392
"ZNF841",0.186509215032722
"ZNF615",0.918833639818511
"ZNF433",9.03057039591815e-07
"ZNF595",0.0337440425624805
"ZNF460",0.206125308960112
"ZNF81",0.00312021648398098
"ZNF780A",0.000752204923643252
"ZNF461",0.0192747653681224
"ZNF181",0.00192403954878295
"ZNF44",0.158181299976582
"ZNF790",0.0269457885362812
"ZNF677",7.20954835082832e-05
"ZNF823",0.7204058572967
"ZNF311",0.749756311552297
"ZNF347",0.00045856258783894
"ZNF273",0.473182502261253
"ZNF84",0.80549766684838
"ZNF667",0.59138426545398
"ZNF649",7.62028645739932e-06
"ZNF248",0.0227009232677563
"ZNF544",0.295265391694952
"ZNF251",0.00432990454971038
"ZNF607",0.0108482097174601
"ZNF334",0.757854972912414
"ZNF485",0.194042015827982
"ZNF192",0.00028610584812605
"ZNF442",0.0284381177572154
"ZNF813",0.00119926448896313
"ZNF26",0.00766079242374562
"ZNF69",0.283662086715219
"ZNF583",1.45358643122151e-07
"ZNF568",6.14581178317586e-05
"ZNF480",0.377492029819676
"ZNF587",0.540551211424545
"ZNF808",0.0351823687606807
"ZNF43",0.40142936066243
"ZNF28",0.229157793562444
"ZNF627",0.0186662876441565
"ZNF789",0.628314116128468
"ZNF534",0.636936629352711
"ZNF525",0.0552250928249467
"ZNF814",0.24883299722322
"ZNF551",4.54952145179099e-07
"ZNF805",0.00207689076667894
"ZNF468",0.143280481880538
"ZNF616",0.15217737822099
"ZFP57",0.49919420841523
"ZNF155",0.0655763561182728
"ZNF425",0.127267130268588
"ZNF611",4.85399462742953e-05
"ZNF254",0.172366252123057
"ZNF625",1.92863300159107e-05
"ZNF845",0.000540400913082495
