"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF195",0.664412614148254,0.0606651667164705,0.912491710748978,0.0252890143882148,0.696915679830605,0.939345537070139
"ZNF263",0.537098859752734,0.714474296381522,0.958233017111252,0.625796723168795,0.99355233291399,0.994538393269187
"ZNF200",0.999924246973416,0.999773836260792,0.999490956633416,0.91724093693972,0.975144394275587,0.92010576560841
"ZNF582",0.491756898535514,0.00468649388695397,0.75521335147925,0.00216095205043509,0.497485344687809,0.936996584156786
"ZNF285",0.864834399037121,0.0558833941873802,0.742557040747695,0.000785378153586147,0.142041076058306,0.467350670613883
"ZNF275",0.894206886627151,0.999400273289814,0.942661452008351,0.999993905843454,0.925711931837297,0.999469329584361
"ZNF37A",0.98748628291848,0.528668301701796,0.926467843630061,0.927465753888693,0.998358824669301,0.959682673903647
"ZNF510",0.999929226878196,0.00355839185614371,0.104332503085104,0.000104416271923591,0.0107226351586415,0.632243083405579
"ZNF506",0.990218216320214,0.796661645134763,0.985999144470665,0.426537125407026,0.831133813289072,0.918666184890617
"ZNF324",0.290664612550858,0.0121191208114294,0.965248227236396,0.0109638587551204,0.873727349306511,0.980608767077755
"ZNF671",0.194746453235891,3.11395601400033e-05,0.55491623791791,8.18730875318252e-08,0.05864372020244,0.39787993964305
"ZNF416",0.00217702059178593,1.7818955703186e-06,0.993350898893869,1.01308686473178e-06,0.842185582512448,0.896727311303687
"ZNF586",0.454475397304273,0.471578879690798,0.0939435836726396,0.0872001692444437,0.0164776296335305,0.764764155770695
"ZNF446",0.903753037601342,0.000519689785451027,0.16886709249541,0.00104377169822578,0.134061072710714,0.990459129773434
"ZNF8",0.882173747958254,0.822309695884154,0.589156253293061,0.743574924433952,0.523584847986581,0.995812918536948
"ZNF264",0.850735401645825,0.299446585232845,0.969484262946889,0.154975697383892,0.834245014876558,0.95611254866136
"ZNF213",0.888589995935644,0.00730388688548045,0.419581746881576,0.0656406427201898,0.63491847400256,0.991365921286553
"ZNF343",0.947817147300956,0.991063468515892,0.898161471151176,0.884489838752545,0.751574893472762,0.974982291519202
"ZNF302",0.90953167279585,0.0420828347374133,0.636444850663984,0.892383514409016,0.999960083866909,0.499504211100544
"ZNF268",0.527757877833394,0.15728051937366,0.997807090032193,0.0157199026916031,0.736736471587357,0.730075323055654
"ZNF184",0.650328735320775,0.444645864403781,0.999956498904786,0.994292924658767,0.852481528812355,0.793896976322748
"ZNF500",0.916747669082123,0.37160928670913,0.957636191755489,0.241168794417771,0.847431511979113,0.97563993963395
"ZNF419",0.794331194677305,0.943765098604092,0.96801977935964,0.510931528292502,0.995947818197341,0.857718779047552
"ZNF175",0.76058444812681,0.0454635541311237,0.815389679348639,0.00312314088245658,0.326366871366029,0.711439424614636
"ZNF14",0.724980168169398,1.73733137776022e-06,0.0500178188146002,2.83018636551002e-05,0.0638139718313059,0.999679401275422
"ZNF85",0.96531753180726,0.995330914024074,0.934994554696079,0.998780997327176,0.991419594653617,0.989149106349229
"ZKSCAN1",0.890976657101527,0.0773598645832164,0.760842736879816,0.0104212812181264,0.345014335460991,0.800449012199112
"ZNF862",0.955083099861048,0.744093939597175,0.996535497860131,0.802021446325911,0.996214489510557,0.99999409295697
"ZNF684",0.933875825540056,0.0111746850030774,0.0422049918049626,0.00257952351913149,0.0118760604123487,0.879830760865732
"ZNF430",0.975937252983292,0.120651268268873,0.674372435644476,0.289783616345346,0.785459298209201,0.999081195525406
"ZFP30",0.627826053925077,0.00110565956148989,0.46558737003016,0.00112936446518885,0.318172014827501,0.973010278820728
"ZNF549",0.138831481369267,0.00505870033491862,0.990339407985755,5.23251435513572e-08,0.0720012864195367,0.0454859486313448
"ZNF211",0.970837031500025,0.760765970739196,0.993765915946552,0.0125684903449795,0.251272325344822,0.208263239612112
"ZNF205",0.998024330352011,0.14019887141445,0.369500142421836,0.583249763805766,0.704895332617975,0.952712805092178
"ZNF45",0.196936256737164,0.000155190236652447,0.706460373906715,5.23699802873479e-05,0.387056545057636,0.892201435381409
"ZNF133",0.999781735193218,0.252736211663731,0.642259924274034,0.36181318859442,0.679376207063394,0.99999482923279
"ZNF436",0.843791256659188,0.303754554767857,0.216292052723673,0.977519883697908,0.75273378942646,0.761351614326979
"ZNF484",0.97650443858834,0.332240593076677,0.868349251635815,0.00935953261507028,0.210695891360733,0.443839402749512
"ZNF780B",0.99191091943043,0.0703514992287899,0.221526137569482,0.0113804783386724,0.0622676186449517,0.828378755179667
"ZNF557",0.996479604064877,0.00394042172469411,0.149377191128163,0.0363087775210652,0.283291772689649,0.995579002056609
"ZNF337",0.903068039679208,0.0988991338829697,0.784143992331969,0.231758067457557,0.855072109214752,0.999711750091613
"ZNF317",0.901335189712803,0.208610140150138,0.898791789040471,0.113617888361545,0.721505497527731,0.9625381015087
