"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF195",0.0668941853141616,379.548476595745,401.956395652174,8.96063481200703,7.56984152278284,291.761475,320.8051,447.3408,447.2505
"ZNF263",0.14975258638483,668.970159574468,648.194372173913,10.5271383285496,8.9506224551552,590.288625,556.4506,734.184725,716.2956
"ZNF200",0.122334702308713,189.906918085106,195.340988985507,2.64500940932431,2.15431171965863,166.89865,170.1012,212.7035,216.6711
"ZNF582",0.781203036130194,34.5427579787234,35.1283944927536,1.21497512998517,1.40740734029539,22.5865,20.5825,45.91625,42.4786
"ZNF285",0.458489541821549,46.6521819148936,48.9477431884058,2.51903779058612,1.82570426472576,21.954925,23.5741,61.241075,66.7107
"ZNF275",0.996374586829659,618.169322340426,618.058858550725,21.4732367243342,13.597606954132,472.703525,486.0141,663.6132,699.115
"ZNF37A",0.614083015271192,534.768276595745,525.690117681159,14.3128801014871,10.750561366365,403.421375,387.9325,644.7129,642.8527
"ZNF510",0.76665959580892,285.903850531915,283.324452463768,6.6598829885633,5.28733291948354,227.32255,217.608,342.1597,344.7385
"ZNF506",0.272067027027033,422.305644680851,410.496909855072,7.95964072511101,6.63631618217459,341.6263,328.3082,482.149075,469.0881
"ZNF324",0.015211950107354,151.758812765957,143.917610724638,2.60457346981072,1.90669377749905,129.956725,122.3211,171.3009,161.6632
"ZNF671",0.161598585525552,252.45810106383,238.644950144928,7.79989240351623,5.90377410277814,168.282025,149.8612,329.57775,313.1801
"ZNF416",0.950255289828543,119.242293085106,119.477702028986,2.75193584796653,2.34557209728542,93.619275,89.1501,143.109,144.7084
"ZNF586",0.0300364678491015,155.979436702128,145.720820869565,3.49296244052065,2.91428197467162,122.84535,109.83,191.64425,174.4653
"ZNF446",0.720408295726864,214.899518085106,211.755702318841,7.65394718000838,4.96075014648784,154.82565,154.0534,238.830625,242.4888
"ZNF8",0.786244446759443,87.7104537234043,89.4723023188406,2.18866168133246,4.64090888404051,69.939025,60.3393,103.874175,101.5797
"ZNF264",0.795361867282077,789.635415425532,794.454250434783,13.0363106226317,11.7229861950665,663.8584,665.2933,913.4423,925.4413
"ZNF213",0.992843877015438,375.858385106383,375.746903478261,9.84641911170137,7.43765318489517,284.216025,296.4206,443.2347,423.8816
"ZNF343",0.74704737401127,292.400617553191,289.816261449275,6.4346055543261,4.75966282534906,236.610475,234.8427,339.5516,337.1747
"ZNF302",0.25673873401006,699.443310638298,671.929118550725,21.5752813844683,13.4856926973582,551.250125,517.4188,800.319025,776.5156
"ZNF268",0.707163171382496,407.53332606383,402.940567246377,9.60703324467938,7.34505821658696,321.11895,307.4761,472.7694,474.7762
"ZNF184",0.89145413238777,245.126351595745,246.305042898551,6.74484262310422,5.20613000752842,188.712975,184.3218,283.330675,288.7273
"ZNF500",0.0198333290378584,215.200663829787,202.439468695652,4.1572394070488,3.33479776364864,180.2108,161.9561,251.73985,240.6206
"ZNF419",0.780193011793379,166.299965425532,168.000662318841,4.29577781706617,3.83848978185295,124.6306,120.7962,200.271175,203.1654
"ZNF175",0.188632319112657,218.962926595745,227.408220289855,4.47909372019969,4.05813271520887,175.2427,175.6506,256.715425,273.8045
"ZNF14",0.0647375555674651,203.535710106383,214.644375942029,4.59993112035906,3.65293914571636,160.7592,167.8366,240.12245,255.9356
"ZNF85",0.315234529665091,103.436238829787,107.84560057971,3.41438366668301,2.64990494581012,79.26665,78.0086,115.7887,121.9372
"ZKSCAN1",0.683796187930116,753.988391489362,767.908073913043,24.6068058433969,21.3515081678762,507.220975,480.7363,937.4371,996.9768
"ZNF862",0.740233865492259,553.962016489362,562.169031014493,20.1020535268611,14.6140977540205,372.180475,379.8258,666.28105,691.6453
"ZNF684",0.0443386243953318,95.5150260638298,85.8243162318841,3.5501615336326,2.97509298872833,65.991025,56.9717,110.499625,93.2039
"ZNF430",0.243639063235655,100.588340425532,104.98938115942,2.82104972248076,2.32010568570045,79.4641,74.5698,124.77475,131.9745
"ZFP30",0.544770659274597,195.610935106383,191.451177101449,5.15232948397337,4.21782164384832,152.6315,143.1393,231.036825,234.9045
"ZNF549",0.0296874782390401,178.582210638298,162.516277101449,5.52392547887027,4.53088990134917,124.744175,98.0059,243.6213,220.3797
"ZNF211",0.989884279007158,234.702807978723,234.825758550725,6.56759838735516,6.19492526512483,166.547525,161.8992,290.05435,285.3232
"ZNF205",0.393582876842405,353.565032978723,366.712271014493,12.4186937821033,9.13259923819284,250.9369,255.7121,387.25,444.4225
"ZNF45",0.981615885707157,286.602069680851,286.433716231884,5.88063227837125,4.33483913812172,232.7398,223.7212,343.31135,346.0203
"ZNF133",0.123294641520602,277.461119680851,294.377368985507,7.86852772528558,6.85955281215571,209.275075,212.877,316.90395,346.6834
