"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.0369804675089164,0.107931447393357,0.929715223242422,773.7684,380.547848387097,413.416333333333,NA,27.4792504834418,43.3680666666667,773.7684,276.685,391.7323,773.7684,405.77815,456.7844,279.601509722222,393.584038649156,279.29735,370.1165,251.8708,307.720025,308.9534,446.9503,5.1374873831239,5.85345956584637,1.40766063473753,1.32517010992048,0.493299564377168,0.406177567967265,"KIRC"
"ZNF263",0.369144276681377,0.999589639007711,0.0629691428955981,903.4327,748.352980645161,906.947266666667,NA,19.6502698399204,80.7246333333333,903.4327,672.12975,866.58495,903.4327,828.70155,987.6719,535.674933333333,654.943215572233,531.28585,640.872,491.378525,574.4925,566.5078,721.7343,8.11842045568337,6.86062652908743,1.22265048225559,1.20626589245695,0.29001204116372,0.27054794989806,"KIRC"
"ZNF200",0.972297406961615,0.937622027443877,0.95951702126341,190.1475,181.441964516129,175.156966666667,NA,6.989753035743,10.1941666666667,190.1475,161.64485,164.9628,190.1475,201.47115,180.25405,163.339208333333,193.443140525328,159.26775,192.6445,140.9493,184.3294,168.7345,214.5733,3.49730272296345,1.67954698331456,1.18430315965877,1.20956376918742,0.244038431433593,0.274486831380896,"KIRC"
"ZNF582",0.203323588197325,0.511368116150223,0.701937341866218,10.6683,38.9139064516129,31.1619,NA,2.77151199425119,12.5745,10.6683,31.55735,18.5874,10.6683,49.4878,37.44915,73.1525319444444,34.9540392120075,74.0719,31.5849,65.5881,81.2444,21.3451,43.8008,1.41972678759803,1.00561961609936,0.477824051784746,0.426408665094321,-1.06544861966732,-1.22969133933815,"KIRC"
"ZNF285",0.42361602286399,0.849599209668961,0.528285189063913,5.6479,63.4475225806452,33.9143333333333,NA,8.24138853234769,14.8623333333333,5.6479,38.6799,19.052,5.6479,65.26035,41.3455,73.4570277777778,48.1811600375235,71.5477,40.4943,61.850925,85.227125,22.8903,64.9351,2.31781695649915,1.47689716000811,0.655909468366745,0.565976264785591,-0.608431393689719,-0.821186542526541,"KIRC"
"ZNF275",0.731231925562866,0.614698341854308,0.854017464980249,379.0398,456.75474516129,489.502966666667,NA,17.8535752996892,70.3579666666667,379.0398,393.4841,419.145,379.0398,514.8993,524.68195,724.963106944444,617.86222739212,723.6172,575.1614,657.29065,798.026875,481.5912,683.8161,15.2470473932382,11.6097499262402,0.852267131214814,0.794842079486226,-0.230622400967716,-0.331259843010506,"KIRC"
"ZNF37A",0.0606518899054236,0.00342860985862914,0.0232130495243398,161.2802,438.438396774194,632.8239,NA,21.3615882808445,1.78300000000002,161.2802,346.00085,631.0409,161.2802,524.54965,633.7154,529.032490277778,528.337875609756,523.61735,516.4233,456.6921,627.669525,395.814,644.646,14.4876536067737,8.59659295409322,0.998687009435551,0.986260863968698,-0.00189548962855201,-0.0199588079413009,"KIRC"
"ZNF510",0.0934680436522156,0.239242270461561,0.882080886388935,65.8927,246.062535483871,222.349233333333,NA,14.0345426685881,73.1856333333333,65.8927,207.42225,149.1636,65.8927,271.0367,258.94205,338.743883333333,284.303944840525,331.99645,276.1905,294.18355,382.326475,219.7981,343.6714,8.27502636692417,4.14393028718568,0.839288792591311,0.831907991787262,-0.252760778918431,-0.265504118362839,"KIRC"
"ZNF506",0.545611496423853,0.185580227526111,0.23676728811901,299.9686,370.078590322581,435.372966666667,NA,12.0623552213999,8.32836666666666,299.9686,330.85965,427.0446,299.9686,413.4834,439.53715,423.232366666667,414.503476172608,428.6345,404.5643,378.3097,454.426275,335.016,475.0441,8.3098497911436,5.13473544925512,0.979375654648517,0.943844464223015,-0.0300657609546235,-0.0833789568910834,"KIRC"
"ZNF324",0.269224422284496,0.916301193863218,0.157550529193696,97.2702,161.689606451613,115.762466666667,NA,7.31203034090687,17.7141666666667,97.2702,127.5047,98.0483,97.2702,193.58375,124.61955,163.405834722222,146.798342964353,163.05115,145.3955,146.79765,183.068625,125.1603,165.2465,3.03909732400361,1.54313233271827,0.898366592685622,0.891717108404326,-0.154623815259832,-0.165341998007571,"KIRC"
"ZNF671",0.0594155405582488,0.560998336894848,0.123492454866033,37.0254,275.070709677419,154.695766666667,NA,16.9805338540869,84.0637666666667,37.0254,204.40005,70.632,37.0254,351.80575,196.72765,160.401993055556,244.007199061914,174.7674,248.9937,118.17215,202.32955,154.9096,325.0825,6.78623098568976,4.70473222044206,1.52122298740641,1.42471479234686,0.60523164500584,0.510673141137691,"KIRC"
"ZNF416",0.0755123201666552,0.152047523279964,0.986370694307282,33.8877,107.956158064516,104.885766666667,NA,5.81829035192899,16.5957666666667,33.8877,82.6231,88.29,33.8877,132.5624,113.18365,109.247329166667,119.471464915572,111.10555,117.5416,98.44775,121.505275,91.1392,144.1065,2.40202168519439,1.79960389508146,1.09358705450188,1.05792734926383,0.12906807004227,0.0812405570780283,"KIRC"
"ZNF586",0.0341683156302267,0.290850485128461,0.308040330809052,55.8519,161.257841935484,125.620233333333,NA,7.24315381427027,13.7849666666667,55.8519,139.57595,118.72775,55.8519,193.47845,139.4052,135.190655555556,149.430404690432,129.89935,144.7118,110.738525,154.595625,112.3098,179.6536,3.40047996039444,2.26217704072655,1.10533086829381,1.11403020877318,0.144478288708168,0.155788354272513,"KIRC"
"ZNF446",0.0246710116613336,0.00318035866023192,0.0904594546993222,517.5777,284.182725806452,174.8124,NA,15.2822254793164,24.2455,517.5777,226.94825,150.5669,517.5777,335.2419,186.93515,182.9294625,213.026008255159,181.03205,193.1136,166.13845,202.485225,154.129,242.3877,4.0914643367798,4.18994765980915,1.16452541511819,1.06673707777159,0.219742125907611,0.0932046341408386,"KIRC"
"ZNF8",0.184413724615052,0.33516128057563,0.954755679687756,36.7493,92.7188258064516,87.3641,NA,5.66363017379734,0.939800000000001,36.7493,74.37295,86.8942,36.7493,104.70405,88.3039,77.10235,88.7989020637899,74.98515,81.2526,65.03055,87.137475,63.464,102.8613,2.09864723536135,3.10042096999398,1.15170162859874,1.08358254934477,0.203767006106926,0.115809064824138,"KIRC"
"ZNF264",0.598185851485493,0.669488148596082,0.999992216873259,533.417,705.318516129032,705.713066666667,NA,32.0673549240567,38.4268666666666,533.417,614.55345,667.2862,533.417,833.2827,724.9265,719.435759722222,792.542993996248,710.1654,783.4717,622.007275,815.1909,662.8995,920.1751,17.6650682166002,8.87379779970121,1.10161745963566,1.10322426296747,0.139623330172093,0.141726091186728,"KIRC"
"ZNF213",0.497463047421744,0.804499948681338,0.759248849657589,252.2749,371.160532258065,327.054766666667,NA,19.0499524016115,2.70536666666667,252.2749,305.8197,324.3494,252.2749,418.8564,328.40745,322.547036111111,375.824990806754,305.2907,345.6627,271.96715,362.198525,290.8598,431.4056,9.3392152474179,5.93022260448513,1.1651788692217,1.13224117210252,0.220551443232253,0.179181290976843,"KIRC"
"ZNF343",0.984368724538504,0.920420763001593,0.891386836675579,289.9278,304.497590322581,327.962433333333,NA,15.715183563717,8.93346666666666,289.9278,248.34205,323.4957,289.9278,337.31175,336.8959,206.942165277778,290.631236397749,210.0788,283.7435,189.072575,229.22565,236.4103,337.415,4.11184750565747,3.8223853573475,1.40440801905999,1.35065270746025,0.489962139030714,0.433656763016653,"KIRC"
"ZNF302",0.365996668133611,0.683681041715981,0.757804571349568,995.9209,707.211909677419,796.3116,NA,37.2309749875157,114.6202,995.9209,573.4405,681.6914,995.9209,799.95985,853.6217,565.4379125,681.551884427767,562.19975,643.2881,507.87425,624.84355,533.7443,790.2346,11.3641734084485,11.5828409840658,1.2053522930827,1.14423405560034,0.269454870274134,0.194382188756072,"KIRC"
"ZNF268",0.43234534691755,0.37812782154054,0.8825438480166,162.5353,312.399877419355,346.3967,NA,21.7317753589109,29.4822,162.5353,226.7947,316.9145,162.5353,376.28665,361.1378,561.688352777778,404.382567354597,564.2045,399.0062,503.214725,632.3368,312.8599,474.7762,12.4358181479528,5.84145644367472,0.719941165514222,0.707201378223676,-0.474049082344954,-0.499807008570737,"KIRC"
"ZNF184",0.00359972875126691,0.036975031220239,0.595861906848517,483.2131,220.490648387097,263.8343,NA,13.590410604893,5.21770000000001,483.2131,180.32905,261.22545,483.2131,256.57805,269.052,240.787611111111,246.141260037523,234.3426,231.5737,207.8527,271.982125,185.3329,287.123,6.26332979879992,4.13163592456063,1.0222339052317,0.988184393277193,0.0317253482394788,-0.0171478238817361,"KIRC"
"ZNF500",0.737155027148191,0.755195889447832,0.992966459005696,190.1475,245.066883870968,250.013166666667,NA,13.2626329799948,24.6414666666667,190.1475,202.3142,225.3717,190.1475,286.01395,262.3339,165.963759722222,206.856717260788,170.7349,202.8526,142.29415,185.1037,168.2584,244.6071,4.61829863265024,2.62076456628351,1.24639690982543,1.18811443940284,0.317763561662851,0.24867380348499,"KIRC"
"ZNF419",0.288436864242132,0.601099369547668,0.74897228721061,110.4487,204.258503225806,177.7888,NA,10.7235638806909,38.3836,110.4487,163.2382,139.4052,110.4487,238.3182,196.9806,127.826711111111,167.491139962477,127.1539,160.0207,111.6401,144.7519,123.5011,202.9931,2.6902000128877,2.90768423524664,1.31029843846086,1.25848047130289,0.389895442794243,0.331682829392752,"KIRC"
"ZNF175",0.387529049948889,0.377408369044603,0.937557192145847,105.4283,203.655829032258,218.665666666667,NA,12.9985278604679,43.0150666666667,105.4283,144.12915,175.6506,105.4283,237.68045,240.1732,202.699227777778,224.301093433396,208.9795,218.8665,174.039225,233.85805,175.514,268.0847,5.20087593470836,3.07419877644193,1.10657103084428,1.04731086063466,0.146096060770884,0.0666897235785769,"KIRC"
"ZNF14",0.110086049771586,0.173956638110396,0.999906664143982,70.9131,201.866058064516,202.3536,NA,11.0329170423605,40.1789,70.9131,158.45635,162.1747,70.9131,237.85465,222.44305,247.8439125,210.733736022514,251.06095,205.552,217.535025,269.79315,166.3714,248.1209,5.96473042993886,2.87402578655536,0.850267952506254,0.818733458946921,-0.234010532656608,-0.28853424014235,"KIRC"
"ZNF85",0.895910623993752,0.956589414036767,0.976118815170275,75.9335,103.76365483871,96.0086666666667,NA,11.3290030896969,10.0421666666667,75.9335,65.7769,85.9665,75.9335,107.8788,101.02975,89.7698291666667,106.259677673546,85.8533,97.1193,73.45055,102.2335,78.2184,120.4474,2.73114551507828,2.0966673106728,1.18369031845058,1.13122384346321,0.243291686985338,0.177884434103307,"KIRC"
"ZKSCAN1",0.511812935868666,0.151558462196144,0.192988940171439,264.1983,564.183490322581,848.823566666667,NA,49.0999090172276,10.0689666666667,264.1983,335.26225,838.7546,264.1983,721.36995,853.85805,1020.25372916667,761.821287804878,962.2442,723.5622,797.145675,1286.581625,490.4068,984.5608,36.3146915483115,16.3404958820322,0.746697871349244,0.751952778722906,-0.42140347660776,-0.411286028784097,"KIRC"
