"gene","WITH TUMOR-TUMOR FREE"
"ZNF195",0.355464137734226
"ZNF263",0.67856929827729
"ZNF200",0.481314053085983
"ZNF582",0.00331913532176054
"ZNF285",0.0624556703144873
"ZNF275",0.576706740223517
"ZNF37A",0.0741041900805166
"ZNF510",1.14851219534806e-07
"ZNF506",0.0330410442495561
"ZNF324",0.11149500741425
"ZNF671",4.21776552572695e-07
"ZNF416",0.00265445787717089
"ZNF586",0.0384714412688205
"ZNF446",3.06587296372562e-06
"ZNF8",0.282947035324023
"ZNF264",0.0345953127643682
"ZNF213",7.05144790837942e-05
"ZNF343",0.109517424284406
"ZNF302",0.177455593963057
"ZNF268",0.00175006819987755
"ZNF184",0.0107422649944895
"ZNF500",0.0455445812908991
"ZNF419",0.781092478277002
"ZNF175",0.0112014077027699
"ZNF14",7.33608865544078e-06
"ZNF85",0.911527359947345
"ZKSCAN1",3.50230177725841e-06
"ZNF862",0.705417448097478
"ZNF684",0.00165234003820602
"ZNF430",0.000661754476060206
"ZFP30",0.000747808307150932
"ZNF549",7.31489912197958e-07
"ZNF211",0.0319348780948435
"ZNF205",0.00458503978732283
"ZNF45",8.02480910633285e-06
"ZNF133",0.0103392421607155
"ZNF436",0.913504546121149
"ZNF484",4.31054992873214e-05
"ZNF780B",0.000918735007826132
"ZNF557",0.000323231734829954
"ZNF337",0.0939408523616374
"ZNF317",0.00772114786695799
"ZNF426",1.43536968977287e-08
"ZNF331",0.040533193231521
"ZNF227",0.386527798551135
"ZNF141",0.284052509259215
"ZNF304",5.19577186830489e-08
"ZNF132",1.34148321118133e-07
"ZNF20",0.17633087557744
"ZNF670",0.0013174263893756
"ZFP37",0.00235977278459942
"ZNF189",5.56241409233049e-06
"ZNF434",0.572641999837109
"ZNF287",0.0187742620351804
"ZIM3",0.679093180484079
"ZFP14",0.000461864594586081
"ZNF473",0.041260198143017
"ZNF614",0.0130636082411373
"POGK",0.0229255973900931
"ZNF514",0.889162167166873
"ZNF300",0.0144852886911315
"RBAK",0.152712403191244
"ZNF92",0.423970094929442
"ZNF157",0.0804740020323635
"ZNF182",0.0823997198715753
"ZNF673",0.0161099974731311
"ZNF41",0.00793674797512456
"ZNF7",0.0170385930330984
"ZNF214",0.00832257707862405
"ZNF215",0.353695735314054
"ZNF547",0.134166321904322
"ZNF773",0.000733885792166933
"ZNF776",2.29167403229535e-05
"ZNF256",0.00568347574157524
"ZNF599",0.502018088223374
"ZNF18",2.33192671772464e-06
"ZKSCAN2",0.00125805432146531
"ZNF689",1.11521259497094e-05
"ZNF19",0.00324442872638631
"ZNF230",0.003185095891028
"ZNF222",4.53952590960816e-05
"ZNF221",0.000390271619783111
"ZNF233",0.0183777440145466
"ZNF235",0.0441577510865947
"ZNF208",0.159988707654544
"ZNF714",0.301921493547257
"ZNF394",0.371608053421706
"ZNF333",0.359361919786201
"ZNF382",4.72252044017019e-05
"ZNF577",0.013352869749091
"ZNF75A",0.243336430645281
"ZNF496",0.000247663641448237
"ZNF2",0.482525786115415
"ZNF589",0.10584375170336
"PRDM9",0.0661474210608711
"ZNF12",0.196479171681586
"ZNF202",0.0215524464652224
"ZNF3",0.568812387295132
"ZNF606",0.410960864743455
"ZNF91",1.21551016516452e-05
"ZNF226",0.658299612377529
"ZNF229",0.0192460391167684
"ZNF180",0.0257359327521202
"ZNF641",1.11276038827768e-07
"ZNF610",0.215646605757199
"ZNF528",0.0742682453460264
"ZNF701",0.179889755041955
"ZNF283",0.0490691674989233
"ZNF558",0.0658997817584648
"ZNF597",0.00383454007320472
"ZNF30",0.666500566064593
"ZNF354A",0.0112173547552546
"ZNF764",0.574145360852404
"ZNF747",0.335865790285408
"ZNF778",0.00954402875788718
"ZNF212",0.000703650279902601
"ZNF282",8.43167928432642e-06
"ZNF160",0.57434507380127
"ZNF415",0.019197669408032
"ZNF439",0.000807314284623661
"ZNF440",0.000639422247193155
"ZNF562",1.11078974152079e-05
"ZNF561",2.53368868674553e-06
"ZNF584",0.009048711722074
"ZNF274",0.0558828555756441
"ZIK1",0.000207605240803099
"ZNF540",0.00107597250752423
"ZNF570",1.3477602953671e-06
"ZNF57",0.0169416855863257
"ZNF556",0.874235201948976
"ZNF554",0.00281329595466084
"ZNF738",0.0167779462407205
"ZNF596",0.0722938427622808
"ZNF621",0.594416518061064
"ZNF680",0.605922118615673
"ZNF483",0.0023895688420732
"ZNF417",0.00408898091678511
"ZNF791",2.17443911321169e-07
"ZNF519",0.0303203890360983
"ZNF25",0.00254412865126441
"ZNF77",0.660403421399633
"ZNF169",0.810244433990884
"ZNF613",0.0447200229517305
"ZNF404",0.250081195393218
"ZNF135",0.039732351053297
"ZNF620",0.00107169063691548
"ZNF619",7.42739795223102e-07
"ZNF354C",0.000308103923301606
"ZNF114",0.00958342161230108
"ZNF454",0.171699268097033
"ZNF543",1.85444933797907e-06
"ZNF354B",0.37612119801879
"ZNF223",5.68458369187841e-06
"ZNF713",0.3053306632808
"ZNF552",0.0101123262856266
"ZNF154",6.82645843972374e-05
"ZNF571",0.793592639806805
"ZNF443",0.0344401036777264
"ZNF792",0.000210265547722299
"ZFP82",0.0819522956094426
"ZNF707",0.00144395038889888
"ZNF746",0.0166017912631088
"ZNF678",0.0360117391887822
"HKR1",0.624235772510977
"ZNF101",0.95683228719781
"ZNF716",0.664484665415528
"ZNF708",0.0675810155279289
"ZNF721",0.169255447554723
"ZNF662",0.0487654245744966
"ZNF320",0.107555156856673
"ZNF530",0.593706829039782
"ZFP1",0.00145390826140379
"KRBA2",3.0864928801666e-06
"ZNF93",0.00944231858481659
"ZFP90",0.16051141736758
"ZNF479",0.925331641288021
"ZNF445",0.0117947797582081
"ZNF74",0.00583500904439527
"ZNF829",0.00194650782732941
"ZNF267",0.0974089005072601
"ZNF566",0.00311796356234473
"ZNF224",0.679319864487611
"ZNF529",0.550081503045361
"ZNF284",0.0120084165588422
"ZNF749",0.00338188292095387
"ZNF17",0.00158929575635358
"ZNF555",1.90065917116122e-06
"ZNF75D",0.0806458104235093
"ZNF197",0.156649655710727
"ZNF732",0.00303551840777883
"ZNF546",0.0705689970513627
"ZNF286A",0.746491496234657
"ZKSCAN4",0.0511420855886552
"ZNF643",0.060534047824354
"ZNF642",0.000770357436338132
"ZNF490",0.504151400563406
"ZNF626",0.0821738038578107
"ZNF793",0.143024251626568
"ZNF383",0.00958146159803563
"ZNF669",1.68557625324084e-06
"ZNF559",0.010600700219337
"ZNF177",0.657018786000799
"ZNF548",0.168499260422344
"ZNF563",0.0168546499397422
"ZNF567",0.198830904448056
"ZNF573",3.13605877155787e-07
"ZNF527",0.00216283729409195
"ZNF33A",0.000408389297164247
"ZKSCAN3",0.000403795509544946
"ZNF676",0.326334939666671
"ZNF699",2.82671974716209e-09
"ZNF250",0.251320980515054
"ZNF79",5.24281903672152e-05
"ZNF681",0.89237072229795
"ZNF766",0.709083950417746
"ZNF471",0.00521456553886246
"ZNF836",4.32237336611685e-06
"ZNF493",0.0919833525322852
"ZNF167",0.754023513839312
"ZNF565",0.110642582482828
"ZNF34",0.197976954825018
"ZNF140",0.0289475879964696
"ZNF658",2.08284012259696e-09
"ZNF765",0.000776532831545329
"ZNF124",1.8958073217723e-05
"ZNF569",0.11047447227083
"ZNF777",0.000141157152665605
"ZNF605",0.074936337790462
"ZNF799",0.891218716815222
"ZNF782",7.58937532521209e-05
"ZNF846",0.012681950794817
"ZNF136",1.64248226131036e-08
"ZKSCAN5",0.814770916901461
"ZNF33B",0.000141724254542619
"ZNF431",0.0615097630210666
"ZNF418",0.00138026701300087
"ZNF700",0.736942078937134
"ZFP28",0.00345151192915605
"ZNF585A",0.000579444558496012
"ZNF138",0.58632908522554
"ZNF429",0.0544980454893952
"ZNF470",0.00278405038380991
"ZNF100",0.201237737442417
"ZNF398",0.067332533367029
"ZNF498",0.236621957767531
"ZNF441",0.000284462535178664
"ZNF420",5.0024438769114e-07
"ZNF763",3.50209129356127e-05
"ZNF679",0.601868099267128
"ZNF682",0.0337687343719778
"ZNF772",5.59727297823054e-05
"ZNF257",0.322627740659411
"ZNF785",0.0786971862378739
"ZNF98",0.110411133008336
"ZNF786",0.00913112547838857
"ZNF517",0.0146151598820056
"ZNF675",0.066135117610329
"ZNF860",0.105386094069353
"ZNF695",3.34443146177144e-05
"ZNF665",0.00960573430150757
"ZNF624",0.445031694841207
"ZNF841",0.0750041258133174
"ZNF615",0.122980147827255
"ZNF433",2.70459515894217e-08
"ZNF595",0.000783341280249483
"ZNF460",0.145263238658499
"ZNF81",0.000843510084567956
"ZNF780A",0.000257628595819681
"ZNF461",0.118327251731043
"ZNF181",5.42993718237739e-05
"ZNF44",0.276971292709692
"ZNF790",0.00713819026247897
"ZNF677",0.000115282435738329
"ZNF823",0.864405973210808
"ZNF311",0.0157055593682502
"ZNF347",2.43880505756966e-05
"ZNF273",0.145710500950879
"ZNF84",0.586820495455408
"ZNF667",0.644447526648113
"ZNF649",8.61995005783101e-05
"ZNF248",0.272147127681867
"ZNF544",0.764526492315746
"ZNF251",0.000148718021269922
"ZNF607",0.0172926154126732
"ZNF334",0.948525522150123
"ZNF485",0.240788762657757
"ZNF192",6.41656546929159e-06
"ZNF442",0.00281326689614414
"ZNF813",0.000177882345270164
"ZNF26",0.00023273396320822
"ZNF69",0.581404211428665
"ZNF583",1.8151159686397e-08
"ZNF568",4.69364583395304e-05
"ZNF480",0.133976512422931
"ZNF587",0.752598741184479
"ZNF808",0.00861006255036956
"ZNF43",0.678581115492425
"ZNF28",0.00731196379620369
"ZNF627",0.00165763303648125
"ZNF789",0.0909057089180154
"ZNF534",0.812654317212761
"ZNF525",0.00364656108317052
"ZNF814",0.0374309828576416
