"gene","Recurred/Progressed-DiseaseFree"
"ZNF195",0.0670848509225866
"ZNF263",0.261676954087771
"ZNF200",0.192669503370551
"ZNF582",0.247254512615629
"ZNF285",0.432627398675832
"ZNF275",0.754428439004045
"ZNF37A",0.221586287801076
"ZNF510",0.329857378865262
"ZNF506",0.186907117943714
"ZNF324",0.0109414399293649
"ZNF671",0.159043932357286
"ZNF416",0.390627966519715
"ZNF586",0.664487524837371
"ZNF446",0.614309387636871
"ZNF8",0.530569565724228
"ZNF264",0.025626614473104
"ZNF213",0.297552600351489
"ZNF343",0.619974727062192
"ZNF302",0.448465002183394
"ZNF268",0.506795216257934
"ZNF184",0.099556390750238
"ZNF500",0.294739967356406
"ZNF419",0.976432364240196
"ZNF175",0.249628640997381
"ZNF14",0.311712785960442
"ZNF85",0.00653738363288059
"ZKSCAN1",0.308136416786875
"ZNF862",0.0721596653003134
"ZNF684",0.167760578824657
"ZNF430",0.462757367140899
"ZFP30",0.1141947101784
"ZNF549",0.0142919560902385
"ZNF211",0.374333843506236
"ZNF205",0.645678685305912
"ZNF45",0.834193999355878
"ZNF133",0.958785733485689
"ZNF436",0.5892109160509
"ZNF484",0.665011770005582
"ZNF780B",0.148677224134197
"ZNF557",0.315370888466482
"ZNF337",0.687278049337802
"ZNF317",0.235942459787664
"ZNF426",0.454668619862114
"ZNF331",0.186075703793626
"ZNF227",0.265941927877004
"ZNF141",0.956591673970028
"ZNF304",0.19738570896482
"ZNF132",0.024851512173226
"ZNF20",0.861108798412425
"ZNF670",0.0303402349013399
"ZFP37",0.849868804062366
"ZNF189",0.43302630597501
"ZNF434",0.651949625163076
"ZNF287",0.000453571651543472
"ZIM3",0.132921385314561
"ZFP14",0.415222788107877
"ZNF473",0.300026854548849
"ZNF614",0.426814031314928
"POGK",0.00105639249221001
"ZNF514",0.790340917777033
"ZNF300",0.373599179988353
"RBAK",0.248143653586862
"ZNF92",0.486006588175215
"ZNF157",0.106633541550385
"ZNF182",0.310143560414777
"ZNF673",0.0206330443755508
