"gene","M1-M0","MX-M0","MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX"
"ZNF195",0.0103935197876261,0.787522952667626,0.00685535959440908,321.766016666667,461.56249,307.454616666667,10.1542269969277,66.805975639059,19.4164906368079,230.31765,293.2316,208.819775,378.4393,593.5739,367.7782
"ZNF263",0.431700258962182,0.555300481372375,0.746885763975815,731.060130808081,804.26094,758.885496666667,12.9115924094606,63.5993135615545,23.4617578950184,586.84535,653.502975,627.6181,840.4459,910.637575,845.1563
"ZNF200",0.505528381883457,0.827495813903518,0.390141686305849,172.115217676768,189.99823,167.83932,3.53620785073519,12.9825216826834,6.41599416884113,139.851,165.068725,142.699,199.44405,210.789375,180.005125
"ZNF582",0.063046231364324,0.943204293552473,0.0593658879700812,28.3397626262626,16.234,29.132375,1.19401073627516,2.19331808307768,2.13964886496286,16.432225,12.63555,19.378725,35.752375,18.09835,33.962675
"ZNF285",0.705511884680166,0.72822236967816,0.525188306253937,49.6124202020202,40.27531,53.6599166666667,2.64725056879559,10.8740355815478,4.20772041319554,29.483275,9.66795,26.831475,63.604625,55.287625,76.28335
"ZNF275",0.700403891469424,0.765686617696176,0.888575641166474,423.98887020202,356.37729,397.379583333333,18.3765255807398,39.797558246102,35.6171063869056,268.954375,285.51735,259.5159,492.32215,366.7804,446.45595
"ZNF37A",0.309015859157598,0.403401449228296,0.127803475217893,315.244282323232,384.15352,287.724355,9.94988281962201,57.6382916724055,19.9814550333982,219.930625,257.9652,169.6646,397.705025,462.053625,400.555675
"ZNF510",0.847770349508541,0.207852052120682,0.975319194465758,187.138318181818,172.90679,167.075725,5.79896722286553,37.6360903535318,8.64141368923221,133.842275,116.591325,112.819025,223.97585,155.7203,195.380375
"ZNF506",0.949688209452773,0.827333790631751,0.999235023865188,339.985831818182,326.97301,328.642381666667,9.48703885235978,40.5233218344544,15.9614396626319,256.4867,282.771325,261.464375,404.99445,415.486225,384.380175
"ZNF324",0.216926930988669,0.37974531916419,0.568003818919695,148.826151010101,125.46403,140.388598333333,3.03301805131565,11.0664671992872,5.85116293433233,123.15615,102.19045,112.2787,172.31245,142.50365,164.9007
"ZNF671",0.0277712359135657,0.236554691562459,0.0051119647447837,130.754086363636,46.88627,154.753005,6.84724221070416,13.8101404742477,15.1534964594082,56.74745,22.35145,63.347125,191.091,58.8666,215.11625
"ZNF416",0.0585593328447915,0.592493121313775,0.0267754178834537,77.8257338383838,55.22316,82.2019816666667,2.10591176218127,6.48798380485374,4.39582961894046,57.9933,36.804225,61.694125,92.7271,67.793275,100.94535
"ZNF586",0.410693278385585,0.657786033721101,0.253325806508112,121.347873737374,101.80268,127.434015,3.53539359010165,11.1949080114011,5.15862343538858,92.238825,89.7791,106.9882,147.5674,119.96415,147.44955
"ZNF446",0.895789073763673,0.0723501749132844,0.858308783080552,311.243916666667,332.16976,358.158291666667,10.2279685195292,53.6434048505255,18.3332737709854,218.016075,205.4378,264.085575,354.248325,450.1283,384.579125
"ZNF8",0.882620134848329,0.0768222811851477,0.346774795038335,81.4240015151515,86.28638,71.3100666666667,2.23628933176125,16.4837692589596,3.50847480340343,56.8368,64.334725,52.08955,100.90155,89.997075,88.999825
"ZNF264",0.41904665105239,0.135985806745218,0.927764039012181,669.145513131313,573.1892,602.79021,17.1551120868746,66.9867738518815,27.8378215624668,510.373875,490.3614,451.973475,833.6828,741.10615,759.856025
