"gene","Stage II-clinical_stage","Stage III-clinical_stage","Stage III-Stage II","Stage IV-clinical_stage","Stage IV-Stage II","Stage IV-Stage III","mean-clinical_stage","mean-Stage II","mean-Stage III","mean-Stage IV","SEM-clinical_stage","SEM-Stage II","SEM-Stage III","SEM-Stage IV","Q1-clinical_stage","Q1-Stage II","Q1-Stage III","Q1-Stage IV","Q3-clinical_stage","Q3-Stage II","Q3-Stage III","Q3-Stage IV","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.664534163283569,0.999906907453273,0.735637663493352,0.930188029851563,0.567231832296747,0.977027242240001,325.619014492754,203.4586,329.587416666667,366.86386,8.98952530375837,140.2686,58.0493035945561,103.496047904558,231.11295,133.3243,253.2176,233.2719,385.681825,273.5929,309.620775,354.0398,252.595459375,325.178474137931,250.57835,294.02725,223.224225,267.76185,230.31765,385.21475,8.99016053822296,8.83335114692896,1.28734884998536,1.17339446923487,0.364403052740394,0.230688097031386,"KIRP"
"ZNF263",0.995985582531781,0.97944546705781,0.999999990347567,0.908158256692141,0.998221232255023,0.995585724785539,735.656433333333,764.77775,765.223766666667,790.88174,10.9478581481329,15.38305,95.413875493472,78.9599134250767,597.97765,757.086225,643.507275,693.5584,840.767875,772.469275,818.812925,778.5919,555.951571875,737.064890689655,542.3033,715.74605,490.68465,612.01665,603.2523,840.4459,14.1133526213655,10.66213295136,1.32577175419045,1.31982610100289,0.406832421422415,0.400347854016997,"KIRP"
"ZNF200",0.939983238502959,0.62817152464796,0.687292025413591,0.584062850838622,0.997261730030858,0.294006705465121,173.119981884058,193.43005,148.4272,201.68346,3.03123043894135,13.37675,13.7349604884761,18.4240917600461,140.299875,186.741675,141.1508,164.969,199.41035,200.118425,173.088675,233.0481,135.7635375,173.158351034483,136.9963,163.47535,120.111575,148.683025,140.656725,199.390575,4.24359106808135,2.92969035204431,1.27544077167614,1.19328295727695,0.350995905296256,0.254936182728608,"KIRP"
"ZNF582",0.845052207047983,0.409462382724102,0.441446010461003,0.99977801190003,0.880275759573683,0.753877218504423,28.8939394927536,38.57185,18.25885,28.25456,1.00203407062617,2.78955,7.50690181582922,6.84612919287973,18.0247,37.177075,4.971975,17.8401,35.746725,39.966625,28.22635,41.7434,69.8154125,28.7415810344828,68.7934,26.78735,61.248675,78.75145,17.608225,35.775525,2.06706525420367,0.97533070673203,0.411679599178516,0.3893883715589,-1.28040613734606,-1.36071829389234,"KIRP"
"ZNF285",0.968989147767815,0.130492477979014,0.893329465773029,0.95257194040547,0.999638640925836,0.692856994724205,51.9886807971015,40.5499,19.9445,43.53348,2.16666032417479,7.0329,6.25938755608992,12.4527851101029,29.484625,37.03345,5.701125,29.6387,69.742125,44.06635,33.46245,44.9507,63.895134375,51.0776331034483,68.1083,44.6189,49.001425,80.0458,29.483275,67.93915,3.35694979647906,2.09335703878668,0.799397850917318,0.655116924075333,-0.323014400631748,-0.610175675673332,"KIRP"
"ZNF275",0.824088630343995,0.999593514800317,0.853238841148339,0.919822517464763,0.980140626606325,0.947547389139008,420.761354347826,264.77275,431.7246,347.4665,15.4618935879282,40.13775,104.077131890289,39.2645710403667,269.133325,244.703875,260.103775,269.7041,486.150475,284.841625,508.92565,379.7831,662.422553125,418.040929310345,706.0396,364.25705,529.441,752.020125,268.86235,476.2735,23.2555485882909,14.901180816072,0.631078950042119,0.515915891969799,-0.664107592517474,-0.954792207782517,"KIRP"
"ZNF37A",0.149711967233004,0.750104380651592,0.540549886171469,0.102588400567889,0.0140299964821546,0.0817126709464878,318.321493478261,96.5377,257.506,470.816,8.90777704290426,31.8251,53.4850376046485,67.9450220851241,220.010675,80.62515,184.9587,388.0843,404.16625,112.45025,332.867375,496.8283,447.476665625,317.819826896552,437.87035,300.4183,401.559075,497.38915,219.7361,404.45335,14.5806799232749,8.77225987319455,0.710248938796945,0.686089615339335,-0.493603324042455,-0.543531064900843,"KIRP"
"ZNF510",0.306501510905649,0.223332942865641,0.94889894282316,0.64197423952023,0.153003346262586,0.130392124615501,187.549457971015,86.98525,123.022216666667,230.87476,4.86701668129519,14.27875,21.8103243224001,64.9597695853641,133.8164,79.845875,88.992275,147.7873,225.394675,94.124625,163.6766,272.8769,253.826940625,186.071041034483,258.02115,178.6407,210.512725,283.9131,130.095675,225.0102,9.37115778696435,4.8287705966787,0.733062615718878,0.69234905743192,-0.44799166115457,-0.530428518787828,"KIRP"
"ZNF506",0.667419858060874,0.965964749858208,0.876211384485744,0.476917635470741,0.997624793087676,0.875633547760147,343.214832971015,234.38175,317.13885,255.65418,8.18001349734337,67.27095,45.2825240811563,46.1646876327394,258.170725,200.746275,227.070025,248.5773,409.0827,268.017225,405.722075,327.6492,384.258828125,340.06410137931,388.2457,322.5336,339.300975,428.693925,256.58965,407.8504,11.0347199601666,7.92628196554834,0.884987088100646,0.830746097123548,-0.176271688357327,-0.267520484789771,"KIRP"
"ZNF324",0.963656163670551,0.994496757709481,0.948403163620699,0.99559258442321,0.992221869783745,0.986056312559166,147.485492028986,132.7877,151.946916666667,142.95994,2.61288300657734,40.7943,15.1612991281182,14.2847411369125,120.52115,112.39055,126.20765,135.607,172.00435,153.18485,173.070175,168.5319,194.1444875,147.353916206897,191.65315,143.09785,163.227225,216.791725,119.61385,172.31245,6.7875637866244,2.52254353999981,0.758990987096126,0.746650133326794,-0.397845340931635,-0.42149571419479,"KIRP"
