"gene","p-adj-mRNA.Cluster 2-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 1","p-adj-mRNA.Cluster 3-mRNA.Cluster 2","mean-mRNA.Cluster 1","mean-mRNA.Cluster 2","mean-mRNA.Cluster 3","SEM-mRNA.Cluster 1","SEM-mRNA.Cluster 2","SEM-mRNA.Cluster 3","Q1-mRNA.Cluster 1","Q1-mRNA.Cluster 2","Q1-mRNA.Cluster 3","Q3-mRNA.Cluster 1","Q3-mRNA.Cluster 2","Q3-mRNA.Cluster 3","count-mRNA.Cluster 1","count-mRNA.Cluster 2","count-mRNA.Cluster 3"
"ZNF195",0.11068909895795,0.0350228042761307,0.717017278458562,243.02872173913,308.541684415584,326.74277704918,16.820377638052,15.1991351994112,19.8876492801389,196.61625,221.4422,227.2196,301.44215,365.4649,387.4936,23,77,61
"ZNF263",0.505278365426162,0.830879444834852,0.752235082631343,691.443304347826,740.087167532468,717.47238852459,31.5601826713251,19.5410700326403,26.508672120535,570.835,630.0354,563.5304,744.16215,845.7407,867.4628,23,77,61
"ZNF200",0.552338962800288,0.420845180129269,0.933424245869164,160.611808695652,173.757235064935,176.979098360656,9.32396507515361,5.53291522088488,7.81034576250937,138.20535,145.8806,136.389,172.75835,190.919,206.5887,23,77,61
"ZNF582",0.509163549925122,0.883325449323613,0.665257217273266,25.6192347826087,29.7358792207792,27.4314983606557,2.27940075368799,1.46921963619671,2.51807926666652,20.36145,22.1224,14.8662,31.2274,37.2312,38.0099,23,77,61
"ZNF285",0.270238966730421,0.977505834712018,0.153899025858124,42.2457565217391,54.7164506493506,43.9280983606557,3.90019304769414,4.20799683994922,4.36191398620575,27.9557,31.7053,17.9163,55.45915,69.3143,58.9525,23,77,61
"ZNF275",0.272123612444977,0.000127356288302183,0.00047830126328563,296.821317391304,377.662125974026,523.281831147541,20.6935147490081,19.3339026677518,37.8419589088732,210.3267,270.5602,349.4493,375.6106,445.1689,628.284,23,77,61
"ZNF37A",0.0147186506941314,0.0498253852299766,0.853911443762731,237.008282608696,334.325836363636,321.01173442623,21.1551444177775,16.2398423645544,20.5973608229909,177.77055,231.0966,217.8439,283.59275,410.4842,419.8622,23,77,61
"ZNF510",0.00123260467528652,0.101358855113064,0.104246733279915,143.28142173913,214.872868831169,185.490650819672,11.8845515562315,9.90556489096624,11.2239423590037,100.2552,161.3475,114.787,175.81555,263.7262,232.9626,23,77,61
"ZNF506",0.00609216843197247,0.694404370762213,0.00534851072025488,269.085591304348,364.453475324675,294.746536065574,18.1392624724988,14.5268400452499,18.2259679257842,221.10035,289.8338,198.8821,309.43885,410.22,400.9575,23,77,61
"ZNF324",0.22108640251248,0.821364341310964,0.314268716425314,137.029656521739,153.980031168831,143.290860655738,7.04066764460948,4.98675357115838,5.69375535321062,118.4781,124.4755,112.5449,149.2559,174.4862,171.8503,23,77,61
"ZNF671",0.565723102981956,0.945982998526281,0.151897969694431,116.101352173913,138.093428571429,109.049314754098,14.9382775437262,10.2658144542906,12.5081001306775,61.5788,68.4051,28.0052,161.655,188.3036,161.7662,23,77,61
"ZNF416",0.72207815063599,0.950417183365307,0.801903622026383,75.5682043478261,81.2335935064935,77.870437704918,4.882044410149,3.28882650803858,4.56300838170609,58.64105,61.2553,53.0224,85.38135,94.6389,102.7215,23,77,61
"ZNF586",0.44013221877643,0.0989566856027099,2.01427944013233e-05,117.598160869565,130.193920779221,95.6614295081967,6.40645613742115,4.66548137868182,6.35082655467454,98.59265,103.3119,62.9706,140.87155,149.5753,112.3453,23,77,61
"ZNF446",0.00385046674439504,0.574236717388462,0.00671826420994315,238.483486956522,351.775383116883,274.452408196721,18.0466147322724,20.1213750720345,15.1514125280792,190.03735,238.5028,193.8821,261.14435,406.2612,328.317,23,77,61
"ZNF8",0.0687010745332109,0.125502888376499,0.952313267402063,65.1224695652174,82.7955662337662,81.0960065573771,4.53847225311664,3.66076084628918,4.85698741461869,55.68715,58.8223,55.7177,72.1445,102.6414,98.8139,23,77,61
"ZNF264",0.00662690976013725,0.998410335352172,6.84887162325509e-05,582.044817391304,747.824164935065,579.078367213115,38.3721960124171,24.3761318994649,32.3287595259112,418.11025,573.9055,416.9117,723.8478,903.5163,772.3684,23,77,61
"ZNF213",0.966064282859289,0.979363275269811,0.997354131248495,553.079552173913,565.147927272727,562.73678852459,33.1064108528368,19.1217774656235,32.2703499718103,468.33255,450.5814,381.6178,647.98115,647.1363,693.8218,23,77,61
"ZNF343",0.0013402079631305,0.0226268731003184,0.48824578156333,187.86272173913,269.935537662338,250.987162295082,13.4862202168286,11.7378592367373,12.5422546718595,148.34765,196.2704,184.4287,218.4461,330.9801,282.8424,23,77,61
"ZNF302",0.00493033708348478,0.0451540892461709,0.590670248179036,366.085356521739,570.029462337662,524.777944262295,37.8622245963376,23.8646464116393,45.0001883744455,240.3477,453.3958,344.2026,374.7969,636.7493,621.7553,23,77,61
"ZNF268",0.874042475041767,0.899162374573249,0.390252694494311,433.362556521739,457.018398701299,411.721403278689,47.377156973082,19.5440874215012,28.7856546159643,303.14675,357.3339,253.3693,607.2084,540.7935,492.0459,23,77,61
"ZNF184",0.530048779506139,0.081728444848317,0.253625087158396,140.531760869565,164.063546753247,189.110047540984,9.99270333459326,5.91369395587489,17.1933220731133,115.61465,121.693,121.5091,165.57225,199.0862,211.025,23,77,61
"ZNF500",0.250890038730356,0.975848881357087,0.139140083616658,246.326895652174,277.803897402597,250.607301639344,15.8396885528836,9.28086125370519,11.1999228333677,186.8528,210.6233,182.3006,288.075,326.2411,305.9202,23,77,61
"ZNF419",0.0245363123044016,0.694377657312445,0.0358208153111534,108.634569565217,148.357574025974,121.254501639344,8.96734470160309,7.26397846398942,8.80064161238342,76.80415,103.377,74.8903,139.8392,165.2829,148.9335,23,77,61
"ZNF175",0.000886295845487051,0.36708598665623,0.00493750142474014,116.990452173913,168.599138961039,136.491191803279,9.62788281136832,7.25876035752294,7.22917426199313,83.85525,125.6117,99.6566,143.17425,202.7761,165.7459,23,77,61
"ZNF14",0.0410641796000195,0.00190719845541387,0.261951232557556,102.445086956522,128.958533766234,141.234944262295,5.73491440521568,4.5836540509174,7.19537786593502,79.92,99.7732,101.1269,119.5336,151.9738,173.7905,23,77,61
"ZNF85",0.306529207688989,0.00117123367465322,0.00611548979852683,50.9161565217391,60.5432974025974,75.2360803278688,4.45068575123409,2.52357207808788,4.44126682359618,39.22115,46.5199,51.0095,60.55085,73.4334,92.838,23,77,61
"ZKSCAN1",0.194805024318013,0.998723988952806,0.0378975607654566,600.215356521739,810.208196103896,594.223552459016,85.9037412347561,69.2653511711665,49.8615994808294,250.1738,376.1662,264.5888,882.7267,1101.1388,878.3838,23,77,61
"ZNF862",0.000831755072272955,0.687445179312444,7.52082862653936e-09,675.199247826087,1331.86782077922,524.663985245902,62.4866846874823,116.569948643562,40.9687278857544,437.83135,724.4485,284.1287,854.2548,1779.9708,678.8469,23,77,61
"ZNF684",0.000258493258656678,0.666981304665867,7.06457817095663e-05,67.4543130434783,127.466457142857,80.6386704918033,6.45133549504723,8.24024612027569,7.45640209038949,45.69635,79.8625,35.4548,80.69485,151.0645,102.8754,23,77,61
"ZNF430",0.396899036789687,0.116184339151141,0.547749038905698,46.4456608695652,56.6573987012987,62.5928786885246,5.78526581451316,3.71228855720565,4.52339219385483,25.08125,37.7929,33.709,63.55825,76.041,81.9936,23,77,61
"ZFP30",0.00100070897452553,0.0946895657774407,0.096094175931971,110.555243478261,164.89304025974,142.55112295082,8.81972828939352,7.22155298815584,8.63061075913718,85.69925,116.6232,92.2064,136.4752,198.4343,177.0784,23,77,61
"ZNF549",0.078529456821915,0.744050125329763,0.000223693091477961,116.428413043478,149.423251948052,104.975755737705,11.1248517688616,7.17600281385574,8.73987386547749,72.46515,105.0484,55.2248,159.30045,182.2141,150.8772,23,77,61
"ZNF211",0.0316744457048407,0.967884390766815,0.00499372668687625,144.408165217391,207.273216883117,150.597129508197,12.6548098966699,13.2945784021225,12.7108598716129,100.1965,151.3767,80.7666,171.40865,227.8481,219.8208,23,77,61
"ZNF205",0.96435239338088,0.863759736607132,0.923329072755116,464.42462173913,481.201283116883,499.145095081967,49.3889787992736,30.4973424517401,37.9838959950052,311.294,306.4099,310.9766,599.7892,524.8729,583.1946,23,77,61
"ZNF45",0.529886510953697,0.204109353022601,0.609326650605931,152.080417391304,168.367527272727,178.736498360656,10.5900286847963,6.32295613155299,9.77228966756962,105.51235,123.1136,121.919,186.9018,197.0428,226.3965,23,77,61
"ZNF133",0.00138497056253317,0.582500784034535,0.00158805411809448,218.26352173913,376.551677922078,263.635578688525,19.5099434243116,27.4578666666992,15.7445863013477,158.86885,220.662,168.7006,278.94155,464.4256,318.9291,23,77,61
"ZNF436",0.331813293699286,0.291044451756004,0.982823540159936,298.810347826087,346.135887012987,350.390604918033,18.7268571951744,14.3954895505785,21.5970285944095,243.0414,276.2284,245.2376,326.81915,400.7269,399.4215,23,77,61
"ZNF484",0.251099058449192,0.0668174242885846,0.580949454234903,47.2848739130435,55.5755792207792,59.3089196721311,4.27682849502507,2.31688010887132,3.09252932560393,30.06455,40.3129,40.5842,59.06295,69.1682,74.1244,23,77,61
"ZNF780B",0.000362177996487967,0.614714623403888,0.000184497727399258,186.307517391304,336.367644155844,223.275318032787,24.0712743862917,22.2634720377842,15.4377411544504,121.9736,215.3023,143.0967,202.673,382.6318,306.8603,23,77,61
"ZNF557",0.00275507162122934,0.27882488676823,0.037797617277975,121.516965217391,159.931492207792,139.527493442623,7.79120034325644,6.06326163170819,5.70064780139753,96.2081,117.7745,105.9865,142.0322,192.5859,170.9486,23,77,61
"ZNF337",0.00347129695274651,0.632560460861583,0.0038456681536122,392.148017391304,850.033587012987,522.8982,56.3192712349764,85.9296950036828,50.2523575861515,213.8847,364.1267,277.9256,491.7572,931.3846,591.2906,23,77,61
"ZNF317",0.447561541596036,0.132489225550185,0.527701520272118,582.035534782609,621.859268831169,647.453040983607,25.3780843177463,14.7727091412821,19.6666872552292,507.25795,543.5438,549.6235,650.9445,690.3255,731.1475,23,77,61
"ZNF426",0.937798185042947,0.761741301660592,0.856216613271294,69.6344869565217,74.0489753246753,79.0020393442623,8.67632207477281,6.11564890058413,7.59040639678622,33.36505,28.7092,29.164,101.53325,104.1319,121.2121,23,77,61
"ZNF331",0.532786983089779,0.190850205127492,0.572464605857912,424.83087826087,362.075507792208,319.48343442623,58.9352944114025,22.585756621378,36.3842644383354,200.40245,217.9065,164.0238,545.0404,432.1755,384.2179,23,77,61
"ZNF227",0.247556232997207,0.00546060002779347,0.0616362906863416,152.916547826087,174.124924675325,195.886278688525,8.82947164447274,5.23779988055149,8.90262096682189,131.744,146.7778,158.8775,170.80125,203.9931,231.1839,23,77,61
"ZNF141",0.00970948754298939,0.168589094311178,0.282691541570501,48.0262652173913,86.9939064935065,72.5556704918033,5.04186712478782,5.62351153702061,8.82561008901443,30.644,52.6752,36.9272,66.03285,106.5797,84.3558,23,77,61
"ZNF304",0.329822439833555,0.911025658626087,0.348433639238316,186.970717391304,215.578684415584,195.465324590164,14.0712087345435,8.50319537880516,12.8278929223025,126.42295,159.9276,140.4791,229.90295,263.773,260.9383,23,77,61
"ZNF132",0.000521091346674551,0.803239102299291,1.25952032137278e-08,98.8703869565217,142.967593506494,91.4054475409836,7.52736787790397,5.54182390244172,6.62872199222197,74.3391,109.2199,51.3347,114.6671,169.6994,129.776,23,77,61
"ZNF20",0.00138978243434862,0.558063502431361,0.00192985471228535,98.3929043478261,128.139563636364,107.255593442623,5.30342402857035,4.29057010464068,4.46019741212972,82.0199,102.0799,82.8816,115.10445,139.6059,129.8527,23,77,61
"ZNF670",0.695088626308108,0.339438867755661,0.652906591546075,35.7726782608696,38.8354,41.228006557377,2.9045379154235,1.53770551164833,2.42559822340874,26.554,28.6732,28.0702,41.65035,48.4157,52.4371,23,77,61
"ZFP37",0.000865068773714728,0.367103107469608,0.0047916054698095,38.3094086956522,61.5908909090909,47.0902016393443,4.13736839127662,2.99461480013311,3.68397617803442,19.2434,46.478,24.6028,52.44495,73.7327,67.1637,23,77,61
"ZNF189",0.538092088913307,0.149395543924652,0.453836394751926,442.741386956522,505.007576623377,555.763045901639,36.3555657823763,20.413443230951,42.0885407499695,354.6712,389.5372,359.7283,475.4017,595.186,601.7032,23,77,61
"ZNF434",0.0605244219664038,0.323108398989578,0.505887371092412,274.004873913043,322.685680519481,305.557918032787,17.4864908863112,9.4873753104284,12.6547571834336,228.62,264.5089,243.3038,286.5159,371.8193,341.133,23,77,61
