"gene","p-adj-DNA_meth_cluster:1-CIMP","p-adj-DNA_meth_cluster:2-CIMP","p-adj-DNA_meth_cluster:2-DNA_meth_cluster:1","mean-CIMP","mean-DNA_meth_cluster:1","mean-DNA_meth_cluster:2","SEM-CIMP","SEM-DNA_meth_cluster:1","SEM-DNA_meth_cluster:2","Q1-CIMP","Q1-DNA_meth_cluster:1","Q1-DNA_meth_cluster:2","Q3-CIMP","Q3-DNA_meth_cluster:1","Q3-DNA_meth_cluster:2","count-CIMP","count-DNA_meth_cluster:1","count-DNA_meth_cluster:2"
"ZNF195",0.125894855866999,0.559369717145518,0.139631561891179,250.182855555556,352.132963333333,298.877418852459,33.129956615376,34.3194871847728,11.2212676654111,218.8804,219.33255,215.271875,273.6337,441.400475,360.954175,9,30,122
"ZNF263",0.377576653639529,0.00470812184705738,0.0107231025731144,887.718255555556,798.86691,694.264360655738,54.6487374257481,40.3178152570823,14.7483403764222,748.4726,627.01165,573.024325,997.1429,915.210475,771.105025,9,30,122
"ZNF200",0.999898488527075,0.103474211893702,0.00205286647913883,200.590344444444,200.326796666667,164.376940163934,24.5555712350472,13.3112631439716,3.81676741784432,150.9529,147.866025,139.890975,200.5368,244.906,180.51785,9,30,122
"ZNF582",0.240563397665461,0.835396752421774,0.103670306521812,32.3559666666667,22.8532966666667,29.3067532786885,4.13307545942889,3.16538511138336,1.37056198611707,22.9977,11.784,19.8776,41.7434,35.752375,36.779575,9,30,122
"ZNF285",0.878481787099556,0.91763982017293,0.969984587710638,53.5710111111111,47.2487466666667,48.892062295082,6.31337538067757,7.81018228899327,2.96607569507122,40.5157,11.4733,29.489,58.9525,74.1741,60.870425,9,30,122
"ZNF275",0.969443297784368,0.151751030517783,0.0196636449905314,536.9077,516.278086666667,389.397981967213,34.2610762004664,49.8395565056606,20.1976795585863,433.5923,330.88965,267.9874,616.3813,668.052375,450.262775,9,30,122
"ZNF37A",0.222412010368576,0.0427023612141635,0.568677988403025,425.230255555556,333.06597,302.92577295082,53.6818822608815,27.424711614919,12.9997541450452,374.676,259.432125,199.1629,508.5044,408.248825,379.49515,9,30,122
"ZNF510",0.214459339277089,0.572619753076175,0.327217554505215,160.421777777778,215.69163,190.500560655738,31.3393256290266,15.8379190877907,7.76103532945763,98.9524,173.58585,129.407725,197.3968,253.8568,241.362125,9,30,122
"ZNF506",0.000110690308149586,2.48222278860233e-05,0.994089162051156,134.195355555556,337.823996666667,335.155301639344,38.6344787594906,30.4986221033538,10.4204473666876,28.4869,260.41705,255.052625,198.8821,409.865925,397.005525,9,30,122
"ZNF324",0.987901728873265,0.708206959130553,0.240086715099567,139.064655555556,136.642706666667,150.803474590164,14.5546362609814,9.18404026926438,3.69874947022899,112.5449,95.014975,124.510475,167.6849,156.733675,174.39215,9,30,122
