"gene","p-adj-NO-[Unknown]","p-adj-YES-[Unknown]","p-adj-YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.345523591715723,0.211808745402559,0.655199524587594,290.787996153846,335.549033333333,368.545305555556,22.8335583958136,13.4231036322138,30.5152949335863,239.57475,242.50165,283.7187,349.10035,385.74985,433.5492,252.595459375,325.178474137931,250.57835,294.02725,223.224225,267.76185,230.31765,385.21475,8.99016053822296,8.83335114692896,1.28734884998536,1.17339446923487,0.364403052740394,0.230688097031386,"KIRP"
"ZNF263",0.74139295583872,0.962028814230822,0.607102305859556,784.975534615385,757.326026086957,799.221088888889,37.744109588957,15.0922895272707,29.6170806399416,681.816,629.25495,729.154875,857.05435,859.687175,888.560125,555.951571875,737.064890689655,542.3033,715.74605,490.68465,612.01665,603.2523,840.4459,14.1133526213655,10.66213295136,1.32577175419045,1.31982610100289,0.406832421422415,0.400347854016997,"KIRP"
"ZNF200",0.928520508557548,0.359556246591196,0.118208896062499,172.902523076923,169.053055072464,193.497388888889,10.2954265389433,3.96190786920528,14.6244528401102,140.07645,140.0896,141.987325,200.118425,192.425975,219.3753,135.7635375,173.158351034483,136.9963,163.47535,120.111575,148.683025,140.656725,199.390575,4.24359106808135,2.92969035204431,1.27544077167614,1.19328295727695,0.350995905296256,0.254936182728608,"KIRP"
"ZNF582",0.562690746567313,0.066997078152193,0.150548590901937,31.1194461538462,27.7458688405797,20.5262277777778,3.33544969750121,1.29760135740718,3.35185837932034,21.817175,18.01965,7.602675,36.516725,33.582,31.4999,69.8154125,28.7415810344828,68.7934,26.78735,61.248675,78.75145,17.608225,35.775525,2.06706525420367,0.97533070673203,0.411679599178516,0.3893883715589,-1.28040613734606,-1.36071829389234,"KIRP"
"ZNF285",0.990228068545787,0.636847947071201,0.580728741242736,53.1513115384615,52.1475463768116,43.37255,6.40727742099878,2.99163912045346,9.14915852873574,33.83845,30.1242,8.025925,70.04385,67.774525,73.807075,63.895134375,51.0776331034483,68.1083,44.6189,49.001425,80.0458,29.483275,67.93915,3.35694979647906,2.09335703878668,0.799397850917318,0.655116924075333,-0.323014400631748,-0.610175675673332,"KIRP"
"ZNF275",0.948553864250307,0.712501753172508,0.765660385345081,353.631196153846,368.611011594203,408.131255555556,26.546596709546,21.1467668336564,28.9190439436312,254.115675,243.58035,342.4976,425.134,425.008725,447.480625,662.422553125,418.040929310345,706.0396,364.25705,529.441,752.020125,268.86235,476.2735,23.2555485882909,14.901180816072,0.631078950042119,0.515915891969799,-0.664107592517474,-0.954792207782517,"KIRP"
"ZNF37A",0.810742029112592,0.339652539772271,0.0660903239922526,292.323242307692,275.21330942029,348.220811111111,32.8686841428219,10.1296755754951,34.5149883757008,142.64905,190.72975,263.1261,407.916575,362.150875,378.78655,447.476665625,317.819826896552,437.87035,300.4183,401.559075,497.38915,219.7361,404.45335,14.5806799232749,8.77225987319455,0.710248938796945,0.686089615339335,-0.493603324042455,-0.543531064900843,"KIRP"
"ZNF510",0.954133280475478,0.999266901722532,0.953594473338064,168.403042307692,164.496271014493,169.10315,13.438148505505,5.27678806831534,13.7375396814886,110.34745,122.316475,130.9553,208.558475,199.0308,214.677575,253.826940625,186.071041034483,258.02115,178.6407,210.512725,283.9131,130.095675,225.0102,9.37115778696435,4.8287705966787,0.733062615718878,0.69234905743192,-0.44799166115457,-0.530428518787828,"KIRP"
"ZNF506",0.77468962276232,0.999201438136097,0.805047181097487,325.331692307692,342.927147826087,323.921727777778,21.5116907337146,10.5359649713549,26.3591334356305,255.53985,265.035275,273.9876,407.415175,404.99445,421.393775,384.258828125,340.06410137931,388.2457,322.5336,339.300975,428.693925,256.58965,407.8504,11.0347199601666,7.92628196554834,0.884987088100646,0.830746097123548,-0.176271688357327,-0.267520484789771,"KIRP"
"ZNF324",0.979298053442158,0.989109638434044,0.938768731305555,142.617219230769,140.92400942029,144.374066666667,9.79471717908261,3.38895433834743,7.30950671275366,105.08075,118.7103,135.301825,169.3816,160.5135,166.751575,194.1444875,147.353916206897,191.65315,143.09785,163.227225,216.791725,119.61385,172.31245,6.7875637866244,2.52254353999981,0.758990987096126,0.746650133326794,-0.397845340931635,-0.42149571419479,"KIRP"
