"gene","p-adj-123-1","p-adj-1234-1","p-adj-1234-123","p-adj-13-1","p-adj-13-123","p-adj-13-1234","p-adj-2-1","p-adj-2-123","p-adj-2-1234","p-adj-2-13","p-adj-3-1","p-adj-3-123","p-adj-3-1234","p-adj-3-13","p-adj-3-2","p-adj-34-1","p-adj-34-123","p-adj-34-1234","p-adj-34-13","p-adj-34-2","p-adj-34-3","p-adj-4-1","p-adj-4-123","p-adj-4-1234","p-adj-4-13","p-adj-4-2","p-adj-4-3","p-adj-4-34","p-adj-5-1","p-adj-5-123","p-adj-5-1234","p-adj-5-13","p-adj-5-2","p-adj-5-3","p-adj-5-34","p-adj-5-4","p-adj-6-1","p-adj-6-123","p-adj-6-1234","p-adj-6-13","p-adj-6-2","p-adj-6-3","p-adj-6-34","p-adj-6-4","p-adj-6-5","mean-1","mean-123","mean-1234","mean-13","mean-2","mean-3","mean-34","mean-4","mean-5","mean-6","SEM-1","SEM-123","SEM-1234","SEM-13","SEM-2","SEM-3","SEM-34","SEM-4","SEM-5","SEM-6","Q1-1","Q1-123","Q1-1234","Q1-13","Q1-2","Q1-3","Q1-34","Q1-4","Q1-5","Q1-6","Q3-1","Q3-123","Q3-1234","Q3-13","Q3-2","Q3-3","Q3-34","Q3-4","Q3-5","Q3-6","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",1,0.957557552326895,0.99553813482014,1,1,0.974899599349159,0.993473114996878,0.999998995161415,0.848068085767124,0.999861864852867,0.998251857502741,0.999999949004333,0.880484266113734,0.999989694217327,0.999998942511426,0.99998621234657,0.999999951745556,0.996557861952882,0.999997315607907,0.992769792929826,0.997292966147011,1,1,0.972345567325277,1,0.999662775520439,0.999968246249672,0.999996849279075,0.995802769877073,0.99999988402766,0.86964883488196,0.999975348821977,0.999999865590348,0.999999999977226,0.996092277729439,0.999925895992538,0.367109815540311,0.975801834090463,0.377254032100017,0.715277144549386,0.790879505468905,0.589372599423875,0.552866323312095,0.642311990156662,0.611304959936275,202.9758,202.1006,56.6271,203.42375,240.83462,229.241730555556,171.378666666667,202.5873,231.824070731707,348.0897,18.6669423090783,NA,NA,10.0140819015441,28.8529154167827,21.5551695259993,50.4807189513096,23.8343117902951,18.0179200203173,63.6178665529975,160.0877,202.1006,56.6271,201.499675,155.8438,159.2405,121.31915,182.4818,137.3424,292.312625,227.206375,202.1006,56.6271,214.220325,290.2869,247.1404,202.0441,207.3465,286.3859,373.987775,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",1,0.998876229832085,0.999840307033706,0.999998002290534,0.99999999988651,0.996632566787594,0.999424977614104,0.999999592889728,0.999950902067366,0.998531430065836,0.99999554531379,1,0.99643908399539,0.999999998381984,0.974330296719014,0.998322671898319,0.999971233044956,0.99999993213031,0.99541035770745,0.999994540492985,0.989743169482664,0.831944590846315,0.998299181060061,1,0.87925979459401,0.98231504622875,0.625215084542027,0.999990178902303,0.999999999996349,0.999999999993752,0.99900248875387,0.999991672567224,0.999155390427897,0.99984040371575,0.998394968318264,0.800181260862344,0.999265682644897,0.999992997963711,0.999998668980122,0.997469478753388,0.999999815190804,0.992746134250555,0.999999999730401,0.999788426576738,0.999299885569045,666.645633333333,681.9375,481.6847,713.5774,608.768273333333,693.514875,548.5067,474.04182,661.175312195122,572.30885,61.2847057641857,NA,NA,72.4292199288266,26.6537317055113,49.1374886732653,69.3484010600821,57.3200323969064,34.111953972459,70.0934413917177,481.6526,681.9375,481.6847,684.309375,536.27625,529.90115,480.87985,392.963,541.5578,501.2522,754.048025,681.9375,481.6847,796.489925,677.2349,755.85115,595.6189,493.5524,756.6638,636.4484,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",1,0.960142872523684,0.995427040772678,0.999007292754532,0.99999679880596,0.998685685972667,0.999978728852518,0.999999997530177,0.984518639676302,0.999987561194466,0.999987326789129,0.999999999648984,0.978107003195886,0.99992981361131,0.999999999888528,0.986532545696288,0.999875927059842,0.999935000478478,0.999999198028283,0.998568671830136,0.996324530188227,0.94690991358989,0.999808850154953,0.99989808807709,0.999997541404382,0.993373030412361,0.980854408921207,1,0.761046148726461,0.999968017038269,0.998616188437392,0.999999999275878,0.984543441725234,0.842561056082253,0.999999743668931,0.999998054872727,1,1,0.978668137358244,0.999900972293824,0.999999850943351,0.99999997775604,0.997417171365017,0.99320939083462,0.995538564525649,248.24065,249.1978,117.5013,206.007875,231.429653333333,235.171269444444,180.816333333333,180.86584,198.150434146341,246.769675,32.1996105855419,NA,NA,21.3970981393652,25.4793721475757,21.0434108970902,14.4306545309321,30.8891663134116,9.76193034226714,25.5518103323872,166.536075,249.1978,117.5013,184.709075,161.06405,154.7132,167.9859,135.9489,142.6211,225.809625,238.54665,249.1978,117.5013,229.78095,279.35155,261.0934,192.9515,187.4299,234.2105,276.02285,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.992047438493007,0.999958220589489,0.999998604805747,0.996291733839644,0.99998089024988,1,0.999999074862381,0.99687674715688,0.999995246515029,0.999605426589808,0.993471916768579,0.999236779975537,0.999999932795643,0.999994081871215,0.99994593024781,0.999645998397982,0.999951051864111,0.999999999980979,0.9999999999665,0.999979942279113,0.999999969198267,0.985498736032469,0.999990592474751,1,0.999999999998209,0.997858298667192,0.99991456081718,0.999999995846434,0.935448663556055,0.927676380601722,0.99605854274991,0.802439012027932,0.813332628655334,0.113590593197453,0.942136580238667,0.621376141413272,0.999968993752574,0.976761969208695,0.999334610835251,0.984743464245172,0.999497260457605,0.988101786884666,0.99606902260415,0.966623515174974,0.999999983432647,37.6735444444444,5.9617,21.2352,22.284275,34.07048,29.0016138888889,24.7847666666667,20.69102,49.6419804878049,46.213375,8.84789281846663,NA,NA,5.43226988565784,7.55634600961779,4.29770378893371,8.80438290934944,6.18557135480628,5.3070920029886,23.3848935902851,7.4833,5.9617,21.2352,16.576225,10.32275,11.067375,20.3016,15.5109,26.3716,24.291725,62.5603,5.9617,21.2352,25.57865,44.41345,40.43695,33.58865,25.6162,73.4788,50.39895,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.99960344416357,0.999208001078647,1,0.999999682077796,0.999979194504689,0.999946667059699,0.99986367372449,0.996993115621564,0.995036717977373,0.999680961917596,0.99999999919499,0.999278500258562,0.998629376082314,0.999996147619716,0.999943990037054,0.999996332512644,0.999996143805612,0.999988225617169,0.999999999969351,0.999396476963072,0.999979013396439,0.999817331772471,0.999998541977335,0.999994597006322,0.999999975166365,0.991531470103476,0.999153130126028,0.999999999988706,0.999988504220994,0.998316335923762,0.997043287500084,0.999928006841717,0.999999841772419,0.999998171704612,0.999816458344859,0.995499240755209,0.998962636408705,0.999999938743124,0.999999624413649,0.999997883193243,0.982090651952915,0.996778560197827,0.999999959087512,0.999999998248192,0.988864290998481,33.0493277777778,5.9617,3.5392,26.700575,41.1473533333333,34.7439555555556,23.5858666666667,20.92016,37.9444634146341,16.624875,7.14338920143125,NA,NA,10.5537591678964,10.3678352299741,7.71051223710402,10.3601707129328,9.60324138073182,6.11925201189412,10.744661704336,11.342175,5.9617,3.5392,9.5436,8.87655,7.606,14.2089,9.6665,12.9285,2.3787,43.484125,5.9617,3.5392,41.419825,51.92335,49.51745,32.08935,19.0414,47.7949,23.233675,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.974062209501818,0.997297325394126,0.999999961714524,0.999999999069827,0.991222000590888,0.999368694503905,0.984723344539892,0.998400122331226,0.99997437350046,0.999949282036952,0.966867316129082,0.997615045363011,0.999952535315728,0.999961609107453,0.999999999991642,0.956357847105173,0.999998180217925,0.999999999998537,0.99499848242568,0.999678554205488,0.999179544008323,0.999998963352134,0.95997004793331,0.993747328483689,0.999997027286009,0.986822796589885,0.984095291654122,0.945745980104525,0.999666027342663,0.990953317143885,0.999534376049475,0.999999991511272,0.999731185095764,0.999262956426637,0.990404800626053,0.999039421461305,0.999714806428138,0.998939819724327,0.999981020339358,0.999996420706395,1,1,0.999895386430449,0.998634473811525,0.999999180195736,878.055883333333,294.5065,452.3093,837.379225,694.437246666667,707.821672222222,493.9783,959.9557,788.018831707317,705.390825,118.687746094855,NA,NA,183.61004870194,113.963185403686,79.8053367802453,42.1202447989088,210.145831601134,81.2538589326686,113.356172313314,504.2512,294.5065,452.3093,670.60395,377.98775,500.623075,469.9661,533.1089,413.4683,585.6501,1193.472225,294.5065,452.3093,1092.218675,865.4432,785.527075,535.9535,1427.7429,946.4446,856.419125,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.998158726138306,0.971097435423085,0.999999817474512,0.999999696882114,0.999833550622792,0.99398786805917,0.999999662253373,0.999375785794566,0.984541175097293,0.999999999972024,0.999926405674594,0.999615442664677,0.987625592908324,1,0.99999999580306,0.999873244585228,0.999994062221173,0.999084075978024,0.999999858527501,0.999993357669977,0.999998688962239,0.999801546356463,0.987938159419871,0.92133068965115,0.999412247084331,0.998335554184772,0.992257761371367,0.99506764981052,0.999999999634054,0.997072201051652,0.961123426964996,0.999996768358509,0.999980268075273,0.997133589573914,0.999588765013938,0.999886789081204,0.99999792738628,0.995048978651113,0.955732312387711,0.99995971217589,0.999936510072134,0.999561040875973,0.999136254971262,0.999999997855148,0.999999496857751,290.751705555556,160.3689,99.8053,265.682,274.700866666667,266.086761111111,233.9014,339.39032,296.7864,321.94725,39.8793954088441,NA,NA,64.1376210722563,39.2090905293229,28.435228718017,30.5877492310783,48.5630545880137,22.9720183354775,55.3978739843943,151.31035,160.3689,99.8053,197.141625,169.24735,161.7408,218.5401,312.7115,182.3483,280.486675,379.7094,160.3689,99.8053,287.440375,340.00205,311.07125,264.48905,390.5109,391.9955,363.679925,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.99996694687032,0.996735736684153,0.999999816521579,0.999372537194952,0.999999999960116,0.999985029655129,0.999999156014532,0.999827826124523,0.992380502996427,0.995999106347969,0.999993965744679,0.999996131120205,0.99878112983184,0.999951972497756,0.99896865925,0.999995234149274,0.99966041969713,0.991658393647005,0.997664362667172,0.999999981675744,0.999820094839357,0.999999986743127,0.999908989480965,0.995436878197504,0.999134603995584,1,0.999982103936391,0.999999989836402,0.99842582686639,0.999228429795702,0.981715098719594,0.972904843816339,0.999997549272071,0.883928112655732,1,0.999999895449892,0.888451898253985,0.970355807965513,0.866930701420928,0.773924069228948,0.957890774884164,0.732704752265078,0.998970783228262,0.985449916850001,0.977784980236627,149.202338888889,97.7714,58.7507,109.7742,160.6696,137.343177777778,174.134333333333,159.581,171.847436585366,232.091275,23.8605938805435,NA,NA,16.273862363721,29.1739903539861,14.5326966198617,40.0209995748204,34.395598436864,16.828235607241,67.435707130278,87.7811,97.7714,58.7507,92.81315,83.9014,67.0409,145.88115,98.7654,91.81,156.716825,185.1638,97.7714,58.7507,134.52505,184.7089,191.26905,212.8084,175.1825,229.2432,295.5626,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.999999996201211,0.99914339667676,0.999994188265044,0.999999999948437,0.999999999952757,0.999781473515319,0.795470805379981,0.999058534916227,0.94866553059598,0.976497305532928,1,0.999999993151055,0.998944441181931,0.999999999694951,0.670901104024354,0.994905005396006,0.999998661098887,0.999999998908496,0.999559296168483,0.694952536566552,0.992429931303235,0.999469547439623,0.999999998925773,0.999997391501853,0.999990014886245,0.712500646376405,0.998950202674911,0.999999423078688,0.958410390417762,0.999941839748361,0.982893485383474,0.998434926421377,0.99880079749474,0.878096801435609,0.856727462941123,0.887614395140695,0.999979999411067,0.999995478040784,0.995642495590611,0.999985312412137,0.999872122873831,0.999978408927525,0.983125415866687,0.99562031009102,0.999999994609211,137.063422222222,110.8871,28.3136,128.34665,221.511613333333,138.478258333333,53.9050333333333,86.65216,188.187846341463,174.308675,24.0744677612192,NA,NA,23.2926198392502,68.0411318583076,15.607952677339,24.5648220604406,24.427092169978,23.146974491364,54.7325296595235,48.781425,110.8871,28.3136,97.74525,62.66605,63.429725,32.46445,72.0155,89.4239,105.63845,224.96555,110.8871,28.3136,160.0135,285.30255,217.146725,75.00795,88.0664,266.7751,224.562925,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.999999999999457,0.998069864528608,0.999929217249569,0.999999981961137,1,0.99970366773562,0.999682076966111,0.999999998979353,0.99985656713897,0.999999990052742,0.767706568487554,0.999991679600398,0.99999891265037,0.99924132943221,0.99650050003757,0.999999963425879,0.99999999475635,0.997370936324413,0.999998792204661,0.99986871530254,0.986011946153302,0.957059149909534,0.999951675285262,0.999999995127384,0.998663837138034,0.998405164199438,0.999999659673348,0.985741310622264,0.9948419250443,0.999999992689719,0.999896223483105,0.999999785577835,0.999999999915317,0.988803657560875,0.999562191905905,0.998436845387306,0.999999999821236,0.999999999837805,0.998140080064102,0.999999870304872,0.999944410160453,0.984938876349607,0.99999999998537,0.98696520922949,0.999743887914901,145.911527777778,143.0801,111.8386,141.172675,136.659913333333,125.645069444444,151.6993,119.9486,135.238812195122,148.7407,9.48642885418998,NA,NA,20.2635953906414,11.15273354457,6.785195410103,24.9806317262661,9.35599374962382,6.24878829086204,20.3996645744891,114.973525,143.0801,111.8386,126.296525,113.2646,98.151975,126.99185,109.1863,104.3034,117.861025,181.168325,143.0801,111.8386,152.2303,166.99345,148.63725,167.2437,115.8759,155.3744,175.694625,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
