"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999980188086093,0.0359808627289938,0.046160467937659,0.00266933151360949,0.00462792895682484,0.946407934964566,0.884328467140381,0.868237060739563,0.347607640670409,0.0722861268389108,262.103589189189,264.487503448276,197.55595952381,182.031665306122,240.071617647059,24.6236232186423,19.6171960793434,12.9779485788813,7.91717121932083,15.9631035796955,154.1638,173.6815,144.403225,138.6812,184.2621,307.8829,333.8376,232.1763,213.0627,289.603075,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.787444967735058,0.353570016176223,0.981548966512549,0.499999793140196,0.998562202665612,0.997783641183204,0.832396880436897,0.224670790181144,0.0357077441198046,0.0614457696031505,684.040632432432,624.455889655172,596.247230952381,610.36877755102,736.730129411765,47.6023266417475,26.7046790089004,29.3245981104949,21.7091450856525,43.6569952686328,514.2909,493.6686,490.79585,493.5524,588.21185,738.0975,745.2261,667.168775,745.3962,808.409075,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.997203877590218,0.996050079112507,0.999999999994848,0.714043934185382,0.543743091821482,0.43448719240402,0.474898109259365,0.336981298182277,0.247906971094888,0.986172790335714,206.440164864865,198.947996551724,198.995171428571,231.107642857143,241.338629411765,15.2172758295355,10.9515702074028,11.063573463029,14.5691907954629,18.389594057637,160.0781,177.5798,154.639675,156.546,171.384625,236.5098,219.5821,230.585275,285.7143,265.8031,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.994307793635046,0.557886386245351,0.858057323757615,0.188937724458972,0.496020351898675,0.966884489639686,0.0598883367245147,0.213018146950361,0.697105379119624,0.950713010276273,45.8909864864865,42.8777517241379,35.6797714285714,31.5921673469388,26.7419264705882,6.53055878423445,5.70287062763417,4.25987517203584,4.17746162550146,3.27120590977137,8.0645,14.8871,16.87665,8.0502,11.954125,73.4788,54.9672,42.48665,43.2973,38.7334,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.99888710420312,0.120588627624235,0.0922641741416341,0.293226082142864,0.225469879983073,0.982137454913431,0.525252923881223,0.419983472611047,0.947548736437611,0.999185055864293,51.7496405405405,55.2954965517241,22.7259047619048,28.9072857142857,31.8556735294118,9.96064619138773,19.5179997464242,3.83855554349384,3.92529151996717,5.43700748484286,6.424,11.8991,6.62755,7.764,11.610825,95.0081,58.876,29.1395,42.0083,39.334,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.964601573945651,0.455756368825878,0.171042902389339,0.93047874089875,0.601588114538518,0.872028690265079,0.999108893015603,0.993974628437014,0.326222812627471,0.832581186939906,759.601751351351,635.987375862069,1043.83697619048,891.131640816327,714.441908823529,85.5440462004722,65.8894484407206,203.090617216723,80.6560640623815,76.3168552459222,459.8501,345.8531,512.651,508.703,415.85745,955.1,831.4541,996.050075,1132.9374,870.0961,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.879966660867329,0.468294990523719,0.979005786639782,0.101067032407407,0.690156884787416,0.931988233503687,0.133310740859737,0.699878247563217,0.926963304289358,0.999985053433735,337.093908108108,303.378020689655,283.460064285714,259.36157755102,256.464444117647,34.380310764293,27.5822830581045,17.5355181213969,17.1482305853129,20.2027459480115,177.8697,179.2752,205.015975,161.744,170.422625,466.3013,414.5332,365.0852,316.1175,338.43485,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.496995144799624,0.72092245526856,0.989246192482043,0.353478837636563,0.999999992186689,0.980015450897791,0.130046957575632,0.966807994227577,0.74519378872093,0.951744762597452,190.405991891892,153.100131034483,163.931511904762,152.801436734694,137.731876470588,19.9737528200923,15.6718556283215,12.1031250154042,13.2620345528076,14.6208979005043,90.35,108.3882,107.502625,80.916,91.605325,280.077,185.8041,187.4445,194.9761,161.23445,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.98567266711699,0.408462577649055,0.199393107913019,0.00246670127563819,0.000860792157913459,0.282006893146091,0.297964447386519,0.139048548687686,0.998328683971728,0.527558088587219,202.177689189189,218.883793103448,150.792716666667,96.5701081632653,141.900091176471,27.7883543914489,37.8353409758699,13.1155881347863,9.81933302052857,20.1315645815025,41.7044,113.9823,81.0382,37.1564,68.6451,315.8668,273.0448,232.8888,152.1617,162.1856,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.903480315356774,0.457752270564148,0.104203978242374,0.963257780292512,0.529642060191108,0.808721319039406,0.237183848890709,0.0429772354988416,0.986833435505868,0.529102777798392,142.247991891892,151.768310344828,125.890907142857,135.923748979592,120.820682352941,7.3697094204081,10.2508895651154,6.44632807421309,5.05468671513268,7.52388099026657,113.9767,106.4044,97.259175,110.2784,96.5983,161.0692,193.2939,153.0539,148.0641,126.612625,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
