"gene","N1-N0","NX-N0","NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX"
"ZNF195",0.0698384503171929,0.948366647674428,0.062269432556066,232.626647826087,359.311025,228.657535087719,7.26999069112465,109.04897050481,9.7483073074116,157.8608,218.1238,167.68075,274.9713,457.825525,271.60345
"ZNF263",0.86072175932283,0.0547578362244137,0.999994205204072,637.894954150198,693.378975,693.031011403509,12.4639027278281,28.1507232229883,22.4077906666862,501.0489,686.26045,535.15945,729.9416,719.359425,810.819875
"ZNF200",0.182531373029017,0.576304378845422,0.279239550542349,210.612037944664,285.331475,220.097814035088,4.70434935614019,23.4891846742416,9.55585813197186,160.0781,245.768325,155.413375,249.1103,321.87765,253.4202
"ZNF582",0.00527684251015892,0.174839411620615,0.00150376188472401,39.024181027668,87.43995,32.8399692982456,2.05007694218464,25.7119889959755,2.3292054244044,12.3253,59.265,11.954125,57.774,127.28305,43.870075
"ZNF285",0.400769614465604,0.108905443348067,0.196320162942659,38.2675541501976,68.29335,27.7581807017544,3.25850324360102,23.8515561131239,2.77607572866627,8.2588,34.167725,6.462725,50.5126,100.269575,44.038425
"ZNF275",0.987743179231966,0.556781399013822,0.996406925354179,777.058023320158,822.866175,847.847178070175,27.724545938548,185.664048286326,81.9469319381753,452.3093,703.40115,500.9027,966.9025,958.957625,959.16975
"ZNF37A",0.438703024650504,0.55402350785364,0.319343193859778,281.648517786561,368.1097,265.275848245614,9.49891860047135,60.2658248857371,10.4755004016621,166.6974,280.058825,186.975425,369.1275,452.399675,320.675175
"ZNF510",0.321930079014451,0.188663732822677,0.166596868575929,159.911104347826,220.77075,143.357773684211,5.69229069602893,53.3309449660248,6.17826762251134,96.7862,141.6292,97.8227,198.6196,289.23075,181.621825
"ZNF506",0.154089594643433,0.62045019400891,0.103694598532818,170.824548616601,349.057875,150.75883245614,13.6011305087389,132.606053080628,10.4359400269301,69.0184,148.45125,59.44245,223.8659,530.594825,232.11915
"ZNF324",0.885825284601695,0.960829420579395,0.859432782209203,135.823550197628,123.643125,137.388425438596,3.34862677268234,13.5589671312859,4.49076115206555,104.7276,105.69295,102.5985,154.1582,134.941425,156.578075
"ZNF671",0.374109980773059,0.932972569622371,0.425460413505927,89.2247181818182,134.657825,91.918248245614,4.27429968691401,31.6860147739076,6.1659365177963,36.2694,110.259125,40.097975,124.6883,157.80385,128.692525
"ZNF416",0.484573182500543,0.523770670441222,0.352992977211772,82.0970264822134,104.695325,77.3190149122807,2.4267654299112,22.4094761466876,3.72768814091984,54.6547,73.465825,51.219625,102.7142,126.97105,97.150025
"ZNF586",0.148983501482093,0.192859293671474,0.0663568309733098,78.9748877470356,115.430325,71.394048245614,2.53977151747897,24.6312256369963,3.20547662310707,50.3597,79.91575,47.78245,100.7049,145.835025,90.700325
"ZNF446",0.715488560626722,0.976126702354341,0.748002548221016,211.020045059289,171.915625,208.670862280702,6.23367512335129,32.8982227091215,9.45103545077264,147.7007,133.070375,128.943775,246.2285,222.37755,261.16875
"ZNF8",0.0137112952988661,0.545833110584589,0.00729389719633244,54.430209486166,97.14445,50.8787289473684,1.94174395139175,23.9898708496767,2.54707700540789,34.4965,62.07985,33.565475,66.3768,129.06735,62.311725
"ZNF264",0.0206930989282467,0.433805353138405,0.0099570520422525,366.040318181818,598.62635,342.105978070175,10.6124424259021,195.028748436363,15.8608066705795,260.4351,318.029875,224.14445,448.7163,842.782175,428.5865
"ZNF213",0.132421462696662,0.889590827874702,0.110832976649436,206.44845256917,351.67495,198.676020175439,9.74210082579028,100.444504092405,12.6298207623909,110.6628,189.6866,114.773375,235.2719,495.94195,216.4865
"ZNF343",0.813933096591624,0.446902281073341,0.939313057762708,224.095477865613,197.4742,212.286172807018,5.56531686984098,45.3639951737976,7.61519605003198,172.9107,159.33125,167.671975,263.5792,231.9095,241.544
"ZNF302",0.150100267887888,0.796781974096551,0.11584159854372,526.025787747036,758.1132,508.141057017544,16.3454724017809,237.863329831411,19.1092867743211,362.963,397.0161,377.057575,623.6422,1007.9582,657.08835
"ZNF268",0.410411341815589,0.965191762223238,0.450052748478803,250.983586166008,342.964775,255.078756140351,9.01984798267107,67.5915249074835,13.3736028494299,147.2557,268.66225,148.39605,339.6414,431.163975,340.701675
"ZNF184",0.998551611557255,0.759952364752244,0.993846122291056,123.982293675889,126.08195,130.455978947368,5.09375015312369,46.6933043348205,7.62802354845927,78.9171,78.885275,85.54885,141.12,145.698825,145.2085
"ZNF500",0.97422588591391,0.210834928840639,0.986181209401457,165.287745059289,172.80615,178.346202631579,4.1038041046447,7.15717801470431,7.12978607792141,119.2355,168.5633,125.533425,199.9837,179.7264,216.005175
"ZNF419",0.798318362998049,0.870071611856075,0.860537827389647,137.486770750988,165.8119,142.46931754386,4.93375038932743,51.5804036468793,9.88064943447557,80.8347,88.07465,72.9246,178.1231,223.5599,178.663025
"ZNF175",0.512899605218564,0.893588758965803,0.458230174015651,70.798556916996,96.508725,68.4403815789474,3.00862182543501,18.384015289982,4.00234871930819,34.2742,64.858875,36.8898,92.7835,127.9854,92.998425
"ZNF14",0.133348121496448,0.738286810059377,0.097382277857099,65.5316865612648,130.44655,59.9234964912281,4.49556155115976,42.3109117451692,5.13369535519298,14.3988,59.101,18.7089,93.2965,201.1616,94.4176
"ZNF85",0.000853384781476785,0.909797873804202,0.00135490329291232,36.2571881422925,111.744025,38.1712675438596,2.46131869223728,33.545688232826,4.1120949709893,9.7499,81.38165,10.9962,52.0938,143.018975,46.314525
"ZKSCAN1",0.974668880106818,0.936088151273793,0.954555022884861,945.157502766798,1026.670025,915.879528947368,50.6887106792667,342.604512731048,56.8516088251178,375.3843,659.0733,434.64655,1313.1673,1171.503325,1293.32015
"ZNF862",0.442749546443837,0.731420831685586,0.355274178148827,322.224524901186,443.730375,305.400426315789,12.5183574123449,140.976993711979,17.9933163018137,181.2069,349.804775,180.357975,397.5668,560.9307,368.624
"ZNF684",0.972711305482609,0.00419897381132894,0.62013446184613,163.291456521739,148.6281,210.230483333333,6.95867552980345,50.7321495775936,15.4860945331411,80.3066,86.7841,90.36555,211.8753,204.7969,258.719025
"ZNF430",0.00241815808369139,0.511974022313958,0.00113141099412473,27.2079296442688,78.059725,23.4741307017544,2.05603718839301,28.035348343962,2.00216982758872,6.5947,42.018625,5.119125,36.472,95.9418,36.246875
"ZFP30",0.000487425660544494,0.951859977135827,0.000432776153011516,91.7580897233202,225.105725,89.4106570175439,4.43402462884589,72.6966489407911,5.99759603891288,36.2845,100.98525,42.3544,133.1957,341.351225,127.615775
