"gene","Hepatocellular Carcinoma-Fibrolamellar Carcinoma","Hepatocholangiocarcinoma (Mixed)-Fibrolamellar Carcinoma","Hepatocholangiocarcinoma (Mixed)-Hepatocellular Carcinoma"
"ZNF195",0.958006711526157,0.239778394145072,0.0342770315422137
"ZNF263",0.941170664343298,0.730694978478888,0.149045166334247
"ZNF200",0.300716640957862,0.483734081197906,0.983970882870704
"ZNF582",0.851841031693528,0.994684078672539,0.797027412244209
"ZNF285",0.898425711530026,0.931885425890695,0.999712053185015
"ZNF275",0.996359203351678,0.952290217546786,0.785581681244523
"ZNF37A",0.879135056635411,0.998257517175267,0.802070247655009
"ZNF510",0.900221436685976,0.937049769214442,0.999007052723309
"ZNF506",0.99177465573857,0.000191305021512322,9.72155689282772e-12
"ZNF324",0.993772562180123,0.821420059734416,0.428863920205376
"ZNF671",0.180580344091586,0.461769747940911,0.848906770165575
"ZNF416",0.864529346728459,0.774493062245137,0.893919775333542
"ZNF586",0.999999296433562,0.866914865730967,0.626398634972604
"ZNF446",0.965687567159772,0.129227823891357,0.000350598013252212
"ZNF8",0.806907078449812,0.972450606203239,0.850983893837057
"ZNF264",0.759321301824809,0.972104989055832,0.29965080305563
"ZNF213",0.00858859060446637,0.915094493369704,0.000489759551364766
"ZNF343",0.86694609922756,0.979843089755519,0.90487924622798
"ZNF302",0.924421244871369,0.109786445607378,0.00645179506318572
"ZNF268",0.7290834476998,0.997708144461858,0.55548082858448
"ZNF184",0.976698979026431,0.369500588019821,0.0864528125343158
"ZNF500",0.959424095720889,0.693993404910984,0.142931597887307
"ZNF419",0.996008813872721,0.615466916691473,0.259954959302162
"ZNF175",0.505229662672915,0.432507257766383,0.85094555790378
"ZNF14",0.977603927263896,0.133633114337961,0.00470271796126043
"ZNF85",0.97752904214891,0.489601178120486,0.047768500870382
"ZKSCAN1",0.927969817429118,0.968012178707249,0.578123452098252
"ZNF862",0.224282425461739,0.811796661546836,0.341507151720228
"ZNF684",0.371713420788502,0.15260883477878,0.386355791400502
"ZNF430",0.628126723113178,0.993834391209013,0.25169696385667
"ZFP30",0.83057249165077,0.999719406847037,0.677578626684434
"ZNF549",0.780907735645806,0.996338211866308,0.474402002802929
"ZNF211",0.815767826980735,0.977128815406534,0.399236905508789
"ZNF205",0.741265297027774,0.700685234127369,0.940528663771346
"ZNF45",0.645974368912344,0.661755775251341,0.975418310543081
"ZNF133",0.568361754653774,0.105229062781228,0.0832978103882303
"ZNF436",0.118956484124349,0.190008804963868,0.987757148901332
"ZNF484",0.854253949650831,0.971915251004525,0.439980422185639
"ZNF780B",0.995216162999772,0.463677492015512,0.0595777633876067
"ZNF557",0.99646065821848,0.89665566204579,0.773659941265378
"ZNF337",0.980324396678414,0.0714080408506623,7.11746180900308e-05
"ZNF317",0.96644132834967,0.651879227528731,0.44369196674052
"ZNF426",0.996648400990225,0.746129074174595,0.453515567517782
"ZNF331",0.886098817995144,0.999976964364203,0.749738022090334
"ZNF227",0.931166296458632,0.853811111696335,0.906468220200612
"ZNF141",0.672364901953978,0.979915687476808,0.231128587203734
"ZNF304",0.604155938711054,0.999071598434204,0.352119201252473
"ZNF132",0.491513342450006,0.708484333228704,0.95254039860759
"ZNF20",0.897507837677064,0.320851451065756,0.00326157741942901
"ZNF670",0.511162168883094,0.586414302802842,0.994215806258674
"ZFP37",0.928019946298905,0.973683293652904,0.985706844067989
"ZNF189",0.841355093649239,0.775192583907237,0.923848550069065
"ZNF434",0.971944608928681,0.992855162117035,0.989412982897971
"ZNF287",0.434664482101752,0.942964293467192,0.40602149945524
"ZIM3",0.979743212450264,1,0.953872549520355
"ZFP14",0.954759150684331,0.615630803967234,0.419581172142516
"ZNF473",0.422523271733142,0.813127309091536,0.70573942985826
"ZNF614",0.999499926230571,0.185338894631847,0.00529205950699374
"POGK",0.226352867442664,0.0172492460414071,0.0376830406135428
"ZNF514",0.990971546542892,0.0687997824368075,9.37590001559574e-05
"ZNF300",0.901620751157682,0.319900280901328,0.126070624179531
"RBAK",0.985118524211405,0.973858654263766,0.794205659455628
"ZNF92",0.802454744720558,0.620052967287633,0.74835963836668
"ZNF157",0.909881303691177,0.821835390773917,0.203350027613432
"ZNF182",0.898456808303787,0.0827030641688425,2.21500149422127e-05
"ZNF673",0.861525591968089,0.807815441240478,0.135521732194321
"ZNF41",0.651266481582268,0.738772975431335,0.99999993329047
"ZNF7",0.540211331566771,0.336673574805993,0.614533743701748
"ZNF214",0.923145155858926,0.913365327255957,0.986909102360359
"ZNF215",0.504795103916039,0.962174594260539,0.0770740065557483
"ZNF547",0.988784163003539,0.527590098729172,0.077953746040535
"ZNF773",0.989549365274446,0.680632185508333,0.198224993917693
"ZNF776",0.508216078018745,0.791617931789348,0.867093164119987
