"gene","p-adj-MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.00283627604780201,257.994667768595,220.557579282869,11.6196554219948,6.59333629923417,170.7974,153.00465,299.6587,256.0353,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.908973731529058,652.974514876033,655.663321115538,20.0743716826959,13.1389449914901,512.4324,516.86275,738.0975,753.3064,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.707266942514326,211.825108264463,215.327287649402,7.38405941624094,5.40258688792126,162.0248,156.48785,240.5782,256.80455,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.0159334776158634,43.2083694214876,34.926877689243,2.93594276262971,1.90673850421629,19.0797,10.48415,59.1891,50.3502,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.381363657782516,38.4027520661157,33.9080521912351,3.89135121462536,3.0260705733194,8,7.36635,49.432,44.5731,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.435879971751966,764.578667768595,816.945058565737,37.8170193238674,42.88109852948,471.6535,474.87805,951.6753,987.48525,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",7.42894274298189e-05,319.538280165289,258.393835856574,13.2373692745287,8.45763093652407,205.5875,160.14085,420.7858,323.56235,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",2.22797745996761e-06,185.040554545455,141.485089243028,8.36888488290168,4.82799928667624,116.342,88.7652,236.6634,184.625,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.000578577094177524,215.971024793388,143.467924701195,25.7134090601469,7.54860474174028,88.2461,61.5283,279.2065,197.56085,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.818393444481976,137.223786776859,135.914068525896,4.39935642618207,3.34097649907959,105.0228,103.6121,160.3325,154.14675,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
