"gene","p-adj-2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.615140297454173,170.9022,225.636660544218,NA,8.92988837852889,170.9022,152.13875,170.9022,275.88155,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.576695639205633,525.413,649.394424489796,NA,18.2157044283986,525.413,510.3225,525.413,741.96055,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.982885054395185,220.4574,218.364262585034,NA,8.00671039836848,220.4574,155.80685,220.4574,255.08525,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.78485898515228,27.9543,36.5877823129252,NA,2.59480788279821,27.9543,12.48695,27.9543,46.85655,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.724893650114166,20.3304,33.9113074829932,NA,3.16599611302862,20.3304,7.4529,20.3304,44.868,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.710487092729153,612.4524,799.462070068027,NA,41.3310553250403,612.4524,460.63935,612.4524,996.3621,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.876425719796984,315.1207,290.926549659864,NA,12.7668089664148,315.1207,171.64015,315.1207,375.90415,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.807715077670198,185.5146,160.434656462585,NA,8.4553637801192,185.5146,83.9014,185.5146,201.4732,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.76216907362719,203.939,159.581059863946,NA,12.0257273296843,203.939,60.75115,203.939,233.0928,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.727040427960603,118.8056,132.614429931973,NA,3.24552570456169,118.8056,104.5155,118.8056,155.48485,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
"ZNF671",0.365826763581821,148.6658,91.060719047619,NA,5.21981241055626,148.6658,42.09865,148.6658,124.0952,66.44554,90.8349603773585,64.15175,77.4095,39.42225,88.9797,38.60015,128.11835,4.64768445795696,3.48885220948613,1.36705880300406,1.20666232799573,0.451075300718494,0.271022009247298,"LIHC"
"ZNF416",0.395869058604127,46.3787,82.7132775510204,NA,3.50742880710934,46.3787,51.7546,46.3787,103.95365,57.352698,80.9792075471698,54.17935,73.0124,45.22315,63.760325,53.2405,102.23865,2.1255143209624,2.05099782311878,1.41195114390555,1.34760568371529,0.497690169583169,0.430398418353082,"LIHC"
"ZNF586",0.728868364816389,88.31,74.9650258503401,NA,3.15853651028978,88.31,50.29525,88.31,93.6763,82.775812,77.3349482479784,75.75135,69.4859,66.523975,90.70725,49.4285,96.8424,3.92647620455594,2.02596194742321,0.934269883670588,0.917289262831619,-0.0980887316865419,-0.124551342259905,"LIHC"
"ZNF446",0.817764636390668,189.2694,213.822092517007,NA,8.74304963674379,189.2694,147.38755,189.2694,247.78455,129.239702,210.339570350404,110.0894,188.8029,87.7532,143.4819,142.9465,249.6175,9.53771948502152,5.14259057642958,1.62751512960316,1.71499617583528,0.702670954943599,0.77820535942454,"LIHC"
"ZNF8",0.975649312197374,54.0407,54.9601047619048,NA,2.47168397141498,54.0407,34.7785,54.0407,67.97825,30.802178,53.993,28.2609,46.1155,22.103375,36.79745,34.6686,66.19935,1.69605935383312,1.57162600563385,1.75289552576444,1.63177747347041,0.80974001266727,0.706444329484789,"LIHC"
