"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.189718966128327,2.97100790302984e-07,0.987768911952497,2.96382986233468e-05,0.999336528085479,0.522702394858924,3.0037083997847e-07,0.995367312893495,0.999367443397476,0.645831822573035,294.079636666667,199.23372,177.096618181818,209.4177,182.214131578947,16.4077779713077,35.0596751945508,10.6878506078548,10.8235493126916,11.2507656503966,207.291675,150.4898,138.3029,157.8947,134.50015,341.285975,237.8925,215.577,241.2451,206.06185,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.942691977585829,0.977352544237102,0.989962746300797,0.592453604594451,0.999830262050398,0.963173087173316,0.999446483651882,0.967849623456311,0.997191525515225,0.819933348817604,671.536496666667,595.09174,644.054212121212,611.916413207547,661.490518421053,33.4945615832654,65.6856333524128,27.7476609690662,27.0751760187276,35.7143439516637,512.2209,459.3028,547.8311,493.5524,515.1506,744.669975,663.5007,711.5658,724.3163,781.6803,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.897456720212778,0.999469269125257,0.868176188114465,0.600470908424481,0.58016526026323,0.849903375585068,0.015232238439692,0.163005716309647,0.0821995951125216,0.370404046419654,199.224075,162.46976,203.430942424242,223.157358490566,257.016718421053,9.11250242068419,17.8555450965127,12.2895382718354,16.1159865290222,13.2804981612629,156.36005,140.4342,161.1868,148.3809,207.56935,223.4568,198.0676,249.1978,234.7864,290.28525,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.870239211900198,0.0732119482377236,0.999250396502507,0.105320934560999,0.999999835607891,0.990735974513651,0.999995899904872,0.866992545355484,0.111650235717922,0.169095798345463,43.0173316666667,29.596,26.1445272727273,29.1893169811321,43.4202473684211,4.438861201616,10.3187962571707,3.55922718783536,4.02966176649201,4.92271199391761,13.0469,8.9047,13.3858,9.009,25.893925,60.8187,46.6989,31.4478,40.4629,49.6735,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.994979483267483,0.0017672915730037,0.666812487587874,0.00239649245015994,0.800807845799174,0.981054904621835,0.0613906996987782,0.935260103887658,0.78702744754244,0.958050588707253,60.3757516666667,50.78966,17.0005090909091,23.4824056603774,31.2115973684211,11.0440545341871,17.0160031878699,2.7464561471619,3.29445114683105,4.83010014600607,9.67465,21.3713,5.9642,6.6946,8.157625,82.69315,89.4093,20.3304,28.6584,42.925775,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.996916619650951,0.955943431735595,0.999999974181271,0.178743517412701,0.730166465722772,0.0805347386206774,0.999999547592101,0.996596605790414,0.962283075588931,0.306350546799329,766.831588333333,645.56838,652.199357575758,1081.68515471698,772.693342105263,70.4181327860796,116.21264088094,54.7853826412364,161.649405672538,90.8704455208251,389.23115,668.2497,452.3093,593.526,414.322625,1006.425825,785.3963,780.0207,1154.8658,986.66845,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.0359330352805045,3.41950280013936e-06,0.994502806845472,0.0476910063363212,0.409332067743246,0.042822550145275,0.0331319435249681,0.53255792619615,0.153997871814122,0.995770004956863,355.288606666667,172.99444,199.207412121212,284.12479245283,273.276492105263,22.7830369408236,37.2181525556495,13.6566233231496,16.1019015263845,21.2377265478046,235.886725,124.5343,151.3328,188.7755,186.9471,469.430875,167.4718,243.0908,365.5613,379.7094,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.0922162423413347,0.000273483985773093,0.987414612742378,0.970454120216157,0.167258737691013,0.00298592668405584,0.149335176561117,0.592349694171729,0.318150668340426,0.444332972225868,189.301896666667,84.29106,105.773160606061,178.679032075472,146.477918421053,15.1991604979361,12.9804134114673,9.52015423575855,11.8095923382822,11.3760337491133,102.27515,66.4557,61.6066,108.3764,92.904075,245.025,105.0757,141.3948,236.6634,186.98035,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.350411308249135,9.621528293835e-05,0.998955246238991,0.0137165139650549,0.982278557874714,0.424506131172358,4.28272311556732e-05,0.999037740198966,0.999999987028667,0.390374136024874,226.643646666667,116.89216,100.833387878788,149.53170754717,101.302205263158,24.0083577017247,30.1561782154437,11.1824556491033,13.1498119916645,15.4102355569965,99.366925,78.0591,50.5352,72.8577,35.05025,316.6138,173.4965,137.5,193.1323,146.479475,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.166359103861227,0.0305923881458497,0.911957886472472,0.206794391276198,0.644335750681932,0.833554205283314,0.783808673663267,0.434367239724491,0.450896148333666,0.934467579296515,147.670861666667,102.06464,119.981927272727,130.082701886792,137.357210526316,6.3912682306582,13.9110390474831,6.25434521341186,5.66159660099053,7.09936798129006,108.00285,86.2161,96.8404,104.3034,110.486575,178.9816,97.0614,146.1737,156.5974,153.0381,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
"ZNF671",0.999936932990427,0.573556936634321,0.98238265540281,0.616413463760036,0.991945732327151,0.999194402400269,0.417116001831282,0.970325265019924,0.999864674196728,0.992767726608266,103.800433333333,99.96128,83.2358333333333,86.7113377358491,80.858352631579,10.0416263486871,32.029034587221,9.02269710706433,7.41007642759427,9.85416828861027,47.0868,60.1266,47.1014,49.6025,37.123725,139.944825,134.6461,109.4161,113.7397,105.38025,66.44554,90.8349603773585,64.15175,77.4095,39.42225,88.9797,38.60015,128.11835,4.64768445795696,3.48885220948613,1.36705880300406,1.20666232799573,0.451075300718494,0.271022009247298,"LIHC"
"ZNF416",0.734276612189155,0.000653434945008691,0.967053774922888,3.35624482523667e-05,0.954760394900159,0.999984215278535,0.0811379852563771,0.999988219101839,0.580687158606998,0.409077931801513,105.127151666667,81.78724,69.1264878787879,68.3015735849057,83.431947368421,6.37773424867752,22.08555489139,6.76658157914823,4.56950164374787,5.74923475792489,71.62765,63.2911,49.3405,42.6576,55.547425,128.384825,107.7471,78.918,87.3343,100.195075,57.352698,80.9792075471698,54.17935,73.0124,45.22315,63.760325,53.2405,102.23865,2.1255143209624,2.05099782311878,1.41195114390555,1.34760568371529,0.497690169583169,0.430398418353082,"LIHC"
"ZNF586",0.989484531374915,1.06757389839451e-06,0.252558503515438,2.0674135736698e-08,0.238590316181778,0.999998969934604,1.22850722261703e-07,0.210226159326424,0.999858954608052,0.999427800252026,102.742856666667,95.14302,61.5701939393939,61.9209754716981,60.2790710526316,5.93528344653751,19.5803226215351,4.80396724735641,3.51678161995483,4.3147872994243,74.575125,67.5105,43.8521,49.4489,42.46505,117.278175,117.0836,78.5551,72.7156,70.610325,82.775812,77.3349482479784,75.75135,69.4859,66.523975,90.70725,49.4285,96.8424,3.92647620455594,2.02596194742321,0.934269883670588,0.917289262831619,-0.0980887316865419,-0.124551342259905,"LIHC"
"ZNF446",0.981138694521242,0.0520070425664572,0.390546590129951,4.63773472779705e-05,0.106231153399024,0.672518381885075,0.00996244840348015,0.278118400964754,0.995391037442763,0.873009754929871,257.718991666667,282.88294,199.927006060606,171.213941509434,191.052328947368,15.2245555528708,53.7677884297708,12.7894607319581,13.2391003130862,12.1748937577221,177.6507,231.4241,153.6957,102.7988,143.131525,313.8838,295.8237,234.4653,209.8018,225.745325,129.239702,210.339570350404,110.0894,188.8029,87.7532,143.4819,142.9465,249.6175,9.53771948502152,5.14259057642958,1.62751512960316,1.71499617583528,0.702670954943599,0.77820535942454,"LIHC"
"ZNF8",0.0969591678666257,5.38284610218653e-08,0.996801814000064,4.6096219730174e-08,1,0.943192924220274,7.76018034276404e-08,0.999639975891108,0.998142811209589,0.991681534165702,81.0475183333333,47.02854,42.1194151515151,47.023741509434,44.2368210526316,5.51403333041772,4.2140769195163,2.97848076587255,2.87246825075573,3.59837791589978,51.902525,38.1208,29.7402,33.027,29.678575,98.0657,55.4267,54.4957,52.8008,50.039175,30.802178,53.993,28.2609,46.1155,22.103375,36.79745,34.6686,66.19935,1.69605935383312,1.57162600563385,1.75289552576444,1.63177747347041,0.80974001266727,0.706444329484789,"LIHC"
"ZNF264",0.168081030895387,7.95169624656644e-06,0.999935376929564,0.000735874286634242,0.974173549716529,0.526691221767075,0.00906675941376467,0.945873195683963,0.406913865274678,0.997330297692166,449.20034,272.39958,261.854339393939,320.285779245283,332.260257894737,30.0624139124395,43.3451323375117,24.690357225795,16.9984005012668,20.5006079906648,293.106075,213.0258,154.2402,234.3529,247.306275,618.563525,307.0782,328.8196,368.6751,422.8701,362.186442,361.437431536388,350.42245,338.2732,303.342625,402.26855,244.1142,447.6098,11.9868507102565,9.03659796249173,0.997931975422725,0.9653297041899,-0.00298661806736875,-0.0509063220815393,"LIHC"
"ZNF213",0.415803188638862,0.0106825439355469,0.999644404427075,9.81882126951383e-05,0.999972971190053,0.966121584829951,0.00595206910178059,0.999718223222088,0.999999891662314,0.96634754403651,293.62473,173.66736,187.892975757576,166.410686792453,186.965426315789,23.7989661730711,42.5942228191641,18.0464323578905,17.1899929148187,24.8025380474107,174.155925,117.0836,121.3396,95.5507,99.62695,383.657525,221.1669,198.5236,196.0083,208.594825,93.996004,205.906013746631,88.2817,162.531,68.87125,107.711125,111.97235,232.90115,5.09140464570213,7.78467800254841,2.19058263100877,1.84104973057836,1.13131463561414,0.880528597404698,"LIHC"
"ZNF343",0.667071749701576,0.0515002147472123,0.99999706431488,0.0131893549165603,0.999999579001633,0.999998346472578,0.529378084729222,0.276299808121318,0.00150168644895843,0.000202572127400935,236.509968333333,184.58942,186.982024242424,186.024379245283,263.329171052632,13.7278339581357,34.2686266014324,11.4961286203967,7.71433000402618,14.1666992282876,159.362175,181.9646,157.22,141.7655,199.962925,311.886375,216.6046,201.9002,225.0134,303.87545,157.260386,220.049345822102,162.27715,206.7535,137.561775,178.147925,169.45845,258.13665,4.54474117432805,4.48610121111696,1.39926749144634,1.27407647965225,0.484671782155693,0.349451881599975,"LIHC"
"ZNF302",0.748886264792682,0.00122988109219724,0.975556051269405,0.904262905865335,0.916442433839019,0.0205422676745675,0.429032964323048,0.992683537273039,0.239386231125869,0.900215198618733,571.335696666667,448.84438,386.355039393939,535.122962264151,493.772921052632,36.2125165330745,72.1149918213432,20.9351892891612,28.9769464805205,29.9580228752803,367.564575,412.483,293.8741,387.9573,375.81685,754.4868,578.0998,442.5466,631.1098,601.70355,390.91045,521.859861994609,381.374,478.4148,299.485025,474.7799,362.1997,628.4777,18.9697055191489,12.8421865804854,1.33498570323359,1.2544504869236,0.416824291737216,0.327055528794531,"LIHC"
"ZNF268",0.925833469600902,0.265825406612592,0.999957418910544,0.962990730463805,0.816730678849192,0.0881869986288063,0.988464213164551,0.850747361020622,0.1648008134539,0.999957026535228,271.437436666667,214.3701,205.924106060606,290.386166037736,286.636513157895,21.1703823617645,52.9327228431808,20.2829398112128,20.7368731482372,25.3563723793771,156.3614,114.3317,127.6722,193.4764,143.0013,376.7053,311.868,259.1093,379.3178,392.522975,331.56112,252.396960107817,323.0252,231.9295,264.784275,392.32575,147.268,340.14445,15.2352248335247,7.40598474518154,0.761238109304905,0.717991970905056,-0.393580306884255,-0.477960383986982,"LIHC"
"ZNF184",0.213596478567797,0.000703171461755359,0.999360728842981,0.412119710513308,0.619465132055368,0.0990732604233293,0.999731428421509,0.270577746302229,0.00471861216194658,0.652780665437632,148.61613,79.1687,86.9597848484848,125.59531509434,145.912431578947,8.97140211201078,17.1651260463476,6.32404524405589,8.6313157603474,16.1772755464049,106.565775,49.5781,66.365,84.1751,82.4797,179.7357,95.2805,104.0716,146.7181,200.455625,83.804598,126.070213207547,82.8239,108.5433,72.1511,95.032575,80.5423,143.6407,3.2940846722442,4.21471855928418,1.50433527773198,1.31053113895868,0.589126142557236,0.390151633321084,"LIHC"
"ZNF500",0.0248955791649254,0.20434021912471,0.297675727344827,0.999998841602507,0.0246094040699428,0.207706265952746,0.994202355852161,0.0178215579012578,0.145953711777927,0.996585906407427,173.589321666667,92.23232,146.508227272727,174.109394339623,178.494160526316,8.26142091091033,25.4556244965901,8.26415174742658,8.48004428764776,8.32861596080881,125.15835,52.5378,116.0856,134.6273,135.200325,202.77375,116.0338,173.0222,207.3171,215.82185,109.913668,168.472323719677,112.46925,162.701,88.961275,125.5599,122.61125,204.76155,4.05938159787257,3.49922154499777,1.5327695525517,1.44662652236056,0.616140808293369,0.532692507297725,"LIHC"
