"gene","NO-[Unknown]","YES-[Unknown]","YES-NO"
"ZNF195",0.387225336164223,0.705553179828279,0.362710708315571
"ZNF263",0.987350658483385,0.806070939300046,0.0855091938848571
"ZNF200",0.642433547208254,0.785495611245335,0.820532018874393
"ZNF582",0.136167591098344,0.465889407403222,0.134398577025766
"ZNF285",0.793769329827945,0.996878924243157,0.273619135401607
"ZNF275",0.780785860974804,0.965117179761628,0.508028199862238
"ZNF37A",0.987067801238534,0.995463553162736,0.985137824299368
"ZNF510",0.953101045708914,0.951277470174107,0.999455538007032
"ZNF506",0.919376798163667,0.742976480904343,0.598252903119449
"ZNF324",0.945576802947066,0.988348523548225,0.890557171637741
"ZNF671",0.999776031244077,0.938166124789318,0.583626417293251
"ZNF416",0.990924605973328,0.938814762588227,0.828866359193222
"ZNF586",0.427671236982641,0.204885382929584,0.379069831541929
"ZNF446",0.972845641706995,0.991688863439666,0.962159249198684
"ZNF8",6.42215250539202e-05,0.00108809364445805,0.187670551686204
"ZNF264",0.96839352536574,0.959089176638364,0.33801743865614
"ZNF213",0.553189021628469,0.30757294469339,0.432300069086132
"ZNF343",0.981241143870769,0.989968589658816,0.658475431710691
"ZNF302",0.246649983425401,0.264127968514753,0.999610285215218
"ZNF268",0.387214649575984,0.612546934646324,0.606642929809717
"ZNF184",0.637437761306018,0.572266186278632,0.94159711968314
"ZNF500",0.439789394244379,0.899764583681391,0.0918981194774513
"ZNF419",0.79473703443169,0.698038720244264,0.880582426073716
"ZNF175",0.687387197862175,0.892423605534207,0.591615522514156
"ZNF14",0.713034057374416,0.709298923223064,0.998170943859844
"ZNF85",0.156589388646357,0.141683221829787,0.970436442579027
"ZKSCAN1",0.831324738843138,0.980970728061197,0.546443497908797
"ZNF862",0.462499974685545,0.455447315900462,0.995101068804247
"ZNF684",0.993787181758448,0.910697540106833,0.33200051955562
"ZNF430",0.427383246399534,0.353654452424669,0.903176192176805
"ZFP30",0.921436250780815,0.999675535808577,0.594625284575743
"ZNF549",0.898841093063061,0.829110045019499,0.908486484940291
"ZNF211",0.366352877910944,0.571344278916708,0.654812401655777
"ZNF205",0.705619544870498,0.72464129058623,0.998939977579016
"ZNF45",0.711339397373242,0.765273716293284,0.976954685588765
"ZNF133",0.902181509254489,0.999873088240626,0.49982336959583
"ZNF436",0.0227440524487722,0.019279620616046,0.951464458742368
"ZNF484",0.850362360528186,0.948482008697546,0.813821458829601
"ZNF780B",0.761021621017523,0.769847273916565,0.999987943026318
"ZNF557",0.713452703085737,0.86800152846431,0.752063088091741
"ZNF337",0.836745935634306,0.883151736436987,0.971555348892376
"ZNF317",0.753752285203326,0.858500720562047,0.877828915542352
"ZNF426",0.996563729811382,0.967153558535425,0.888285822236279
"ZNF331",0.653287847974146,0.984227646515193,0.138469389871114
"ZNF227",0.923270180111929,0.789269252975751,0.717867016100118
"ZNF141",0.683550013368903,0.916932665316568,0.482249743334456
"ZNF304",0.886100363461059,0.690437485085687,0.581794732774464
"ZNF132",0.873131110953758,0.998984303202309,0.313356792444463
"ZNF20",0.681408217161763,0.832613654854806,0.782669835681071
"ZNF670",0.0115380558158045,0.0418024043082672,0.5010386549457
"ZFP37",0.409939971703121,0.282787291242434,0.740307547126309
"ZNF189",0.94645136290849,0.943851293015575,0.999206489401938
"ZNF434",0.876397718595299,0.990074403662392,0.608826746662365
"ZNF287",0.98155173444081,0.981564855776775,0.999951240791507
"ZIM3",0.946044742307977,0.969243567891348,0.977933592928696
"ZFP14",0.111106360274455,0.0444534451014409,0.46639737440102
"ZNF473",0.472209644890274,0.266260865133245,0.499387510220019
"ZNF614",0.718353923915699,0.970288679668399,0.317342798175897
"POGK",0.130694590342701,0.170294083352606,0.962890850129345
"ZNF514",0.606274543918966,0.773190520651629,0.766702003883679
"ZNF300",0.999657433458156,0.993989741407602,0.973601416332737
"RBAK",0.963994314290367,0.99999893279265,0.768349557627394
"ZNF92",0.512061123396361,0.562614702457188,0.985086439720922
"ZNF157",0.626660004605907,0.280594981527568,0.204547915715943
"ZNF182",0.548823671179381,0.807157660278046,0.511795723747286
"ZNF673",0.730256873146695,0.832896088410518,0.892328831290205
"ZNF41",0.990053928938859,0.999940830822049,0.918915973074682
"ZNF7",0.105998156759167,0.232888169148174,0.581868318234582
"ZNF214",0.682017743267863,0.907300314223898,0.517782354764353
"ZNF215",0.00711581627877855,0.00553280251403587,0.924801463170589
"ZNF547",0.861308855537901,0.699460041224201,0.695598871175654
"ZNF773",0.638163173091802,0.388956322047822,0.470674445868907
"ZNF776",0.992930773597088,0.975576223996396,0.648044531102963
"ZNF256",0.997309196108327,0.884694461986619,0.50974949213202
"ZNF599",0.209024076971463,0.188348549928024,0.968042186226383
"ZNF18",0.380769703870916,0.727035591249943,0.29754849071682
"ZKSCAN2",0.992944295869472,0.656039000981825,0.0911516150107351
"ZNF689",0.539457755941314,0.457715602893018,0.906290803837137
"ZNF19",0.227773696321742,0.464296523603175,0.460081835458344
"ZNF230",0.981609154863897,0.976855366987848,0.99716662610633
"ZNF222",0.986141318938713,0.995335737585516,0.983068685560531
"ZNF221",0.763890295863236,0.45389973818876,0.335209585421612
"ZNF233",0.727813126449206,0.82053949901958,0.914796210960914
"ZNF235",0.876645610288315,0.899778477523913,0.992744351007525
"ZNF208",0.981937293591236,0.999691073496667,0.843652394189973
"ZNF714",0.156413592638143,0.098958891372368,0.765027951821819
"ZNF394",0.439633026896449,0.440606891600535,0.99806263613415
"ZNF333",0.999275279877681,0.999815160817486,0.998758183314453
"ZNF382",0.70085600701719,0.700574131362668,0.998972186462192
"ZNF577",0.587047503508116,0.770640273222884,0.724956703601929
"ZNF75A",0.996657338102392,0.994948036507009,0.998432919759796
"ZNF496",0.307284534243186,0.299424584104974,0.991941896223832
"ZNF2",0.99859314548394,0.946038325315069,0.571933385893469
"ZNF589",0.996410702802501,0.994836949638859,0.878791946258261
"PRDM9",0.964801013839018,0.770466675537136,0.451104018401636
"ZNF12",0.872051995163514,0.806616326570334,0.926116139800827
"ZNF202",0.679321512885984,0.616883533329416,0.946387437445385
"ZNF3",0.499702243812252,0.598778792201124,0.924795554830855
"ZNF606",0.994925446825952,0.970221874514448,0.921634490887364
"ZNF91",0.554611654020013,0.309486282601124,0.434992712305593
"ZNF226",0.957222871718195,0.960168640977919,0.99990637340801
"ZNF229",0.994559359499007,0.999583558542232,0.979722005647008
"ZNF180",0.734699727984386,0.866432502950115,0.811162158163976
"ZNF641",0.919938725385177,0.977837587569052,0.873563726333595
"ZNF610",0.997271578147631,0.883651168543176,0.506716962549634
"ZNF528",0.689766686794683,0.358066852735476,0.269217001113775
"ZNF701",0.915444882320877,0.983852820543626,0.816026747976553
"ZNF283",0.306220611256269,0.310841196724975,0.99857578413884
"ZNF558",0.987445930789724,0.999864107997477,0.929135952427889
"ZNF597",0.352225313443056,0.785499547121301,0.139337111474834
"ZNF30",0.849025467685957,0.405978036257748,0.100780795926142
"ZNF354A",0.629834385073374,0.547096025549876,0.912345531731533
"ZNF764",0.92849442347589,0.859910935743565,0.894580590337917
"ZNF747",0.974496113233588,0.997724939229149,0.91265708226582
"ZNF778",0.380146865735045,0.337907456967055,0.955564791498561
"ZNF212",0.986110926961143,0.886857568899582,0.669604203143409
"ZNF282",0.988051964784556,0.997983313349071,0.838939162506656
"ZNF160",0.166342149026804,0.133125170824366,0.915671085937588
"ZNF415",0.713573472812262,0.390182439708016,0.296264277363593
"ZNF439",0.160060337677109,0.127774139511741,0.915089127396421
"ZNF440",0.935142987149689,0.967183827708927,0.239864593355881
"ZNF562",0.962032114683085,0.949326429094194,0.990755408998906
"ZNF561",0.35788475017782,0.487441327724955,0.846993693556163
"ZNF584",0.0366206002790285,0.0718334537074239,0.809979157013785
"ZNF274",0.886370872488302,0.983330096748701,0.191271063253317
"ZIK1",0.700644707764925,0.498890795660963,0.624094121296828
"ZNF540",0.781237967103069,0.623665547710384,0.73849791154841
"ZNF570",0.870564156931543,0.994576591929751,0.236174598262954
"ZNF57",0.222071418560615,0.224522781130376,0.997319974998932
"ZNF556",0.922237604468286,0.592535178120098,0.226415455725678
"ZNF554",0.976490393369612,0.795061872532413,0.445500891833802
"ZNF738",0.843353434341173,0.868004153739553,0.993771358113353
"ZNF596",0.434987078471554,0.427469117475735,0.994522365604412
"ZNF621",0.185943152524384,0.363414449848221,0.576434328435441
"ZNF680",0.999672322216915,0.948614746028621,0.712552679390753
"ZNF483",0.92131792035594,0.989681980209122,0.33320491180758
"ZNF417",0.997595329703031,0.995560923977846,0.905150609758048
"ZNF791",0.979450555043168,0.965055983504261,0.983261314443144
"ZNF519",0.220794680519466,0.239507417583249,0.999142047100401
"ZNF25",0.746149841146693,0.970447740380178,0.381528073307215
"ZNF77",0.872463419901257,0.91828460797374,0.963138600945061
"ZNF169",0.263173747672618,0.601441685861677,0.259147670642678
"ZNF613",0.615007130619344,0.837984837873289,0.590298038469543
"ZNF404",0.936556841313136,0.980341283349562,0.912150975784908
"ZNF135",0.802910569409677,0.621832376114514,0.669997503973629
"ZNF620",0.00347935888357731,0.0117584438472628,0.649179240122471
"ZNF619",0.258959791780261,0.362260434827196,0.872183517344112
"ZNF354C",0.952168211986736,0.937843720592845,0.990166135692061
"ZNF114",0.927848790105444,0.991869022273798,0.786899719166813
"ZNF454",0.997534290215486,0.967794937513449,0.671798491923493
"ZNF543",0.915601663820249,0.744827808514261,0.619785362988215
"ZNF354B",0.47034114620154,0.702374109473579,0.602689658080563
"ZNF223",0.668084038222452,0.911284922488783,0.465070728647591
"ZNF713",0.97385547592484,0.994918346292673,0.942748378209839
"ZNF552",0.776922810928213,0.903522399421941,0.794207856462299
"ZNF154",0.997840704438129,0.965206445361224,0.857622243125935
"ZNF571",0.575001421993341,0.405784250203583,0.690538009147284
"ZNF443",0.998815677370528,0.983323588131477,0.817299278888421
"ZNF792",0.917424899977971,0.69370971249981,0.468674924039624
"ZFP82",0.992816727737774,0.968292174960123,0.932408402438077
"ZNF707",0.903457813074646,0.960071313651403,0.911377337928161
"ZNF746",0.821296359438325,0.981097201314735,0.513871219837705
"ZNF678",0.602916980385776,0.798717405296142,0.683434111714785
"HKR1",0.972847417275104,0.862496091501987,0.689503556097591
"ZNF101",0.787231432154034,0.889491790819368,0.866172519905977
"ZNF716",0.999170399209383,0.901341532184035,0.397080018601869
"ZNF708",0.314329648220425,0.489293946729079,0.712017277798769
