"gene","M1-M0","MX-M0","MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX"
"ZNF195",0.487934838604376,0.855544722057082,0.572307353031967,235.361756179775,169.780475,228.283132673267,7.19294592596563,36.2051794834978,10.4015399415566,160.4443,131.209475,167.7796,276.95605,184.4369,258.5833
"ZNF263",0.999084924615012,0.0195865925226462,0.786894667944347,636.778901872659,632.45695,703.28331980198,12.646963063543,51.1013531613482,22.1770471714114,498.1477,590.382075,568.7731,734.7523,693.246825,787.2944
"ZNF200",0.783236229536886,0.198166518304264,0.543973648609913,209.90623071161,181.740675,226.792683168317,4.904866166379,13.0712067045839,9.37876303531644,157.2839,160.8041,162.6564,246.43415,197.265925,257.4371
"ZNF582",0.955966782954501,0.126342007406206,0.74629183092256,39.4910460674157,43.957525,32.4249465346535,2.02180896654751,21.0946259879294,2.42546082862396,12.38895,11.0478,11.9048,58.32195,72.612675,43.2973
"ZNF285",0.937016057897677,0.0866948505679539,0.988179082598881,38.5637509363296,30.5738,27.117201980198,3.11632047572364,23.487461382725,2.98655698328094,9.0059,6.600175,5.9642,54.222,31.450325,37.7035
"ZNF275",0.912512483644531,0.25621602087802,0.725037331442797,770.925944194757,646.560375,882.611484158416,27.5355714933809,171.679645769149,89.6423257224622,433.14445,391.072125,545.9057,956.7793,931.03445,995.7958
"ZNF37A",0.675804846015978,0.967805985132784,0.647020320410068,277.837694756554,217.938775,281.847179207921,9.07818486579768,79.3889527651715,11.7458417033329,166.91085,102.332425,200.7435,366.7972,284.3042,333.3333
"ZNF510",0.851394373817434,0.635178788631474,0.943170454814275,158.330939700375,135.359525,149.374905940594,5.48088112267416,60.1433201356334,6.6753482964364,96.8956,74.5265,102.6667,199.4178,137.268525,181.8951
"ZNF506",0.946816923802743,0.324246429496922,0.999830072106172,176.08879588015,145.717375,144.003614851485,13.1373200542689,79.7995503225778,10.8716942764174,73.75015,52.801175,50.8607,235.14975,167.5265,218.0377
"ZNF324",0.29597007779482,0.479597363028196,0.192005753368791,134.871371535581,96.3089,141.808095049505,3.13174091524578,8.28238072275518,5.2103260350076,102.44545,88.265,110.9551,154.42715,107.8253,161.5905
"ZNF671",0.0897286662075262,0.9482929310919,0.0807999961187449,90.6584554307116,161.876425,88.2259415841584,4.16110990646012,62.5665996035874,6.16786401531345,36.07155,85.876175,42.3982,129.78435,183.79025,118.9034
"ZNF416",0.83344734248426,0.299080227718165,0.635137529128821,82.8649116104869,94.25295,76.0446673267327,2.4340244685716,32.549376871058,3.6770639741156,54.8007,40.154225,51.8615,105.0791,144.530575,93.9047
"ZNF586",0.673462563066611,0.0694426858216853,0.37063779416251,79.6935213483146,96.243775,69.6522722772277,2.44184659356676,24.9175480957154,3.49193251890928,50.9818,65.71275,44.9191,100.5798,112.417825,86.8726
"ZNF446",0.953867668766394,0.408646590356855,0.999993094893211,214.080413483146,199.45295,199.273979207921,6.07988706987764,39.0306788644629,9.88723638936527,149.53525,139.2724,126.3384,250.5422,256.9666,248.1863
"ZNF8",0.554173591461289,0.450590655341603,0.734959597087687,55.1984486891386,39.393525,50.9361326732673,1.8978030557101,9.15266800040431,2.83510903392232,34.6686,29.061425,34.0241,66.9456,44.88245,62.0709
"ZNF264",0.999451157712492,0.866133256317984,0.995943424431448,364.513007116105,361.747,354.129703960396,10.7284567471847,85.8141450497042,16.9746698464205,253.51105,279.35355,233.559,446.43645,381.5578,448.7163
"ZNF213",0.988364901574323,0.920838111059051,0.998314280617005,204.153696254682,215.19275,210.951011881188,9.31235586703766,82.517857436936,14.4429295654253,108.7104,134.93135,129.4416,233.75925,241.0875,233.0226
"ZNF343",0.20508945653555,0.78130598981072,0.277991463053345,222.656027715356,148.7155,215.917447524752,5.30993704774664,55.5232057921581,8.31992901161816,169.1739,81.7485,171.1428,259.65745,168.75105,241.6165
"ZNF302",0.987299304596684,0.998702134371733,0.985710859639699,522.527562921348,541.5638,521.12044950495,16.305984760489,159.552419820556,18.7188835964275,354.4013,376.534725,387.9573,622.3886,641.634675,657.8985
"ZNF268",0.20135017140692,0.381616612384471,0.114299177664173,248.882970411985,125.86945,270.954888118812,8.63720943746715,19.1871377727155,14.7232300764261,143.3433,101.01535,161.3333,337.57995,152.1879,365.9454
