"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.326596558896591,0.590790926976689,0.652702308072503,267.872816666667,227.78049957265,239.38309375,31.8187207857993,7.28815259903336,11.1217337761936,155.496375,158.092175,167.30015,318.000475,269.414725,275.6401,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.676775702549242,0.945210512400237,0.0342603309485717,678.691688888889,635.019508974359,695.897350892857,44.9438289477161,13.7545347970046,20.601786384705,540.057325,500.612775,561.00385,803.671175,726.6117,803.923625,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.706291880434853,0.999722716453328,0.191013524673435,223.852261111111,207.669761111111,224.326166071429,12.9572871312394,5.48924761237033,8.04853322807241,180.819425,153.77705,163.459425,266.283975,246.21525,257.324075,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.600681296706032,0.980114718947514,0.234981847314936,32.6635333333333,40.0277423076923,34.1787892857143,6.54221714951727,2.12034376085879,2.75780266267115,15.0543,12.3742,11.498625,36.4771,59.03915,48.96855,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.50509782357051,0.937368096580234,0.239487278917123,26.3146666666667,39.0377769230769,30.3711794642857,4.42871980393485,3.46612838258252,3.15666129667245,10.126675,7.61815,7.67365,41.33095,54.64685,39.565625,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.851735872310942,0.953272298226287,0.872357577417705,736.106572222222,816.887106410256,781.8858375,83.2329184380312,45.4459537043999,40.5088327338863,436.777875,467.442075,507.500275,904.98425,993.15065,948.748225,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.968514042219033,0.712369503023037,0.440637007050518,263.544238888889,271.77753034188,291.403042857143,23.8851213608054,9.2444018155155,13.3426194192879,221.934925,162.95765,186.060725,318.753725,344.96495,367.960425,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.936252469259709,0.5717918056466,0.295246936017894,144.242016666667,151.389893162393,165.8944,12.293442780499,5.58654506801669,8.17743735580487,121.899,95.602325,98.7023,172.1768,188.8051,218.7366,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.936504453855517,0.766062060700916,0.701152063135219,147.360916666667,163.662263247863,181.493458035714,24.9265890395671,8.70948708067104,27.1199973652007,67.940725,68.570425,64.039325,253.812875,222.450475,240.895,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.116220205619286,0.163242327096019,0.977191134330999,159.896666666667,134.839226495727,136.049607142857,11.140003445676,2.85229473335684,6.18475494943302,122.482825,104.0312,104.46425,204.816675,155.204825,148.31725,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
"ZNF671",0.700030272568863,0.573708431759557,0.867213254646395,104.707577777778,91.3433247863248,87.3782107142857,15.7414382704604,4.34957571404635,6.68014371678693,43.57275,39.87925,33.7773,135.1762,128.51965,122.361775,66.44554,90.8349603773585,64.15175,77.4095,39.42225,88.9797,38.60015,128.11835,4.64768445795696,3.48885220948613,1.36705880300406,1.20666232799573,0.451075300718494,0.271022009247298,"LIHC"
"ZNF416",0.779393315860599,0.955191360781426,0.706272620425174,75.9938722222222,82.451438034188,78.8671553571429,7.82306948832347,2.52689412003997,3.89702470158577,55.912075,53.583,52.635175,95.578475,105.10935,100.48105,57.352698,80.9792075471698,54.17935,73.0124,45.22315,63.760325,53.2405,102.23865,2.1255143209624,2.05099782311878,1.41195114390555,1.34760568371529,0.497690169583169,0.430398418353082,"LIHC"
"ZNF586",0.698196499954192,0.483570576826521,0.689196525095369,85.6547055555556,77.9169901709402,74.2170044642857,13.2093056348619,2.55088760136402,3.41430624424951,54.368175,49.881275,48.037375,101.19955,97.0928,94.315525,82.775812,77.3349482479784,75.75135,69.4859,66.523975,90.70725,49.4285,96.8424,3.92647620455594,2.02596194742321,0.934269883670588,0.917289262831619,-0.0980887316865419,-0.124551342259905,"LIHC"
"ZNF446",0.9999981115778,0.950176076947462,0.781610054660812,213.037938888889,212.992641452991,205.3002375,14.3832519522341,6.66375578526333,9.53451222620651,174.3584,141.6122,138.501025,231.3211,252.7352,247.986,129.239702,210.339570350404,110.0894,188.8029,87.7532,143.4819,142.9465,249.6175,9.53771948502152,5.14259057642958,1.62751512960316,1.71499617583528,0.702670954943599,0.77820535942454,"LIHC"
"ZNF8",0.00415737133403937,0.0265750451425829,0.518914310973236,75.3057777777778,51.6748538461538,55.4582848214286,11.88054549411,1.81081928671877,2.91398501895989,47.563675,33.19255,33.048025,71.911075,61.30735,67.091925,30.802178,53.993,28.2609,46.1155,22.103375,36.79745,34.6686,66.19935,1.69605935383312,1.57162600563385,1.75289552576444,1.63177747347041,0.80974001266727,0.706444329484789,"LIHC"
"ZNF264",0.989252221731567,0.999834040761197,0.963508997357198,357.491927777778,363.471700854701,358.261283035714,19.7717436255654,11.3713741414336,17.5693715665742,290.920275,253.439475,232.14935,423.032125,435.928125,450.552575,362.186442,361.437431536388,350.42245,338.2732,303.342625,402.26855,244.1142,447.6098,11.9868507102565,9.03659796249173,0.997931975422725,0.9653297041899,-0.00298661806736875,-0.0509063220815393,"LIHC"
"ZNF213",0.977098536185327,0.862871569578042,0.759376648479764,217.625044444444,210.043602136752,197.757741964286,26.6248094960716,11.0988242793359,10.2997060029886,132.23715,107.160675,118.081125,310.286925,235.65105,225.996475,93.996004,205.906013746631,88.2817,162.531,68.87125,107.711125,111.97235,232.90115,5.09140464570213,7.78467800254841,2.19058263100877,1.84104973057836,1.13131463561414,0.880528597404698,"LIHC"
"ZNF343",0.268694614512344,0.605259753718892,0.460955235590088,248.885727777778,216.235537606838,227.988948214286,28.6929442783719,5.28569332801212,8.50975708818074,182.198,166.5869,179.54265,280.85225,255.38515,261.120475,157.260386,220.049345822102,162.27715,206.7535,137.561775,178.147925,169.45845,258.13665,4.54474117432805,4.48610121111696,1.39926749144634,1.27407647965225,0.484671782155693,0.349451881599975,"LIHC"
"ZNF302",0.745972979772766,0.606617500783205,0.844353604205125,476.804227777778,521.291301282051,537.162819642857,46.4602872053884,15.27702255358,26.9604487625968,396.826525,364.834075,358.771825,624.70865,628.210225,630.67875,390.91045,521.859861994609,381.374,478.4148,299.485025,474.7799,362.1997,628.4777,18.9697055191489,12.8421865804854,1.33498570323359,1.2544504869236,0.416824291737216,0.327055528794531,"LIHC"
"ZNF268",0.995197877246458,0.804647760359141,0.460052618120318,243.561088888889,246.821551709402,266.32233125,28.111675604375,9.18505912886444,14.1942957198256,187.616175,139.26355,161.069,334.31935,339.1951,343.35275,331.56112,252.396960107817,323.0252,231.9295,264.784275,392.32575,147.268,340.14445,15.2352248335247,7.40598474518154,0.761238109304905,0.717991970905056,-0.393580306884255,-0.477960383986982,"LIHC"
"ZNF184",0.964017141390106,0.754639418868063,0.557265847720709,118.472261111111,123.627537179487,133.31826875,11.091698236272,4.74772026502868,9.59848145472387,88.608025,81.77715,73.449875,130.2456,138.79465,160.467875,83.804598,126.070213207547,82.8239,108.5433,72.1511,95.032575,80.5423,143.6407,3.2940846722442,4.21471855928418,1.50433527773198,1.31053113895868,0.589126142557236,0.390151633321084,"LIHC"
