"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF195",0.0131470064175202,0.988694498082109,0.0222529890900819,348.156806410256,426.764085,351.921441666667,13.6191117227465,24.1754376443458,20.4726178821208,267.676225,293.65465,226.639075,406.616025,552.55325,419.14945,78,60,72
"ZNF263",0.066503960352249,0.00551975913429859,0.745914040178,714.420006410256,643.587133333333,620.115305555556,22.5180152361905,23.4668871509365,19.8129846255306,570.243775,534.968025,526.5913,787.751225,717.232925,690.604125,78,60,72
"ZNF200",0.816291566993579,0.14017647079096,0.464477079237874,207.928201282051,215.148511666667,229.469158333333,6.66692117884186,11.3017955492602,7.30988785898083,169.2081,160.604,185.99875,224.62935,243.671325,263.269825,78,60,72
"ZNF582",0.0329674215135222,0.818218230288561,0.00741362585624816,32.4898705128205,23.5449766666667,34.5265027777778,1.94996770292431,2.89063129235485,2.64520490365786,19.619675,9.79145,19.81615,42.049325,28.472075,43.403475,78,60,72
"ZNF285",0.109466996813526,0.454066638744561,0.663747423724747,32.9565679487179,45.5932083333333,40.0984277777778,3.02941023558923,5.90079297809115,4.32878352711174,10.8949,9.06685,12.36795,49.9891,63.58515,59.075275,78,60,72
"ZNF275",0.990066134788797,0.0382896249316886,0.0411649584809511,662.297584615385,668.646343333333,551.561186111111,23.9559219845392,47.7780080277899,28.3089849370669,527.828725,446.71825,383.072,803.50925,822.232475,679.06555,78,60,72
"ZNF37A",0.971216926293476,0.483630022800768,0.395280434466286,380.846874358974,387.900765,347.263931944444,18.5559730773231,24.6452715302399,21.5500915630964,236.945425,265.679825,215.91615,495.904025,460.240325,442.726275,78,60,72
"ZNF510",0.0457510024378758,0.0358391277216666,0.999674018953349,239.039548717949,211.184668333333,211.472418055556,7.25143171477273,10.3215885783914,7.07095596879587,195.474875,152.7258,169.5221,273.604275,240.2321,259.6184,78,60,72
"ZNF506",0.0167454313132717,0.0347422229304951,0.923246197648856,351.622315384615,275.288293333333,285.9666375,18.7969814551981,24.8072835268185,14.1857514741021,240.97915,145.363375,192.79575,426.024975,353.236825,350.8631,78,60,72
"ZNF324",0.00103261895622653,0.000920196503345183,0.98889077646958,172.250215384615,139.124561666667,140.446497222222,5.16497787664807,7.3713738573149,6.73127475600174,141.1086,103.73215,112.772,209.727125,168.7508,161.356075,78,60,72
"ZNF671",4.38900649157858e-09,0.000636503962032631,0.0202472921437555,155.319033333333,86.6198383333333,116.467591666667,8.29343936958617,7.58329215229674,6.39707137236233,89.9936,43.976075,73.66425,216.75545,130.42605,148.638475,78,60,72
"ZNF416",0.0184392077162686,0.9999175153427,0.0217953129774588,120.210569230769,98.2082233333333,120.116970833333,5.5159206758614,6.25346699749048,5.09357346660403,90.897725,65.6566,92.719075,149.5694,117.030875,144.86955,78,60,72
"ZNF586",0.643237858599495,0.481904952002324,0.978466798274077,163.299133333333,153.335683333333,151.087018055556,6.10219227470899,10.173696746326,7.36611459850598,129.088825,95.679825,113.700325,202.1519,181.273525,179.0603,78,60,72
