"gene","p-adj-BRCA CIMP c7-BRCA basal-like c8","p-adj-BRCA non-CIMP c9-BRCA basal-like c8","p-adj-BRCA non-CIMP c9-BRCA CIMP c7","p-adj-Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 13 (HNSC-LUSC)-BRCA non-CIMP c9","p-adj-Cluster 5-BRCA basal-like c8","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-BRCA non-CIMP c9","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-BRCA basal-like c8","p-adj-Cluster 6-BRCA CIMP c7","p-adj-Cluster 6-BRCA non-CIMP c9","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 5","p-adj-KIRC-like c17-BRCA basal-like c8","p-adj-KIRC-like c17-BRCA CIMP c7","p-adj-KIRC-like c17-BRCA non-CIMP c9","p-adj-KIRC-like c17-Cluster 13 (HNSC-LUSC)","p-adj-KIRC-like c17-Cluster 5","p-adj-KIRC-like c17-Cluster 6","p-adj-Low purity c2-BRCA basal-like c8","p-adj-Low purity c2-BRCA CIMP c7","p-adj-Low purity c2-BRCA non-CIMP c9","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","p-adj-Low purity c2-KIRC-like c17","p-adj-OV-like c1-BRCA basal-like c8","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-BRCA non-CIMP c9","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 5","p-adj-OV-like c1-Cluster 6","p-adj-OV-like c1-KIRC-like c17","p-adj-OV-like c1-Low purity c2","p-adj-UCEC Serous c4-BRCA basal-like c8","p-adj-UCEC Serous c4-BRCA CIMP c7","p-adj-UCEC Serous c4-BRCA non-CIMP c9","p-adj-UCEC Serous c4-Cluster 13 (HNSC-LUSC)","p-adj-UCEC Serous c4-Cluster 5","p-adj-UCEC Serous c4-Cluster 6","p-adj-UCEC Serous c4-KIRC-like c17","p-adj-UCEC Serous c4-Low purity c2","p-adj-UCEC Serous c4-OV-like c1","mean-BRCA basal-like c8","mean-BRCA CIMP c7","mean-BRCA non-CIMP c9","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 5","mean-Cluster 6","mean-KIRC-like c17","mean-Low purity c2","mean-OV-like c1","mean-UCEC Serous c4","SEM-BRCA basal-like c8","SEM-BRCA CIMP c7","SEM-BRCA non-CIMP c9","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-KIRC-like c17","SEM-Low purity c2","SEM-OV-like c1","SEM-UCEC Serous c4","Q1-BRCA basal-like c8","Q1-BRCA CIMP c7","Q1-BRCA non-CIMP c9","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-KIRC-like c17","Q1-Low purity c2","Q1-OV-like c1","Q1-UCEC Serous c4","Q3-BRCA basal-like c8","Q3-BRCA CIMP c7","Q3-BRCA non-CIMP c9","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-KIRC-like c17","Q3-Low purity c2","Q3-OV-like c1","Q3-UCEC Serous c4","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999999999928198,0.999999951377065,0.999996239198832,0.999999999948805,1,0.999998580037035,0.999999736405634,0.999840643757415,1,0.999988341443034,0.999978835568503,0.997050672025963,0.999999999569268,0.999768444855923,0.765394682742337,0.997686321384296,0.984758995014955,0.999841456225397,0.99410437502281,0.996170836253435,0.999393085129848,0.999999676937525,0.999857456951058,1,0.99998760006036,1,0.999315481012842,0.99713256665319,0.999845306530405,0.999856550059602,0.996834453865978,0.999979487340095,0.907844713821977,0.781352696850561,0.852774510559934,0.922985112647623,0.684200344642749,0.562655036605928,0.515943843331533,0.756125542292235,0.0989026519523187,0.0588505514258137,0.166678167275421,0.113411422992529,0.866111424325861,431.7137,454.36435,377.5137,456.9014,385.212820903955,354.863303703704,240.0698,383.031636842105,550.393,855.0853,NA,7.08355,NA,NA,13.4710227482856,10.4425692194872,NA,37.7246681685778,212.9337,NA,431.7137,450.822575,377.5137,456.9014,268.4764,246.32535,240.0698,294.2704,443.92615,855.0853,431.7137,457.906125,377.5137,456.9014,480.6046,430.99315,240.0698,452.40605,656.85985,855.0853,243.569433898305,380.384055533981,235.5258,345.9431,213.87225,271.7078,272.3676,454.952,6.16672479925546,7.13245297194526,1.56170685888607,1.46881190935346,0.643123676962317,0.55464966150564,"LUAD"
"ZNF263",0.000570175438807441,0.019896327661394,0.99999616042339,0.0134250107944548,0.999999903145512,0.999999999924288,0.000813698143599884,0.893588572181038,0.999897911550536,0.999199620579906,0.000423051312305689,0.958254742616257,0.99999283011114,0.999882014038705,0.919324309189273,0.00951169477288882,0.999999999438453,0.999999981765604,0.999999999983275,0.996925608947592,0.999323985778334,0.00217786851241752,0.833587080185721,0.999451737910514,0.997239032129043,0.999840298977072,0.964341387514552,0.991817109809459,0.00479359208278329,0.999734467841641,0.999999999716837,0.999999864027023,0.999891084254321,0.999998054738303,0.999996981233686,0.999082997813758,0.85562651761878,0.229499964931185,0.672209721325002,0.591037552229929,0.532480190045892,0.425705005025723,0.52111150237784,0.666487583695441,0.561699176907072,1473.6403,488.6984,576.7824,546.6986,682.512281920904,654.296728395062,521.2711,709.363921052632,606.95975,1065.4642,NA,16.3233,NA,NA,13.5129566233338,14.028882402763,NA,55.2095459395985,16.05655,NA,1473.6403,480.53675,576.7824,546.6986,553.9957,538.063675,521.2711,560.8635,598.931475,1065.4642,1473.6403,496.86005,576.7824,546.6986,781.9637,736.21315,521.2711,766.1213,614.988025,1065.4642,582.359854237288,686.344726407767,566.4418,655.7547,543.71205,612.8804,557.9597,773.9103,7.96369029815798,8.65873411037184,1.17855776186129,1.15767356858198,0.237022467717237,0.211228511204704,"LUAD"
"ZNF200",0.580305299033365,0.427818969618615,0.999915629349171,0.760849199167945,1,0.99997623278851,0.365049447789485,0.999999994079533,0.998163176726838,0.999999999654683,0.29485586715989,1,0.999462808235876,1,0.985757716953349,0.320623558228196,0.999038584141853,0.99999999794301,0.99970981727779,0.987823710028363,0.994829728370679,0.481994420248181,0.999998650839013,0.995460496400425,0.999999911512469,0.999959260982449,0.991923641017768,0.977581510627796,0.978929734753451,0.986900222966648,0.912999399627689,0.996982102607969,0.94847360092582,0.897128660308489,0.829098687433177,0.985027557759816,0.994290146541278,0.995707638280088,0.955926082385509,0.99854785948824,0.99264539057691,0.983654439919333,0.908035450543475,0.997756901089361,1,401.4428,215.48065,163.6197,215.2113,225.5898,216.73895,145.7567,234.970326315789,295.91775,300.0222,NA,22.36185,NA,NA,6.02981586531234,4.73138070446751,NA,28.6561334606321,46.10175,NA,401.4428,204.299725,163.6197,215.2113,174.6067,168.975,145.7567,178.4846,272.866875,300.0222,401.4428,226.661575,163.6197,215.2113,259.164,244.2049,145.7567,243.678,318.968625,300.0222,172.152216949153,221.601037281553,172.1679,205.3998,154.09025,191.0795,169.6458,246.2817,3.43124843119894,3.47270214761846,1.28723894010035,1.19302030169387,0.364279874617081,0.254618593665042,"LUAD"
"ZNF582",0.991138210287748,0.999999999998149,0.983899345056873,0.999983557092293,0.868275690616269,0.999996587932687,0.999223967880732,0.999459742346037,0.997701844472636,0.927337787629215,0.999913042560654,0.994602205827395,0.999624897807044,0.967950461816702,0.852034350872281,1,0.987283020135441,1,0.999993246955267,0.99849405607862,0.999786591122686,0.982909688497823,0.999999999715201,0.96843024340349,0.760426020594694,0.812912344339479,0.345021665093106,0.975189123327171,0.999999999999543,0.946495556919218,1,0.999982266562387,0.977597417757614,0.995862550339098,1,0.821273372951817,0.99999931207805,0.999755160221004,0.999995510038914,0.998682892160599,0.999999794387524,0.999999999954399,0.999997812658181,0.999658696054072,0.999989606035247,16.9743,43.68935,14.6252,2.8169,32.8953581920904,29.1845703703704,15.589,41.5324368421053,15.18575,26.8114,NA,1.81565,NA,NA,1.53847627669184,1.80438584507146,NA,4.02390570348494,7.61555,NA,16.9743,42.781525,14.6252,2.8169,18.3339,12.16315,15.589,25.598,11.377975,26.8114,16.9743,44.597175,14.6252,2.8169,42.7075,38.559675,15.589,51.99625,18.993525,26.8114,46.9372203389831,31.0588231067961,44.8382,27.8481,37.86475,51.33105,16.50845,41.2537,1.97667102667637,0.912794503941664,0.661709894247842,0.621079793568877,-0.595729243206964,-0.687149463493319,"LUAD"
"ZNF285",0.976873916474579,0.989929323452669,1,0.999999999996833,0.96137836691855,0.982762296578254,0.994117008822746,0.999719330708186,0.999971191945715,0.986616719166235,0.998837338586066,0.996091666778572,0.999605846595171,0.996581835573536,0.803402422406558,0.999995103856403,0.999516565431728,0.999793448747367,0.999975918916834,0.99999658064851,0.999999987414985,0.993512858557519,0.999899761818569,0.999987408368192,0.985702535177172,0.999999999410888,0.996366200299842,0.9999940316746,0.998170959947521,0.999993578031068,0.999997784027816,0.995782300074524,0.99999999999982,0.999999352979603,0.999998427911137,1,0.967391074228497,0.999999925416139,0.999999992943092,0.950795280497406,0.998921594176995,0.994461590690405,0.998201232702602,0.999383191744869,0.999872326873241,9.3359,61.78055,63.0713,5.0704,44.7310615819209,38.0046975308642,30.3985,46.0309842105263,46.4148,73.1221,NA,1.48245,NA,NA,2.58548460216423,3.07670627425374,NA,8.41687691169843,30.1282,NA,9.3359,61.039325,63.0713,5.0704,17.7083,8.678475,30.3985,26.3446,31.3507,73.1221,9.3359,62.521775,63.0713,5.0704,66.7545,53.2867,30.3985,51.48795,61.4789,73.1221,23.5639474576271,41.9143588349515,20.5011,32.5636,14.81885,32.7112,13.39395,60.46995,1.44114771970396,1.58861721740425,1.77874946081603,1.58838306237226,0.83086331943445,0.667558881964804,"LUAD"
"ZNF275",0.994703015579744,0.999681713010477,0.999999995899607,0.999999582594916,0.952866875608983,0.993739560418012,0.999704741148062,0.999469784804524,0.999999822831353,0.985543548450265,0.99906214948947,0.999918041212353,0.999999996798358,0.973601710388433,0.995407912601976,0.999995548447185,0.999977265009395,0.999999895919904,0.999459258682494,0.999999999991737,0.999999993435033,0.999837998728197,0.999390317352234,0.9999996223038,0.990033779649211,0.999999999766746,0.99993450761345,1,0.993008343097713,1,0.999999979255202,0.944156065492262,0.998951715316469,0.999802542354808,0.999957873769743,0.998843477254813,0.999999999894824,0.985682845784197,0.998768321857952,0.99999999521687,0.998115464948891,0.995465811047399,0.999956866653125,0.998843214894673,0.982024515988982,857.2035,525.91095,589.5795,980.8451,669.15674180791,640.3016,695.2672,678.268747368421,513.23085,906.0492,NA,335.01195,NA,NA,22.0433905987662,22.1264973826464,NA,52.3740663764581,40.51505,NA,857.2035,358.404975,589.5795,980.8451,472.0608,444.11995,695.2672,563.18105,492.973325,906.0492,857.2035,693.416925,589.5795,980.8451,826.0942,812.205325,695.2672,747.52885,533.488375,906.0492,460.857720338983,661.765791067961,459.9849,617.6103,404.9979,518.19855,472.0819,824.3678,14.2020294627112,12.3800337003845,1.43594381055654,1.34267516172814,0.521999296641846,0.425110310536363,"LUAD"
"ZNF37A",0.999657744704294,1,0.999579658767052,0.999999999571125,0.99803051192118,0.99999999984002,0.9999999555391,0.896364083817171,0.999999980298792,1,0.999999991284854,0.916761295721481,0.999999996760582,1,0.999997993298142,0.999540952217406,0.99999999977461,0.999455407575032,0.997982623952659,0.96950589396826,0.975566134669794,0.999998206618995,0.846982188487504,0.999998920295421,0.999999998169331,0.999934979008017,0.999444589726642,0.949186271435803,0.999861074480308,0.868859724636623,0.999890813679241,0.999990749004981,0.999517309385408,0.999104100301804,0.926506708627796,0.99997522023268,0.999999436757807,0.98992511408901,0.999999630010411,0.999999997078473,0.999999986011671,0.999999934317151,0.99152687856735,0.999999999998592,0.999999961710162,353.6318,205.35665,357.404,389.8592,396.816561581921,389.610058024691,176.1551,420.764452631579,486.6073,434.7441,NA,125.44545,NA,NA,12.9875749883241,15.0333157191977,NA,38.540712590145,27.3239,NA,353.6318,142.633925,357.404,389.8592,277.7421,233.642,176.1551,327.22415,472.94535,434.7441,353.6318,268.079375,357.404,389.8592,489.6209,506.43835,176.1551,482.52535,500.26925,434.7441,435.568544067797,393.175270679612,447.8479,380.0486,377.49535,538.2368,278.6394,492.54295,17.2785438303048,7.46779594663804,0.902671407369614,0.848610878827388,-0.147727184957428,-0.236824921408699,"LUAD"
"ZNF510",0.989026906288444,0.996024758117465,1,0.999998700798363,0.910339554928499,0.961452290088484,0.998560524732617,0.999626810441785,0.999976370801881,0.955155945652864,0.999357925882566,0.998769722779644,0.999918049836952,0.969795855078611,0.999454070492926,0.990449071453733,0.999999999639899,0.999999999933316,0.933897177374077,0.999733470447703,0.999337523165311,0.999869239841056,0.996303053994573,0.999686726727614,0.986716498868058,0.998682504573766,0.99998260311718,0.998242274254785,0.999991484738254,0.99910507001608,0.999814816947189,0.997986911354709,0.99999701778887,0.999999840640411,0.999099424011649,0.999999999956324,0.998335722361703,0.999999999966138,0.999999999984813,0.97728262656474,0.999998680787557,0.999992535603566,0.999999983700467,0.999953171600795,0.999965720711878,280.6422,187.00655,186.4717,316.6197,222.099462146893,227.721993209877,174.5962,236.035426315789,241.99045,196.5433,NA,6.11225,NA,NA,5.46519706027195,5.76314486977453,NA,17.3325873873445,34.23105,NA,280.6422,183.950425,186.4717,316.6197,166.8146,177.233825,174.5962,181.88,224.874925,196.5433,280.6422,190.062675,186.4717,316.6197,264.9104,268.95055,174.5962,292.4163,259.105975,196.5433,245.000520338983,218.673661359223,246.682,207.3411,209.0403,283.45695,170.8333,256.27905,6.53568638906336,3.09888522800034,0.892543660954949,0.840519778500255,-0.164005351064932,-0.250646326575822,"LUAD"
"ZNF506",1,0.999998394357368,0.99999507124096,0.997731534141461,0.992951767400891,0.971293814350213,0.999999999369442,0.999999978532998,0.999725485913884,0.98900106471148,0.999999913521428,0.999997675394866,0.99904084614375,0.995070622360989,0.991968440767169,0.999999991532675,0.999999961065435,0.999928227109735,0.999729290977844,0.999999999788353,1,0.999985070631093,0.999739401582348,0.99446167911882,0.999462032016646,0.941793837016178,0.996667632887356,0.999999994279017,0.983197862408034,0.935330001927491,0.881355467703904,0.99999999973721,0.790158912486092,0.868811573136797,0.996848186458082,0.972533271397345,0.997566574336106,0.992470783340313,0.970060292927503,1,0.9881605842217,0.994627308757633,0.999701606536982,0.999392745239422,0.999999999858437,283.4712,282.08345,192.8702,498.5915,310.061731073446,329.629980864198,333.6035,368.411236842105,528.04535,500.554,NA,40.89105,NA,NA,14.1161862333829,13.2953305321704,NA,42.9756333040254,141.07465,NA,283.4712,261.637925,192.8702,498.5915,200.3102,221.61585,333.6035,226.274,457.508025,500.554,283.4712,302.528975,192.8702,498.5915,371.2021,418.9396,333.6035,469.29495,598.582675,500.554,356.756418644068,328.882010679612,365.6557,306.733,292.4497,414.441,223.09475,406.38075,10.4486230518397,7.48535448135741,0.921867115746932,0.838857427902806,-0.117369289210572,-0.253502463645337,"LUAD"
"ZNF324",0.999996605810344,0.999998343054746,1,0.692936295427773,0.249939295382806,0.442960102111205,1,0.999356530984956,0.999940020590536,0.225295227917647,0.999999999951799,0.998146552710995,0.999826576426312,0.26245547425127,0.999624866168176,0.999999999162608,0.999999983556466,0.999999987810465,0.587475308145013,0.999999924054292,0.999999277856551,0.999999999489795,0.997887818479298,0.999767721292354,0.313612807679908,0.999986243760872,0.999999999204861,0.99999848911195,0.982872578946095,0.70704104663034,0.879430729991189,0.989785424355039,0.689888710699395,0.756827343293591,0.954966485601296,0.827781219031152,0.999999966817381,0.999999999877894,0.999999999825383,0.532331545800511,0.999998172106704,0.999990915040209,0.99999999999808,0.999984978950857,0.932140640319439,147.3937,121.4022,119.7441,291.2676,149.452804519774,153.466471604938,135.6239,155.473015789474,221.9723,129.6255,NA,19.2934,NA,NA,3.9352999143997,4.4370486363932,NA,13.8510717187737,14.8062,NA,147.3937,111.7555,119.7441,291.2676,107.88,113.8763,135.6239,118.9073,214.5692,129.6255,147.3937,131.0489,119.7441,291.2676,187.098,180.625125,135.6239,193.75835,229.3754,129.6255,188.569693220339,154.293960194175,183.2669,150.3958,166.02325,208.2356,115.23895,186.15155,5.15011451288192,2.36129950391085,0.818233076371854,0.820638096677578,-0.289416236770265,-0.285181964527202,"LUAD"
