"gene","p-adj-gender-FEMALE","p-adj-MALE-FEMALE","p-adj-MALE-gender","mean-FEMALE","mean-gender","mean-MALE","SEM-FEMALE","SEM-gender","SEM-MALE","Q1-FEMALE","Q1-gender","Q1-MALE","Q3-FEMALE","Q3-gender","Q3-MALE","count-FEMALE","count-gender","count-MALE"
"ZNF195",0.966960812582455,0.691906282650251,0.697870807553582,386.70756031746,381.28668925,361.461632653061,19.4675600688003,8.35485988988115,17.6854286689933,276.03315,270.64115,281.6764,457.52625,456.803525,429.5367,63,400,49
"ZNF263",0.011107790200158,0.350479503977364,0.67235859978505,749.404442857143,673.5922605,698.456481632653,32.3969903697343,9.34549140778788,20.5749581382555,568.83385,553.896725,603.9059,842.59965,759.676275,791.5371,63,400,49
"ZNF200",0.595218768725541,0.987032949672362,0.777327744821609,230.043844444444,219.6316695,227.726540816327,11.8627429186294,3.6491799397213,14.6830110605367,174.2535,169.25895,173.5099,257.2114,245.8342,237.7049,63,400,49
"ZNF582",0.236814972223733,0.595307031769008,0.970997335557586,35.0614253968254,30.50274625,31.2274326530612,2.55526258204615,1.02080175725763,3.37163882033258,22.2549,16.332775,14.4928,42.76715,41.079,42.7075,63,400,49
"ZNF285",0.903690138367735,0.876675720871586,0.577786259399803,43.2841222222222,41.187287,46.6436102040816,4.1775661469696,1.81015969558569,5.51816065467175,15.1577,12.543775,16.4017,68.4607,58.95345,68.0045,63,400,49
"ZNF275",0.660315249091662,0.437059518390119,0.723029217343045,692.827204761905,659.68438375,626.979373469388,34.0164834879304,14.37626082141,34.6370302342862,527.74505,468.491725,456.8713,834.8843,816.57745,819.7375,63,400,49
"ZNF37A",0.261299995341385,0.706529644891166,0.0438236145707669,419.125206349206,383.28746325,444.674646938776,18.5688413201426,8.66978642132349,22.2261351464547,325.1492,261.353175,308.7151,510.40215,471.214425,508.6382,63,400,49
"ZNF510",0.989807016586393,0.997137114534756,0.975337663733947,219.720098412698,218.41599125,220.689504081633,7.62939889955076,3.56988864922927,10.792450691846,176.11725,169.641275,174.7728,253.823,258.041575,248.3965,63,400,49
"ZNF506",0.598741264496255,0.341076291659854,0.641710373200901,351.320406349206,329.051333,305.930787755102,16.95171838126,8.87778453553685,20.8472271507297,269.6307,220.363725,207.5149,407.3454,407.3816,370.4239,63,400,49
"ZNF324",0.57197322608819,0.98491521873177,0.767112759660268,160.270017460317,152.9226645,158.569648979592,5.88973015128618,2.77267128694077,6.79841115988906,128.59035,113.609375,116.2281,183.22105,185.46675,188.2701,63,400,49
"ZNF671",0.0401462737729072,0.179795627863628,0.998681361675066,153.749777777778,129.23053225,128.680826530612,10.5105275316066,3.71392407906907,8.56212751712823,96.4903,68.25995,90.482,200.6325,176.333575,165.1523,63,400,49
"ZNF416",0.412177339593949,0.829635370933036,0.148119660907203,100.851166666667,108.34046875,96.0296632653061,4.32407159055629,2.2806375212534,4.98861676894205,77.49545,76.10155,68.7614,116.0499,132.664575,110.3278,63,400,49
"ZNF586",0.978902025412312,0.48750861450226,0.416585072322693,161.340042857143,159.61987475,147.280891836735,8.44230684319778,3.30263627350681,6.52028364338893,121.9814,114.319275,119.6312,187.4125,190.371225,166.0359,63,400,49
"ZNF446",0.0353344970620542,0.938758749525487,0.0224378187058281,232.803411111111,204.37398475,238.246606122449,10.8939151684107,4.2487609296339,10.9165639958543,170.29035,151.951225,184.7351,282.43125,245.710075,303.207,63,400,49
"ZNF8",0.827097811254645,0.979126395530682,0.720409408621064,98.748273015873,95.40090875,100.315532653061,5.07831281923799,2.11182365100767,6.11778387150295,73.0451,64.945825,75.4446,118.24165,116.15635,112.4076,63,400,49
"ZNF264",0.293526159741624,0.968662644864203,0.553474542408414,682.08546031746,631.9719655,670.774657142857,26.7375002878603,12.7065541708358,32.6877010075476,541.73565,458.068525,483.2215,814.00045,771.7063,832.2892,63,400,49
"ZNF213",0.0406531244285318,0.998761004458365,0.0659821736620624,568.145407936508,504.1247495,569.899755102041,27.7769881728989,9.67020216304931,23.1747155649971,434.1434,374.58425,451.1559,662.7046,609.525325,682.8858,63,400,49
"ZNF343",0.476550045266999,0.797831483509102,0.155631480348538,199.464753968254,188.16618575,208.216332653061,10.5595259323072,3.54811795649752,8.61907289477502,146.58905,139.384425,163.767,230.8886,224.318675,245.403,63,400,49
"ZNF302",0.991569793246268,0.982235000117978,0.939010888666706,475.172365079365,471.421347,482.842442857143,20.2651023468533,11.643370211227,30.1825455101037,354.6632,326.57345,363.743,533.5297,576.66555,565.8242,63,400,49
"ZNF268",0.940834424234844,0.581617566002847,0.60775449307577,350.591484126984,343.93697325,322.677426530612,26.6855480678335,6.75001623227637,20.9552891243619,247.85025,248.126725,222.7687,417.036,412.33905,403.3782,63,400,49
"ZNF184",0.331539104461689,0.589831395501334,0.999205962913198,247.73269047619,230.797342,231.302987755102,10.5237327361436,4.38867463038367,13.6205884385272,186.83045,171.791475,169.1077,284.8294,275.08995,258.2677,63,400,49
"ZNF500",4.19291488513718e-05,0.51496116939084,0.0302536918559971,283.355901587302,234.5026705,266.145283673469,13.625095630726,3.91699228904953,10.6176024495707,211.17185,179.73575,214.1422,333.10115,282.07375,307.5407,63,400,49
"ZNF419",0.355532765297888,0.688958625556099,0.979356992418358,175.269806349206,162.499205,164.518559183673,7.98230589761198,3.4975408089933,9.06499610353613,135.39095,115.51195,120.4874,200.5546,199.462575,192.8651,63,400,49
"ZNF175",0.106136925562322,0.322519182455677,0.999955085325682,126.908187301587,112.629579,112.700475510204,5.86736858976878,2.61571907487874,7.83548810799667,93.101,75.6764,70.0969,161.99545,140.6289,150.458,63,400,49
"ZNF14",0.877038090434041,0.529368194364163,0.173512542372643,174.844773015873,180.37157775,157.719655102041,7.90486695390965,4.41080946697664,9.31400689459803,133.2404,119.208925,116.3311,207.44615,225.54545,180.5923,63,400,49
"ZNF85",0.913127674812743,0.602841460840187,0.259081835863234,99.4556888888889,103.757915,85.1717040816327,7.18192241180568,4.14054742844088,8.53804658368568,57.9035,61.954025,49.2813,128.05635,126.43885,105.7254,63,400,49
"ZKSCAN1",0.901238014509493,0.975740510514785,0.991636800822217,685.4797,659.77310025,667.928387755102,41.6673368541781,22.2447975297325,69.1603795496581,444.13405,380.301525,382.9431,897.82215,820.2461,779.2395,63,400,49
"ZNF862",4.94417627743271e-05,0.861302157693494,0.00366348713694131,561.668541269841,411.19219675,536.344689795918,38.0482552917882,12.1100175052677,41.9157597805366,379.8685,242.815175,330.8446,693.6075,527.6934,666.3181,63,400,49
"ZNF684",0.908408332101031,0.997291751259323,0.888968199147377,58.953726984127,60.9696685,58.4778714285714,4.60804091365197,1.79772721900492,4.47420447121475,41.8581,38.78095,42.3977,66.4686,72.0098,65.1184,63,400,49
"ZNF430",0.983177729530196,0.23856315375287,0.0730791863812728,120.555415873016,122.20288525,99.1914551020408,7.96612257731039,3.6202513424995,6.63923486264118,85.2354,79.869775,61.0782,144.15755,154.415025,130.3631,63,400,49
