"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES"
"ZNF195",0.246284364474387,375.357630038023,396.479440944882,9.81406978942836,16.5031302896171,275.34335,268.3714,452.44825,488.0398
"ZNF263",0.140507545839563,701.593688593156,669.848888188976,12.9070940811039,15.5562429857124,570.3543,549.55855,789.86685,746.4466
"ZNF200",0.0376814557366616,217.262858174905,235.801449606299,4.87393717695604,7.8617344773332,167.1851,178.85165,244.58885,267.4863
"ZNF582",0.257344853398559,31.7735958174905,29.3556251968504,1.21273924494618,1.76129221037955,17.3078,16.2602,42.61295,37.7258
"ZNF285",0.927853678757756,42.1390828897338,41.7913125984252,2.16777484403062,3.21850798129903,14.27115,12.69295,60.2724,61.36905
"ZNF275",0.00696245717236654,687.704162737643,605.579215748032,16.6557211608604,26.6106344867193,496.72505,388.74765,834.53615,732.47795
"ZNF37A",0.00695345722599305,406.934731939163,359.790604724409,9.96705997519015,14.1077895410032,296.6581,255.23485,502.36365,435.76725
"ZNF510",0.00822364616887916,222.275441064639,202.771625984252,4.51857624839159,4.90149004339849,172.50325,160.7369,260.03365,235.48275
"ZNF506",0.329158588780221,333.448561596958,315.571464566929,9.52951676991319,17.4406801817908,234.9043,214.71505,425.02295,374.40775
"ZNF324",0.0332622782013643,159.440324714829,147.188409448819,3.36046193991906,4.43408036835911,120.533,114.21765,194.8568,171.45995
"ZNF671",0.00359373983820321,139.924815969582,116.516207874016,4.68694274858884,6.16304492306737,83.80375,60.37085,187.8474,160.6914
"ZNF416",0.61009293634612,104.779079087452,102.533843307087,2.44363681302147,3.80500160963216,73.52785,74.25315,130.8805,123.59185
"ZNF586",0.972076502631775,158.361375285171,158.119578740157,3.66107944541097,6.42202103891166,118.1572,112.0214,185.5047,181.2189
"ZNF446",0.153902925901578,221.732513688213,208.546612598425,5.49013185403634,6.86288912830934,164.274,155.85125,267.93375,249.2345
"ZNF8",0.312507761404738,99.1773532319392,94.6016094488189,2.62165622635746,3.59404280168681,71.5676,65.66475,118.37595,110.23625
"ZNF264",0.00330640398468507,658.124812927757,584.299093700787,14.8146289197685,18.7123516381053,482.2827,439.42515,803.19955,742.6125
"ZNF213",0.501520361883875,533.622574904943,519.21018503937,12.1923263306015,17.6918384362186,399.45145,395.96545,628.15855,629.66885
"ZNF343",0.568381460500198,193.651892775665,189.103273228346,4.06434631527423,7.78973619443845,146.4685,128.2328,231.71315,221.37505
"ZNF302",0.796685851067415,470.175043346008,476.071692913386,12.2972482801565,20.8592887183502,337.28005,327.3112,568.91835,573.0077
"ZNF268",0.794247325488017,333.464730418251,337.678407086614,9.50748412205811,12.3327153922768,239.49215,247.88505,400.26525,403.00835
"ZNF184",0.926174531701448,234.083294676806,233.167431496063,5.34716044167339,8.91606506030777,174.0661,159.6915,274.47675,279.12055
"ZNF500",0.0109038802673451,260.497512927757,236.735307874016,5.44092828007783,7.19066273934751,199.6194,178.28375,302.1382,283.52385
"ZNF419",0.340651862135243,168.334891254753,161.263786614173,4.23553567882476,6.06820057929957,122.77265,113.07835,203.7438,197.48045
"ZNF175",0.00562619945739484,119.264849429658,103.382839370079,3.29844321375717,4.55138101484634,80.7317,68.40605,158.20685,130.38425
"ZNF14",0.900988816166851,177.638562357414,176.501207086614,4.64852788378046,8.95940297546993,123.9567,116.8827,228.0937,205.8187
"ZNF85",0.819570422622096,99.9927087452471,101.90404015748,3.58524451326735,9.50056379856698,62.90655,47.7174,128.71695,117.0115
"ZKSCAN1",0.0422683344699384,684.559713688213,599.569338582677,25.0278861622301,30.2586653576064,398.79485,359.0781,881.2739,805.965
"ZNF862",0.000113927731481223,494.22673460076,379.020784251969,18.0016539856811,20.4409446298434,290.63625,219.85955,614.0735,458.677
"ZNF684",0.125278949610322,58.6005866920152,64.623657480315,2.00801955142107,3.8151185431433,40.40455,39.08535,68.06065,75.0736
"ZNF430",0.204733041835196,122.873768441065,112.70505511811,4.11210193851166,7.76212885857643,78.484,76.50195,150.3725,134.02145
"ZFP30",0.750095396164319,192.123064258555,195.950060629921,6.11752129975191,11.7562865794915,132.0615,121.8709,228.49455,227.0004
"ZNF549",0.0471122048826457,166.645757034221,148.810478740157,5.22041385670532,7.01271468133939,104.2877,94.41675,207.3888,196.5167
"ZNF211",0.00232516806975003,244.716033079848,204.159721259843,8.14038824836819,8.83874691493413,151.3969,123.8428,297.89055,269.11105
"ZNF205",0.914243413661965,314.741530038023,316.365433858268,8.50442393954657,12.6555125776492,227.62755,223.00565,364.303,368.7871
"ZNF45",0.502286098086988,231.51857338403,225.800088976378,4.87034649082803,6.96035215008649,179.4508,177.13535,275.92855,269.9191
"ZNF133",0.706742852781554,295.412656273764,301.329123622047,8.29107497188085,14.7227895220724,206.5971,189.08415,346.95335,374.80135
"ZNF436",0.611018207647765,427.027981368821,417.405122047244,10.4315600451075,16.5388155682148,304.4634,301.6482,495.67945,475.7971
"ZNF484",0.722496787979812,117.858706463878,114.601449606299,5.34946003831486,7.15695605115541,65.2196,68.6788,141.04425,130.66135
"ZNF780B",0.071927961448597,259.403537642586,235.477035433071,7.79817445889102,10.1600736856364,170.49145,152.781,322.8009,277.4603
