"gene","p-adj-Distant Metastasis|New Primary Tumor-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Locoregional Recurrence","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis|New Primary Tumor","p-adj-New Primary Tumor-Locoregional Recurrence","p-adj-New Primary Tumor-Locoregional Recurrence|Distant Metastasis","mean-Distant Metastasis","mean-Distant Metastasis|New Primary Tumor","mean-Locoregional Recurrence","mean-Locoregional Recurrence|Distant Metastasis","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Distant Metastasis|New Primary Tumor","SEM-Locoregional Recurrence","SEM-Locoregional Recurrence|Distant Metastasis","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Distant Metastasis|New Primary Tumor","Q1-Locoregional Recurrence","Q1-Locoregional Recurrence|Distant Metastasis","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Distant Metastasis|New Primary Tumor","Q3-Locoregional Recurrence","Q3-Locoregional Recurrence|Distant Metastasis","Q3-New Primary Tumor","count-Distant Metastasis","count-Distant Metastasis|New Primary Tumor","count-Locoregional Recurrence","count-Locoregional Recurrence|Distant Metastasis","count-New Primary Tumor"
"ZNF195",0.85686631398339,0.992973591997004,0.802654098539587,0.998144018523726,0.852344263169386,0.999947375705795,0.958115170952037,0.993610312026068,0.915691598804504,0.950441802882093,406.525806451613,202.3576,432.456458823529,450.96415,305.00755,41.4098507799468,NA,36.6184563453423,29.93285,28.32575,245.85615,202.3576,345.4091,435.997725,290.844675,498.3788,202.3576,503.928,465.930575,319.170425,31,1,17,2,2
"ZNF263",0.983933797472894,0.839146353694343,0.999465550556919,0.996568674977714,0.999371567944327,0.999993487305786,0.57827394406636,0.991645106776087,0.839959783785505,0.921714590378586,640.267690322581,741.19,698.776711764706,688.5945,843.46035,30.183432798699,NA,54.1242070957082,131.7506,84.21795,513.33325,741.19,577.7797,622.7192,801.351375,720.40155,741.19,787.5145,754.4698,885.569325,31,1,17,2,2
"ZNF200",0.999999959692468,0.999295522821727,0.999985179486631,0.936237275072138,0.98889987110965,0.963400001111567,0.951983006096757,0.993914459502252,0.931375306191567,0.811722508454354,227.14014516129,225.0912,234.186776470588,283.31565,175.3746,20.6826180201366,NA,15.9693545114139,35.80735,35.7691,168.71425,225.0912,203.668,265.411975,157.49005,244.3097,225.0912,249.816,301.219325,193.25915,31,1,17,2,2
"ZNF582",0.999999991653234,0.997983833156626,0.999991858880141,0.932461640193848,0.99058338290354,0.966531599997421,0.998433619020327,0.999738681405791,0.994112890239942,0.933349950589622,30.8764,31.1535,32.7229882352941,42.33,26.6915,3.53417777409445,NA,4.80191279967959,21.6235,8.9879,18.99045,31.1535,21.3603,31.51825,22.19755,41.01905,31.1535,41.5628,53.14175,31.18545,31,1,17,2,2
"ZNF285",0.880676246811682,0.999996932626079,0.892296038391262,0.999972706951489,0.951783890852034,0.999991688740051,0.991764391879163,0.985546931695122,0.993981350355276,0.999142708420894,43.3096,7.2972,42.6244176470588,40.4463,31.09585,6.27772498968436,NA,10.5709875998192,0.2514,27.55515,15.3614,7.2972,10.8125,40.3206,17.318275,61.8332,7.2972,43.9932,40.572,44.873425,31,1,17,2,2
"ZNF275",0.898014906841079,0.944844584776507,0.80552878576603,0.666947562086903,0.542132318061551,0.849994879215906,0.917796296742653,0.999206811621137,0.796767934728921,0.511365502238978,628.669832258065,852.0909,573.371623529412,387.6885,778.95245,48.3277594288512,NA,45.5811422238678,207.8265,206.87355,506.11175,852.0909,472.7158,283.77525,675.515675,762.30575,852.0909,685.6163,491.60175,882.389225,31,1,17,2,2
"ZNF37A",0.633356796421445,0.977565377961163,0.53734042981554,0.854243516435675,0.979832234882122,0.746062540239025,0.99996093873504,0.73670678904128,0.999946696919669,0.925631330382592,355.602303225806,171.7654,378.251482352941,261.05835,366.3479,21.2442288313146,NA,37.4969967999461,25.17795,40.8347,289.58435,171.7654,306.0389,248.469375,345.93055,443.875,171.7654,428.9277,273.647325,386.76525,31,1,17,2,2
"ZNF510",0.99072191722086,0.992239210621893,0.977518230269255,0.994063114204122,0.999917727054338,0.978408574746386,0.807880235985964,0.839358631262864,0.8980070008985,0.807716603352226,199.967435483871,174.8527,207.085376470588,183.9249,243.19855,8.67444576489088,NA,14.1941132026121,34.5136,81.33715,173.50475,174.8527,181.1668,166.6681,202.529975,231.3411,174.8527,215.3603,201.1817,283.867125,31,1,17,2,2
"ZNF506",0.999900462266676,0.999039601043474,0.999995203356071,0.998816929514966,0.999999349338226,0.999850144600958,0.999865858942576,0.999538752208712,0.999049826326514,0.997952310390698,360.999512903226,322.2004,340.573929411765,308.93335,391.0302,52.3135758305481,NA,55.7092606709759,21.55795,16.1524,219.65,322.2004,220.8256,298.154375,382.954,406.9876,322.2004,410.1629,319.712325,399.1064,31,1,17,2,2
"ZNF324",0.183342156393027,0.682105905381827,0.372107866956494,0.91588260703191,0.144569542368649,0.659374454271684,0.999957705749036,0.317882053161284,0.966789408286364,0.983798395066304,145.569377419355,247.5442,163.391076470588,118.00935,141.77815,8.0343014127635,NA,11.2148548472142,33.15345,5.41455000000001,114.26075,247.5442,116.802,101.432625,139.070875,175.13715,247.5442,199.9714,134.586075,144.485425,31,1,17,2,2
