"gene","N1-N0","N2-N0","N2-N1","N3-N0","N3-N1","N3-N2","NX-N0","NX-N1","NX-N2","NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.246414873093222,0.999873833060479,0.62863713261299,0.883120548194441,0.97559420461183,0.897732273096082,0.903032539663096,0.999971973626617,0.937599436997204,0.986302129260001,389.277166869301,350.941133333333,386.058653424658,282.05775,345.512672727273,9.2123967695019,15.2929468797614,18.7113152747166,61.52705,27.5511720676209,275.4515,239.346525,273.817,251.294225,318.8925,472.1368,408.76405,461.4479,312.821275,374.1132,243.569433898305,380.384055533981,235.5258,345.9431,213.87225,271.7078,272.3676,454.952,6.16672479925546,7.13245297194526,1.56170685888607,1.46881190935346,0.643123676962317,0.55464966150564,"LUAD"
"ZNF263",0.289626496873965,0.345861489422177,0.999990275714136,0.998216805647734,0.972525647214335,0.969910306775617,0.582047170272448,0.209466914795662,0.20732040638395,0.998018300178424,698.44292674772,654.504470833333,652.070178082192,739.76015,785.765081818182,11.3362611269428,15.5201773383292,21.1238813904359,181.78715,68.1499281487153,566.8472,535.768025,544.5023,648.866575,675.13885,791.5371,742.231425,729.4685,830.653725,889.69585,582.359854237288,686.344726407767,566.4418,655.7547,543.71205,612.8804,557.9597,773.9103,7.96369029815798,8.65873411037184,1.17855776186129,1.15767356858198,0.237022467717237,0.211228511204704,"LUAD"
"ZNF200",0.929049029362863,0.650603164248015,0.411377234270525,0.451831370022706,0.379753087196517,0.622180230786168,0.963040376030281,0.882328436249546,0.999986593561564,0.705662255977258,220.519394224924,213.157332291667,234.439204109589,314.053,236.675463636364,4.17592836186216,6.82360649040907,12.3877617465515,20.8821,16.8512523924931,173.5099,164.62845,168.6526,303.61195,204.75785,244.5317,240.4396,259.164,324.49405,264.3031,172.152216949153,221.601037281553,172.1679,205.3998,154.09025,191.0795,169.6458,246.2817,3.43124843119894,3.47270214761846,1.28723894010035,1.19302030169387,0.364279874617081,0.254618593665042,"LUAD"
"ZNF582",0.151012245479934,0.9956660555292,0.632453591277251,0.538635569419081,0.320031143152563,0.504832237041223,0.842963479350202,0.362068460084302,0.793750874094685,0.851227742449116,32.1185714285714,26.6486947916667,31.1104643835616,54.60745,38.6096272727273,1.16101765068261,1.78694575139679,2.68976570336821,14.59005,4.49874423529078,17.1013,13.919,16.8526,47.312425,32.75735,41.4588,36.76205,41.9325,61.902475,47.14585,46.9372203389831,31.0588231067961,44.8382,27.8481,37.86475,51.33105,16.50845,41.2537,1.97667102667637,0.912794503941664,0.661709894247842,0.621079793568877,-0.595729243206964,-0.687149463493319,"LUAD"
"ZNF285",0.99812101241669,0.999995384694033,0.999804938544653,0.84904935241935,0.828917271074294,0.848331504211816,0.850151214493157,0.814332860218457,0.861914859480859,0.98402087556455,41.9767522796353,40.6998052083333,41.6629630136986,67.9455,53.1729909090909,1.94438493758539,3.93053990105562,4.24840150161416,14.2265,12.0436545985651,13.6113,11.247725,14.7352,60.83225,23.67805,60.369,55.599625,63.263,75.05875,69.6042,23.5639474576271,41.9143588349515,20.5011,32.5636,14.81885,32.7112,13.39395,60.46995,1.44114771970396,1.58861721740425,1.77874946081603,1.58838306237226,0.83086331943445,0.667558881964804,"LUAD"
"ZNF275",0.833740420138475,0.980596055202397,0.997879228360253,0.991254485620125,0.971855703202864,0.981914390377389,0.991594110044735,0.926483620254885,0.966679749367532,0.999271429146792,668.61716443769,634.375346875,648.151787671233,759.4015,707.444881818182,15.6698223661456,25.0446014318796,36.625251485963,273.7556,89.4330269667936,473.757,478.2024,444.7174,622.5237,472.28645,833.8303,763.77895,819.7375,896.2793,826.32705,460.857720338983,661.765791067961,459.9849,617.6103,404.9979,518.19855,472.0819,824.3678,14.2020294627112,12.3800337003845,1.43594381055654,1.34267516172814,0.521999296641846,0.425110310536363,"LUAD"
"ZNF37A",0.0165999072124837,0.675731861131718,0.738168395497925,0.975903357545356,0.999988518950448,0.99681249595741,0.999503946037491,0.886880273572042,0.997611223078604,0.990637915441087,409.428195440729,348.471107291667,380.505706849315,338.3026,398.190672727273,9.24143945547384,17.540326079221,19.2179495088282,47.089,62.9552571024881,302.8564,234.364475,242.8527,314.7581,261.87735,503.8226,420.486325,470.4074,361.8471,460.41055,435.568544067797,393.175270679612,447.8479,380.0486,377.49535,538.2368,278.6394,492.54295,17.2785438303048,7.46779594663804,0.902671407369614,0.848610878827388,-0.147727184957428,-0.236824921408699,"LUAD"
"ZNF510",0.814300906467628,0.371121907524546,0.957706405291419,0.996097809889055,0.982974790203747,0.958648750637358,0.780590472671062,0.562202270939249,0.368435799920284,0.999955227340522,222.168291793313,213.310357291667,205.722646575342,240.52225,246.941218181818,3.74798043839131,8.24678646813142,7.55106584102326,34.34565,24.9211277668999,174.9599,158.1258,162.2171,223.349425,199.8063,261.1997,248.094125,239.8661,257.695075,269.4394,245.000520338983,218.673661359223,246.682,207.3411,209.0403,283.45695,170.8333,256.27905,6.53568638906336,3.09888522800034,0.892543660954949,0.840519778500255,-0.164005351064932,-0.250646326575822,"LUAD"
"ZNF506",0.0544688664375812,0.869779857779735,0.74241534935599,0.817846791841964,0.556728104646669,0.727084802938322,0.997079428033082,0.965198719442206,0.99999630643249,0.790225604413295,341.829950759878,288.820969791667,320.69698630137,470.9522,324.165990909091,9.89776741225473,13.7513731314254,18.5052601249564,37.9378,54.9736371088616,234.4806,198.604175,215.1444,451.9833,151.76035,419.5602,363.7357,385.7548,489.9211,500.10955,356.756418644068,328.882010679612,365.6557,306.733,292.4497,414.441,223.09475,406.38075,10.4486230518397,7.48535448135741,0.921867115746932,0.838857427902806,-0.117369289210572,-0.253502463645337,"LUAD"
"ZNF324",0.388077417071989,0.151489561762617,0.97854827455691,0.995811584633968,0.964659011928276,0.935498665746198,0.997834654716456,0.876236339301419,0.743606541706585,0.999483924379083,158.484836170213,147.439715625,142.647949315069,172.7145,163.674827272727,2.95588260555084,5.42392813335108,6.56709562063965,6.92880000000001,11.511375596127,121.9927,110.189025,104.485,169.2501,134.51975,190.9341,186.476425,163.5338,176.1789,192.76455,188.569693220339,154.293960194175,183.2669,150.3958,166.02325,208.2356,115.23895,186.15155,5.15011451288192,2.36129950391085,0.818233076371854,0.820638096677578,-0.289416236770265,-0.285181964527202,"LUAD"
