"gene","p-adj-Stage IA-Stage I","p-adj-Stage IB-Stage I","p-adj-Stage IB-Stage IA","p-adj-Stage II-Stage I","p-adj-Stage II-Stage IA","p-adj-Stage II-Stage IB","p-adj-Stage IIA-Stage I","p-adj-Stage IIA-Stage IA","p-adj-Stage IIA-Stage IB","p-adj-Stage IIA-Stage II","p-adj-Stage IIB-Stage I","p-adj-Stage IIB-Stage IA","p-adj-Stage IIB-Stage IB","p-adj-Stage IIB-Stage II","p-adj-Stage IIB-Stage IIA","p-adj-Stage IIIA-Stage I","p-adj-Stage IIIA-Stage IA","p-adj-Stage IIIA-Stage IB","p-adj-Stage IIIA-Stage II","p-adj-Stage IIIA-Stage IIA","p-adj-Stage IIIA-Stage IIB","p-adj-Stage IIIB-Stage I","p-adj-Stage IIIB-Stage IA","p-adj-Stage IIIB-Stage IB","p-adj-Stage IIIB-Stage II","p-adj-Stage IIIB-Stage IIA","p-adj-Stage IIIB-Stage IIB","p-adj-Stage IIIB-Stage IIIA","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage IA","p-adj-Stage IV-Stage IB","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage IIA","p-adj-Stage IV-Stage IIB","p-adj-Stage IV-Stage IIIA","p-adj-Stage IV-Stage IIIB","mean-Stage I","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IV","SEM-Stage I","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IV","Q1-Stage I","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IV","Q3-Stage I","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IV","count-Stage I","count-Stage IA","count-Stage IB","count-Stage II","count-Stage IIA","count-Stage IIB","count-Stage IIIA","count-Stage IIIB","count-Stage IV"
"ZNF195",0.948758618596908,0.998902131364609,0.634121814046833,0.980308910953892,0.999498409914317,0.995336219294052,0.995412519767222,0.992746418658053,0.999938349102358,0.99770554862498,0.679677466089233,0.734678044220047,0.0272224172386141,0.999990404920135,0.416616604516091,0.957702935810811,0.999999999997141,0.846395376919821,0.99945997854423,0.997508557389864,0.822806745975897,0.99660206801904,0.999995619704466,0.999984435767284,0.998831676083029,0.999999996199132,0.974156468530011,0.999998163631904,0.977101959415055,0.999999998276287,0.990506224873761,0.999389031402933,0.999881478548388,0.95290226314535,0.999999999943331,0.999999851160068,454.997833333333,372.085651145038,408.699599285714,271.9355,396.26001,331.667973972603,373.397212328767,388.927809090909,376.366215384615,69.6559002752754,11.7659576534928,14.8462357671857,NA,26.392599585111,18.4798941025588,18.0069551829998,74.6807739184,24.7473755723301,319.018325,282.71375,286.899,271.9355,263.83825,216.2376,272.7997,231.73435,284.622325,600.510025,445.37325,495.742725,271.9355,492.818175,379.9123,447.2808,461.0327,433.20965,6,131,140,1,50,73,73,11,26
"ZNF263",0.99999485839073,0.998201150325926,0.910073895242973,1,0.99999999949452,0.999999119638346,0.962873073013859,0.420373904079553,0.958048970715665,0.999942871915635,0.947050775903982,0.174709876118102,0.84779499732544,0.999916348526425,0.999999998407605,0.969405977070125,0.335086512075994,0.958053214212204,0.999961090124082,0.999999997070116,0.999998792096683,0.895271113355787,0.668132926030125,0.93249701827722,0.999292782264662,0.999444341172965,0.999703116223524,0.99847253013494,0.999478135829889,0.999264228144387,0.999999998563487,0.999999644553076,0.991859033157488,0.978004215755685,0.994526193306935,0.956415995603485,752.218366666667,724.701981679389,692.534085714286,745.3557,654.49,650.12871369863,659.197873972603,613.942481818182,697.542523076923,125.677040894967,21.2028641742073,15.1499740960409,NA,22.1287223273416,18.7604803177295,21.2650715803199,55.244283876965,27.3255021368432,554.831525,584.5599,572.002175,745.3557,543.4165,547.4777,544.5023,467.9147,600.04795,1001.774125,825.1828,788.274975,745.3557,717.9657,715.5776,735.4948,738.05645,810.40905,6,131,140,1,50,73,73,11,26
"ZNF200",0.999657920288771,0.999747061054354,0.999999999930159,0.999453191800932,0.999968374100493,0.999962161128851,0.996185487893394,0.999213709352687,0.998414498973297,0.999996900099227,0.974061813314084,0.847221293463665,0.802031922763063,0.999999891163743,0.999550918310696,0.99998526447747,0.999794173147197,0.999918459695605,0.999886102630654,0.982413798221417,0.666138847198955,0.999999999998666,0.994599134493047,0.995761845142471,0.999080977862359,0.967110037816044,0.843684231844568,0.999646780107947,0.999992070412161,0.999986286006866,0.999994789211166,0.999892100211487,0.996966523604515,0.921044289398432,1,0.999855860495871,242.56025,223.10856870229,223.906172142857,188.9443,214.438056,205.56558630137,229.466475342466,244.600736363636,229.666876923077,42.5107739852283,7.05344991727043,6.15852168952923,NA,9.47622350729129,7.41413983074025,12.3661770837442,22.1103256901068,14.6692413901022,170.508525,169.9122,182.19665,188.9443,169.759875,164.8704,166.2779,193.3497,172.57455,245.262125,244.6607,248.429625,188.9443,236.7329,235.5129,246.1153,300.83915,270.84335,6,131,140,1,50,73,73,11,26
"ZNF582",0.999665796839499,0.999999237965338,0.974077204870856,0.999951205659643,0.998292839661389,0.999603269497394,0.999999999999182,0.805346067380496,0.996810606781568,0.999941422184518,0.999999987992825,0.449491290926406,0.948401885948496,0.999972914498082,0.99999951111718,1,0.705557801469627,0.994852715849924,0.999931728417559,0.999999999999721,0.999996112367346,0.999999999110247,0.988783716824306,0.999820700909965,0.999975897805702,0.999999999270063,1,0.999999995582202,1,0.977214024785804,0.999949384970467,0.999906300623752,0.999999994778177,0.999993085921327,0.999999999014782,0.999999926010894,29.5499333333333,34.6329664122137,31.8575321428571,19.3537,29.117864,28.1573698630137,29.2847616438356,28.3493727272727,29.8319653846154,4.11529572997022,1.59644177365077,2.04118352016246,NA,3.07155777377919,2.00989662351411,2.72771875197026,5.99759113826832,2.407565269555,26.23335,19.23765,14.79595,19.3537,15.633325,14.6252,14.1958,17.0447,21.291525,37.2093,43.6426,41.0876,19.3537,39.541325,37.292,37.6147,42.46025,39.97635,6,131,140,1,50,73,73,11,26
"ZNF285",0.999964020566612,0.999999991726459,0.987192229827973,0.999999455198546,0.999999999821406,0.99999987374607,1,0.958208748582496,0.999931565680658,0.999998578994135,0.991161252039608,0.875164603212097,0.342995552034072,0.999999998809018,0.383382562522771,0.999647017486842,0.999938478757286,0.930210014789682,1,0.876914968762375,0.994340706132046,0.999999999999611,0.999254570854126,0.999999069761837,0.999998673807411,1,0.933414007446847,0.995334200392707,0.999995274303357,0.825897065864924,0.985062402786759,0.99997333722868,0.999743116063091,0.287488988416751,0.704358264208372,0.999991939515127,47.3254,40.7607175572519,45.0644328571429,37.3952,47.881792,33.1136863013699,38.2976506849315,48.1453636363636,52.8071,15.6474202114172,2.88080757286068,3.22616306206081,NA,5.73500494185993,3.46052384846246,4.11853025561914,14.5417352230385,8.05512703726782,19.107925,14.48115,14.17755,37.3952,18.462375,8.7445,13.5118,5.11015,20.0805,71.216125,62.64635,68.1965,37.3952,57.633875,46.6948,51.6917,78.22295,65.4033,6,131,140,1,50,73,73,11,26
"ZNF275",0.998657446916325,0.99904832963647,0.999999998943095,0.259948045096223,0.084061174253214,0.0871280291397897,0.999997852608243,0.986656904940786,0.992175051682439,0.133572294195871,0.994328731579726,0.99989128516904,0.999557679208362,0.0704969141403696,0.931431858469124,0.996051849711611,0.999988975720471,0.999929153752471,0.0742641796473212,0.957277315542879,0.999999999057146,0.940632117928445,0.973622920006715,0.96583601412641,0.0454364437068074,0.838806134355667,0.99547820678689,0.99284550200546,0.968710825422319,0.984460262625799,0.976078351133131,0.0522697981251691,0.814531722324491,0.999431417851832,0.998598296090367,0.999992421330397,745.5319,662.602885496183,666.567934285714,1486.2962,708.71752,641.936021917808,647.258342465753,565.609027272727,601.619896153846,68.2903967319466,21.761253553372,27.1341950229953,NA,33.9465662422726,29.4824847184981,35.6950332404285,100.192441804768,50.2309219232038,614.401975,508.95715,442.286175,1486.2962,517.87125,461.5385,444.7174,378.88475,402.478175,809.962325,811.67225,822.102575,1486.2962,886.1062,804.1667,819.7375,723.45085,663.092475,6,131,140,1,50,73,73,11,26
"ZNF37A",0.997578800792138,0.997893704392678,0.99999999999735,0.998512296836217,0.974875504252916,0.975774391146027,0.996484256903158,0.99999997045822,0.999999837748773,0.971535466627213,0.999999826571863,0.826266661995504,0.840509993011844,0.994583956479268,0.897306569903386,0.999948460490804,0.994366563516186,0.995795616903052,0.988739300378945,0.995101104079363,0.99956412632985,0.995549672085634,0.999995482947054,0.999992528146681,0.965604198247316,0.999999786473484,0.982973056439242,0.998539105157175,0.999076459441932,0.999999999959833,0.99999999999945,0.979195242481994,0.999999947255519,0.991529486394428,0.999921883112293,0.999995088876751,347.793233333333,402.543590839695,401.400250714286,215.5146,407.55004,363.780047945205,380.910906849315,420.420045454545,399.716926923077,71.1930382785549,13.7120994470766,14.8879519610093,NA,24.7928803527841,19.7630676181838,19.8399636453893,54.6191591613758,37.5917756834479,340.46195,299.9664,269.192325,215.5146,298.27135,268.232,242.5573,330.35605,270.68525,425.545075,492.54295,503.144375,215.5146,500.57055,432.9018,497.2178,502.1818,477.233525,6,131,140,1,50,73,73,11,26
"ZNF510",0.999522993250069,0.999964632097446,0.999508862891948,0.999519683484094,0.991862290233661,0.995418400549773,0.999999729898246,0.990672333123804,0.999913286184387,0.997823343983185,0.999999999995002,0.81224805753632,0.97632759382617,0.998943938996599,0.999977024954143,0.999999999919556,0.540689892179231,0.851674212685028,0.999463739988185,0.998080275619792,0.999990197367906,0.999994471626033,0.999999307112968,1,0.996736432069398,0.999999834879784,0.999946471646249,0.999291494422155,0.949936524708223,0.899571639249212,0.712312657691368,0.956529540758153,0.62550044529574,0.328670575285184,0.191905621362398,0.979121852639583,207.868116666667,225.942883969466,220.659343571429,161.0619,214.97587,209.650278082192,205.348149315068,220.124363636364,247.006546153846,14.2754942607583,6.18751425468997,5.41352430072981,NA,9.43005914393393,8.27894796003839,8.08980554274371,30.9934627507986,18.6919714670824,191.47425,171.5441,176.244225,161.0619,174.76665,160.4119,157.7935,158.65005,173.469225,225.962625,264.90795,247.509475,161.0619,246.791575,247.968,239.8661,247.4031,292.634475,6,131,140,1,50,73,73,11,26
"ZNF506",0.976890876103562,0.749131308968619,0.470285291289207,0.969172281826543,0.997617203105686,0.999876539850994,0.441785687436314,0.0985352239499179,0.918119422566023,0.999998459857779,0.55298654540925,0.153486053962819,0.989890251660633,0.99998877487412,0.999948798278621,0.677522524159207,0.428766731037612,0.999973869509446,0.999953503074726,0.99416905520382,0.999944763185569,0.787615888711066,0.956383497519562,0.9999864634847,0.999988255481318,0.99999799042352,0.999999999998652,0.999999956556863,0.660402422405242,0.704898370341647,0.999707711844351,0.999986447153653,0.999979858267753,0.999999999993708,0.999999065886114,1,445.575083333333,369.678883969466,326.587845714286,239.7887,289.371232,303.515719178082,316.396387671233,306.284263636364,305.874365384615,120.165128394193,16.8191981740952,13.2282451570944,NA,19.977280830725,19.3782955528055,18.7150200056132,43.9961442345933,29.3702124411185,282.00495,268.4666,221.89455,239.7887,202.379275,200.5155,203.2164,206.5686,204.04005,421.5225,436.6217,420.67345,239.7887,369.082525,345.0226,376.2079,412.96845,413.426825,6,131,140,1,50,73,73,11,26
"ZNF324",0.99289613466203,0.997627316965694,0.99994868688745,0.999958258139094,0.999999999535419,0.999999986356343,0.960816008624458,0.996838258836231,0.966882688321891,1,0.829615010211406,0.585414592210083,0.314731976416029,0.999999970635407,0.99626892909,0.894191803818152,0.844464676234106,0.595696206391665,0.999999998965679,0.999917898730537,0.999990325734263,0.554362859039765,0.535591916310029,0.410567196836823,0.999893798805849,0.856744183160218,0.977380039162521,0.940854676748971,0.980894052132118,0.999947624429736,0.998471797344925,1,0.999999994706159,0.996570881546774,0.999814451477213,0.863640098778222,178.958083333333,158.834870992366,161.814082142857,153.1892,151.713826,143.660809589041,146.929146575342,125.028236363636,153.558853846154,14.4262059376543,4.42547352239341,4.86732408735821,NA,6.17947588382824,6.35402341717236,6.55837731629031,12.6681260122853,11.6225527215248,168.628025,124.1595,124.05815,153.1892,128.20515,107.4286,104.6529,109.19145,113.742625,207.26905,195.859,191.06315,153.1892,185.50785,183.3333,164.8493,154.3214,185.617525,6,131,140,1,50,73,73,11,26
