"gene","Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","Cluster 14 (HNSC)-BRCA CIMP c7","Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","Cluster 5-BRCA CIMP c7","Cluster 5-Cluster 13 (HNSC-LUSC)","Cluster 5-Cluster 14 (HNSC)","Cluster 6-BRCA CIMP c7","Cluster 6-Cluster 13 (HNSC-LUSC)","Cluster 6-Cluster 14 (HNSC)","Cluster 6-Cluster 5","Low purity c2-BRCA CIMP c7","Low purity c2-Cluster 13 (HNSC-LUSC)","Low purity c2-Cluster 14 (HNSC)","Low purity c2-Cluster 5","Low purity c2-Cluster 6","OV-like c1-BRCA CIMP c7","OV-like c1-Cluster 13 (HNSC-LUSC)","OV-like c1-Cluster 14 (HNSC)","OV-like c1-Cluster 5","OV-like c1-Cluster 6","OV-like c1-Low purity c2","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","mean-OV-like c1","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","SEM-OV-like c1","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q1-OV-like c1","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2","Q3-OV-like c1"
"ZNF195",0.999999023739896,0.9999337665094,0.996419639407363,0.983436494662979,0.52415355203193,0.820454606224712,0.976426983710734,0.783214744001336,0.996545594300033,0.304021648142676,0.999997998688725,0.99999999399736,0.997678456353331,0.959586986648603,0.86413214732213,0.886748339073781,0.856278096704344,0.772428484616185,0.969283555071605,0.531985850702466,0.88810471620271,306.33385,313.133748175182,288.564053846154,343.115055629139,255.571569230769,315.000885185185,417.297766666667,41.6272704728957,10.735980638448,36.4184524187252,11.5527292642049,40.1329026519522,31.1690815998254,170.782920839159,201.022025,223.5189,166.1595,236.76695,156.4596,202.5008,248.30555,378.10905,369.7784,428.4284,422.0075,263.4989,346.54325,523.1557
"ZNF263",0.982004029232544,0.761237219547573,0.893987249489483,0.653331195699636,0.269482229747583,0.999956511807853,0.29266998496435,0.261927329977563,0.985701983659462,0.823424903574949,0.74247559184878,0.824250434843939,0.999996574309611,0.99999994021572,0.926419910976112,0.998100746518295,0.999998961221459,0.999653387677254,0.99993489110751,0.973897970757945,0.999906211531823,779.75065,715.41104890511,632.752030769231,652.260176821192,559.054884615385,647.594296296296,694.404166666667,82.801205228879,17.217638746836,67.6142476176334,22.8391217339833,43.9536094779497,28.8012929990976,24.6457216734354,586.15055,560.0951,386.4215,490.32365,469.6328,553.20845,669.7732,974.77325,849.2228,815.3659,739.1486,603.5646,717.1635,707.4581
"ZNF200",0.910786839871918,0.999432644685798,0.994502935118439,0.622963036746345,0.758850157260539,0.866540847927803,0.776217909556817,0.985446844809765,0.934470160966058,0.999995378548242,0.879905521332411,0.999770156672581,0.984437603624044,0.999343845037443,0.999390893918995,0.977337075091913,0.999897460129665,0.996802389551987,0.999999999929339,0.999999995931677,0.999996619459325,308.16427,270.107187591241,289.451876923077,252.560741059603,246.889923076923,262.09472962963,250.765733333333,37.8529956992282,7.70098313514914,36.1707824569779,8.15652293892675,24.5058786215758,26.0368136793948,33.823975722473,238.979075,218.3043,197.6744,187.84035,183.9187,189.52775,219.43455,348.230875,317.3662,366.0446,292.13735,294.0951,257.47305,277.46825
"ZNF582",0.999972754391748,0.999998077459279,0.998216029487045,0.80185418534391,0.0296547810673152,0.531483030779118,0.801151371585663,0.593593468966729,0.628149442339663,0.999304815873793,0.143899481597889,0.00108583958848874,0.0441305113145961,0.229612330401049,0.940608602646944,0.999953131256197,0.999167513141232,0.999996537408822,0.925162975765113,0.887729591434694,0.50527530740836,17.95313,19.8334255474453,16.4078923076923,27.9415622516556,30.8318,38.6121148148148,13.8106666666667,6.5219632524613,1.66782335552738,6.54480401750084,1.86451806338986,7.25601231592437,4.82337650722473,4.40445327455949,4.2086,7.5188,7.6118,9.81015,10.1054,22.51425,9.55225,26.457475,26.2128,15.3061,42.79745,43.7461,51.6332,16.91395
"ZNF285",0.979764792083097,0.998644006147059,0.999992801141386,0.996643241615248,0.00136053160060945,0.784171020924116,0.831494303210243,0.059885439582919,0.42219644761428,0.86524620340321,0.955631886564812,0.0381111752457175,0.597455686068186,0.983721293221314,0.997208418065136,0.00250995686233457,4.09568430780327e-05,0.000421629163994797,0.00135054757067643,0.0347289547443529,0.00716894906807508,25.74034,16.9842598540146,18.9071384615385,31.9769251655629,43.5679461538462,37.3310444444444,106.098366666667,8.59908655503207,1.8911621553789,6.36607030321325,2.52461682016932,13.3816509618468,7.21519685380086,97.9328555861333,1.818425,4.3908,5.7088,8.28265,15.1569,10.6267,8.17135,38.048475,23.0829,20.7135,47.52925,38.6793,60.6056,155.988
"ZNF275",0.989154311631738,0.374665869442388,0.326725947191453,0.834154325810443,0.672841099557593,0.745953067306241,0.427737894651897,0.400299141845328,0.999999951293526,0.815045055247445,0.999999999606262,0.878114929880855,0.123037783596224,0.319564049177402,0.157180971424442,0.681744545776859,0.809954908565708,0.999953073820198,0.939435582333404,0.999867579162545,0.578349849802747,750.65089,679.445594160584,498.947361538462,624.288987417219,509.268307692308,755.011559259259,445.5485,106.48175276047,23.6008800912099,63.8724677427853,23.3739701770324,47.5109197733376,78.335505020504,37.2055762002149,510.8592,508.3488,425.7862,442.17505,385.5739,523.2198,416.17805,958.02835,829.1547,608.1375,764.5153,573.1415,936.199,480.0131
"ZNF37A",0.613083846004005,0.368109813277252,0.931624276644898,0.724019259023788,0.998993379091909,0.855902649453636,0.303943377596055,0.874426152912433,0.999999750675429,0.772343598817034,0.773883225149661,0.999999896739277,0.954029165182456,0.99999780973609,0.916043924878427,0.994608534199212,0.999992056504459,0.993262487192487,0.999999803429268,0.988434927445686,0.999998019510757,434.52376,341.456315328467,288.883492307692,351.053746357616,281.079346153846,345.071951851852,362.2027,38.3071586917473,14.5883544971888,52.7020062071042,14.0051929781023,27.8433759400541,25.473600813823,118.581220407041,384.49815,222.3433,178.2242,227.6653,201.9739,255.16105,274.24815,513.8265,436.9218,334.9649,451.86045,329.9268,406.8903,475.0576
"ZNF510",0.99999925165971,0.992351912429356,0.978402129964736,0.8752640060802,0.0390967152819471,0.999744232932495,0.790928085768445,0.48449015800238,0.987764012392439,0.994676076179418,0.999005818344032,0.995682740813301,0.999870826804788,0.932223457557026,0.880116900943849,0.999993677539991,0.999998986046708,0.99997922154182,0.999224569497762,0.991240324592459,0.999999985528774,233.57746,229.679824817518,209.049476923077,199.829047682119,184.064684615385,218.627377777778,222.372866666667,26.0909491326833,6.65189802087744,26.3287820377102,7.12953055807147,16.5400507927353,15.68900712937,64.1651216417542,167.346125,174.8282,133.8801,141.38255,151.9296,184.6389,159.0474,303.949875,281.6181,277.8306,239.765,226.6147,234.7079,262.99585
"ZNF506",0.999078429546087,0.968716515981869,0.494786453347126,0.985508046837847,0.977859576780873,0.277133189610956,0.999846884335695,0.999999999908554,0.818664498256759,0.999748094937158,0.63455056909716,0.301638303166547,0.0473819541452066,0.600395382345587,0.804001308804612,0.999999960870664,0.999997876190772,0.992758940830518,0.999863493080821,0.999999318260674,0.968744481282981,219.69284,248.320603649635,149.099446153846,266.804918543046,246.637161538462,332.302337037037,230.182166666667,51.4040716675725,11.3479109489789,35.494970218499,14.9051147713655,46.1370592425585,68.1290028930702,51.1687073392952,80.785775,141.6791,90.7029,147.75365,182.2458,182.79325,185.87235,308.4097,327.9007,124.123,332.59185,272.0109,335.45245,274.49915
"ZNF324",0.260000905918561,0.493792201672706,0.999998484812519,0.884176339858909,0.0565723873835572,0.825227037382222,0.625541316991026,0.999999722790883,0.999992880641269,0.936307720872482,0.571597532790912,0.999508150034762,0.999642891694888,0.887852677007578,0.999998327507759,0.998344630911044,0.993885227759453,0.993205823694593,0.999999969107057,0.997818427790612,0.998871367516341,244.96878,182.919772262774,179.014053846154,211.642617218543,185.858930769231,190.478003703704,215.735533333333,41.7206091652416,5.96660795796739,23.0094272215442,7.31558965408782,32.8964116412265,13.1917956888243,24.0817233948855,157.1586,129.8976,106.3174,153.81745,131.8554,135.5325,191.74985,274.413975,221.3369,236.9131,263.7379,211.5358,240.3255,229.5891
