"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.161240193706758,351.021507874016,330.655051239669,14.172068990241,7.01169574013214,234.779,236.76695,432.72745,409.02765,241.727603921569,338.166356087824,222.1543,309.8748,201.1448,267.70015,236.8272,421.5328,9.41529663257344,6.3279066606878,1.39895630702378,1.39486293985757,0.484350904157786,0.480123368862845,"LUSC"
"ZNF263",0.233360054531045,662.957736220472,690.793080991736,19.382607088093,12.0161280882667,502.81245,547.73935,773.4869,800.63965,605.273164705882,684.95723253493,594.6574,654.1238,542.90075,638.36625,532.9194,801.374,12.8047838299144,10.1969854313814,1.13164976158784,1.10000110988277,0.178427522300646,0.137504979405894,"LUSC"
"ZNF200",0.277419382096568,252.645712598425,263.447004132231,7.12818182233895,5.31880743105007,191.0038,198.89295,300.6843,300.8966,178.098639215686,261.302567065868,174.2531,243.7766,154.6565,195.82715,197.3607,303.6791,4.50819892890422,4.29007002046408,1.46717890836559,1.39897998945212,0.553044804531512,0.484375326816711,"LUSC"
"ZNF582",0.546177712136921,24.7650244094488,23.3857597796143,1.8319009814654,1.18902898174331,9.23525,7.4714,34.96915,32.4207,47.7748274509804,23.7369403193613,45.1848,16.7226,41.4716,52.4731,7.6845,33.2266,1.75277275856548,0.98221338752312,0.496850362122536,0.370093482764115,-1.00911667837015,-1.43403836445506,"LUSC"
"ZNF285",0.42678060627351,29.1236448818898,26.453796969697,3.38508720832952,1.59418232667053,6.51345,5.67575,43.40925,36.8413,24.6475274509804,26.9293349301397,21.3186,13.683,16.76855,29.71745,5.7088,38.1075,1.96949438231671,1.44443993347607,1.09257754083842,0.641833891531339,0.127735672232334,-0.639728122884916,"LUSC"
"ZNF275",0.461153340468556,672.751782677165,649.778874104683,28.4322484979453,15.5096574486752,496.24835,455.76455,818.9641,805.59485,532.972317647059,656.453248902196,518.0983,604.8238,458.84485,603.9101,459.8237,811.2324,19.474215089096,13.432137895476,1.23168357373658,1.16739197947571,0.300631667367595,0.223289061382842,"LUSC"
"ZNF37A",0.264940330415181,351.077136220472,371.219683195592,15.2653653478032,9.24272291363437,222.6502,251.2779,464.69965,456.68815,429.212143137255,366.62439261477,422.2607,346.4254,360.6564,511.86965,244.4874,462.0419,14.9803571813225,7.78913412539309,0.854179916567575,0.820406445591551,-0.227388117077036,-0.285589268371357,"LUSC"
"ZNF510",0.0326544150525229,223.556951181102,205.020362534435,9.19563246765665,3.98230818527849,150.803,146.95925,280.30645,246.4338,242.526274509804,210.766197804391,229.3941,195.8078,201.8199,289.9556,147.6839,256.1983,8.97830036059791,3.79144473162586,0.869044800322743,0.853586905678917,-0.202497543236108,-0.228390050000784,"LUSC"
"ZNF506",0.251489665211746,272.584916535433,251.291390909091,16.8390447589191,9.2550718649121,157.5431,137.5078,335.1222,320.4888,344.055298039216,258.25356746507,326.9339,228.8877,304.1673,374.3116,141.5482,329.3819,9.6730350538393,8.00471811097563,0.750616453043644,0.700103904795434,-0.413852181342032,-0.514359041674407,"LUSC"
"ZNF324",0.0877710513016506,211.72498503937,196.949118732782,6.77721674721574,4.52468567397332,155.35385,134.8878,261.3127,241.6287,187.308268627451,200.487798003992,177.3434,187.1243,156.7911,213.5897,136.8217,247.6297,6.59728680814302,3.82496572434373,1.07036277401482,1.05515232030061,0.0980998466916858,0.0774512793874692,"LUSC"
"ZNF671",0.0143512192648884,85.6270047244094,69.972203030303,5.50662314392098,3.23879920052012,36.91755,30.72185,113.6812,92.59,158.140737254902,73.6373229540918,154.9725,56.3155,123.6076,185.50275,32.6072,95.7018,7.69702790101756,2.76076819244715,0.465644237103803,0.363390278920454,-1.10269997130903,-1.46040826843817,"LUSC"
"ZNF416",0.0712508567456741,138.420426771654,127.686248484848,4.91762726786632,3.06159076590104,96.44355,84.77535,174.1878,160.51225,99.4517215686274,130.665683033932,96.1806,120.0361,82.2187,112.90775,87.5086,165.7235,3.63339068680149,2.70304774387857,1.31386044377085,1.24802818863679,0.393812042956898,0.31965052005532,"LUSC"
"ZNF586",0.0510514318484329,189.556071653543,170.855348209366,9.45713073897902,4.58808282213279,123.41455,110.2054,233.6279,214.15355,162.791260784314,176.5297750499,152.731,160.1475,126.78645,190.5124,114.1104,220.8378,5.89771267063206,4.28254556579236,1.08439343856295,1.04855923159018,0.116888288869847,0.0684083594867821,"LUSC"
"ZNF446",0.400990216815233,226.766695275591,218.026596143251,8.21129508726698,5.43714521771744,164.1203,153.6044,277.26655,263.2831,182.611174509804,221.492848103792,174.5638,202.4575,150.78335,214.4164,155.4752,266.6211,7.09752427078893,4.73864634569535,1.21292056030175,1.15979086156465,0.278485064875813,0.213864675882257,"LUSC"
