"gene","YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.926006305414917,338.665304313725,337.112145918367,8.46141275024759,15.5635820994974,236.17535,243.00105,427.32075,385.473575,241.727603921569,338.166356087824,222.1543,309.8748,201.1448,267.70015,236.8272,421.5328,9.41529663257344,6.3279066606878,1.39895630702378,1.39486293985757,0.484350904157786,0.480123368862845,"LUSC"
"ZNF263",0.984805130867749,684.347037647059,684.810073469388,13.2503761143994,18.6184335163259,529.73525,559.6895,812.4462,805.909875,605.273164705882,684.95723253493,594.6574,654.1238,542.90075,638.36625,532.9194,801.374,12.8047838299144,10.1969854313814,1.13164976158784,1.10000110988277,0.178427522300646,0.137504979405894,"LUSC"
"ZNF200",0.564507227624368,258.389359607843,252.299557142857,5.59076805282697,8.86013227931537,194.1563,195.965425,295.50605,296.01985,178.098639215686,261.302567065868,174.2531,243.7766,154.6565,195.82715,197.3607,303.6791,4.50819892890422,4.29007002046408,1.46717890836559,1.39897998945212,0.553044804531512,0.484375326816711,"LUSC"
"ZNF582",0.769333528371647,23.8269380392157,24.6058142857143,1.32513807685649,2.53915868032818,7.99845,6.00745,34.247,35.543525,47.7748274509804,23.7369403193613,45.1848,16.7226,41.4716,52.4731,7.6845,33.2266,1.75277275856548,0.98221338752312,0.496850362122536,0.370093482764115,-1.00911667837015,-1.43403836445506,"LUSC"
"ZNF285",0.31283753425545,27.2015498039216,31.2997540816327,2.14921552850519,3.39139499148986,5.37795,6.2745,37.2183,44.105375,24.6475274509804,26.9293349301397,21.3186,13.683,16.76855,29.71745,5.7088,38.1075,1.96949438231671,1.44443993347607,1.09257754083842,0.641833891531339,0.127735672232334,-0.639728122884916,"LUSC"
"ZNF275",0.417613595272075,657.212220392157,687.948089795918,18.9904916729788,35.9495716831911,471.5297,462.510825,806.04155,812.583375,532.972317647059,656.453248902196,518.0983,604.8238,458.84485,603.9101,459.8237,811.2324,19.474215089096,13.432137895476,1.23168357373658,1.16739197947571,0.300631667367595,0.223289061382842,"LUSC"
"ZNF37A",0.638502322674346,380.243362352941,370.432279591837,11.6811418550598,14.4343581430451,255.2869,278.558475,465.8835,446.08625,429.212143137255,366.62439261477,422.2607,346.4254,360.6564,511.86965,244.4874,462.0419,14.9803571813225,7.78913412539309,0.854179916567575,0.820406445591551,-0.227388117077036,-0.285589268371357,"LUSC"
"ZNF510",0.0939440749106829,201.9004,218.942047959184,5.32417561171726,8.71703477495897,137.8924,158.82925,250.14645,259.950575,242.526274509804,210.766197804391,229.3941,195.8078,201.8199,289.9556,147.6839,256.1983,8.97830036059791,3.79144473162586,0.869044800322743,0.853586905678917,-0.202497543236108,-0.228390050000784,"LUSC"
"ZNF506",0.715018188217531,257.371664313725,249.417160204082,11.9270832762868,16.4123241559625,154.5403,124.43065,317.8959,332.213075,344.055298039216,258.25356746507,326.9339,228.8877,304.1673,374.3116,141.5482,329.3819,9.6730350538393,8.00471811097563,0.750616453043644,0.700103904795434,-0.413852181342032,-0.514359041674407,"LUSC"
"ZNF324",0.680636352765461,207.405108235294,211.593698979592,5.47639053615881,8.11844733113251,139.89555,142.334525,254.41405,262.092975,187.308268627451,200.487798003992,177.3434,187.1243,156.7911,213.5897,136.8217,247.6297,6.59728680814302,3.82496572434373,1.07036277401482,1.05515232030061,0.0980998466916858,0.0774512793874692,"LUSC"
