"gene","M1-M0","M1a-M0","M1a-M1","M1b-M0","M1b-M1","M1b-M1a","MX-M0","MX-M1","MX-M1a","MX-M1b","mean-M0","mean-M1","mean-M1a","mean-M1b","mean-MX","SEM-M0","SEM-M1","SEM-M1a","SEM-M1b","SEM-MX","Q1-M0","Q1-M1","Q1-M1a","Q1-M1b","Q1-MX","Q3-M0","Q3-M1","Q3-M1a","Q3-M1b","Q3-MX"
"ZNF195",0.84749580501275,0.964559589051378,0.999731064004274,0.973942273252601,0.867397567287905,0.897703309762352,0.987135921868457,0.791877711790336,0.95186562876839,0.982974077809245,335.606142288557,270.9175,242.0901,421.5328,344.534152,6.78217825373456,71.5397532875254,NA,NA,19.2304117596631,240.909525,180.2725,242.0901,421.5328,226.8681,410.375625,265.4606,242.0901,421.5328,429.87425
"ZNF263",0.842987704733956,0.699595278863067,0.943329111575611,0.989574101187002,0.912671755435243,0.72356091551757,0.999475422394094,0.826739912551371,0.686822990955362,0.991871468209479,684.089195771144,578.97116,390.9684,792.3054,690.396446666667,11.7001794951815,74.9258333231977,NA,NA,21.720976248748,530.5675,464.6973,390.9684,792.3054,538.7582,807.61895,699.1619,390.9684,792.3054,789.85665
"ZNF200",0.99033581335744,0.570538888142178,0.769016683140526,0.999826104044939,0.99999948516213,0.882915003434049,0.456227079938564,1,0.708414143844843,0.99999927777578,263.688602487562,243.4652,119.8466,247.5669,243.464726666667,5.0275045582279,45.9084394507807,NA,NA,7.89530761941623,197.21835,236.2907,119.8466,247.5669,194.5305,304.75415,299.0585,119.8466,247.5669,268.7731
"ZNF582",0.996823521529322,0.951491448243758,0.929717128434247,0.998736080083254,0.999968602553007,0.955123335044459,0.999999962113759,0.996944920906037,0.95299377471695,0.998717115153794,23.6900184079602,27.16904,7.6702,29.8054,23.6336746666667,1.10884082176918,11.5515739053429,NA,NA,2.4982738760647,7.61655,11.5075,7.6702,29.8054,7.73805,34.00435,28.979,7.6702,29.8054,32.73355
"ZNF285",0.000164624147442116,0.811530718928245,0.933912387634833,0.972916557502356,0.132410742107521,0.747717094319769,0.775716483790199,0.000964733271288654,0.881191930334139,0.943165577615433,25.8163778606965,88.62588,60.8821,6.0827,30.4914386666667,1.42548920378263,27.4955056960479,NA,NA,5.22481496377593,5.667325,27.4506,60.8821,6.0827,6.218,37.6689,124.387,60.8821,6.0827,38.5564
"ZNF275",0.86323612642647,0.986926447789632,0.999997522932189,0.999535807341513,0.975234574657421,0.986531313037869,0.334065065127619,0.584685277493213,0.948113850412421,0.99999995278879,647.399845024876,513.3398,494.2474,712.2871,718.803796,14.5201837877059,50.2982979327134,NA,NA,42.4995620945286,457.707525,476.6476,494.2474,712.2871,464.85905,805.13475,590.802,494.2474,712.2871,846.8374
"ZNF37A",0.977485304073143,0.965783669710913,0.918729764744526,0.624302100852378,0.547013284748171,0.984036323838223,0.642880424448087,0.879760797727888,0.989252611216936,0.736150534987842,361.376902487562,315.43022,476.0307,607.6642,391.681062666667,8.85947189037383,57.5909121036245,NA,NA,18.7390439573508,236.9509,242.9782,476.0307,607.6642,266.19995,454.498725,423.5792,476.0307,607.6642,483.73585
"ZNF510",0.973232086750812,0.860968424646405,0.966371006061187,0.999981538813767,0.997182471455361,0.940111162465316,0.256146040549221,0.999999086512044,0.949648948323788,0.996869436388141,213.379849004975,190.14354,129.9137,221.4112,191.889485333333,4.30434000408063,36.084813768961,NA,NA,8.50475874767285,147.988875,171.3143,129.9137,221.4112,135.8396,263.650875,241.8313,129.9137,221.4112,225.79785
"ZNF506",0.897505278062539,0.926877551614314,0.800618497412478,0.950087644945117,0.998325847588606,0.811718944259782,0.997208812086523,0.869893023641226,0.940309636197268,0.940291782029158,257.450057960199,330.6162,110.2589,389.2944,249.770642666667,8.30859351507293,100.064792459376,NA,NA,28.0526385951745,141.751275,230.2571,110.2589,389.2944,129.14535,328.0867,417.9435,110.2589,389.2944,314.77905
"ZNF324",0.177053289538229,0.912263211111796,0.999944605671799,0.84764606300024,0.999999957732472,0.999963101473184,0.135054324799992,0.043232357187131,0.782691274888449,0.689303826925055,198.394647014925,115.63818,127.0374,113.747,222.837832,4.15418804116095,14.9737872460644,NA,NA,9.73016479474496,137.587625,86.0255,127.0374,113.747,171.06295,243.739025,130.6286,127.0374,113.747,256.4612
"ZNF671",0.949206741888861,0.920440089272185,0.826247188350592,0.963840919874668,0.998065488971005,0.826930137413811,0.999631365539818,0.93989616336847,0.929677798105683,0.959441070864591,74.229639800995,53.7676,126.0786,32.8467,75.8068346666667,3.08634836029474,10.9141866963599,NA,NA,7.53737530682272,34.2628,37.1808,126.0786,32.8467,29.5537,95.6519,62.1404,126.0786,32.8467,107.87765
"ZNF416",0.996950204551956,0.999978796638975,0.999998360356367,0.871595088126004,0.947391284690407,0.973156274635598,0.826081649943569,0.9999988849684,0.999999666250322,0.922810107904751,131.23837039801,122.34836,125.5992,76.0341,123.593002666667,2.90086943774243,28.9585059762861,NA,NA,5.95850793380688,87.955325,90.9556,125.5992,76.0341,88.70895,167.044125,110.5662,125.5992,76.0341,152.4254
"ZNF586",0.867740616911822,0.999946351052796,0.998539450001994,0.681047323506542,0.496425100316389,0.846129078902395,0.99999998856801,0.879992664619439,0.99995058936596,0.684291093085454,174.919852736318,215.6002,186.4813,52.3114,175.09502,4.70423090678512,58.816767825757,NA,NA,9.56235750132441,114.4938,154.2002,186.4813,52.3114,112.79195,217.1837,241.2849,186.4813,52.3114,229.26375
"ZNF446",0.284934708607666,0.971969563980563,0.999253622666913,0.985689293432714,0.997284070630232,0.999993633918387,0.0205295367427974,0.0492300701876097,0.85678402633113,0.898883869415724,216.129032587065,127.60134,154.0316,164.337,254.500776,5.03432539775053,11.4984907368141,NA,NA,11.3435354623565,151.41895,103.7263,154.0316,164.337,176.9948,262.9495,138.7802,154.0316,164.337,303.14975
"ZNF8",0.888693119771042,0.98759986252148,0.999992372360878,0.997784017401622,0.999986506899791,0.999941226093938,0.960853329489405,0.815579944158169,0.97804567833797,0.994539565153826,114.29106641791,90.18228,85.3308,95.7786,119.260925333333,2.88776715269546,7.27028763897275,NA,NA,7.03929701461323,74.03355,77.4568,85.3308,95.7786,76.6031,142.6287,106.3041,85.3308,95.7786,137.18875
"ZNF264",0.999721399983167,0.999761298083979,0.999237230586278,0.985581982706438,0.981878902456339,0.999282432298787,0.999390850475803,0.99995207874455,0.999580363308994,0.982702314376515,644.409979104478,668.6563,592.5216,495.7421,652.66786,14.4676734789067,115.18742137451,NA,NA,31.2082968091045,430.6248,485.5105,592.5216,495.7421,499.0891,805.04985,803.3886,592.5216,495.7421,802.59185
"ZNF213",0.921607282997212,0.920060242059546,0.993390117872467,0.961504045230272,0.998698268784396,0.999964997695967,0.932783418516376,0.844555311247645,0.885890408004671,0.938686509468146,462.385428358209,393.29542,307.7661,336.983,480.846494666667,9.22381450621388,62.3671483786408,NA,NA,21.8169460003652,334.876025,283.9947,307.7661,336.983,369.9021,544.172225,470.6436,307.7661,336.983,555.3809
"ZNF343",0.967604446238377,0.988432398067609,0.953953239307383,0.920973264578353,0.844152698285274,0.999233543325433,0.49220374305396,0.823794642804402,0.998564063356557,0.97097425964466,300.502356965174,260.63862,367.6894,414.8418,328.320712,6.97542084214166,42.8611660524466,NA,NA,14.5070995450716,203.565725,196.7779,367.6894,414.8418,230.17015,363.8463,284.7394,367.6894,414.8418,382.8089
"ZNF302",0.886808340460424,0.87235513245893,0.987520406521395,0.687858877741261,0.515045969238548,0.494970057800706,0.999825857300861,0.912417571512563,0.883120025346164,0.679217636445448,422.040825621891,313.82682,172.0997,761.5572,416.589316,13.375726144586,66.6613924706152,NA,NA,24.6807028234406,271.9448,161.1047,172.0997,761.5572,272.67585,490.6557,430.6732,172.0997,761.5572,478.67955
"ZNF268",0.99999119539066,0.979592490561389,0.988551535492326,0.999925975181369,0.999868680824374,0.987576359157179,0.999998612244178,0.999984840392057,0.979168796053669,0.999940039110758,287.299035820896,291.8392,360.0192,270.073,286.49976,6.19079753568084,16.7514369729286,NA,NA,17.2056944127812,200.87145,262.3705,360.0192,270.073,174.17385,358.2612,315.2029,360.0192,270.073,341.80095
"ZNF184",0.960414708476166,0.993237288517792,0.999969621233251,0.988512306997272,0.999831490000968,0.999999082934633,0.752568853202521,0.997196077259363,0.998795941257179,0.99728029676179,257.730916169154,224.96704,212.3682,205.5961,241.630941333333,5.26059313967417,43.1051880084126,NA,NA,13.2199616158055,177.244875,143.8435,212.3682,205.5961,165.1138,306.702875,282.8134,212.3682,205.5961,283.9878
"ZNF500",0.888853074646827,0.992792204679062,0.999999985648385,0.999934541395414,0.999008733315027,0.999542793712502,0.824403797415825,0.758852510500525,0.980415918564481,0.998948382638351,223.032126368159,187.03102,185.5225,211.6788,234.671186666667,4.36160608559477,30.867063059828,NA,NA,9.77873707787607,163.1131,186.8034,185.5225,211.6788,181.1434,265.21305,195.7877,185.5225,211.6788,284.59605
"ZNF419",0.993886132449911,0.965224634542804,0.938984909127345,0.999882263847678,0.998044299705912,0.996468900730642,0.426934714361227,0.999996175827235,0.908541902331478,0.996228311533842,167.652408457711,183.04818,113.1352,155.1095,185.499145333333,3.97893936030773,38.7418017157359,NA,NA,11.266961328809,114.42865,122.5033,113.1352,155.1095,110.67245,205.0259,233.1699,113.1352,155.1095,232.472
"ZNF175",0.955244790960453,0.996140280111378,0.971062593589139,0.999966036127589,0.999717145329229,0.997187461460271,0.919723292237957,0.990782551870156,0.99006946360134,0.999999999742704,118.184415174129,98.50932,140.9396,111.3139,111.675773333333,3.10580771959985,18.0832326519735,NA,NA,7.09210816255108,74.171925,77.8449,140.9396,111.3139,70.9182,158.212575,119.9926,140.9396,111.3139,153.0431
"ZNF14",0.999999999993642,0.991434766393059,0.993982000840087,0.999984240375969,0.999989483458193,0.999071228561735,0.991906231538563,0.999955000946029,0.994945025360648,0.999999647049782,169.188427860697,169.08412,123.6817,159.9757,163.555877333333,4.60748228591907,45.9153020268559,NA,NA,15.8751380469695,111.67765,111.4579,123.6817,159.9757,110.64425,212.7099,218.202,123.6817,159.9757,184.45715
"ZNF85",0.978706044997597,0.92289579275064,0.985561317811046,0.947238091671906,0.892431312669045,0.802746480673855,0.890720193426056,0.997978599427938,0.955098712905582,0.914842531877484,71.4718380597015,53.29364,13.4228,123.4793,63.3739226666667,3.54911734628918,8.22241773255288,NA,NA,7.76284955895314,25.01,38.7873,13.4228,123.4793,23.64895,96.552575,56.9497,13.4228,123.4793,95.0722
"ZKSCAN1",0.996394613936068,0.969457524985048,0.950043360652575,0.99999544185432,0.999987134300451,0.987686803115043,0.190313153597712,0.999243224951349,0.895796746205695,0.999602991063229,791.460835323383,855.95514,538.8303,818.1265,900.391529333333,19.6732838153879,228.995359732912,NA,NA,47.2370681031452,531.728375,617.0308,538.8303,818.1265,652.92805,958.180775,1054.7123,538.8303,818.1265,1086.27985
"ZNF862",0.997344086978812,0.97024894423548,0.953668599522038,0.99645940525294,0.999702787353833,0.956523468932048,0.025749111072896,0.98873639794289,0.8564392720658,0.999999989459886,324.688171144279,355.7169,194.1515,399.0268,402.085017333333,10.0649997577706,46.6171512107722,NA,NA,27.3936103520252,187.55655,327.4875,194.1515,399.0268,217.495,404.304275,344.0405,194.1515,399.0268,499.01945
"ZNF684",0.981772037448718,0.997394997468061,0.999992248664189,0.97505619070992,0.937793351661454,0.964834547676491,0.775124467874339,0.913872799283539,0.989634092538041,0.991365459592714,48.621736318408,55.6369,58.0058,31.6302,44.501064,1.44378335476953,9.5633368321418,NA,NA,2.85927657580046,30.932425,35.2351,58.0058,31.6302,29.4668,58.0628,64.2422,58.0058,31.6302,50.0266
"ZNF430",0.938123401916507,0.998123638980936,0.999999456516542,0.915754984747729,0.810807870587612,0.925924203573329,0.999411629019236,0.958208474649252,0.998750127257579,0.907568877012267,138.150649502488,107.96142,111.697,211.6788,135.675822666667,4.37939590303557,25.8254421069495,NA,NA,9.46834479388107,87.149575,61.0789,111.697,211.6788,77.90215,169.2106,152.4885,111.697,211.6788,182.8676
"ZFP30",0.999725328772881,0.968604908537916,0.9866478851988,0.999847793221747,0.999437257481285,0.979800144262207,0.917282851071924,0.999998891286012,0.984210820395616,0.998903296276666,212.884831343284,200.82634,121.2848,236.0097,197.718561333333,7.17614211050977,45.5405083405049,NA,NA,16.3048596969694,122.448725,124.9616,121.2848,236.0097,117.1684,260.894475,288.5045,121.2848,236.0097,248.20825
"ZNF549",0.999999943642376,0.995337909008587,0.997030034007067,0.988363181296152,0.991064183375587,0.972075331348042,0.197004616056321,0.979830026072239,0.999963061213303,0.942813742912978,148.282340547264,149.33972,188.8782,96.7153,176.892385333333,5.16428302838702,27.1529148613625,NA,NA,13.4189889376136,70.468525,114.1329,188.8782,96.7153,101.7944,205.375125,177.4326,188.8782,96.7153,219.53895
"ZNF211",0.998959860216397,0.990670991873723,0.997889266451774,0.924561131615117,0.968172069496694,0.999086268727448,0.0711172109520736,0.991230332477805,0.999928544288559,0.988296164701772,200.729009701493,214.35258,254.0748,295.5049,238.564816,5.358682306337,60.674051801931,NA,NA,17.4339998143974,124.7139,151.6585,254.0748,295.5049,146.14725,255.37465,188.4175,254.0748,295.5049,310.97495
"ZNF205",0.524613839372021,0.992842929695649,0.999176742451696,0.999035744770941,0.90585861168207,0.988565953392353,0.0428838610116967,0.153246217797134,0.937124364482634,0.999982777806309,252.595747512438,178.4576,207.0566,279.8054,289.739062666667,5.1478905125895,34.7915876341969,NA,NA,13.7804280022038,183.8232,162.2544,207.0566,279.8054,222.66865,301.104925,233.0472,207.0566,279.8054,338.4647
"ZNF45",0.999739938714312,0.999994222592543,0.999911524421676,0.829584844972982,0.836806064624308,0.957256313750005,0.999999991481619,0.999784521911557,0.99999376884297,0.83150649269743,257.224635323383,266.50364,249.2809,139.2944,257.420073333333,5.64846586079223,64.799134573917,NA,NA,11.6169750002548,181.239025,156.5017,249.2809,139.2944,190.91435,312.44475,397.2232,249.2809,139.2944,294.73735
"ZNF133",0.999998821016013,0.978130124364965,0.986412413038513,0.695507967187602,0.750440863044564,0.675440670425256,0.534342831265276,0.990230072626665,0.939460838543362,0.809936603025983,377.306135820896,373.78834,282.3586,589.4161,409.117056,7.83795561842948,61.1457815615893,NA,NA,22.7582628117732,269.04385,276.7384,282.3586,589.4161,268.54585,442.5535,475.9092,282.3586,589.4161,488.2988
"ZNF436",0.969264090478549,0.119432457982388,0.104947841185365,0.998766722089545,0.999999996947569,0.325838151331768,0.999089106744755,0.959052761182954,0.13216441616932,0.998140834239073,765.276935572139,656.52448,1676.1026,661.0097,777.404734666667,19.1751796120188,133.432357510172,NA,NA,41.7976039134886,509.09945,480.4548,1676.1026,661.0097,511.87135,929.307875,816.847,1676.1026,661.0097,966.16525
"ZNF484",0.765814710288993,0.998988621164635,0.951749754265923,0.999998569379369,0.984429145802128,0.999889600739764,0.032683946070219,0.301949881112736,0.999975254600738,0.997958236367785,101.277756716418,136.5454,83.8926,97.9319,77.025992,3.5761944873874,39.0070421031254,NA,NA,2.67612470102515,70.124525,87.5397,83.8926,97.9319,58.0508,116.5949,130.6286,83.8926,97.9319,91.2157
"ZNF780B",0.894030063399031,0.988259724205097,0.999992719200963,0.989816281664622,0.929273965871907,0.960458802431033,0.999750280497817,0.919879429483976,0.990408461233055,0.988056997636529,291.027999502488,192.47824,172.5791,405.1095,285.480566666667,12.7607758878898,32.9264423111365,NA,NA,17.1463114630453,164.259275,163.0646,172.5791,405.1095,188.045,328.287575,233.4392,172.5791,405.1095,347.6053
"ZNF557",0.916054783576563,0.997707858687274,0.999998011952556,0.999560415079254,0.999870681879582,0.999991683823959,0.51315041293653,0.994864009208867,0.999950054399196,0.99999999422663,183.954087064677,150.57606,155.8006,165.4501,166.564244,4.52715606697574,30.0463956614533,NA,NA,8.0689014855214,124.702625,160.4993,155.8006,165.4501,113.30515,223.666575,183.0804,155.8006,165.4501,207.20715
"ZNF337",0.930491726687793,0.99989487321326,0.999681187434119,0.872176671225717,0.747013163581569,0.934956106963112,0.301229539073187,0.687653938001684,0.995207457474181,0.953060296867906,527.880308706468,427.17066,486.7162,797.1715,595.885956,13.5456900855849,83.2917848940014,NA,NA,37.3849614494049,342.313675,277.9091,486.7162,797.1715,378.93245,639.5809,544.0613,486.7162,797.1715,736.29485
"ZNF317",0.503354001017996,0.999999761308978,0.960064679502552,0.988924667260698,0.809104742930147,0.997752418567298,0.994389657283322,0.459357543854191,0.999999972586383,0.992891350951174,761.835870646766,560.29048,770.8533,897.8102,776.130668,14.5442181056342,106.586013119534,NA,NA,25.452717757396,578.359025,317.6064,770.8533,897.8102,614.81385,903.051,748.7539,770.8533,897.8102,915.98735
