"gene","p-adj-T1a-T1","p-adj-T1b-T1","p-adj-T1b-T1a","p-adj-T2-T1","p-adj-T2-T1a","p-adj-T2-T1b","p-adj-T2a-T1","p-adj-T2a-T1a","p-adj-T2a-T1b","p-adj-T2a-T2","p-adj-T2b-T1","p-adj-T2b-T1a","p-adj-T2b-T1b","p-adj-T2b-T2","p-adj-T2b-T2a","p-adj-T3-T1","p-adj-T3-T1a","p-adj-T3-T1b","p-adj-T3-T2","p-adj-T3-T2a","p-adj-T3-T2b","p-adj-T4-T1","p-adj-T4-T1a","p-adj-T4-T1b","p-adj-T4-T2","p-adj-T4-T2a","p-adj-T4-T2b","p-adj-T4-T3","mean-T1","mean-T1a","mean-T1b","mean-T2","mean-T2a","mean-T2b","mean-T3","mean-T4","SEM-T1","SEM-T1a","SEM-T1b","SEM-T2","SEM-T2a","SEM-T2b","SEM-T3","SEM-T4","Q1-T1","Q1-T1a","Q1-T1b","Q1-T2","Q1-T2a","Q1-T2b","Q1-T3","Q1-T4","Q3-T1","Q3-T1a","Q3-T1b","Q3-T2","Q3-T2a","Q3-T2b","Q3-T3","Q3-T4","count-T1","count-T1a","count-T1b","count-T2","count-T2a","count-T2b","count-T3","count-T4"
"ZNF195",0.837819602072696,0.999657780518328,0.97843431386598,0.891986448983908,0.997806071885482,0.998883081605717,0.996392140532767,0.975523454274868,0.999999987095788,0.998424311274802,0.998353804733727,0.992328100042865,0.999999921024974,0.999944242352022,0.999999999818264,0.412522751302481,0.999999928983388,0.844043225351768,0.91383232394152,0.73511706300361,0.931808416512601,0.99998888265506,0.980374452001612,0.999999988244319,0.998850412735357,0.999998843408525,0.99999794023272,0.902122210992357,362.840167346939,312.215029166667,347.698541025641,332.688392307692,344.586030952381,342.811805882353,307.354086956522,351.924763636364,21.27351761117,19.8524403392312,19.0648707247496,11.1660779008236,14.7326632603807,30.7223911014458,16.1461968926585,30.5535169756697,254.2347,253.87215,252.754,230.2994,246.8697,217.567275,219.9692,261.0587,436.3378,383.31745,442.7086,410.2952,424.527,424.619075,362.8319,417.80175,49,24,39,169,84,34,69,22
"ZNF263",0.869436904945199,0.901089350011292,0.999997105302709,0.075778075792682,0.999033281955405,0.960413598520552,0.583139858310448,0.999999999994816,0.999991966678035,0.971022665253509,0.40894772021315,0.999721129131488,0.991629771785857,1,0.997513554542848,0.129275717586184,0.997605405845554,0.952458013094897,0.999998546975938,0.968552238132533,0.999999927714226,0.999221942649068,0.997800908752669,0.999678689844963,0.842624431445784,0.993863881623953,0.934377114880251,0.830438673505103,766.478216326531,689.427208333333,703.929041025641,660.626855029586,691.369698809524,660.282870588235,653.398468115942,733.704436363636,35.1654169347005,34.526523044882,31.5534952807218,14.640997940243,22.8891144895051,32.4567426588842,23.6920598213728,112.787264743742,589.6173,551.87235,544.0889,524.5738,536.977825,522.30205,529.6542,565.982625,894.3436,836.65205,811.36615,793.2786,790.23885,808.768825,715.5331,717.212825,49,24,39,169,84,34,69,22
"ZNF200",0.538403545994201,0.836925884992034,0.998116161548021,0.986830310433999,0.791277224777512,0.983146973178494,0.733945914672122,0.992955940584645,0.999999997792021,0.954993372013489,0.616529380894967,0.999993045247515,0.999925725628044,0.868149940235563,0.999403639433519,0.702490746392423,0.997087657022119,1,0.937141564140066,0.99999997081747,0.999878265812301,0.999920137793144,0.909593105211393,0.994376942643215,0.999999666394829,0.993620715686939,0.9576706186284,0.989508327286776,282.28997755102,236.245741666667,252.47952051282,268.373295857988,254.130122619048,243.477741176471,252.127047826087,272.337872727273,15.373526364586,16.0248695703163,11.2970186892238,8.42908395191261,8.40661718982563,13.8064496640123,9.92480076267875,29.3206486573905,219.9739,162.918975,198.66575,191.2229,204.140775,193.54195,195.2756,199.21075,305.1125,293.604825,270.2042,323.5014,285.3961,291.039575,287.2942,294.4584,49,24,39,169,84,34,69,22
"ZNF582",0.999999999973435,0.999999999570154,0.999999993577922,0.997929821123244,0.9994035577311,0.99957063980224,0.998888092983058,0.999582253731737,0.999747740255145,1,0.981202579386185,0.990929589775248,0.990926910927551,0.999320967970297,0.999610316063399,0.978720317990208,0.992417848302948,0.99152403689704,0.999578782160963,0.999831022295477,0.99999992726307,0.998912751057426,0.999293441634162,0.999569675590944,0.99999926576133,0.999999544469836,0.9999990003607,0.999999987898546,26.0343714285714,26.2951125,25.7001307692308,23.6535272189349,23.639630952381,21.3319529411765,22.0124057971015,22.6272454545455,3.34188227601882,5.03412607613016,4.25800958708723,1.69134120665921,2.15353723098954,2.84689020022294,2.90500807849636,4.48513849442178,7.6041,7.421825,7.7202,7.8607,8.595225,7.6069,5.4345,7.7649,35.0843,39.3685,38.9212,32.7781,31.98395,34.574675,29.9432,30.452725,49,24,39,169,84,34,69,22
"ZNF285",0.999999999765092,0.40630424228805,0.612539779719314,0.988157586356013,0.996265152956562,0.649866255628464,1,0.999999999665796,0.271613239603736,0.963449263455939,1,0.99999999981341,0.529192836161395,0.995265257035874,1,0.941668089027741,0.976434594379751,0.937181211352227,0.999508430593595,0.882873871972537,0.968912561846398,0.848471271213578,0.903242655767732,0.999976123171506,0.977099825054446,0.79555518679531,0.887715079871199,0.998885452497446,22.8837183673469,22.3642583333333,37.6262307692308,27.4930591715976,22.8717797619048,22.9021117647059,29.9447579710145,34.7066909090909,4.63472631173434,3.57341664091415,5.53613799912901,2.93463680003053,2.72687015821407,3.93882947671798,4.06918369243263,5.47639765840494,3.876,7.61975,8.0818,5.7088,5.606725,5.339425,5.1702,15.6323,26.7663,30.431925,56.6914,32.6133,38.42865,30.061725,41.8848,42.49455,49,24,39,169,84,34,69,22
"ZNF275",0.920588143715746,0.200008204383317,0.988065859362073,0.171179893132376,0.999677534750151,0.997701054662302,0.699407795827453,0.999999999999784,0.93082243074285,0.989710462644482,0.66399636854812,0.999989969910536,0.998439222907098,0.999999893940265,0.999896106015269,0.945463793290534,0.999930456144482,0.749612460196047,0.851795273774016,0.999438983462211,0.991709279623081,0.685831979212077,0.999863218451445,0.999955432766672,0.999999997359249,0.999262371242124,0.999999674392805,0.985287456097222,755.070175510204,662.262004166667,593.815602564103,629.684731952663,664.038377380952,638.406202941177,690.422456521739,623.489486363636,60.7956765118077,43.046291758469,40.8015715182644,22.8523088736467,26.1126526910897,54.3355952007429,39.1416525988525,56.1990927725472,539.6723,503.358375,449.71585,436.8225,465.700475,421.10055,470.2919,494.586525,893.1211,867.324675,710.6069,770.6422,829.363075,713.308775,883.871,634.6503,49,24,39,169,84,34,69,22
"ZNF37A",0.899777218753061,0.999999821676571,0.954892300771477,0.187215119607992,0.999927578859384,0.412428390597085,0.998574998346222,0.984762685222428,0.999931917081049,0.334626180683133,0.999999998845364,0.946511632757873,0.999999999295444,0.426614083180899,0.999799759930968,0.99999875447973,0.93444662935228,0.999999999999576,0.165405940178016,0.999863936525819,0.99999998993482,0.573044180931012,0.999498386118498,0.709766234798654,0.999987062679038,0.787737012809675,0.695668264344435,0.626267940288245,402.039563265306,345.966895833333,395.859056410256,330.944643786982,382.636232142857,398.917302941176,394.921375362319,318.820113636364,27.8062708640872,26.0232736126461,30.5452175372179,13.1298250839016,15.5034728646195,38.3839018611016,22.6685502161477,25.5183506683795,235.9761,268.0468,289.1111,201.2721,278.6588,263.0639,292.8135,231.292575,497.1148,403.875925,494.52725,426.9972,455.250025,453.42605,478.9511,426.671075,49,24,39,169,84,34,69,22
"ZNF510",0.916082326160851,0.944882464677289,0.999997048227006,0.566691286866843,0.999999999998467,0.999981568893321,0.996094050760116,0.994080181532844,0.998890468214502,0.898444180221802,0.666795025876116,0.99999322483614,0.998944332068008,0.999866508625869,0.914257693394503,0.4452523913458,0.999987720287331,0.997385906878953,0.999316637608069,0.775462774624629,1,0.9999999329525,0.983022097538699,0.99370631141992,0.937072631340838,0.999932550174639,0.907086650462071,0.848965409599551,230.451251020408,204.224529166667,209.656825641026,204.802478106509,219.417883333333,197.927464705882,198.121371014493,227.3354,15.1416457354358,16.3541531054423,14.1632316745742,6.25233948972102,8.92584363696564,12.544570677854,9.34228669596337,19.6941601294543,164.6693,144.1638,144.09955,142.2336,152.015025,152.60675,143.5458,150.3728,270.9937,251.80335,255.7433,252.2369,287.05805,231.11695,229.3922,254.983625,49,24,39,169,84,34,69,22
"ZNF506",0.999765507554908,0.974066638788637,0.999950927426421,0.616297373411901,0.563180279312968,0.0833109426432419,0.999720258130126,0.987252888053789,0.773993356123329,0.78451556067881,0.992294160864043,0.951524377422284,0.693205284476047,0.998966577242131,0.999789897148822,0.696297320790685,0.602448232129693,0.142428313266814,0.999999894771958,0.856289231245825,0.998358654226514,0.98343009367778,0.930479418267423,0.688673123881683,0.999997421633429,0.998480549965866,0.999999237989935,0.999984809224484,285.544557142857,306.591016666667,323.967123076923,233.177188757396,269.952446428571,253.061938235294,229.248314492754,243.058354545455,35.6685618126055,30.1273185819736,48.4210774443303,11.9001793188834,16.9936844568623,25.7840749360352,16.1081502269115,30.4554301944098,154.4749,219.81795,205.1038,112.4107,164.667525,142.79025,127.7419,133.3483,345.8789,395.769575,354.1826,313.3803,328.8077,315.961875,311.2583,335.490025,49,24,39,169,84,34,69,22
"ZNF324",0.999870351183201,0.985991933155542,0.942670762481882,0.574670831407443,0.563634714670271,0.998641356650079,0.999999999479846,0.99990997517412,0.96390299093219,0.260939249151074,0.99999999508372,0.999712367481438,0.996107303478113,0.810852391012264,0.999999766642089,0.915444438596495,0.83703971842699,0.999999255031971,0.999733119937954,0.796586454880322,0.972703741364311,0.732872991649563,0.633240742782118,0.990504948855651,0.99962278290534,0.621094036890265,0.834980598183852,0.995301796923789,214.615353061224,223.62365,198.475064102564,189.307862721893,215.695867857143,212.765182352941,195.061410144928,179.691845454545,10.2690992119132,16.2255510494028,13.9021651969422,6.03501200821515,11.3235777034651,12.828907179579,9.32684133666294,18.9073367057207,162.8007,163.26075,135.3771,131.1054,153.494625,152.673675,134.8114,113.2334,252.8886,256.214875,242.8836,234.215,261.0085,262.6132,260.4371,234.054575,49,24,39,169,84,34,69,22
"ZNF671",0.999999999992413,0.994165456825749,0.998799932175376,0.996189972070574,0.999041493086565,0.748315274320653,0.999999516644246,0.999999991940387,0.997390516296637,0.947469063054655,0.473776320510577,0.672579293329595,0.148796566933181,0.64479916978245,0.25333972165014,0.99972033604029,0.999886969393554,0.903841180950724,0.999999540010311,0.994524898622365,0.679391984473751,0.981183222689368,0.989554378100621,0.786676411038284,0.999343036843133,0.943050554962796,0.99517993488141,0.998572990155873,78.7284571428571,79.3355166666667,89.0733384615385,71.4266307692308,80.8623964285714,50.8825941176471,73.110531884058,63.6707045454545,9.07142421173874,10.9454513894987,12.1454550532041,4.09562155482923,9.05108116248857,5.62812196122849,7.17351960001689,10.1645047483314,33.5541,44.7904,29.6437,34.5151,34.0456,23.275225,30.9089,28.281425,95.7018,96.591225,127.85555,93.9806,101.635675,70.914575,101.1494,80.89305,49,24,39,169,84,34,69,22
"ZNF416",0.578997691163942,0.615889246553199,0.99999105232047,0.386219022163336,0.999512760452781,0.999998685623264,0.102188772353146,0.999999876861535,0.999102971959544,0.948789869861092,0.0372877426361391,0.986574590621544,0.88373217244513,0.565412099732766,0.975360843485392,0.0145942332896908,0.995157156805884,0.909034350190759,0.443930560297233,0.98799396861503,0.999992780420619,0.977925168562455,0.996277792134325,0.999576097230221,0.999866772223553,0.967405286630844,0.718599420970472,0.74845648627284,153.889253061224,127.398570833333,131.731253846154,133.978337869822,125.316391666667,113.782129411765,117.173923188406,139.60615,9.11024529937055,11.7678333886946,7.93815813195817,4.62382063635643,6.39474584775424,7.54398415203762,6.51756124742982,10.8346871314335,104.0127,92.1258,104.6759,87.8691,84.22695,80.587525,83.5882,100.9572,192.632,155.20415,166.7486,167.9458,157.1419,137.863375,143.8849,167.46265,49,24,39,169,84,34,69,22
"ZNF586",0.999999999994331,0.999989203677343,0.999999019329454,0.995304911175437,0.9988505059061,0.966564328104052,0.999644405898243,0.999872873620166,0.993114629221475,0.999997989928684,0.703067997064103,0.87151270051455,0.891294733687022,0.144911780380777,0.303952288106115,0.78590960289407,0.939121226985139,0.953773454755525,0.0820485059232905,0.281399093571237,0.999905428621368,0.906377119282893,0.946718911092693,0.821759522253245,0.985022738439021,0.975370072889436,0.170904576304051,0.191613166541894,175.679387755102,174.813366666667,169.741446153846,186.909413609467,184.01461547619,141.214217647059,149.186305797101,205.924009090909,12.8083970974265,16.2512064855016,14.4450773172328,7.15245859092797,12.0571711129585,13.344307202414,8.55213809055656,22.9290718824,107.5369,118.85035,110.7232,127.3336,119.638825,81.309175,95.3082,136.472025,227.7132,204.427525,217.78325,230.8489,227.148,176.120075,201.4828,253.725175,49,24,39,169,84,34,69,22
"ZNF446",0.99999998020972,0.968641548168284,0.995678675470467,0.108955467159903,0.543713672938605,0.911359261293372,0.998980471757432,0.998998259616282,0.689891969845038,0.00104185390394762,0.963191104444258,0.973352610037898,0.507863420182383,0.00709553480929825,0.998118757345331,0.342226416570552,0.736954085018799,0.979801351923867,0.999998376723296,0.0309680208666394,0.040618547156507,0.942754434891702,0.985433347436465,0.999993008136995,0.997927197720798,0.696386498752373,0.51131529207022,0.999749290740872,241.007273469388,238.036695833333,219.104148717949,196.983649112426,251.463026190476,264.464661764706,200.193139130435,211.703172727273,15.3082393460932,15.6708648939871,13.2656278556349,5.61395179093434,15.8505157275601,18.9139787051097,9.87870533018747,21.8051732353316,157.8564,183.57835,160.2911,144.3701,164.248275,186.225275,151.3703,133.899275,307.1513,282.816675,264.80345,244.1041,292.997875,354.139675,228.9858,279.176225,49,24,39,169,84,34,69,22
"ZNF8",0.899707551535534,0.969500162962965,0.999932619625077,0.733477857276572,0.999994643581989,0.999997663948636,0.991483055460706,0.995212698348393,0.999951397715674,0.989060468276108,0.99999999085525,0.951956315769624,0.990692342263434,0.907363244768449,0.998702877348319,0.777198359710545,0.99999994913902,0.999972315649655,0.999999633278502,0.988446425642554,0.90941275584391,0.957047501151595,0.999999945185559,0.99999843457623,0.999999999039985,0.999317744005877,0.981779243321018,0.999999999996862,126.718418367347,107.9960125,113.897458974359,111.422814792899,118.097905952381,125.316744117647,109.899097101449,110.391931818182,9.47926894281821,7.76064075138622,7.26217129293144,4.21134643456778,7.49334068414989,9.83408175794227,6.66748678146881,13.3528773260054,79.1391,81.57195,83.72555,72.9387,75.011375,90.51575,73.0581,72.537975,167.5031,120.33825,136.15035,141.153,143.290675,151.539575,128.1407,159.254675,49,24,39,169,84,34,69,22
"ZNF264",0.999998973436722,0.415397007996412,0.521699501616392,0.109533594683427,0.300080722804639,1,0.95777156648901,0.96072964915355,0.894294302424107,0.570601432297594,0.0718357360309571,0.144321540039755,0.989950579360042,0.959842774046219,0.33399078732919,0.179421144468402,0.335242686673703,0.999999979128575,0.999999339307751,0.677653232557385,0.990949255739794,0.597812548871404,0.638075733731657,0.999999999425642,0.999999993017213,0.947059044004384,0.997945084881832,1,746.966316326531,761.9846875,619.680792307692,620.862781065089,691.41851547619,563.320223529412,612.781211594203,614.189890909091,43.4170725524101,48.6287664907962,40.2477529988291,22.3740829237773,34.9827787292828,37.9105193739775,30.2434532950562,59.0571295060189,514.3498,641.513825,402.0101,394.8186,478.948,409.169075,412.6427,444.33355,944.9113,942.179375,739.92055,785.8198,833.720325,721.687925,780,777.5126,49,24,39,169,84,34,69,22
"ZNF213",0.999368023990361,0.999999892213616,0.999924280079631,0.920669762798543,0.781471213507822,0.892670016516385,0.999999999955508,0.999347649272409,0.999999976569239,0.767511138974303,0.999971656754057,0.992947362557548,0.9997738219634,0.997981993059344,0.999886116097389,0.999990273829624,0.992518122604362,0.999852163108077,0.971713627227976,0.999928601964485,0.999999992874585,0.999999999999757,0.999718508517967,0.999999915757585,0.989592621452677,0.999999999727833,0.999996213391344,0.999999377763308,475.857889795918,501.165525,481.988507692308,438.739658579882,477.541130952381,461.580038235294,465.635313043478,474.635763636364,24.6662289201531,29.0688566288231,29.8391775651267,14.7376463273022,18.5632283097766,21.6458912342251,21.7105994553501,65.386027824323,361.4829,389.82485,361.7347,307.5295,363.9121,372.0672,345.8323,311.734825,569.1658,586.08265,583.8296,516.547,542.6565,518.881475,533.984,542.585425,49,24,39,169,84,34,69,22
"ZNF343",0.99999984127718,0.998875766068283,0.999975088659543,0.999999998765058,0.999997190492133,0.993146592695666,0.998242206647334,0.997600323045893,0.912786678425068,0.994674913090549,0.162191190290245,0.284462462416205,0.0548526242518734,0.0559582934641776,0.309505417973319,0.80293420845954,0.874535794538505,0.450037667035878,0.565538983754978,0.9708565591665,0.850715483984612,0.99992157876484,0.99999904355542,0.999999996058758,0.999595943810205,0.984793577891119,0.202502526891645,0.767068488332549,292.765024489796,287.244483333333,275.29702051282,294.557727218935,308.448433333333,371.221517647059,331.009608695652,278.775268181818,17.7575873495972,15.6589230972262,16.5581156225858,10.4055017592334,11.9144896652204,33.3167464729805,20.7168008070312,24.3550871060283,206.3325,229.7733,201.2551,189.5996,232.724725,225.23245,205.5217,221.3207,354.3814,353.537125,328.2589,363.7686,361.613675,444.6324,412.3445,342.098175,49,24,39,169,84,34,69,22
"ZNF302",0.883944158294341,0.687064340923382,0.999999979606029,0.76235875372978,0.999967280100397,0.998728906508122,0.99953636877567,0.969179776761466,0.858411347285021,0.92743764685248,0.99999052907912,0.973810063531782,0.907803257879001,0.972292048335317,0.99999994637033,0.313142037716119,0.999944202027688,0.999990599546591,0.939351674761345,0.463167002893098,0.68145275992473,0.941835188421004,0.999999983550851,0.999997039738771,0.999999602626365,0.989784728140132,0.98997173640083,0.999602040427927,477.662691836735,391.697670833333,383.560933333333,411.561732544379,453.380926190476,460.703817647059,368.356208695652,400.674077272727,38.7621229230321,30.5524598953133,33.2050733209078,20.9292822827012,32.7045881879162,61.7558043001367,16.6810537608496,44.0118359377953,353.2561,294.3103,264.37145,249.9092,302.120375,235.530075,275.6005,281.6841,554.2636,491.880875,455.3727,479.8456,509.3621,510.371025,447.9259,477.18365,49,24,39,169,84,34,69,22
