"gene","Stage IA-Stage I","Stage IB-Stage I","Stage IB-Stage IA","Stage II-Stage I","Stage II-Stage IA","Stage II-Stage IB","Stage IIA-Stage I","Stage IIA-Stage IA","Stage IIA-Stage IB","Stage IIA-Stage II","Stage IIB-Stage I","Stage IIB-Stage IA","Stage IIB-Stage IB","Stage IIB-Stage II","Stage IIB-Stage IIA","Stage III-Stage I","Stage III-Stage IA","Stage III-Stage IB","Stage III-Stage II","Stage III-Stage IIA","Stage III-Stage IIB","Stage IIIA-Stage I","Stage IIIA-Stage IA","Stage IIIA-Stage IB","Stage IIIA-Stage II","Stage IIIA-Stage IIA","Stage IIIA-Stage IIB","Stage IIIA-Stage III","Stage IIIB-Stage I","Stage IIIB-Stage IA","Stage IIIB-Stage IB","Stage IIIB-Stage II","Stage IIIB-Stage IIA","Stage IIIB-Stage IIB","Stage IIIB-Stage III","Stage IIIB-Stage IIIA","Stage IV-Stage I","Stage IV-Stage IA","Stage IV-Stage IB","Stage IV-Stage II","Stage IV-Stage IIA","Stage IV-Stage IIB","Stage IV-Stage III","Stage IV-Stage IIIA","Stage IV-Stage IIIB","mean-Stage I","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage III","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IV","SEM-Stage I","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage III","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IV","Q1-Stage I","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage III","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IV","Q3-Stage I","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage III","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IV","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999705074753859,0.992397696684289,0.966158755029405,0.894964850544168,0.944916196155549,0.983944719606608,0.997276118448298,0.999661694365766,0.999997386157686,0.975764065206464,0.979282206132475,0.824777233338761,0.999827767949381,0.992934149275873,0.997833464396134,0.539663590505217,0.0365842706522167,0.0130388923420122,0.0529533805313664,0.021242257985026,0.00865466130409176,0.952058280691252,0.589816314416725,0.982346591202765,0.997463473813694,0.961472213905759,0.999955611078043,0.0055540431364336,0.999771111606036,1,0.999642804682635,0.958561549681362,0.999995960714445,0.993002376242565,0.0555836123851104,0.955553151808514,0.948120924963143,0.963331359304812,0.997920435788263,0.999899760806647,0.994378808484631,0.999826674622721,0.0176051968841124,0.999996593957784,0.984360114860842,403.86505,356.953386904762,333.525780921053,223.76025,341.418426984127,322.060675280899,625.715233333333,309.964912903226,355.369704761905,288.315771428571,64.9816123139526,14.7684492134103,10.2556793313925,1.05325000000001,18.065447654814,17.2942444695238,133.78764585168,17.5515769642489,25.1939170664199,54.2822900727419,375.227675,261.30565,240.56085,223.233625,243.69145,215.0139,554.053,217.55185,273.9311,203.56135,459.807675,430.048875,412.945675,224.286875,419.6527,405.3498,759.38675,358.9683,427.1112,343.4967,241.727603921569,338.166356087824,222.1543,309.8748,201.1448,267.70015,236.8272,421.5328,9.41529663257344,6.3279066606878,1.39895630702378,1.39486293985757,0.484350904157786,0.480123368862845,"LUSC"
"ZNF263",1,0.999975189998953,0.824863178768009,0.999999999883627,0.999999995856459,0.999971588875427,0.999999995202326,0.99937353934158,0.393830345766369,1,0.999996987732326,0.981501201588231,0.999996642991643,0.999993024732929,0.751514002565515,0.999991521808379,0.999958385632012,0.999999999590711,0.999979880475393,0.999374879100205,0.999999969389948,0.999921193311839,0.855781231103527,0.999999843030908,0.999932858460389,0.490215500199609,0.999918125290416,0.999999999999451,0.999192548649645,0.756824909621097,0.135700363082502,0.999995181796405,0.966945182782496,0.280111683508506,0.973175967591861,0.155055628887583,0.995624186825005,0.923490963334589,0.99754407391726,0.997588099521869,0.797936882153073,0.99343905748211,0.999998243441353,0.999329709993579,0.418178011251556,713.13045,707.610210714286,657.226677631579,737.03175,734.684563492063,668.916879775281,638.7146,647.907085483871,804.59009047619,582.589942857143,75.7681550875267,25.1409921684563,15.8001428077306,21.49865,26.6017873881717,21.0581138386466,29.3662876857687,22.9397862566609,115.043031537831,67.7956447157712,633.228325,542.1102,497.7642,726.282425,606.91685,529.8163,620.46145,525.047575,603.3939,427.83285,805.639275,820.45845,797.04465,747.781075,876.43655,754.2588,667.76355,738.1629,801.374,701.527,605.273164705882,684.95723253493,594.6574,654.1238,542.90075,638.36625,532.9194,801.374,12.8047838299144,10.1969854313814,1.13164976158784,1.10000110988277,0.178427522300646,0.137504979405894,"LUSC"
"ZNF200",0.999999088821011,0.999961843004134,0.999701396462301,0.999999999950217,0.999999999971543,0.999999966064271,0.999808779876869,0.996382628708563,0.999995176625057,0.999999492102254,0.999996752961965,0.999999997269304,0.999981925430482,0.999999999566271,0.999125782382256,0.999999999924404,0.999999999614155,0.999999706298628,1,0.999996272262625,0.999999995259587,0.999978884541859,0.999986271818715,0.99999999999526,0.99999998496802,0.999994450085667,0.999999627966249,0.99999987024342,0.998984934532576,0.991608262228799,0.999640542450825,0.999991244662399,0.999997170082803,0.996241103012984,0.999949578161329,0.999645715878962,0.999999996151827,0.999350948035578,0.993804639042801,0.999999896594275,0.985295549330563,0.998656426039538,0.999999714948109,0.996224675237027,0.969366118904078,237.414875,254.071680952381,262.768763815789,246.7923,268.66866984127,256.646406741573,246.0789,261.510316129032,278.00160952381,226.391357142857,52.3330573538908,10.2525530163579,8.50522001896134,26.1809,11.0970960615563,9.92414246463326,31.6026821998281,9.69639082444121,30.9392351296275,36.3217977632208,172.80765,197.31325,199.2092,233.70185,209.04965,189.9167,225.47125,199.330575,190.7563,178.06865,287.563725,286.37585,301.7997,259.88275,323.55155,314.833,277.1322,295.3434,300.207,277.3588,178.098639215686,261.302567065868,174.2531,243.7766,154.6565,195.82715,197.3607,303.6791,4.50819892890422,4.29007002046408,1.46717890836559,1.39897998945212,0.553044804531512,0.484375326816711,"LUSC"
"ZNF582",0.999451885826195,0.997573449104826,0.999959873231869,1,0.999959921830229,0.99981872672349,0.999384134479482,1,0.999993877287422,0.99995344849595,0.999927342427195,0.999959665984819,0.982614728577193,0.999994867214195,0.999953014734055,0.999999999673141,0.998614341660979,0.995658984975029,0.99999999996693,0.998485092089729,0.999684721277474,0.999605151363442,0.999999999999468,0.999939351356765,0.999970446849972,0.999999999957851,0.999994978202792,0.998916209154316,0.999993279054933,0.999937269868815,0.997115656184898,0.999999376177701,0.999921644291755,0.999999974051323,0.999941061555936,0.999978343651236,0.999767710874896,0.999999999988199,0.999999999995428,0.99996559312388,0.999999999998897,0.999999693183474,0.999290641910989,0.999999999882849,0.999996475150671,15.82045,23.9259857142857,25.4993848684211,15.647,24.1055698412698,22.1644337078652,13.4762,23.6685177419355,20.9499095238095,24.7601142857143,7.70770558753814,2.39040270729396,1.83218649799775,10.1842,2.71601285052789,2.17328522186798,8.67162838072143,3.5000007018935,3.18808098871633,8.47308327465579,4.435125,7.511275,8.86685,10.5549,8.15145,7.8106,4.8058,5.5857,8.8866,10.22485,26.637175,34.5443,38.590275,20.7391,33.11795,30.9677,17.9378,29.905175,31.6484,29.3922,47.7748274509804,23.7369403193613,45.1848,16.7226,41.4716,52.4731,7.6845,33.2266,1.75277275856548,0.98221338752312,0.496850362122536,0.370093482764115,-1.00911667837015,-1.43403836445506,"LUSC"
"ZNF285",0.999999999999797,0.999999995527202,0.999989814734243,0.999999061874269,0.999998267234093,0.999999824690698,0.999999987800865,0.999990517200802,0.999999999994984,0.999999911326251,0.999983354271223,0.9402880873415,0.985310676986252,0.999999999999022,0.998469018593598,0.996139706658746,0.965718216470948,0.940806366090553,0.986447544765309,0.939782711212424,0.852259173584515,0.999999848655019,0.989561443730714,0.868615537987818,0.999858963305104,0.932155170750362,0.391957316272629,0.995191845230707,0.999999733814064,0.999961641100241,0.999999799085478,0.999999996599011,0.999999985899747,0.999999202945832,0.931992177999961,0.973872264214689,0.476811250036963,0.0154392865641867,0.00713060614527306,0.555379867338947,0.00950428536571291,0.00213615913023479,0.99389033800041,0.0699731182338927,0.0190046008584362,29.01295,27.943730952381,26.0092072368421,19.63665,25.5917158730159,21.3140831460674,51.3815333333333,33.5558403225806,23.8924714285714,72.8706,8.25004233610349,3.35565018887339,2.79296262579782,14.40055,4.10119405426934,2.66124284179329,24.1555355738137,4.64774293599857,4.47428359446751,22.3423304341887,21.714075,7.1411,6.1752,12.436375,5.06155,4.6259,27.2853,6.073525,10.352,24.08205,40.820925,43.889675,30.83525,26.836925,30.0839,33.5941,64.8946,54.63195,30.6245,117.9439,24.6475274509804,26.9293349301397,21.3186,13.683,16.76855,29.71745,5.7088,38.1075,1.96949438231671,1.44443993347607,1.09257754083842,0.641833891531339,0.127735672232334,-0.639728122884916,"LUSC"
"ZNF275",0.887758216908056,0.980081982814228,0.916932512140243,0.910658528389742,0.999637623256484,0.994592616152775,0.928930403743079,0.999999279537518,0.99522096805329,0.999165262789999,0.853742115996514,0.999999922869749,0.767870009515339,0.999816785751429,0.99991745033055,0.628964847341591,0.967322397886908,0.86056125384415,0.999999893215743,0.950020547014872,0.977131716546255,0.998622977279088,0.48353892983379,0.9833313425285,0.975693798158623,0.783190574920057,0.314464643357592,0.712497007682228,0.999929271220422,0.64939819007176,0.974352880726687,0.956065772052395,0.821700776993676,0.529392670220155,0.646371759579924,0.999992127535746,0.999995963454759,0.945874753722376,0.997659778729501,0.962676546694174,0.975311311276751,0.916378353822713,0.731015604786206,0.999995163597453,0.999999999885228,464.189675,696.537572619048,638.040544736842,841.58645,680.188934920635,708.129166292135,913.743266666667,587.644275806452,555.086761904762,539.033357142857,129.605026808649,39.905183533063,21.9867928222177,60.41195,34.6619703316138,35.5463978085231,366.283102089838,30.8484355791157,62.0433639187734,45.2300498675902,294.8776,512.01045,455.438975,811.380475,506.6985,460.4754,609.03345,437.33575,415.1139,485.4475,565.179575,841.00445,798.0372,871.792425,836.61405,883.871,1242.1278,727.463,608.1375,601.084,532.972317647059,656.453248902196,518.0983,604.8238,458.84485,603.9101,459.8237,811.2324,19.474215089096,13.432137895476,1.23168357373658,1.16739197947571,0.300631667367595,0.223289061382842,"LUSC"
"ZNF37A",0.999980140764382,0.984162565172727,0.37977596081638,0.999996609680838,0.999999999806029,0.999999512201903,0.999999074281531,0.999992348382745,0.231018043558732,0.999999969424179,0.999984712053879,1,0.317776949874725,0.999999999603991,0.999996821401176,0.992780179303169,0.997248459107252,0.999999054324124,0.999986039295505,0.992971345893506,0.996894915957381,0.999124162498538,0.997540227417586,0.980559664954767,0.999999999999297,0.972029924811082,0.995995016422142,0.999814270421831,0.844651231279075,0.22484295766261,0.938026238204855,0.999319977963689,0.142330406238498,0.203488729406236,0.999999992279556,0.645201747334137,0.999983260311213,0.999999999864593,0.999573071245457,1,0.999999636846203,0.999999999495303,0.999657430453676,0.999999957399968,0.944862469307007,431.103575,388.640575,333.903353289474,372.5127,401.022611111111,389.965368539326,299.8083,363.692820967742,278.812452380952,380.120857142857,48.6495559657087,17.8914383499171,13.0377285872987,72.9014,24.4674868531862,20.3614711572997,91.0920598163382,23.5704626173019,28.6411775599694,59.4084583211005,397.7914,260.500175,225.1219,336.062,277.9905,280.2267,232.99255,229.8362,202.0431,248.12745,490.639975,492.30945,421.44705,408.9634,504.44255,462.9394,386.8358,460.7782,391.1095,477.4909,429.212143137255,366.62439261477,422.2607,346.4254,360.6564,511.86965,244.4874,462.0419,14.9803571813225,7.78913412539309,0.854179916567575,0.820406445591551,-0.227388117077036,-0.285589268371357,"LUSC"
"ZNF510",0.999982925738428,0.999962991724185,0.999999999398328,0.99452500017746,0.998297918021364,0.998650954679974,0.998494676250004,0.988881561704056,0.990011101285985,0.999909119122822,0.999999330082519,0.999974735268769,0.999451105806719,0.995693021383813,0.885095968801412,0.841561723225033,0.802068256640176,0.813673425094452,0.999989111952564,0.932353482695423,0.724404346119308,0.999993547355222,0.999999999552504,0.999999737695607,0.997750017675042,0.983412643863983,0.999999573414483,0.784960009848413,0.999979860979206,0.999999999995599,1,0.999020738179178,0.999837428468961,0.99999626230427,0.860611015231923,0.999999996884558,1,0.999649462245348,0.99926874211135,0.988173994749748,0.984339266173988,0.999978167019015,0.722266105061404,0.999856648175349,0.999721532940874,188.0476,208.373225,210.067104605263,257.9052,223.189825396825,202.049324719101,292.318,206.354941935484,210.13499047619,186.006085714286,42.6229735251621,10.2271221032966,6.37287567137918,95.7033,10.4352471747347,9.50937858001012,102.333024224066,9.86748301923812,16.9766866408822,26.9601761807814,122.65855,143.105775,147.912325,210.05355,158.73605,141.6867,210.62105,149.480525,149.8297,150.614,238.86015,255.07015,262.764475,305.75685,269.2386,231.0733,386.5354,233.2152,252.8099,231.62125,242.526274509804,210.766197804391,229.3941,195.8078,201.8199,289.9556,147.6839,256.1983,8.97830036059791,3.79144473162586,0.869044800322743,0.853586905678917,-0.202497543236108,-0.228390050000784,"LUSC"
"ZNF506",0.999999999130406,0.999999806915787,0.835623085488488,0.999999966886213,0.999996659647592,0.999999999997423,0.999999999910423,0.997919230220598,0.999942652731313,0.999999993368209,0.999551259648289,0.125605246678272,0.855426638001729,0.999999981673984,0.749945725503503,0.955150362818099,0.726652111710851,0.91107373900017,0.997429654744732,0.863736188377772,0.986583252365937,0.999925605631623,0.46732711508829,0.99403910866494,0.999999999883728,0.960817590357125,0.999995703827375,0.974712993250221,0.999954007819704,0.891999896297359,0.99981189702116,0.999999999913084,0.996526050990916,0.999999847093356,0.981067940194269,1,0.999999988886088,0.99999999985699,0.999514529748899,0.999994863042342,0.999981065204815,0.967795644807585,0.840296476594417,0.989490415076711,0.994590572183733,284.574875,298.663947619048,259.013604605263,248.74215,273.557112698413,221.058742696629,107.419666666667,232.939101612903,232.98289047619,307.519185714286,103.257286049132,27.6032892348361,14.8234070083697,163.85925,20.3691093397944,12.6361818910004,61.9654119361313,18.2214984305723,32.1583782663376,76.9238058599127,141.393475,180.734275,137.1425,166.812525,172.25785,126.347,46.8083,131.887,139.3351,170.258,418.88445,353.8758,319.0203,330.671775,321.3038,311.2583,148.88245,319.735825,314.1748,403.61895,344.055298039216,258.25356746507,326.9339,228.8877,304.1673,374.3116,141.5482,329.3819,9.6730350538393,8.00471811097563,0.750616453043644,0.700103904795434,-0.413852181342032,-0.514359041674407,"LUSC"
"ZNF324",0.999790828894212,0.992090909237372,0.93923765589749,0.988444647528244,0.998146089917147,0.999907925184484,0.992534013679049,0.980575319909404,1,0.999923220057997,0.997926426463026,0.999532166443523,0.999881004704354,0.999615348569643,0.999965916592108,0.999813616858086,0.999999905785021,1,0.999978797818774,1,0.999999999997749,0.999794492929376,1,0.970274745810361,0.998249239089677,0.988958951045854,0.999797659303666,0.999999920153173,0.826927398714633,0.360441551312494,0.813304131178074,1,0.883613386302147,0.652369128041992,0.999607205198874,0.416800690336005,0.35735923613544,0.10099184347938,0.270274107837452,0.999518190957626,0.319484876742862,0.191664237252785,0.911262642566488,0.11316285664272,0.94727412943928,240.04435,213.098027380952,197.696149342105,163.72635,197.275204761905,204.264074157303,200.384566666667,212.939419354839,165.301585714286,116.996471428571,37.9297257562038,7.70777168555174,6.1162718809095,23.37545,11.443100494409,10.2848988587723,69.7202245460224,11.9471700580621,16.7284527849442,10.4709236630075,219.484175,168.163625,145.48615,152.038625,135.96865,130.8236,162.39795,148.007975,111.1244,99.88625,290.001675,250.92585,239.466325,175.414075,245.44325,260.4371,270.00835,264.688075,212.4012,130.2631,187.308268627451,200.487798003992,177.3434,187.1243,156.7911,213.5897,136.8217,247.6297,6.59728680814302,3.82496572434373,1.07036277401482,1.05515232030061,0.0980998466916858,0.0774512793874692,"LUSC"
