"gene","WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR"
"ZNF195",0.780763629073234,341.785804682274,346.433677669903,8.23410138202017,15.4045609032811,237.563,241.161,432.72275,407.40765
"ZNF263",0.900421002100207,681.720710367893,685.054723300971,14.4048270293335,17.5577324119386,522.7355,559.1211,795.98595,807.3265
"ZNF200",0.695160353504862,260.109669899666,255.937530097087,5.45424496710815,8.8240255534545,194.2706,200.02895,299.5677,297.30855
"ZNF582",0.463733144267912,23.8600046822742,25.771659223301,1.27926700645623,2.43654599423576,7.7075,7.87455,33.49985,35.3768
"ZNF285",0.185450641357379,26.5880678929766,31.7180660194175,1.77409843700628,4.11513696601261,5.45305,7.35125,38.2088,43.19715
"ZNF275",0.0744545504169301,641.82554180602,703.93922815534,17.5496480039963,30.1002613651189,434.8611,527.81995,804.9114,857.23245
"ZNF37A",0.680421685463167,359.897473244147,367.996176699029,10.5344697516116,13.5950827794094,237.7187,274.23765,448.65405,466.58205
"ZNF510",0.127073609970399,205.419167558528,220.427552427184,4.99529938362842,8.33266120327785,142.8349,154.0683,250.14645,272.99795
"ZNF506",0.552283055309406,261.2313909699,248.731884466019,11.1280202634654,15.4164471777825,138.2654,139.62845,328.6413,325.2978
"ZNF324",0.269160620164528,198.615985618729,209.542660194175,4.76272402153645,9.59343803144553,135.3797,135.66835,242.34755,260.59985
"ZNF671",0.622765567562145,72.9020347826087,76.4528601941748,3.78964235768298,5.47094711389178,32.79225,31.9023,92.80965,102.2075
"ZNF416",0.734967529195317,128.141535117057,130.348987378641,3.25051393269541,5.85165248870748,88.6597,80.4864,163.2898,169.5011
"ZNF586",0.376478968856076,174.034163879599,182.981821359223,5.2648677743209,7.92494967061346,109.27175,127.487,224.91785,229.26375
"ZNF446",0.832642712000704,223.28286187291,225.815466019417,6.39989168003755,8.42930884697336,154.1229,163.84335,266.8093,271.34215
"ZNF8",0.0242204237795574,111.338205016722,126.323531067961,3.1991538949135,6.4178481033232,72.93965,85.3271,137.81135,149.54715
"ZNF264",0.0972903143389189,620.97430735786,674.107489320388,15.6168685438668,30.2086871500767,422.5814,471.668,788.39475,802.2467
"ZNF213",0.381543516077267,463.839339799331,445.228961165049,11.5394402297224,13.6771357282763,331.63595,356.0819,550.6205,517.20945
"ZNF343",0.425547093631813,302.42387993311,315.289784466019,8.5434898983645,11.824403087765,205.09745,222.31975,361.3946,381.0688
"ZNF302",0.827562717656866,417.393623745819,424.038591262136,15.7516658669133,24.6270468676631,252.1249,280.6969,488.02045,491.5981
"ZNF268",0.00398890649175732,274.483604682274,317.195840776699,7.08290660191685,14.4591517578797,185.48995,207.80665,337.0692,408.71535
"ZNF184",0.047047346360759,249.800313712375,274.847883495146,5.87381655853531,12.9823716362588,174.7935,189.16035,299.1978,313.1901
"ZNF500",0.562358622222912,225.85027458194,219.960784466019,5.47724359252879,6.81883870638488,163.29375,172.8141,268.66915,254.44865
"ZNF419",0.508140595187643,168.020178595318,174.352588349515,4.78771862091679,8.49795214844658,114.24825,113.9564,208.51165,208.15465
"ZNF175",0.144200521440389,112.145833444816,122.511604854369,3.58854518290597,6.09689532671505,69.3431,81.36725,151.4759,157.69185
"ZNF14",0.776217029216132,171.297963545151,174.69077184466,6.2840380766876,8.94829109517004,111.9895,118.7477,209.0254,210.1451
"ZNF85",0.977308449189726,70.7661889632107,70.5538330097087,4.00956441944489,5.10202005850963,24.1273,28.39295,95.0722,103.5842
"ZKSCAN1",0.0281774425354319,773.623247826087,870.091611650485,21.1805314465919,42.2992114123865,526.49945,555.63115,932.7629,1099.24215
